LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:35.803000,17.0,RAI,7,0 days 00:33:00.825000,1.0,1.0,,,,0 days 00:00:42.468000,0 days 00:00:21.995000,,0 days 00:33:59.651000,0 days 00:34:21.649000,157.0,179.0,261.0,284.0,False,SOFT,1.0,True,Alfa Romeo Racing,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,False,,False,False,Monaco Grand Prix,19,315.0,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:01:21.477000,17.0,RAI,7,0 days 00:35:00.855000,2.0,1.0,,,0 days 00:00:21.702000,0 days 00:00:38.169000,0 days 00:00:21.606000,0 days 00:34:43.224000,0 days 00:35:21.393000,0 days 00:35:42.999000,172.0,170.0,262.0,284.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:34:21.518000,2019-05-26 13:14:21.978,1,False,,False,True,Monaco Grand Prix,19,315.0,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:01:20.120000,17.0,RAI,7,0 days 00:36:00.866000,3.0,1.0,,,0 days 00:00:21.281000,0 days 00:00:37.369000,0 days 00:00:21.470000,0 days 00:36:04.280000,0 days 00:36:41.649000,0 days 00:37:03.119000,183.0,181.0,267.0,281.0,True,SOFT,3.0,True,Alfa Romeo Racing,0 days 00:35:42.995000,2019-05-26 13:15:43.455,1,False,,False,True,Monaco Grand Prix,19,315.0,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:01:19.360000,17.0,RAI,7,0 days 00:38:00.899000,4.0,1.0,,,0 days 00:00:21.131000,0 days 00:00:36.992000,0 days 00:00:21.237000,0 days 00:37:24.250000,0 days 00:38:01.242000,0 days 00:38:22.479000,187.0,183.0,266.0,286.0,True,SOFT,4.0,True,Alfa Romeo Racing,0 days 00:37:03.115000,2019-05-26 13:17:03.575,1,False,,False,True,Monaco Grand Prix,19,315.0,22.3,52.8,1011.0,True,34.0,358,0.5
0 days 00:01:19.187000,17.0,RAI,7,0 days 00:39:01.015000,5.0,1.0,,,0 days 00:00:20.976000,0 days 00:00:36.965000,0 days 00:00:21.246000,0 days 00:38:43.455000,0 days 00:39:20.420000,0 days 00:39:41.666000,183.0,185.0,269.0,286.0,True,SOFT,5.0,True,Alfa Romeo Racing,0 days 00:38:22.475000,2019-05-26 13:18:22.935,1,False,,False,True,Monaco Grand Prix,19,315.0,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:01:19.901000,17.0,RAI,7,0 days 00:40:00.926000,6.0,1.0,,,0 days 00:00:21.220000,0 days 00:00:37.239000,0 days 00:00:21.442000,0 days 00:40:02.886000,0 days 00:40:40.125000,0 days 00:41:01.567000,181.0,184.0,268.0,286.0,False,SOFT,6.0,True,Alfa Romeo Racing,0 days 00:39:41.662000,2019-05-26 13:19:42.122,2,False,,False,True,Monaco Grand Prix,19,315.0,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:01:19.765000,17.0,RAI,7,0 days 00:42:00.953000,7.0,1.0,,,0 days 00:00:21.318000,0 days 00:00:37.062000,0 days 00:00:21.385000,0 days 00:41:22.885000,0 days 00:41:59.947000,0 days 00:42:21.332000,188.0,182.0,269.0,278.0,False,SOFT,7.0,True,Alfa Romeo Racing,0 days 00:41:01.563000,2019-05-26 13:21:02.023,1,False,,False,True,Monaco Grand Prix,19,315.0,22.9,51.7,1011.1,True,34.3,195,0.7
0 days 00:01:20.547000,17.0,RAI,7,0 days 00:43:00.969000,8.0,1.0,,,0 days 00:00:21.534000,0 days 00:00:37.535000,0 days 00:00:21.478000,0 days 00:42:42.866000,0 days 00:43:20.401000,0 days 00:43:41.879000,178.0,184.0,261.0,281.0,False,SOFT,8.0,True,Alfa Romeo Racing,0 days 00:42:21.328000,2019-05-26 13:22:21.788,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:01:25.232000,15.0,RAI,7,0 days 00:44:00.983000,9.0,1.0,,,0 days 00:00:22.373000,0 days 00:00:40.671000,0 days 00:00:22.188000,0 days 00:44:04.252000,0 days 00:44:44.923000,0 days 00:45:07.111000,150.0,185.0,269.0,253.0,False,SOFT,9.0,True,Alfa Romeo Racing,0 days 00:43:41.875000,2019-05-26 13:23:42.335,2,False,,False,True,Monaco Grand Prix,19,315.0,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:01:28.718000,15.0,RAI,7,0 days 00:46:01.014000,10.0,1.0,,,0 days 00:00:21.416000,0 days 00:00:37.296000,0 days 00:00:30.006000,0 days 00:45:28.527000,0 days 00:46:05.823000,0 days 00:46:35.829000,187.0,180.0,222.0,283.0,False,SOFT,10.0,True,Alfa Romeo Racing,0 days 00:45:07.107000,2019-05-26 13:25:07.567,24,False,,False,False,Monaco Grand Prix,19,315.0,22.6,52.4,1010.9,True,34.0,72,0.4
0 days 00:01:44.420000,13.0,RAI,7,0 days 00:47:01.027000,11.0,1.0,,,0 days 00:00:29.278000,0 days 00:00:48.219000,0 days 00:00:26.923000,0 days 00:47:05.107000,0 days 00:47:53.326000,0 days 00:48:20.249000,133.0,142.0,220.0,212.0,False,SOFT,11.0,True,Alfa Romeo Racing,0 days 00:46:35.825000,2019-05-26 13:26:36.285,4,False,,False,False,Monaco Grand Prix,19,315.0,22.7,51.7,1010.9,True,34.0,0,0.5
0 days 00:01:38.452000,12.0,RAI,7,0 days 00:49:01.057000,12.0,1.0,,,0 days 00:00:25.800000,0 days 00:00:45.414000,0 days 00:00:27.238000,0 days 00:48:46.049000,0 days 00:49:31.463000,0 days 00:49:58.701000,148.0,153.0,188.0,245.0,False,SOFT,12.0,True,Alfa Romeo Racing,0 days 00:48:20.245000,2019-05-26 13:28:20.705,4,False,,False,False,Monaco Grand Prix,19,315.0,23.0,51.4,1011.0,True,34.3,149,0.6
0 days 00:01:35.634000,12.0,RAI,7,0 days 00:50:01.070000,13.0,1.0,,,0 days 00:00:26.062000,0 days 00:00:44.690000,0 days 00:00:24.882000,0 days 00:50:24.763000,0 days 00:51:09.453000,0 days 00:51:34.335000,141.0,163.0,233.0,255.0,False,SOFT,13.0,True,Alfa Romeo Racing,0 days 00:49:58.697000,2019-05-26 13:29:59.157,4,False,,False,False,Monaco Grand Prix,19,315.0,22.9,51.7,1011.0,True,34.1,333,0.4
0 days 00:01:50.501000,12.0,RAI,7,0 days 00:52:01.098000,14.0,1.0,,,0 days 00:00:29.633000,0 days 00:00:53.717000,0 days 00:00:27.151000,0 days 00:52:03.968000,0 days 00:52:57.685000,0 days 00:53:24.836000,133.0,75.0,260.0,165.0,False,SOFT,14.0,True,Alfa Romeo Racing,0 days 00:51:34.331000,2019-05-26 13:31:34.791,4,False,,False,False,Monaco Grand Prix,19,315.0,23.0,51.4,1010.9,True,34.4,155,0.8
0 days 00:01:21.634000,12.0,RAI,7,0 days 00:54:01.208000,15.0,1.0,,,0 days 00:00:21.724000,0 days 00:00:38.070000,0 days 00:00:21.840000,0 days 00:53:46.560000,0 days 00:54:24.630000,0 days 00:54:46.470000,171.0,179.0,260.0,272.0,False,SOFT,15.0,True,Alfa Romeo Racing,0 days 00:53:24.832000,2019-05-26 13:33:25.292,2,False,,False,False,Monaco Grand Prix,19,315.0,22.9,52.1,1011.0,True,34.2,140,1.4
0 days 00:01:20.597000,12.0,RAI,7,0 days 00:55:01.144000,16.0,1.0,,,0 days 00:00:21.577000,0 days 00:00:37.667000,0 days 00:00:21.353000,0 days 00:55:08.047000,0 days 00:55:45.714000,0 days 00:56:07.067000,179.0,183.0,261.0,283.0,False,SOFT,16.0,True,Alfa Romeo Racing,0 days 00:54:46.466000,2019-05-26 13:34:46.926,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,51.7,1010.9,True,34.2,0,1.2
0 days 00:01:20.333000,12.0,RAI,7,0 days 00:57:01.170000,17.0,1.0,,,0 days 00:00:21.377000,0 days 00:00:37.119000,0 days 00:00:21.837000,0 days 00:56:28.444000,0 days 00:57:05.563000,0 days 00:57:27.400000,,183.0,268.0,284.0,False,SOFT,17.0,True,Alfa Romeo Racing,0 days 00:56:07.063000,2019-05-26 13:36:07.523,1,False,,False,True,Monaco Grand Prix,19,315.0,22.7,51.9,1011.0,True,33.6,58,0.7
0 days 00:01:20.448000,12.0,RAI,7,0 days 00:58:01.187000,18.0,1.0,,,0 days 00:00:21.381000,0 days 00:00:37.602000,0 days 00:00:21.465000,0 days 00:57:48.781000,0 days 00:58:26.383000,0 days 00:58:47.848000,177.0,181.0,270.0,286.0,False,SOFT,18.0,True,Alfa Romeo Racing,0 days 00:57:27.396000,2019-05-26 13:37:27.856,1,False,,False,True,Monaco Grand Prix,19,315.0,22.5,52.6,1010.9,True,33.5,127,0.6
0 days 00:01:20.945000,12.0,RAI,7,0 days 00:59:01.205000,19.0,1.0,,,0 days 00:00:21.458000,0 days 00:00:37.801000,0 days 00:00:21.686000,0 days 00:59:09.306000,0 days 00:59:47.107000,0 days 01:00:08.793000,174.0,185.0,269.0,287.0,False,SOFT,19.0,True,Alfa Romeo Racing,0 days 00:58:47.844000,2019-05-26 13:38:48.304,1,False,,False,True,Monaco Grand Prix,19,315.0,22.7,52.0,1010.9,True,33.5,328,1.2
0 days 00:01:20.910000,12.0,RAI,7,0 days 01:01:01.230000,20.0,1.0,,,0 days 00:00:21.610000,0 days 00:00:37.707000,0 days 00:00:21.593000,0 days 01:00:30.403000,0 days 01:01:08.110000,0 days 01:01:29.703000,179.0,183.0,269.0,287.0,False,SOFT,20.0,True,Alfa Romeo Racing,0 days 01:00:08.789000,2019-05-26 13:40:09.249,1,False,,False,True,Monaco Grand Prix,19,315.0,23.1,51.2,1010.9,True,33.8,0,0.9
0 days 00:01:20.229000,12.0,RAI,7,0 days 01:02:01.244000,21.0,1.0,,,0 days 00:00:21.392000,0 days 00:00:37.507000,0 days 00:00:21.330000,0 days 01:01:51.095000,0 days 01:02:28.602000,0 days 01:02:49.932000,184.0,185.0,270.0,287.0,False,SOFT,21.0,True,Alfa Romeo Racing,0 days 01:01:29.699000,2019-05-26 13:41:30.159,1,False,,False,True,Monaco Grand Prix,19,315.0,23.3,50.1,1010.9,True,34.0,329,0.9
0 days 00:01:20.772000,12.0,RAI,7,0 days 01:03:01.263000,22.0,1.0,,,0 days 00:00:21.343000,0 days 00:00:37.740000,0 days 00:00:21.689000,0 days 01:03:11.275000,0 days 01:03:49.015000,0 days 01:04:10.704000,183.0,184.0,269.0,286.0,False,SOFT,22.0,True,Alfa Romeo Racing,0 days 01:02:49.928000,2019-05-26 13:42:50.388,1,False,,False,True,Monaco Grand Prix,19,315.0,23.4,50.2,1010.8,True,33.8,30,1.0
