LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:26.771000,5.0,RIC,3,0 days 00:33:00.825000,1.0,1.0,,,,0 days 00:00:37.930000,0 days 00:00:21.434000,,0 days 00:33:51.139000,0 days 00:34:12.634000,168.0,179.0,256.0,276.0,False,SOFT,6.0,False,Renault,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,False,,False,False,Monaco Grand Prix,19,315.0,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:01:19.901000,5.0,RIC,3,0 days 00:35:00.855000,2.0,1.0,,,0 days 00:00:21.231000,0 days 00:00:37.319000,0 days 00:00:21.351000,0 days 00:34:33.779000,0 days 00:35:11.098000,0 days 00:35:32.449000,184.0,182.0,257.0,275.0,True,SOFT,7.0,False,Renault,0 days 00:34:12.486000,2019-05-26 13:14:12.946,1,False,,False,True,Monaco Grand Prix,19,315.0,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:01:19.203000,5.0,RIC,3,0 days 00:36:00.866000,3.0,1.0,,,0 days 00:00:21.065000,0 days 00:00:36.872000,0 days 00:00:21.266000,0 days 00:35:53.514000,0 days 00:36:30.386000,0 days 00:36:51.652000,196.0,181.0,255.0,275.0,True,SOFT,8.0,False,Renault,0 days 00:35:32.387000,2019-05-26 13:15:32.847,1,False,,False,True,Monaco Grand Prix,19,315.0,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:01:19.569000,5.0,RIC,3,0 days 00:37:00.881000,4.0,1.0,,,0 days 00:00:21.226000,0 days 00:00:37.053000,0 days 00:00:21.290000,0 days 00:37:12.878000,0 days 00:37:49.931000,0 days 00:38:11.221000,194.0,184.0,253.0,273.0,False,SOFT,9.0,False,Renault,0 days 00:36:51.590000,2019-05-26 13:16:52.050,1,False,,False,True,Monaco Grand Prix,19,315.0,22.3,53.1,1011.1,False,34.3,268,1.2
0 days 00:01:19.458000,5.0,RIC,3,0 days 00:39:01.015000,5.0,1.0,,,0 days 00:00:21.297000,0 days 00:00:37.160000,0 days 00:00:21.001000,0 days 00:38:32.518000,0 days 00:39:09.678000,0 days 00:39:30.679000,190.0,189.0,254.0,272.0,False,SOFT,10.0,False,Renault,0 days 00:38:11.159000,2019-05-26 13:18:11.619,1,False,,False,True,Monaco Grand Prix,19,315.0,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:01:19.286000,5.0,RIC,3,0 days 00:40:00.926000,6.0,1.0,,,0 days 00:00:21.083000,0 days 00:00:37.093000,0 days 00:00:21.110000,0 days 00:39:51.762000,0 days 00:40:28.855000,0 days 00:40:49.965000,191.0,181.0,254.0,272.0,False,SOFT,11.0,False,Renault,0 days 00:39:30.617000,2019-05-26 13:19:31.077,2,False,,False,True,Monaco Grand Prix,19,315.0,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:01:19.596000,5.0,RIC,3,0 days 00:41:00.941000,7.0,1.0,,,0 days 00:00:21.160000,0 days 00:00:37.392000,0 days 00:00:21.044000,0 days 00:41:11.125000,0 days 00:41:48.517000,0 days 00:42:09.561000,194.0,187.0,254.0,272.0,False,SOFT,12.0,False,Renault,0 days 00:40:49.903000,2019-05-26 13:20:50.363,1,False,,False,True,Monaco Grand Prix,19,315.0,22.9,52.2,1011.0,True,34.6,0,0.4
0 days 00:01:20.113000,5.0,RIC,3,0 days 00:43:00.969000,8.0,1.0,,,0 days 00:00:21.367000,0 days 00:00:37.262000,0 days 00:00:21.484000,0 days 00:42:30.928000,0 days 00:43:08.190000,0 days 00:43:29.674000,,180.0,254.0,272.0,False,SOFT,13.0,False,Renault,0 days 00:42:09.499000,2019-05-26 13:22:09.959,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:01:20.184000,5.0,RIC,3,0 days 00:44:00.983000,9.0,1.0,,,0 days 00:00:21.247000,0 days 00:00:37.506000,0 days 00:00:21.431000,0 days 00:43:50.921000,0 days 00:44:28.427000,0 days 00:44:49.858000,189.0,183.0,254.0,271.0,False,SOFT,14.0,False,Renault,0 days 00:43:29.612000,2019-05-26 13:23:30.072,2,False,,False,True,Monaco Grand Prix,19,315.0,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:01:23.289000,5.0,RIC,3,0 days 00:45:00.999000,10.0,1.0,,,0 days 00:00:21.325000,0 days 00:00:38.168000,0 days 00:00:23.796000,0 days 00:45:11.183000,0 days 00:45:49.351000,0 days 00:46:13.147000,,164.0,149.0,271.0,False,SOFT,15.0,False,Renault,0 days 00:44:49.796000,2019-05-26 13:24:50.256,24,False,,False,False,Monaco Grand Prix,19,315.0,22.7,52.2,1011.0,True,33.8,0,0.7
