LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:29.873000,8.0,SAI,55,0 days 00:33:00.825000,1.0,1.0,,,,0 days 00:00:38.969000,0 days 00:00:22.194000,,0 days 00:33:53.475000,0 days 00:34:15.727000,168.0,177.0,261.0,284.0,False,SOFT,6.0,False,McLaren,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,False,,False,False,Monaco Grand Prix,19,315.0,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:01:19.954000,8.0,SAI,55,0 days 00:35:00.855000,2.0,1.0,,,0 days 00:00:21.228000,0 days 00:00:37.375000,0 days 00:00:21.351000,0 days 00:34:36.865000,0 days 00:35:14.240000,0 days 00:35:35.591000,192.0,168.0,262.0,283.0,True,SOFT,7.0,False,McLaren,0 days 00:34:15.588000,2019-05-26 13:14:16.048,1,False,,False,True,Monaco Grand Prix,19,315.0,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:01:19.483000,8.0,SAI,55,0 days 00:36:00.866000,3.0,1.0,,,0 days 00:00:21.157000,0 days 00:00:36.959000,0 days 00:00:21.367000,0 days 00:35:56.748000,0 days 00:36:33.707000,0 days 00:36:55.074000,198.0,189.0,261.0,283.0,True,SOFT,8.0,False,McLaren,0 days 00:35:35.542000,2019-05-26 13:15:36.002,1,False,,False,True,Monaco Grand Prix,19,315.0,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:01:19.613000,8.0,SAI,55,0 days 00:37:00.881000,4.0,1.0,,,0 days 00:00:21.025000,0 days 00:00:37.120000,0 days 00:00:21.468000,0 days 00:37:16.099000,0 days 00:37:53.219000,0 days 00:38:14.687000,193.0,188.0,262.0,283.0,False,SOFT,9.0,False,McLaren,0 days 00:36:55.025000,2019-05-26 13:16:55.485,1,False,,False,True,Monaco Grand Prix,19,315.0,22.3,53.1,1011.1,False,34.3,268,1.2
0 days 00:01:19.545000,8.0,SAI,55,0 days 00:39:01.015000,5.0,1.0,,,0 days 00:00:20.910000,0 days 00:00:37.155000,0 days 00:00:21.480000,0 days 00:38:35.597000,0 days 00:39:12.752000,0 days 00:39:34.232000,196.0,188.0,262.0,283.0,False,SOFT,10.0,False,McLaren,0 days 00:38:14.638000,2019-05-26 13:18:15.098,1,False,,False,True,Monaco Grand Prix,19,315.0,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:01:19.638000,8.0,SAI,55,0 days 00:40:00.926000,6.0,1.0,,,0 days 00:00:20.845000,0 days 00:00:37.270000,0 days 00:00:21.523000,0 days 00:39:55.077000,0 days 00:40:32.347000,0 days 00:40:53.870000,191.0,189.0,262.0,282.0,False,SOFT,11.0,False,McLaren,0 days 00:39:34.183000,2019-05-26 13:19:34.643,2,False,,False,True,Monaco Grand Prix,19,315.0,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:01:19.631000,8.0,SAI,55,0 days 00:41:00.941000,7.0,1.0,,,0 days 00:00:20.917000,0 days 00:00:37.252000,0 days 00:00:21.462000,0 days 00:41:14.787000,0 days 00:41:52.039000,0 days 00:42:13.501000,196.0,185.0,263.0,283.0,False,SOFT,12.0,False,McLaren,0 days 00:40:53.821000,2019-05-26 13:20:54.281,1,False,,False,True,Monaco Grand Prix,19,315.0,22.9,52.2,1011.0,True,34.6,0,0.4
0 days 00:01:19.856000,8.0,SAI,55,0 days 00:43:00.969000,8.0,1.0,,,0 days 00:00:20.994000,0 days 00:00:37.228000,0 days 00:00:21.634000,0 days 00:42:34.495000,0 days 00:43:11.723000,0 days 00:43:33.357000,,187.0,261.0,282.0,False,SOFT,13.0,False,McLaren,0 days 00:42:13.452000,2019-05-26 13:22:13.912,2,False,,False,True,Monaco Grand Prix,19,315.0,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:01:20.589000,8.0,SAI,55,0 days 00:44:00.983000,9.0,1.0,,,0 days 00:00:21.108000,0 days 00:00:37.789000,0 days 00:00:21.692000,0 days 00:43:54.465000,0 days 00:44:32.254000,0 days 00:44:53.946000,185.0,183.0,261.0,283.0,False,SOFT,14.0,False,McLaren,0 days 00:43:33.308000,2019-05-26 13:23:33.768,2,False,,False,True,Monaco Grand Prix,19,315.0,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:01:24.781000,8.0,SAI,55,0 days 00:45:00.999000,10.0,1.0,,,0 days 00:00:21.128000,0 days 00:00:37.675000,0 days 00:00:25.978000,0 days 00:45:15.074000,0 days 00:45:52.749000,0 days 00:46:18.727000,194.0,180.0,73.0,283.0,False,SOFT,15.0,False,McLaren,0 days 00:44:53.897000,2019-05-26 13:24:54.357,24,False,,False,False,Monaco Grand Prix,19,315.0,22.7,52.2,1011.0,True,33.8,0,0.7
