Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:00.825000,STR,18,0 days 00:01:34.436000,1.0,1.0,,,,0 days 00:00:40.978000,0 days 00:00:22.320000,,0 days 00:33:57.911000,0 days 00:34:20.291000,156.0,177.0,258.0,273.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:32:45.521000,2019-05-26 13:12:45.981,2,15.0,False,,False,False,22.5,52.4,1011.1,False,34.4,331,0.5
0 days 00:35:00.855000,STR,18,0 days 00:01:21.257000,2.0,1.0,,,0 days 00:00:21.540000,0 days 00:00:37.823000,0 days 00:00:21.894000,0 days 00:34:41.673000,0 days 00:35:19.496000,0 days 00:35:41.390000,172.0,179.0,259.0,278.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:20.151000,2019-05-26 13:14:20.611,1,15.0,False,,False,True,22.4,52.0,1011.1,False,34.4,59,0.9
0 days 00:36:00.866000,STR,18,0 days 00:01:19.884000,3.0,1.0,,,0 days 00:00:21.252000,0 days 00:00:37.186000,0 days 00:00:21.446000,0 days 00:36:02.642000,0 days 00:36:39.828000,0 days 00:37:01.274000,180.0,185.0,260.0,284.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:35:41.408000,2019-05-26 13:15:41.868,1,15.0,False,,False,True,22.2,52.9,1011.1,False,34.0,186,0.4
0 days 00:38:00.899000,STR,18,0 days 00:01:19.475000,4.0,1.0,,,0 days 00:00:21.293000,0 days 00:00:36.861000,0 days 00:00:21.321000,0 days 00:37:22.567000,0 days 00:37:59.428000,0 days 00:38:20.749000,185.0,183.0,262.0,284.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:37:01.292000,2019-05-26 13:17:01.752,1,15.0,False,,False,True,22.3,52.8,1011.0,True,34.0,358,0.5
0 days 00:39:01.015000,STR,18,0 days 00:01:19.713000,5.0,1.0,,,0 days 00:00:21.080000,0 days 00:00:37.056000,0 days 00:00:21.577000,0 days 00:38:41.829000,0 days 00:39:18.885000,0 days 00:39:40.462000,191.0,181.0,267.0,285.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:38:20.767000,2019-05-26 13:18:21.227,1,15.0,False,,False,True,22.5,53.1,1011.0,True,34.6,357,1.2
0 days 00:40:00.926000,STR,18,0 days 00:01:19.739000,6.0,1.0,,,0 days 00:00:21.292000,0 days 00:00:37.218000,0 days 00:00:21.229000,0 days 00:40:01.754000,0 days 00:40:38.972000,0 days 00:41:00.201000,184.0,184.0,260.0,285.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:39:40.480000,2019-05-26 13:19:40.940,2,15.0,False,,False,True,22.7,52.6,1011.0,True,34.6,148,0.6
0 days 00:41:00.941000,STR,18,0 days 00:01:19.679000,7.0,1.0,,,0 days 00:00:20.934000,0 days 00:00:37.059000,0 days 00:00:21.686000,0 days 00:41:21.135000,0 days 00:41:58.194000,0 days 00:42:19.880000,187.0,178.0,267.0,287.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:41:00.219000,2019-05-26 13:21:00.679,1,15.0,False,,False,True,22.9,52.2,1011.0,True,34.6,0,0.4
0 days 00:43:00.969000,STR,18,0 days 00:01:20.380000,8.0,1.0,,,0 days 00:00:21.314000,0 days 00:00:37.047000,0 days 00:00:22.019000,0 days 00:42:41.194000,0 days 00:43:18.241000,0 days 00:43:40.260000,185.0,182.0,265.0,285.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:42:19.898000,2019-05-26 13:22:20.358,2,15.0,False,,False,True,22.8,52.0,1011.0,True,34.3,7,0.4
0 days 00:44:00.983000,STR,18,0 days 00:01:25.549000,9.0,1.0,,,0 days 00:00:23.199000,0 days 00:00:40.013000,0 days 00:00:22.337000,0 days 00:44:03.459000,0 days 00:44:43.472000,0 days 00:45:05.809000,169.0,183.0,267.0,280.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:43:40.278000,2019-05-26 13:23:40.738,2,13.0,False,,False,True,22.9,51.5,1011.1,True,34.3,0,0.4
0 days 00:46:01.014000,STR,18,0 days 00:01:27.910000,10.0,1.0,,,0 days 00:00:21.306000,0 days 00:00:36.795000,0 days 00:00:29.809000,0 days 00:45:27.115000,0 days 00:46:03.910000,0 days 00:46:33.719000,188.0,182.0,201.0,283.0,False,MEDIUM,10.0,True,Racing Point,0 days 00:45:05.827000,2019-05-26 13:25:06.287,24,13.0,False,,False,False,22.6,52.4,1010.9,True,34.0,72,0.4
