LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:26.264000,15.0,KVY,26,0 days 00:33:32.444000,1.0,1.0,,,,0 days 00:01:04.024000,0 days 00:00:39.301000,,0 days 00:35:14.758000,0 days 00:35:54.333000,205.0,186.0,125.0,236.0,False,HARD,1.0,True,Toro Rosso,0 days 00:33:27.500000,2019-09-29 11:13:27.792,24,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.2,1017.0,False,34.9,251,2.5
,14.0,KVY,26,0 days 00:36:32.444000,2.0,1.0,,,0 days 00:01:02.911000,0 days 00:00:51.141000,0 days 00:00:43.437000,0 days 00:36:57.013000,0 days 00:37:48.101000,0 days 00:38:32.371000,160.0,140.0,134.0,209.0,False,HARD,2.0,True,Toro Rosso,0 days 00:35:53.919000,2019-09-29 11:15:54.211,4,False,,False,False,Russian Grand Prix,18,324.0,21.5,69.5,1017.0,False,34.7,291,1.6
,13.0,KVY,26,0 days 00:38:33.901000,3.0,1.0,,,0 days 00:00:56.187000,0 days 00:00:56.583000,0 days 00:00:40.195000,0 days 00:39:27.645000,0 days 00:40:24.231000,0 days 00:41:08.677000,182.0,102.0,162.0,235.0,False,HARD,3.0,True,Toro Rosso,0 days 00:38:31.398000,2019-09-29 11:18:31.690,4,False,,False,False,Russian Grand Prix,18,324.0,21.4,69.4,1017.0,False,34.7,295,1.0
0 days 00:01:44.296000,13.0,KVY,26,0 days 00:41:32.443000,4.0,1.0,,,0 days 00:00:36.885000,0 days 00:00:35.969000,0 days 00:00:31.442000,0 days 00:41:41.295000,0 days 00:42:17.264000,0 days 00:42:48.706000,244.0,304.0,161.0,287.0,True,HARD,4.0,True,Toro Rosso,0 days 00:41:04.270000,2019-09-29 11:21:04.562,1,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.1,1016.9,False,34.8,311,2.3
0 days 00:01:44.083000,13.0,KVY,26,0 days 00:43:32.441000,5.0,1.0,,,0 days 00:00:36.685000,0 days 00:00:36.740000,0 days 00:00:30.658000,0 days 00:43:25.391000,0 days 00:44:02.131000,0 days 00:44:32.789000,251.0,305.0,158.0,281.0,True,HARD,5.0,True,Toro Rosso,0 days 00:42:48.566000,2019-09-29 11:22:48.858,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.7,1016.9,False,34.8,290,2.1
0 days 00:01:43.653000,13.0,KVY,26,0 days 00:45:32.442000,6.0,1.0,,,0 days 00:00:36.514000,0 days 00:00:35.788000,0 days 00:00:31.351000,0 days 00:45:09.303000,0 days 00:45:45.091000,0 days 00:46:16.442000,,303.0,163.0,297.0,True,HARD,6.0,True,Toro Rosso,0 days 00:44:32.649000,2019-09-29 11:24:32.941,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,67.6,1017.0,False,35.0,253,2.7
0 days 00:01:43.083000,13.0,KVY,26,0 days 00:46:32.438000,7.0,1.0,,,0 days 00:00:36.845000,0 days 00:00:35.413000,0 days 00:00:30.825000,0 days 00:46:53.287000,0 days 00:47:28.700000,0 days 00:47:59.525000,,314.0,162.0,290.0,True,HARD,7.0,True,Toro Rosso,0 days 00:46:16.302000,2019-09-29 11:26:16.594,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,66.8,1016.9,False,34.9,251,2.3
0 days 00:01:42.281000,13.0,KVY,26,0 days 00:48:32.441000,8.0,1.0,,,0 days 00:00:36.192000,0 days 00:00:35.367000,0 days 00:00:30.722000,0 days 00:48:35.717000,0 days 00:49:11.084000,0 days 00:49:41.806000,,319.0,163.0,306.0,True,HARD,8.0,True,Toro Rosso,0 days 00:47:59.385000,2019-09-29 11:27:59.677,1,False,,False,True,Russian Grand Prix,18,324.0,21.7,67.5,1017.0,False,34.8,0,2.1
0 days 00:01:42.183000,13.0,KVY,26,0 days 00:50:32.437000,9.0,1.0,,,0 days 00:00:36.138000,0 days 00:00:35.336000,0 days 00:00:30.709000,0 days 00:50:17.944000,0 days 00:50:53.280000,0 days 00:51:23.989000,248.0,316.0,159.0,312.0,True,HARD,9.0,True,Toro Rosso,0 days 00:49:41.666000,2019-09-29 11:29:41.958,1,False,,False,True,Russian Grand Prix,18,324.0,22.2,65.6,1017.0,False,35.7,276,1.1
0 days 00:01:42.012000,13.0,KVY,26,0 days 00:51:32.624000,10.0,1.0,,,0 days 00:00:35.966000,0 days 00:00:35.580000,0 days 00:00:30.466000,0 days 00:51:59.955000,0 days 00:52:35.535000,0 days 00:53:06.001000,257.0,315.0,162.0,316.0,True,HARD,10.0,True,Toro Rosso,0 days 00:51:23.849000,2019-09-29 11:31:24.141,1,False,,False,True,Russian Grand Prix,18,324.0,22.3,64.8,1017.0,False,35.6,258,2.2
