LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:11.367000,5.0,SAI,55,0 days 00:33:32.444000,1.0,1.0,,,,0 days 00:00:52.287000,0 days 00:00:40.476000,,0 days 00:34:58.674000,0 days 00:35:39.344000,224.0,146.0,126.0,266.0,False,SOFT,4.0,False,McLaren,0 days 00:33:27.500000,2019-09-29 11:13:27.792,24,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.2,1017.0,False,34.9,251,2.5
,4.0,SAI,55,0 days 00:36:32.444000,2.0,1.0,,,0 days 00:01:04.099000,0 days 00:00:51.246000,0 days 00:00:43.775000,0 days 00:36:43.234000,0 days 00:37:34.751000,0 days 00:38:18.721000,91.0,196.0,138.0,246.0,False,SOFT,5.0,False,McLaren,0 days 00:35:39.162000,2019-09-29 11:15:39.454,4,False,,False,False,Russian Grand Prix,18,324.0,21.5,69.5,1017.0,False,34.7,291,1.6
,4.0,SAI,55,0 days 00:38:33.901000,3.0,1.0,,,0 days 00:00:58.334000,0 days 00:00:55.574000,0 days 00:00:47.280000,0 days 00:39:16.687000,0 days 00:40:12.100000,0 days 00:41:00.354000,192.0,124.0,166.0,91.0,False,SOFT,6.0,False,McLaren,0 days 00:38:18.267000,2019-09-29 11:18:18.559,4,False,,False,False,Russian Grand Prix,18,324.0,21.4,69.4,1017.0,False,34.7,295,1.0
0 days 00:01:42.085000,4.0,SAI,55,0 days 00:41:32.443000,4.0,1.0,,,0 days 00:00:36.450000,0 days 00:00:35.410000,0 days 00:00:30.225000,0 days 00:41:35.819000,0 days 00:42:11.229000,0 days 00:42:41.454000,247.0,291.0,167.0,285.0,True,SOFT,7.0,False,McLaren,0 days 00:40:59.381000,2019-09-29 11:20:59.673,1,False,,False,False,Russian Grand Prix,18,324.0,21.7,68.1,1016.9,False,34.8,311,2.3
0 days 00:01:41.694000,4.0,SAI,55,0 days 00:43:32.441000,5.0,1.0,,,0 days 00:00:36.264000,0 days 00:00:35.376000,0 days 00:00:30.054000,0 days 00:43:17.718000,0 days 00:43:53.094000,0 days 00:44:23.148000,251.0,286.0,164.0,291.0,True,SOFT,8.0,False,McLaren,0 days 00:42:41.466000,2019-09-29 11:22:41.758,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.7,1016.9,False,34.8,290,2.1
0 days 00:01:41.696000,4.0,SAI,55,0 days 00:44:32.442000,6.0,1.0,,,0 days 00:00:36.240000,0 days 00:00:35.312000,0 days 00:00:30.144000,0 days 00:44:59.388000,0 days 00:45:34.700000,0 days 00:46:04.844000,253.0,287.0,164.0,,False,SOFT,9.0,False,McLaren,0 days 00:44:23.160000,2019-09-29 11:24:23.452,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.2,1017.0,False,35.0,251,1.7
0 days 00:01:43.251000,5.0,SAI,55,0 days 00:46:32.438000,7.0,1.0,,,0 days 00:00:37.397000,0 days 00:00:35.616000,0 days 00:00:30.238000,0 days 00:46:42.241000,0 days 00:47:17.857000,0 days 00:47:48.095000,249.0,290.0,163.0,289.0,False,SOFT,10.0,False,McLaren,0 days 00:46:04.856000,2019-09-29 11:26:05.148,1,False,,False,True,Russian Grand Prix,18,324.0,21.9,66.8,1016.9,False,34.9,251,2.3
0 days 00:01:41.446000,5.0,SAI,55,0 days 00:48:32.441000,8.0,1.0,,,0 days 00:00:36.162000,0 days 00:00:35.207000,0 days 00:00:30.077000,0 days 00:48:24.257000,0 days 00:48:59.464000,0 days 00:49:29.541000,253.0,287.0,165.0,293.0,True,SOFT,11.0,False,McLaren,0 days 00:47:48.107000,2019-09-29 11:27:48.399,1,False,,False,True,Russian Grand Prix,18,324.0,21.7,67.5,1017.0,False,34.8,0,2.1
0 days 00:01:41.188000,5.0,SAI,55,0 days 00:49:32.437000,9.0,1.0,,,0 days 00:00:36.134000,0 days 00:00:35.014000,0 days 00:00:30.040000,0 days 00:50:05.675000,0 days 00:50:40.689000,0 days 00:51:10.729000,,287.0,163.0,291.0,True,SOFT,12.0,False,McLaren,0 days 00:49:29.553000,2019-09-29 11:29:29.845,1,False,,False,True,Russian Grand Prix,18,324.0,21.8,67.4,1017.0,False,35.5,343,0.6
0 days 00:01:41.133000,5.0,SAI,55,0 days 00:51:32.624000,10.0,1.0,,,0 days 00:00:36.169000,0 days 00:00:35.062000,0 days 00:00:29.902000,0 days 00:51:46.898000,0 days 00:52:21.960000,0 days 00:52:51.862000,,287.0,163.0,290.0,True,SOFT,13.0,False,McLaren,0 days 00:51:10.741000,2019-09-29 11:31:11.033,1,False,,False,True,Russian Grand Prix,18,324.0,22.3,64.8,1017.0,False,35.6,258,2.2
