LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:00.864000,12.0,KVY,26,0 days 00:34:11.676000,1.0,1.0,,,,0 days 00:00:45.872000,0 days 00:00:38.957000,,0 days 00:35:02.718000,0 days 00:35:41.702000,275.0,260.0,242.0,233.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,False,,False,False,Singapore Grand Prix,23,335.0,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:01:51.077000,12.0,KVY,26,0 days 00:36:11.732000,2.0,1.0,,,0 days 00:00:30.030000,0 days 00:00:43.197000,0 days 00:00:37.850000,0 days 00:36:11.549000,0 days 00:36:54.746000,0 days 00:37:32.596000,294.0,261.0,241.0,281.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 00:35:41.524000,2019-09-22 12:15:42.492,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:01:50.636000,12.0,KVY,26,0 days 00:38:11.617000,3.0,1.0,,,0 days 00:00:29.890000,0 days 00:00:43.110000,0 days 00:00:37.636000,0 days 00:38:02.486000,0 days 00:38:45.596000,0 days 00:39:23.232000,295.0,263.0,244.0,283.0,True,MEDIUM,3.0,True,Toro Rosso,0 days 00:37:32.601000,2019-09-22 12:17:33.569,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:01:50.338000,12.0,KVY,26,0 days 00:40:11.626000,4.0,1.0,,,0 days 00:00:29.865000,0 days 00:00:42.672000,0 days 00:00:37.801000,0 days 00:39:53.097000,0 days 00:40:35.769000,0 days 00:41:13.570000,297.0,272.0,243.0,,True,MEDIUM,4.0,True,Toro Rosso,0 days 00:39:23.237000,2019-09-22 12:19:24.205,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,63.4,1010.7,False,36.9,138,2.7
0 days 00:01:49.875000,12.0,KVY,26,0 days 00:42:11.621000,5.0,1.0,,,0 days 00:00:29.625000,0 days 00:00:42.721000,0 days 00:00:37.529000,0 days 00:41:43.195000,0 days 00:42:25.916000,0 days 00:43:03.445000,309.0,262.0,242.0,282.0,True,MEDIUM,5.0,True,Toro Rosso,0 days 00:41:13.575000,2019-09-22 12:21:14.543,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.2,1010.7,False,36.5,157,2.0
0 days 00:01:49.650000,12.0,KVY,26,0 days 00:43:11.633000,6.0,1.0,,,0 days 00:00:29.817000,0 days 00:00:42.442000,0 days 00:00:37.391000,0 days 00:43:33.262000,0 days 00:44:15.704000,0 days 00:44:53.095000,296.0,262.0,244.0,284.0,True,MEDIUM,6.0,True,Toro Rosso,0 days 00:43:03.450000,2019-09-22 12:23:04.418,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:01:49.195000,12.0,KVY,26,0 days 00:45:11.643000,7.0,1.0,,,0 days 00:00:29.712000,0 days 00:00:42.269000,0 days 00:00:37.214000,0 days 00:45:22.807000,0 days 00:46:05.076000,0 days 00:46:42.290000,295.0,262.0,242.0,282.0,True,MEDIUM,7.0,True,Toro Rosso,0 days 00:44:53.100000,2019-09-22 12:24:54.068,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:01:49.650000,12.0,KVY,26,0 days 00:47:11.621000,8.0,1.0,,,0 days 00:00:29.730000,0 days 00:00:42.579000,0 days 00:00:37.341000,0 days 00:47:12.020000,0 days 00:47:54.599000,0 days 00:48:31.940000,,262.0,244.0,284.0,False,MEDIUM,8.0,True,Toro Rosso,0 days 00:46:42.295000,2019-09-22 12:26:43.263,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:01:49.604000,12.0,KVY,26,0 days 00:49:11.631000,9.0,1.0,,,0 days 00:00:29.678000,0 days 00:00:42.567000,0 days 00:00:37.359000,0 days 00:49:01.618000,0 days 00:49:44.185000,0 days 00:50:21.544000,296.0,266.0,244.0,282.0,False,MEDIUM,9.0,True,Toro Rosso,0 days 00:48:31.945000,2019-09-22 12:28:32.913,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:01:54.629000,14.0,KVY,26,0 days 00:51:11.641000,10.0,1.0,,,0 days 00:00:29.605000,0 days 00:00:44.881000,0 days 00:00:40.143000,0 days 00:50:51.149000,0 days 00:51:36.030000,0 days 00:52:16.173000,297.0,265.0,244.0,283.0,False,MEDIUM,10.0,True,Toro Rosso,0 days 00:50:21.549000,2019-09-22 12:30:22.517,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,66.1,1010.8,False,35.8,183,1.7
