LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:49.604000,1.0,LEC,16,0 days 00:34:11.676000,1.0,1.0,,,,0 days 00:00:41.783000,0 days 00:00:37.214000,,0 days 00:34:53.234000,0 days 00:35:30.580000,294.0,264.0,248.0,192.0,False,SOFT,4.0,False,Ferrari,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,False,,False,False,Singapore Grand Prix,23,335.0,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:01:48.967000,1.0,LEC,16,0 days 00:36:11.732000,2.0,1.0,,,0 days 00:00:29.108000,0 days 00:00:42.321000,0 days 00:00:37.538000,0 days 00:35:59.372000,0 days 00:36:41.693000,0 days 00:37:19.231000,290.0,264.0,250.0,283.0,True,SOFT,5.0,False,Ferrari,0 days 00:35:30.264000,2019-09-22 12:15:31.232,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:01:48.579000,1.0,LEC,16,0 days 00:38:11.617000,3.0,1.0,,,0 days 00:00:28.819000,0 days 00:00:42.467000,0 days 00:00:37.293000,0 days 00:37:48.050000,0 days 00:38:30.517000,0 days 00:39:07.810000,293.0,265.0,249.0,284.0,True,SOFT,6.0,False,Ferrari,0 days 00:37:19.231000,2019-09-22 12:17:20.199,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:01:49.409000,1.0,LEC,16,0 days 00:39:11.614000,4.0,1.0,,,0 days 00:00:28.793000,0 days 00:00:43.064000,0 days 00:00:37.552000,0 days 00:39:36.603000,0 days 00:40:19.667000,0 days 00:40:57.219000,,266.0,248.0,285.0,False,SOFT,7.0,False,Ferrari,0 days 00:39:07.810000,2019-09-22 12:19:08.778,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.2,1010.7,False,36.9,160,1.9
0 days 00:01:49.357000,1.0,LEC,16,0 days 00:41:11.624000,5.0,1.0,,,0 days 00:00:28.719000,0 days 00:00:42.261000,0 days 00:00:38.377000,0 days 00:41:25.938000,0 days 00:42:08.199000,0 days 00:42:46.576000,292.0,266.0,247.0,284.0,False,SOFT,8.0,False,Ferrari,0 days 00:40:57.219000,2019-09-22 12:20:58.187,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.6,1010.6,False,36.5,170,2.0
0 days 00:01:49.685000,1.0,LEC,16,0 days 00:43:11.633000,6.0,1.0,,,0 days 00:00:28.875000,0 days 00:00:42.895000,0 days 00:00:37.915000,0 days 00:43:15.451000,0 days 00:43:58.346000,0 days 00:44:36.261000,,265.0,247.0,,False,SOFT,9.0,False,Ferrari,0 days 00:42:46.576000,2019-09-22 12:22:47.544,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:01:49.298000,1.0,LEC,16,0 days 00:45:11.643000,7.0,1.0,,,0 days 00:00:29.061000,0 days 00:00:42.514000,0 days 00:00:37.723000,0 days 00:45:05.322000,0 days 00:45:47.836000,0 days 00:46:25.559000,293.0,266.0,248.0,,False,SOFT,10.0,False,Ferrari,0 days 00:44:36.261000,2019-09-22 12:24:37.229,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:01:49.570000,1.0,LEC,16,0 days 00:47:11.621000,8.0,1.0,,,0 days 00:00:28.832000,0 days 00:00:42.893000,0 days 00:00:37.845000,0 days 00:46:54.391000,0 days 00:47:37.284000,0 days 00:48:15.129000,,266.0,248.0,285.0,False,SOFT,11.0,False,Ferrari,0 days 00:46:25.559000,2019-09-22 12:26:26.527,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:01:49.773000,1.0,LEC,16,0 days 00:49:11.631000,9.0,1.0,,,0 days 00:00:28.933000,0 days 00:00:43.133000,0 days 00:00:37.707000,0 days 00:48:44.062000,0 days 00:49:27.195000,0 days 00:50:04.902000,,265.0,246.0,,False,SOFT,12.0,False,Ferrari,0 days 00:48:15.129000,2019-09-22 12:28:16.097,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:01:49.677000,1.0,LEC,16,0 days 00:50:11.628000,10.0,1.0,,,0 days 00:00:29.297000,0 days 00:00:43.042000,0 days 00:00:37.338000,0 days 00:50:34.199000,0 days 00:51:17.241000,0 days 00:51:54.579000,292.0,265.0,247.0,284.0,False,SOFT,13.0,False,Ferrari,0 days 00:50:04.902000,2019-09-22 12:30:05.870,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,66.3,1010.8,False,35.7,169,1.9
0 days 00:01:49.283000,1.0,LEC,16,0 days 00:52:11.903000,11.0,1.0,,,0 days 00:00:29.080000,0 days 00:00:42.710000,0 days 00:00:37.493000,0 days 00:52:23.659000,0 days 00:53:06.369000,0 days 00:53:43.862000,293.0,266.0,249.0,285.0,False,SOFT,14.0,False,Ferrari,0 days 00:51:54.579000,2019-09-22 12:31:55.547,1,False,,False,True,Singapore Grand Prix,23,335.0,30.0,67.0,1010.8,False,35.8,162,1.7
0 days 00:01:49.405000,1.0,LEC,16,0 days 00:54:11.928000,12.0,1.0,,,0 days 00:00:29.299000,0 days 00:00:42.433000,0 days 00:00:37.673000,0 days 00:54:13.161000,0 days 00:54:55.594000,0 days 00:55:33.267000,,266.0,244.0,284.0,False,SOFT,15.0,False,Ferrari,0 days 00:53:43.862000,2019-09-22 12:33:44.830,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,66.9,1010.8,False,35.8,203,0.9
0 days 00:01:49.400000,1.0,LEC,16,0 days 00:56:12.109000,13.0,1.0,,,0 days 00:00:29.240000,0 days 00:00:42.576000,0 days 00:00:37.584000,0 days 00:56:02.507000,0 days 00:56:45.083000,0 days 00:57:22.667000,290.0,264.0,244.0,282.0,False,SOFT,16.0,False,Ferrari,0 days 00:55:33.267000,2019-09-22 12:35:34.235,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,67.1,1010.8,False,36.0,130,2.0
0 days 00:01:49.355000,1.0,LEC,16,0 days 00:58:11.916000,14.0,1.0,,,0 days 00:00:29.298000,0 days 00:00:42.661000,0 days 00:00:37.396000,0 days 00:57:51.965000,0 days 00:58:34.626000,0 days 00:59:12.022000,291.0,265.0,245.0,,False,SOFT,17.0,False,Ferrari,0 days 00:57:22.667000,2019-09-22 12:37:23.635,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,67.3,1010.9,False,35.9,183,1.5
0 days 00:01:48.754000,1.0,LEC,16,0 days 01:00:11.645000,15.0,1.0,,,0 days 00:00:29.063000,0 days 00:00:42.519000,0 days 00:00:37.172000,0 days 00:59:41.085000,0 days 01:00:23.604000,0 days 01:01:00.776000,288.0,260.0,246.0,278.0,False,SOFT,18.0,False,Ferrari,0 days 00:59:12.022000,2019-09-22 12:39:12.990,1,False,,False,True,Singapore Grand Prix,23,335.0,30.0,66.6,1010.9,False,36.1,163,1.8
0 days 00:01:48.303000,1.0,LEC,16,0 days 01:01:11.657000,16.0,1.0,,,0 days 00:00:29.303000,0 days 00:00:42.363000,0 days 00:00:36.637000,0 days 01:01:30.079000,0 days 01:02:12.442000,0 days 01:02:49.079000,290.0,264.0,249.0,281.0,True,SOFT,19.0,False,Ferrari,0 days 01:01:00.776000,2019-09-22 12:41:01.744,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,66.5,1010.9,False,36.1,195,1.8
0 days 00:01:47.825000,1.0,LEC,16,0 days 01:03:11.698000,17.0,1.0,,,0 days 00:00:28.968000,0 days 00:00:42.227000,0 days 00:00:36.630000,0 days 01:03:18.047000,0 days 01:04:00.274000,0 days 01:04:36.904000,295.0,266.0,249.0,286.0,True,SOFT,20.0,False,Ferrari,0 days 01:02:49.079000,2019-09-22 12:42:50.047,1,False,,False,True,Singapore Grand Prix,23,335.0,30.0,66.1,1010.9,False,35.6,150,2.0
0 days 00:01:49.011000,1.0,LEC,16,0 days 01:05:11.770000,18.0,1.0,,,0 days 00:00:29.161000,0 days 00:00:42.592000,0 days 00:00:37.258000,0 days 01:05:06.065000,0 days 01:05:48.657000,0 days 01:06:25.915000,,266.0,249.0,287.0,False,SOFT,21.0,False,Ferrari,0 days 01:04:36.904000,2019-09-22 12:44:37.872,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,66.4,1010.9,False,35.8,221,2.0
0 days 00:01:49.610000,1.0,LEC,16,0 days 01:07:11.749000,19.0,1.0,,,0 days 00:00:29.378000,0 days 00:00:42.989000,0 days 00:00:37.243000,0 days 01:06:55.293000,0 days 01:07:38.282000,0 days 01:08:15.525000,,266.0,250.0,,False,SOFT,22.0,False,Ferrari,0 days 01:06:25.915000,2019-09-22 12:46:26.883,1,False,,False,True,Singapore Grand Prix,23,335.0,29.8,65.6,1010.9,False,36.4,133,2.2
0 days 00:01:57.053000,3.0,LEC,16,0 days 01:09:11.821000,20.0,1.0,,0 days 01:10:05.297000,0 days 00:00:29.286000,0 days 00:00:42.721000,0 days 00:00:45.046000,0 days 01:08:44.811000,0 days 01:09:27.532000,0 days 01:10:12.578000,297.0,268.0,,,False,SOFT,23.0,False,Ferrari,0 days 01:08:15.525000,2019-09-22 12:48:16.493,1,False,,False,False,Singapore Grand Prix,23,335.0,29.8,65.6,1011.0,False,36.0,169,1.9
0 days 00:02:07.019000,8.0,LEC,16,0 days 01:11:11.690000,21.0,2.0,0 days 01:10:34.094000,,0 days 00:00:49.534000,0 days 00:00:41.495000,0 days 00:00:35.990000,0 days 01:11:02.112000,0 days 01:11:43.607000,0 days 01:12:19.597000,314.0,269.0,253.0,,False,HARD,1.0,True,Ferrari,0 days 01:10:12.578000,2019-09-22 12:50:13.546,1,False,,False,False,Singapore Grand Prix,23,335.0,29.9,63.9,1011.0,False,35.8,150,1.4
