LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:58.793000,9.0,MAG,20,0 days 00:34:11.676000,1.0,1.0,,,,0 days 00:00:44.700000,0 days 00:00:38.737000,,0 days 00:35:00.753000,0 days 00:35:40.064000,287.0,265.0,243.0,236.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,False,,False,False,Singapore Grand Prix,23,335.0,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:01:50.762000,9.0,MAG,20,0 days 00:36:11.732000,2.0,1.0,,,0 days 00:00:29.986000,0 days 00:00:43.011000,0 days 00:00:37.765000,0 days 00:36:09.455000,0 days 00:36:52.466000,0 days 00:37:30.231000,290.0,261.0,242.0,281.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:39.453000,2019-09-22 12:15:40.421,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:01:50.376000,9.0,MAG,20,0 days 00:38:11.617000,3.0,1.0,,,0 days 00:00:29.692000,0 days 00:00:43.131000,0 days 00:00:37.553000,0 days 00:37:59.923000,0 days 00:38:43.054000,0 days 00:39:20.607000,295.0,263.0,245.0,278.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:37:30.215000,2019-09-22 12:17:31.183,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:01:50.103000,9.0,MAG,20,0 days 00:40:11.626000,4.0,1.0,,,0 days 00:00:29.992000,0 days 00:00:42.620000,0 days 00:00:37.491000,0 days 00:39:50.599000,0 days 00:40:33.219000,0 days 00:41:10.710000,290.0,264.0,242.0,281.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:39:20.591000,2019-09-22 12:19:21.559,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,63.4,1010.7,False,36.9,138,2.7
0 days 00:01:49.542000,9.0,MAG,20,0 days 00:41:11.624000,5.0,1.0,,,0 days 00:00:29.733000,0 days 00:00:42.431000,0 days 00:00:37.378000,0 days 00:41:40.443000,0 days 00:42:22.874000,0 days 00:43:00.252000,,262.0,244.0,,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:41:10.694000,2019-09-22 12:21:11.662,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.6,1010.6,False,36.5,170,2.0
0 days 00:01:49.235000,9.0,MAG,20,0 days 00:43:11.633000,6.0,1.0,,,0 days 00:00:29.553000,0 days 00:00:42.240000,0 days 00:00:37.442000,0 days 00:43:29.805000,0 days 00:44:12.045000,0 days 00:44:49.487000,,262.0,244.0,,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:43:00.236000,2019-09-22 12:23:01.204,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:01:49.401000,9.0,MAG,20,0 days 00:45:11.643000,7.0,1.0,,,0 days 00:00:29.701000,0 days 00:00:42.410000,0 days 00:00:37.290000,0 days 00:45:19.188000,0 days 00:46:01.598000,0 days 00:46:38.888000,289.0,264.0,243.0,,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:44:49.471000,2019-09-22 12:24:50.439,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:01:49.674000,9.0,MAG,20,0 days 00:47:11.621000,8.0,1.0,,,0 days 00:00:29.841000,0 days 00:00:42.584000,0 days 00:00:37.249000,0 days 00:47:08.729000,0 days 00:47:51.313000,0 days 00:48:28.562000,291.0,262.0,245.0,,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:46:38.872000,2019-09-22 12:26:39.840,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:01:49.811000,9.0,MAG,20,0 days 00:49:11.631000,9.0,1.0,,,0 days 00:00:29.956000,0 days 00:00:42.443000,0 days 00:00:37.412000,0 days 00:48:58.518000,0 days 00:49:40.961000,0 days 00:50:18.373000,284.0,260.0,243.0,280.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:48:28.546000,2019-09-22 12:28:29.514,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:01:49.545000,9.0,MAG,20,0 days 00:51:11.641000,10.0,1.0,,,0 days 00:00:29.784000,0 days 00:00:42.572000,0 days 00:00:37.189000,0 days 00:50:48.157000,0 days 00:51:30.729000,0 days 00:52:07.918000,292.0,263.0,243.0,,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:50:18.357000,2019-09-22 12:30:19.325,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,66.1,1010.8,False,35.8,183,1.7
0 days 00:01:49.208000,9.0,MAG,20,0 days 00:52:11.903000,11.0,1.0,,,0 days 00:00:29.710000,0 days 00:00:42.310000,0 days 00:00:37.188000,0 days 00:52:37.628000,0 days 00:53:19.938000,0 days 00:53:57.126000,278.0,262.0,246.0,279.0,True,MEDIUM,11.0,True,Haas F1 Team,0 days 00:52:07.902000,2019-09-22 12:32:08.870,1,False,,False,True,Singapore Grand Prix,23,335.0,30.0,67.0,1010.8,False,35.8,162,1.7
0 days 00:01:49.751000,9.0,MAG,20,0 days 00:54:11.928000,12.0,1.0,,,0 days 00:00:29.892000,0 days 00:00:42.491000,0 days 00:00:37.368000,0 days 00:54:27.018000,0 days 00:55:09.509000,0 days 00:55:46.877000,287.0,261.0,244.0,281.0,False,MEDIUM,12.0,True,Haas F1 Team,0 days 00:53:57.110000,2019-09-22 12:33:58.078,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,66.9,1010.8,False,35.8,203,0.9
0 days 00:01:49.516000,9.0,MAG,20,0 days 00:56:12.109000,13.0,1.0,,,0 days 00:00:29.801000,0 days 00:00:42.425000,0 days 00:00:37.290000,0 days 00:56:16.678000,0 days 00:56:59.103000,0 days 00:57:36.393000,285.0,262.0,244.0,279.0,False,MEDIUM,13.0,True,Haas F1 Team,0 days 00:55:46.861000,2019-09-22 12:35:47.829,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,67.1,1010.8,False,36.0,130,2.0
0 days 00:01:49.439000,9.0,MAG,20,0 days 00:58:11.916000,14.0,1.0,,,0 days 00:00:29.662000,0 days 00:00:42.349000,0 days 00:00:37.428000,0 days 00:58:06.055000,0 days 00:58:48.404000,0 days 00:59:25.832000,281.0,257.0,243.0,281.0,False,MEDIUM,14.0,True,Haas F1 Team,0 days 00:57:36.377000,2019-09-22 12:37:37.345,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,67.3,1010.9,False,35.9,183,1.5
0 days 00:01:49.409000,9.0,MAG,20,0 days 01:00:11.645000,15.0,1.0,,,0 days 00:00:29.822000,0 days 00:00:42.340000,0 days 00:00:37.247000,0 days 00:59:55.654000,0 days 01:00:37.994000,0 days 01:01:15.241000,279.0,257.0,244.0,280.0,False,MEDIUM,15.0,True,Haas F1 Team,0 days 00:59:25.816000,2019-09-22 12:39:26.784,1,False,,False,True,Singapore Grand Prix,23,335.0,30.0,66.6,1010.9,False,36.1,163,1.8
0 days 00:01:49.421000,9.0,MAG,20,0 days 01:02:11.670000,16.0,1.0,,,0 days 00:00:29.706000,0 days 00:00:42.402000,0 days 00:00:37.313000,0 days 01:01:44.947000,0 days 01:02:27.349000,0 days 01:03:04.662000,283.0,257.0,244.0,,False,MEDIUM,16.0,True,Haas F1 Team,0 days 01:01:15.225000,2019-09-22 12:41:16.193,1,False,,False,True,Singapore Grand Prix,23,335.0,30.0,66.8,1010.9,False,35.9,160,2.3
0 days 00:01:49.451000,9.0,MAG,20,0 days 01:03:11.698000,17.0,1.0,,,0 days 00:00:29.641000,0 days 00:00:42.063000,0 days 00:00:37.747000,0 days 01:03:34.303000,0 days 01:04:16.366000,0 days 01:04:54.113000,290.0,263.0,236.0,,False,MEDIUM,17.0,True,Haas F1 Team,0 days 01:03:04.646000,2019-09-22 12:43:05.614,1,False,,False,True,Singapore Grand Prix,23,335.0,30.0,66.1,1010.9,False,35.6,150,2.0
0 days 00:01:57.267000,12.0,MAG,20,0 days 01:05:11.770000,18.0,1.0,,0 days 01:06:44.028000,0 days 00:00:29.888000,0 days 00:00:42.341000,0 days 00:00:45.038000,0 days 01:05:24.001000,0 days 01:06:06.342000,0 days 01:06:51.380000,289.0,263.0,,279.0,False,MEDIUM,18.0,True,Haas F1 Team,0 days 01:04:54.097000,2019-09-22 12:44:55.065,1,False,,False,False,Singapore Grand Prix,23,335.0,29.9,66.4,1010.9,False,35.8,221,2.0
0 days 00:02:07.821000,14.0,MAG,20,0 days 01:07:11.749000,19.0,2.0,0 days 01:07:13.043000,,0 days 00:00:49.577000,0 days 00:00:41.090000,0 days 00:00:37.154000,0 days 01:07:40.957000,0 days 01:08:22.047000,0 days 01:08:59.201000,291.0,262.0,245.0,,False,HARD,1.0,True,Haas F1 Team,0 days 01:06:51.364000,2019-09-22 12:46:52.332,1,False,,False,False,Singapore Grand Prix,23,335.0,29.8,65.6,1010.9,False,36.4,133,2.2
0 days 00:01:47.459000,14.0,MAG,20,0 days 01:09:11.821000,20.0,2.0,,,0 days 00:00:29.375000,0 days 00:00:41.399000,0 days 00:00:36.685000,0 days 01:09:28.576000,0 days 01:10:09.975000,0 days 01:10:46.660000,286.0,263.0,246.0,279.0,True,HARD,2.0,True,Haas F1 Team,0 days 01:08:59.185000,2019-09-22 12:49:00.153,1,False,,False,True,Singapore Grand Prix,23,335.0,29.8,65.6,1011.0,False,36.0,169,1.9
0 days 00:01:48.941000,14.0,MAG,20,0 days 01:11:11.690000,21.0,2.0,,,0 days 00:00:29.384000,0 days 00:00:42.610000,0 days 00:00:36.947000,0 days 01:11:16.044000,0 days 01:11:58.654000,0 days 01:12:35.601000,311.0,266.0,246.0,283.0,False,HARD,3.0,True,Haas F1 Team,0 days 01:10:46.644000,2019-09-22 12:50:47.612,1,False,,False,True,Singapore Grand Prix,23,335.0,29.9,63.9,1011.0,False,35.8,150,1.4
0 days 00:01:48.723000,13.0,MAG,20,0 days 01:13:11.809000,22.0,2.0,,,0 days 00:00:29.458000,0 days 00:00:42.209000,0 days 00:00:37.056000,0 days 01:13:05.059000,0 days 01:13:47.268000,0 days 01:14:24.324000,292.0,262.0,245.0,,False,HARD,4.0,True,Haas F1 Team,0 days 01:12:35.585000,2019-09-22 12:52:36.553,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,63.7,1011.1,False,35.9,156,1.7
