LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:02.205000,14.0,PER,11,0 days 00:34:11.676000,1.0,1.0,,,,0 days 00:00:46.098000,0 days 00:00:39.242000,,0 days 00:35:03.654000,0 days 00:35:43.231000,283.0,269.0,243.0,221.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,False,,False,False,Singapore Grand Prix,23,335.0,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:01:53.048000,14.0,PER,11,0 days 00:36:11.732000,2.0,1.0,,,0 days 00:00:30.061000,0 days 00:00:43.516000,0 days 00:00:39.471000,0 days 00:36:12.921000,0 days 00:36:56.437000,0 days 00:37:35.908000,301.0,270.0,233.0,288.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:35:42.865000,2019-09-22 12:15:43.833,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.8,1010.6,False,36.6,148,1.8
0 days 00:01:52.061000,15.0,PER,11,0 days 00:38:11.617000,3.0,1.0,,,0 days 00:00:30.049000,0 days 00:00:44.100000,0 days 00:00:37.912000,0 days 00:38:05.957000,0 days 00:38:50.057000,0 days 00:39:27.969000,296.0,269.0,233.0,270.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:37:35.913000,2019-09-22 12:17:36.881,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,64.6,1010.7,False,36.6,178,2.4
0 days 00:01:49.709000,15.0,PER,11,0 days 00:40:11.626000,4.0,1.0,,,0 days 00:00:29.690000,0 days 00:00:42.662000,0 days 00:00:37.357000,0 days 00:39:57.659000,0 days 00:40:40.321000,0 days 00:41:17.678000,290.0,264.0,248.0,272.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:39:27.974000,2019-09-22 12:19:28.942,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,63.4,1010.7,False,36.9,138,2.7
0 days 00:01:49.951000,15.0,PER,11,0 days 00:42:11.621000,5.0,1.0,,,0 days 00:00:29.508000,0 days 00:00:42.666000,0 days 00:00:37.777000,0 days 00:41:47.186000,0 days 00:42:29.852000,0 days 00:43:07.629000,298.0,264.0,245.0,280.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:41:17.683000,2019-09-22 12:21:18.651,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.2,1010.7,False,36.5,157,2.0
0 days 00:01:49.642000,15.0,PER,11,0 days 00:43:11.633000,6.0,1.0,,,0 days 00:00:29.462000,0 days 00:00:42.667000,0 days 00:00:37.513000,0 days 00:43:37.091000,0 days 00:44:19.758000,0 days 00:44:57.271000,289.0,267.0,247.0,287.0,True,MEDIUM,6.0,True,Racing Point,0 days 00:43:07.634000,2019-09-22 12:23:08.602,1,False,,False,True,Singapore Grand Prix,23,335.0,30.3,64.5,1010.8,False,36.5,163,2.9
0 days 00:01:49.741000,15.0,PER,11,0 days 00:45:11.643000,7.0,1.0,,,0 days 00:00:29.400000,0 days 00:00:42.922000,0 days 00:00:37.419000,0 days 00:45:26.671000,0 days 00:46:09.593000,0 days 00:46:47.012000,290.0,263.0,246.0,284.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:44:57.276000,2019-09-22 12:24:58.244,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:01:48.462000,15.0,PER,11,0 days 00:47:11.621000,8.0,1.0,,,0 days 00:00:29.562000,0 days 00:00:41.981000,0 days 00:00:36.919000,0 days 00:47:16.574000,0 days 00:47:58.555000,0 days 00:48:35.474000,287.0,263.0,247.0,277.0,True,MEDIUM,8.0,True,Racing Point,0 days 00:46:47.017000,2019-09-22 12:26:47.985,1,False,,False,True,Singapore Grand Prix,23,335.0,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:01:49.264000,15.0,PER,11,0 days 00:49:11.631000,9.0,1.0,,,0 days 00:00:29.720000,0 days 00:00:42.258000,0 days 00:00:37.286000,0 days 00:49:05.194000,0 days 00:49:47.452000,0 days 00:50:24.738000,285.0,263.0,246.0,279.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:48:35.479000,2019-09-22 12:28:36.447,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:01:51.992000,15.0,PER,11,0 days 00:51:11.641000,10.0,1.0,,,0 days 00:00:29.786000,0 days 00:00:43.446000,0 days 00:00:38.760000,0 days 00:50:54.524000,0 days 00:51:37.970000,0 days 00:52:16.730000,290.0,267.0,243.0,278.0,False,MEDIUM,10.0,True,Racing Point,0 days 00:50:24.743000,2019-09-22 12:30:25.711,1,False,,False,True,Singapore Grand Prix,23,335.0,30.1,66.1,1010.8,False,35.8,183,1.7
