Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:11.676000,SAI,55,0 days 00:02:44.711000,1.0,1.0,,0 days 00:36:18.112000,,0 days 00:01:05.706000,0 days 00:01:01.572000,,0 days 00:35:23.825000,0 days 00:36:25.475000,194.0,171.0,,218.0,False,SOFT,4.0,False,McLaren,0 days 00:33:40.429000,2019-09-22 12:13:41.397,1,20.0,False,,False,False,30.2,64.5,1010.6,False,36.7,164,1.4
0 days 00:37:11.666000,SAI,55,,2.0,2.0,0 days 00:37:27.532000,,0 days 00:01:34.483000,0 days 00:00:52.185000,0 days 00:00:41.352000,0 days 00:37:59.932000,0 days 00:38:52.207000,0 days 00:39:33.610000,223.0,271.0,244.0,,False,HARD,1.0,True,McLaren,0 days 00:36:25.397000,2019-09-22 12:16:26.365,1,20.0,False,,False,False,30.2,64.8,1010.5,False,36.6,171,1.9
0 days 00:40:11.626000,SAI,55,0 days 00:01:49.891000,3.0,2.0,,,0 days 00:00:29.640000,0 days 00:00:42.153000,0 days 00:00:38.098000,0 days 00:40:03.055000,0 days 00:40:45.208000,0 days 00:41:23.306000,295.0,277.0,244.0,283.0,True,HARD,2.0,True,McLaren,0 days 00:39:33.415000,2019-09-22 12:19:34.383,1,20.0,False,,False,True,30.2,63.4,1010.7,False,36.9,138,2.7
0 days 00:42:11.621000,SAI,55,0 days 00:01:51.442000,4.0,2.0,,,0 days 00:00:30.116000,0 days 00:00:43.211000,0 days 00:00:38.115000,0 days 00:41:53.422000,0 days 00:42:36.633000,0 days 00:43:14.748000,277.0,276.0,247.0,300.0,False,HARD,3.0,True,McLaren,0 days 00:41:23.306000,2019-09-22 12:21:24.274,1,20.0,False,,False,True,30.3,64.2,1010.7,False,36.5,157,2.0
0 days 00:44:11.630000,SAI,55,0 days 00:01:50.582000,5.0,2.0,,,0 days 00:00:29.742000,0 days 00:00:42.982000,0 days 00:00:37.858000,0 days 00:43:44.490000,0 days 00:44:27.472000,0 days 00:45:05.330000,305.0,274.0,247.0,298.0,False,HARD,4.0,True,McLaren,0 days 00:43:14.748000,2019-09-22 12:23:15.716,1,20.0,False,,False,True,30.2,65.4,1010.8,False,36.4,161,2.0
0 days 00:45:11.643000,SAI,55,0 days 00:01:52.237000,6.0,2.0,,,0 days 00:00:29.577000,0 days 00:00:44.648000,0 days 00:00:38.012000,0 days 00:45:34.907000,0 days 00:46:19.555000,0 days 00:46:57.567000,318.0,268.0,247.0,,False,HARD,5.0,True,McLaren,0 days 00:45:05.330000,2019-09-22 12:25:06.298,1,20.0,False,,False,True,30.2,65.2,1010.7,False,36.4,175,2.0
0 days 00:47:11.621000,SAI,55,0 days 00:01:50.802000,7.0,2.0,,,0 days 00:00:29.783000,0 days 00:00:42.617000,0 days 00:00:38.402000,0 days 00:47:27.350000,0 days 00:48:09.967000,0 days 00:48:48.369000,297.0,276.0,246.0,289.0,False,HARD,6.0,True,McLaren,0 days 00:46:57.567000,2019-09-22 12:26:58.535,1,20.0,False,,False,True,30.2,65.7,1010.9,False,36.3,180,2.1
0 days 00:49:11.631000,SAI,55,0 days 00:01:50.815000,8.0,2.0,,,0 days 00:00:29.767000,0 days 00:00:43.185000,0 days 00:00:37.863000,0 days 00:49:18.136000,0 days 00:50:01.321000,0 days 00:50:39.184000,311.0,277.0,248.0,297.0,False,HARD,7.0,True,McLaren,0 days 00:48:48.369000,2019-09-22 12:28:49.337,1,20.0,False,,False,True,30.1,65.8,1010.8,False,36.2,169,2.1
0 days 00:51:11.641000,SAI,55,0 days 00:01:52.419000,9.0,2.0,,,0 days 00:00:29.533000,0 days 00:00:44.060000,0 days 00:00:38.826000,0 days 00:51:08.717000,0 days 00:51:52.777000,0 days 00:52:31.603000,305.0,256.0,247.0,299.0,False,HARD,8.0,True,McLaren,0 days 00:50:39.184000,2019-09-22 12:30:40.152,1,20.0,False,,False,True,30.1,66.1,1010.8,False,35.8,183,1.7
0 days 00:53:11.822000,SAI,55,0 days 00:01:48.976000,10.0,2.0,,,0 days 00:00:29.537000,0 days 00:00:42.067000,0 days 00:00:37.372000,0 days 00:53:01.140000,0 days 00:53:43.207000,0 days 00:54:20.579000,296.0,267.0,247.0,285.0,True,HARD,9.0,True,McLaren,0 days 00:52:31.603000,2019-09-22 12:32:32.571,1,20.0,False,,False,True,30.0,67.0,1010.8,False,35.8,200,1.7
