LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:43.029000,20.0,RAI,7,0 days 00:33:14.669000,1.0,1.0,,,,0 days 00:00:42.360000,0 days 00:00:29.146000,,0 days 00:34:20.991000,0 days 00:34:50.152000,250.0,248.0,270.0,306.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:06.785000,2019-05-12 13:13:06.839,2,False,,False,False,Spanish Grand Prix,16,303.0,19.8,58.3,1007.1,False,41.8,224,1.4
0 days 00:01:25.550000,20.0,RAI,7,0 days 00:35:14.697000,2.0,1.0,,,0 days 00:00:24.121000,0 days 00:00:31.941000,0 days 00:00:29.488000,0 days 00:35:14.170000,0 days 00:35:46.111000,0 days 00:36:15.599000,271.0,259.0,275.0,300.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:34:50.031000,2019-05-12 13:14:50.085,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,58.7,1007.0,False,41.8,95,2.2
0 days 00:01:26.653000,19.0,RAI,7,0 days 00:37:14.727000,3.0,1.0,,,0 days 00:00:24.261000,0 days 00:00:32.715000,0 days 00:00:29.677000,0 days 00:36:39.860000,0 days 00:37:12.575000,0 days 00:37:42.252000,265.0,233.0,280.0,308.0,False,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:36:15.581000,2019-05-12 13:16:15.635,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.1,1007.1,False,41.8,28,3.0
0 days 00:01:26.605000,19.0,RAI,7,0 days 00:38:14.743000,4.0,1.0,,,0 days 00:00:24.028000,0 days 00:00:32.735000,0 days 00:00:29.842000,0 days 00:38:06.280000,0 days 00:38:39.015000,0 days 00:39:08.857000,257.0,234.0,285.0,327.0,False,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:37:42.234000,2019-05-12 13:17:42.288,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,57.5,1007.1,False,41.8,178,1.5
0 days 00:01:24.316000,18.0,RAI,7,0 days 00:39:14.757000,5.0,1.0,,,0 days 00:00:23.280000,0 days 00:00:32.116000,0 days 00:00:28.920000,0 days 00:39:32.137000,0 days 00:40:04.253000,0 days 00:40:33.173000,268.0,257.0,272.0,323.0,True,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:39:08.839000,2019-05-12 13:19:08.893,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.4,1007.0,False,41.8,328,2.2
0 days 00:01:25.007000,17.0,RAI,7,0 days 00:41:14.786000,6.0,1.0,,,0 days 00:00:23.905000,0 days 00:00:32.127000,0 days 00:00:28.975000,0 days 00:40:57.078000,0 days 00:41:29.205000,0 days 00:41:58.180000,272.0,251.0,271.0,304.0,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:40:33.155000,2019-05-12 13:20:33.209,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,59.6,1007.0,False,41.3,355,2.5
0 days 00:01:24.866000,17.0,RAI,7,0 days 00:42:14.803000,7.0,1.0,,,0 days 00:00:23.846000,0 days 00:00:31.964000,0 days 00:00:29.056000,0 days 00:42:22.026000,0 days 00:42:53.990000,0 days 00:43:23.046000,276.0,260.0,273.0,,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:41:58.162000,2019-05-12 13:21:58.216,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.1,1007.1,False,41.4,6,2.3
0 days 00:01:24.385000,17.0,RAI,7,0 days 00:44:14.838000,8.0,1.0,,,0 days 00:00:23.837000,0 days 00:00:31.783000,0 days 00:00:28.765000,0 days 00:43:46.883000,0 days 00:44:18.666000,0 days 00:44:47.431000,274.0,261.0,275.0,303.0,False,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:43:23.028000,2019-05-12 13:23:23.082,1,False,,False,True,Spanish Grand Prix,16,303.0,20.0,58.3,1007.0,False,41.2,346,2.6
0 days 00:01:24.760000,17.0,RAI,7,0 days 00:45:14.918000,9.0,1.0,,,0 days 00:00:23.753000,0 days 00:00:31.818000,0 days 00:00:29.189000,0 days 00:45:11.184000,0 days 00:45:43.002000,0 days 00:46:12.191000,276.0,263.0,274.0,304.0,False,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:44:47.413000,2019-05-12 13:24:47.467,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1007.0,False,41.6,63,2.2
0 days 00:01:24.716000,17.0,RAI,7,0 days 00:46:15.034000,10.0,1.0,,,0 days 00:00:23.798000,0 days 00:00:31.825000,0 days 00:00:29.093000,0 days 00:46:35.989000,0 days 00:47:07.814000,0 days 00:47:36.907000,,268.0,275.0,303.0,False,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:46:12.173000,2019-05-12 13:26:12.227,1,False,,False,True,Spanish Grand Prix,16,303.0,19.9,59.5,1006.9,False,41.4,31,2.6
