LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:36.721000,14.0,STR,18,0 days 00:33:14.669000,1.0,1.0,,,,0 days 00:00:34.787000,0 days 00:00:30.797000,,0 days 00:34:12.943000,0 days 00:34:43.886000,228.0,209.0,278.0,296.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:06.785000,2019-05-12 13:13:06.839,2,False,,False,False,Spanish Grand Prix,16,303.0,19.8,58.3,1007.1,False,41.8,224,1.4
0 days 00:01:26.917000,14.0,STR,18,0 days 00:35:14.697000,2.0,1.0,,,0 days 00:00:24.573000,0 days 00:00:32.677000,0 days 00:00:29.667000,0 days 00:35:08.301000,0 days 00:35:40.978000,0 days 00:36:10.645000,235.0,234.0,277.0,324.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:43.723000,2019-05-12 13:14:43.777,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,58.7,1007.0,False,41.8,95,2.2
0 days 00:01:25.962000,14.0,STR,18,0 days 00:36:14.712000,3.0,1.0,,,0 days 00:00:24.081000,0 days 00:00:32.316000,0 days 00:00:29.565000,0 days 00:36:34.726000,0 days 00:37:07.042000,0 days 00:37:36.607000,247.0,235.0,282.0,314.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:10.640000,2019-05-12 13:16:10.694,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.0,1007.0,False,42.0,5,1.6
0 days 00:01:25.340000,14.0,STR,18,0 days 00:38:14.743000,4.0,1.0,,,0 days 00:00:23.687000,0 days 00:00:32.174000,0 days 00:00:29.479000,0 days 00:38:00.294000,0 days 00:38:32.468000,0 days 00:39:01.947000,257.0,241.0,276.0,329.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:37:36.602000,2019-05-12 13:17:36.656,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,57.5,1007.1,False,41.8,178,1.5
0 days 00:01:25.231000,14.0,STR,18,0 days 00:39:14.757000,5.0,1.0,,,0 days 00:00:23.879000,0 days 00:00:32.046000,0 days 00:00:29.306000,0 days 00:39:25.826000,0 days 00:39:57.872000,0 days 00:40:27.178000,263.0,253.0,276.0,312.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:39:01.942000,2019-05-12 13:19:01.996,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,58.4,1007.0,False,41.8,328,2.2
0 days 00:01:25.193000,14.0,STR,18,0 days 00:41:14.786000,6.0,1.0,,,0 days 00:00:23.811000,0 days 00:00:31.960000,0 days 00:00:29.422000,0 days 00:40:50.989000,0 days 00:41:22.949000,0 days 00:41:52.371000,260.0,253.0,275.0,,True,MEDIUM,6.0,True,Racing Point,0 days 00:40:27.173000,2019-05-12 13:20:27.227,1,False,,False,True,Spanish Grand Prix,16,303.0,19.7,59.6,1007.0,False,41.3,355,2.5
0 days 00:01:25.298000,14.0,STR,18,0 days 00:42:14.803000,7.0,1.0,,,0 days 00:00:23.924000,0 days 00:00:31.901000,0 days 00:00:29.473000,0 days 00:42:16.295000,0 days 00:42:48.196000,0 days 00:43:17.669000,,256.0,275.0,309.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:41:52.366000,2019-05-12 13:21:52.420,1,False,,False,True,Spanish Grand Prix,16,303.0,19.8,59.1,1007.1,False,41.4,6,2.3
0 days 00:01:25.238000,14.0,STR,18,0 days 00:44:14.838000,8.0,1.0,,,0 days 00:00:23.822000,0 days 00:00:31.968000,0 days 00:00:29.448000,0 days 00:43:41.491000,0 days 00:44:13.459000,0 days 00:44:42.907000,,248.0,275.0,,False,MEDIUM,8.0,True,Racing Point,0 days 00:43:17.664000,2019-05-12 13:23:17.718,1,False,,False,True,Spanish Grand Prix,16,303.0,20.0,58.3,1007.0,False,41.2,346,2.6
0 days 00:01:25.518000,14.0,STR,18,0 days 00:45:14.918000,9.0,1.0,,,0 days 00:00:24.389000,0 days 00:00:31.820000,0 days 00:00:29.309000,0 days 00:45:07.296000,0 days 00:45:39.116000,0 days 00:46:08.425000,262.0,257.0,275.0,311.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:44:42.902000,2019-05-12 13:24:42.956,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.8,1007.0,False,41.6,63,2.2
0 days 00:01:24.894000,14.0,STR,18,0 days 00:46:15.034000,10.0,1.0,,,0 days 00:00:23.854000,0 days 00:00:31.913000,0 days 00:00:29.127000,0 days 00:46:32.279000,0 days 00:47:04.192000,0 days 00:47:33.319000,263.0,255.0,275.0,307.0,True,MEDIUM,10.0,True,Racing Point,0 days 00:46:08.420000,2019-05-12 13:26:08.474,1,False,,False,True,Spanish Grand Prix,16,303.0,19.9,59.5,1006.9,False,41.4,31,2.6
0 days 00:01:24.643000,14.0,STR,18,0 days 00:48:14.892000,11.0,1.0,,,0 days 00:00:23.732000,0 days 00:00:31.707000,0 days 00:00:29.204000,0 days 00:47:57.051000,0 days 00:48:28.758000,0 days 00:48:57.962000,264.0,252.0,275.0,,True,MEDIUM,11.0,True,Racing Point,0 days 00:47:33.314000,2019-05-12 13:27:33.368,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,58.7,1006.9,False,41.3,27,2.4
0 days 00:01:24.514000,14.0,STR,18,0 days 00:49:14.908000,12.0,1.0,,,0 days 00:00:23.697000,0 days 00:00:31.661000,0 days 00:00:29.156000,0 days 00:49:21.659000,0 days 00:49:53.320000,0 days 00:50:22.476000,269.0,249.0,275.0,308.0,True,MEDIUM,12.0,True,Racing Point,0 days 00:48:57.957000,2019-05-12 13:28:58.011,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,58.9,1006.9,False,41.4,33,3.7
0 days 00:01:24.228000,14.0,STR,18,0 days 00:51:14.938000,13.0,1.0,,,0 days 00:00:23.696000,0 days 00:00:31.624000,0 days 00:00:28.908000,0 days 00:50:46.172000,0 days 00:51:17.796000,0 days 00:51:46.704000,268.0,260.0,275.0,307.0,True,MEDIUM,13.0,True,Racing Point,0 days 00:50:22.471000,2019-05-12 13:30:22.525,1,False,,False,True,Spanish Grand Prix,16,303.0,20.3,57.3,1006.8,False,41.1,27,2.9
0 days 00:01:24.409000,14.0,STR,18,0 days 00:52:14.953000,14.0,1.0,,,0 days 00:00:23.655000,0 days 00:00:31.715000,0 days 00:00:29.039000,0 days 00:52:10.359000,0 days 00:52:42.074000,0 days 00:53:11.113000,260.0,260.0,275.0,308.0,False,MEDIUM,14.0,True,Racing Point,0 days 00:51:46.699000,2019-05-12 13:31:46.753,1,False,,False,True,Spanish Grand Prix,16,303.0,20.2,57.4,1006.9,False,40.9,11,2.9
