LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:47.505000,8.0,GAS,10,0 days 00:33:24.307000,1.0,1.0,,,,0 days 00:00:41.749000,0 days 00:00:34.736000,,0 days 00:34:36.561000,0 days 00:35:11.442000,194.0,179.0,203.0,289.0,False,SOFT,4.0,False,Toro Rosso,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,False,,False,False,United States Grand Prix,20,0.0,20.9,24.6,1001.9,False,28.7,149,3.0
0 days 00:01:44.253000,8.0,GAS,10,0 days 00:35:24.311000,2.0,1.0,,,0 days 00:00:28.497000,0 days 00:00:41.506000,0 days 00:00:34.250000,0 days 00:35:39.752000,0 days 00:36:21.258000,0 days 00:36:55.508000,200.0,179.0,202.0,306.0,True,SOFT,5.0,False,Toro Rosso,0 days 00:35:11.282000,2019-11-03 19:15:11.998,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.0,1001.9,False,29.0,157,2.7
0 days 00:01:43.246000,8.0,GAS,10,0 days 00:37:24.313000,3.0,1.0,,,0 days 00:00:27.999000,0 days 00:00:40.864000,0 days 00:00:34.383000,0 days 00:37:23.507000,0 days 00:38:04.371000,0 days 00:38:38.754000,203.0,178.0,202.0,310.0,True,SOFT,6.0,False,Toro Rosso,0 days 00:36:55.535000,2019-11-03 19:16:56.251,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.9,False,28.9,194,3.2
0 days 00:01:42.794000,8.0,GAS,10,0 days 00:39:24.325000,4.0,1.0,,,0 days 00:00:27.885000,0 days 00:00:40.889000,0 days 00:00:34.020000,0 days 00:39:06.639000,0 days 00:39:47.528000,0 days 00:40:21.548000,205.0,180.0,203.0,296.0,True,SOFT,7.0,False,Toro Rosso,0 days 00:38:38.781000,2019-11-03 19:18:39.497,1,False,,False,True,United States Grand Prix,20,0.0,21.3,24.5,1001.9,False,29.2,180,3.0
0 days 00:01:42.481000,8.0,GAS,10,0 days 00:40:24.346000,5.0,1.0,,,0 days 00:00:27.877000,0 days 00:00:40.634000,0 days 00:00:33.970000,0 days 00:40:49.425000,0 days 00:41:30.059000,0 days 00:42:04.029000,202.0,180.0,203.0,296.0,True,SOFT,8.0,False,Toro Rosso,0 days 00:40:21.575000,2019-11-03 19:20:22.291,1,False,,False,True,United States Grand Prix,20,0.0,21.1,24.8,1001.8,False,29.0,268,1.6
0 days 00:01:42.402000,8.0,GAS,10,0 days 00:42:24.362000,6.0,1.0,,,0 days 00:00:27.714000,0 days 00:00:40.762000,0 days 00:00:33.926000,0 days 00:42:31.743000,0 days 00:43:12.505000,0 days 00:43:46.431000,205.0,179.0,201.0,296.0,True,SOFT,9.0,False,Toro Rosso,0 days 00:42:04.056000,2019-11-03 19:22:04.772,1,False,,False,True,United States Grand Prix,20,0.0,21.2,25.0,1001.7,False,29.0,54,1.4
0 days 00:01:43.118000,8.0,GAS,10,0 days 00:44:24.402000,7.0,1.0,,,0 days 00:00:27.858000,0 days 00:00:41.123000,0 days 00:00:34.137000,0 days 00:44:14.289000,0 days 00:44:55.412000,0 days 00:45:29.549000,197.0,179.0,202.0,292.0,False,SOFT,10.0,False,Toro Rosso,0 days 00:43:46.458000,2019-11-03 19:23:47.174,1,False,,False,True,United States Grand Prix,20,0.0,21.6,23.8,1001.7,False,29.5,132,1.4
0 days 00:01:43.406000,7.0,GAS,10,0 days 00:46:24.420000,8.0,1.0,,,0 days 00:00:27.896000,0 days 00:00:41.290000,0 days 00:00:34.220000,0 days 00:45:57.445000,0 days 00:46:38.735000,0 days 00:47:12.955000,202.0,178.0,202.0,291.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:45:29.576000,2019-11-03 19:25:30.292,2,False,,False,True,United States Grand Prix,20,0.0,21.9,23.3,1001.7,False,29.4,132,1.4
0 days 00:01:43.190000,7.0,GAS,10,0 days 00:47:24.449000,9.0,1.0,,,0 days 00:00:27.939000,0 days 00:00:41.189000,0 days 00:00:34.062000,0 days 00:47:40.894000,0 days 00:48:22.083000,0 days 00:48:56.145000,201.0,177.0,201.0,291.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:47:12.982000,2019-11-03 19:27:13.698,2,False,,False,True,United States Grand Prix,20,0.0,21.7,23.2,1001.7,False,29.3,125,2.9
0 days 00:01:43.390000,7.0,GAS,10,0 days 00:49:24.435000,10.0,1.0,,,0 days 00:00:28.044000,0 days 00:00:41.271000,0 days 00:00:34.075000,0 days 00:49:24.189000,0 days 00:50:05.460000,0 days 00:50:39.535000,190.0,178.0,201.0,291.0,False,SOFT,13.0,False,Toro Rosso,0 days 00:48:56.172000,2019-11-03 19:28:56.888,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.8,False,29.3,269,3.2
0 days 00:01:43.658000,7.0,GAS,10,0 days 00:51:24.436000,11.0,1.0,,,0 days 00:00:27.909000,0 days 00:00:41.571000,0 days 00:00:34.178000,0 days 00:51:07.444000,0 days 00:51:49.015000,0 days 00:52:23.193000,198.0,178.0,202.0,287.0,False,SOFT,14.0,False,Toro Rosso,0 days 00:50:39.562000,2019-11-03 19:30:40.278,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.7,False,29.1,177,1.8
0 days 00:01:43.363000,7.0,GAS,10,0 days 00:52:24.436000,12.0,1.0,,,0 days 00:00:27.929000,0 days 00:00:41.244000,0 days 00:00:34.190000,0 days 00:52:51.122000,0 days 00:53:32.366000,0 days 00:54:06.556000,199.0,179.0,203.0,289.0,False,SOFT,15.0,False,Toro Rosso,0 days 00:52:23.220000,2019-11-03 19:32:23.936,1,False,,False,True,United States Grand Prix,20,0.0,21.2,24.6,1001.6,False,29.1,111,2.0
0 days 00:01:43.042000,7.0,GAS,10,0 days 00:54:24.627000,13.0,1.0,,,0 days 00:00:27.980000,0 days 00:00:41.080000,0 days 00:00:33.982000,0 days 00:54:34.536000,0 days 00:55:15.616000,0 days 00:55:49.598000,,178.0,203.0,289.0,False,SOFT,16.0,False,Toro Rosso,0 days 00:54:06.583000,2019-11-03 19:34:07.299,1,False,,False,True,United States Grand Prix,20,0.0,21.4,25.5,1001.5,False,29.3,359,2.5
0 days 00:01:42.958000,7.0,GAS,10,0 days 00:56:24.787000,14.0,1.0,,,0 days 00:00:28.003000,0 days 00:00:40.859000,0 days 00:00:34.096000,0 days 00:56:17.601000,0 days 00:56:58.460000,0 days 00:57:32.556000,200.0,182.0,204.0,291.0,False,SOFT,17.0,False,Toro Rosso,0 days 00:55:49.625000,2019-11-03 19:35:50.341,1,False,,False,True,United States Grand Prix,20,0.0,21.6,25.1,1001.4,False,29.2,116,1.1
0 days 00:01:43.024000,7.0,GAS,10,0 days 00:58:24.457000,15.0,1.0,,,0 days 00:00:27.896000,0 days 00:00:40.998000,0 days 00:00:34.130000,0 days 00:58:00.452000,0 days 00:58:41.450000,0 days 00:59:15.580000,,178.0,204.0,293.0,False,SOFT,18.0,False,Toro Rosso,0 days 00:57:32.583000,2019-11-03 19:37:33.299,1,False,,False,True,United States Grand Prix,20,0.0,21.8,25.7,1001.4,False,29.6,230,3.3
0 days 00:01:43.061000,7.0,GAS,10,0 days 00:59:24.435000,16.0,1.0,,,0 days 00:00:27.941000,0 days 00:00:40.999000,0 days 00:00:34.121000,0 days 00:59:43.521000,0 days 01:00:24.520000,0 days 01:00:58.641000,198.0,180.0,202.0,293.0,False,SOFT,19.0,False,Toro Rosso,0 days 00:59:15.607000,2019-11-03 19:39:16.323,1,False,,False,True,United States Grand Prix,20,0.0,21.8,26.1,1001.5,False,29.4,337,2.8
0 days 00:01:43.213000,7.0,GAS,10,0 days 01:01:24.454000,17.0,1.0,,,0 days 00:00:27.948000,0 days 00:00:41.013000,0 days 00:00:34.252000,0 days 01:01:26.589000,0 days 01:02:07.602000,0 days 01:02:41.854000,192.0,181.0,203.0,292.0,False,SOFT,20.0,False,Toro Rosso,0 days 01:00:58.668000,2019-11-03 19:40:59.384,1,False,,False,True,United States Grand Prix,20,0.0,21.6,27.7,1001.5,False,29.2,151,3.2
0 days 00:01:43.566000,7.0,GAS,10,0 days 01:03:24.448000,18.0,1.0,,,0 days 00:00:27.980000,0 days 00:00:41.226000,0 days 00:00:34.360000,0 days 01:03:09.834000,0 days 01:03:51.060000,0 days 01:04:25.420000,191.0,180.0,202.0,293.0,False,SOFT,21.0,False,Toro Rosso,0 days 01:02:41.881000,2019-11-03 19:42:42.597,1,False,,False,True,United States Grand Prix,20,0.0,21.5,28.1,1001.4,False,29.1,163,1.1
0 days 00:01:43.938000,7.0,GAS,10,0 days 01:05:24.464000,19.0,1.0,,0 days 01:06:08.465000,0 days 00:00:28.163000,0 days 00:00:41.224000,0 days 00:00:34.551000,0 days 01:04:53.583000,0 days 01:05:34.807000,0 days 01:06:09.358000,193.0,178.0,,296.0,False,SOFT,22.0,False,Toro Rosso,0 days 01:04:25.447000,2019-11-03 19:44:26.163,1,False,,False,False,United States Grand Prix,20,0.0,21.8,27.5,1001.3,False,29.5,155,2.8
0 days 00:02:03.185000,12.0,GAS,10,0 days 01:06:24.464000,20.0,2.0,0 days 01:06:32.654000,,0 days 00:00:48.405000,0 days 00:00:40.886000,0 days 00:00:33.894000,0 days 01:06:57.763000,0 days 01:07:38.649000,0 days 01:08:12.543000,198.0,180.0,204.0,291.0,False,HARD,1.0,True,Toro Rosso,0 days 01:06:09.385000,2019-11-03 19:46:10.101,1,False,,False,False,United States Grand Prix,20,0.0,21.8,28.0,1001.3,False,29.5,74,1.8
0 days 00:01:41.569000,11.0,GAS,10,0 days 01:08:24.469000,21.0,2.0,,,0 days 00:00:27.534000,0 days 00:00:40.366000,0 days 00:00:33.669000,0 days 01:08:40.077000,0 days 01:09:20.443000,0 days 01:09:54.112000,207.0,180.0,203.0,296.0,True,HARD,2.0,True,Toro Rosso,0 days 01:08:12.570000,2019-11-03 19:48:13.286,1,False,,False,True,United States Grand Prix,20,0.0,22.0,28.4,1001.3,False,29.5,154,1.4
