LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:53.845000,19.0,KUB,88,0 days 00:33:24.307000,1.0,1.0,,,,0 days 00:00:44.416000,0 days 00:00:36.262000,,0 days 00:34:41.456000,0 days 00:35:17.787000,185.0,176.0,199.0,303.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,False,,False,False,United States Grand Prix,20,0.0,20.9,24.6,1001.9,False,28.7,149,3.0
0 days 00:01:46.284000,18.0,KUB,88,0 days 00:35:24.311000,2.0,1.0,,,0 days 00:00:29.176000,0 days 00:00:42.299000,0 days 00:00:34.809000,0 days 00:35:46.785000,0 days 00:36:29.084000,0 days 00:37:03.893000,194.0,174.0,202.0,293.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:17.622000,2019-11-03 19:15:18.338,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.0,1001.9,False,29.0,157,2.7
0 days 00:01:45.047000,18.0,KUB,88,0 days 00:37:24.313000,3.0,1.0,,,0 days 00:00:28.413000,0 days 00:00:41.815000,0 days 00:00:34.819000,0 days 00:37:32.306000,0 days 00:38:14.121000,0 days 00:38:48.940000,,177.0,201.0,290.0,True,MEDIUM,3.0,True,Williams,0 days 00:37:03.906000,2019-11-03 19:17:04.622,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.9,False,28.9,194,3.2
0 days 00:01:44.695000,18.0,KUB,88,0 days 00:39:24.325000,4.0,1.0,,,0 days 00:00:28.136000,0 days 00:00:41.648000,0 days 00:00:34.911000,0 days 00:39:17.076000,0 days 00:39:58.724000,0 days 00:40:33.635000,201.0,175.0,202.0,297.0,True,MEDIUM,4.0,True,Williams,0 days 00:38:48.953000,2019-11-03 19:18:49.669,1,False,,False,True,United States Grand Prix,20,0.0,21.3,24.5,1001.9,False,29.2,180,3.0
0 days 00:01:44.602000,18.0,KUB,88,0 days 00:41:24.360000,5.0,1.0,,,0 days 00:00:28.055000,0 days 00:00:41.559000,0 days 00:00:34.988000,0 days 00:41:01.690000,0 days 00:41:43.249000,0 days 00:42:18.237000,202.0,170.0,201.0,295.0,True,MEDIUM,5.0,True,Williams,0 days 00:40:33.648000,2019-11-03 19:20:34.364,1,False,,False,True,United States Grand Prix,20,0.0,21.2,25.0,1001.8,False,29.0,270,2.3
0 days 00:01:45.802000,19.0,KUB,88,0 days 00:42:24.362000,6.0,1.0,,,0 days 00:00:28.295000,0 days 00:00:42.052000,0 days 00:00:35.455000,0 days 00:42:46.532000,0 days 00:43:28.584000,0 days 00:44:04.039000,197.0,177.0,203.0,298.0,False,MEDIUM,6.0,True,Williams,0 days 00:42:18.250000,2019-11-03 19:22:18.966,1,False,,False,True,United States Grand Prix,20,0.0,21.2,25.0,1001.7,False,29.0,54,1.4
0 days 00:01:46.033000,20.0,KUB,88,0 days 00:44:24.402000,7.0,1.0,,,0 days 00:00:28.311000,0 days 00:00:42.245000,0 days 00:00:35.477000,0 days 00:44:32.350000,0 days 00:45:14.595000,0 days 00:45:50.072000,195.0,175.0,200.0,293.0,False,MEDIUM,7.0,True,Williams,0 days 00:44:04.052000,2019-11-03 19:24:04.768,1,False,,False,True,United States Grand Prix,20,0.0,21.6,23.8,1001.7,False,29.5,132,1.4
0 days 00:01:46.003000,19.0,KUB,88,0 days 00:46:24.420000,8.0,1.0,,,0 days 00:00:28.468000,0 days 00:00:42.220000,0 days 00:00:35.315000,0 days 00:46:18.540000,0 days 00:47:00.760000,0 days 00:47:36.075000,194.0,175.0,201.0,285.0,False,MEDIUM,8.0,True,Williams,0 days 00:45:50.085000,2019-11-03 19:25:50.801,2,False,,False,True,United States Grand Prix,20,0.0,21.9,23.3,1001.7,False,29.4,132,1.4
0 days 00:01:46.506000,19.0,KUB,88,0 days 00:48:24.434000,9.0,1.0,,,0 days 00:00:28.765000,0 days 00:00:42.531000,0 days 00:00:35.210000,0 days 00:48:04.840000,0 days 00:48:47.371000,0 days 00:49:22.581000,196.0,176.0,201.0,284.0,False,MEDIUM,9.0,True,Williams,0 days 00:47:36.088000,2019-11-03 19:27:36.804,2,False,,False,True,United States Grand Prix,20,0.0,21.5,23.2,1001.7,False,29.3,150,3.0
0 days 00:01:46.208000,18.0,KUB,88,0 days 00:49:24.435000,10.0,1.0,,,0 days 00:00:28.619000,0 days 00:00:42.351000,0 days 00:00:35.238000,0 days 00:49:51.200000,0 days 00:50:33.551000,0 days 00:51:08.789000,200.0,175.0,198.0,284.0,False,MEDIUM,10.0,True,Williams,0 days 00:49:22.594000,2019-11-03 19:29:23.310,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.8,False,29.3,269,3.2
