LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:51.478000,15.0,KVY,26,0 days 00:33:24.307000,1.0,1.0,,,,0 days 00:00:43.306000,0 days 00:00:35.331000,,0 days 00:34:40.014000,0 days 00:35:15.726000,173.0,172.0,202.0,301.0,False,HARD,1.0,True,Toro Rosso,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,False,,False,False,United States Grand Prix,20,0.0,20.9,24.6,1001.9,False,28.7,149,3.0
0 days 00:01:44.754000,14.0,KVY,26,0 days 00:35:24.311000,2.0,1.0,,,0 days 00:00:28.485000,0 days 00:00:41.524000,0 days 00:00:34.745000,0 days 00:35:43.719000,0 days 00:36:25.243000,0 days 00:36:59.988000,204.0,177.0,202.0,297.0,True,HARD,2.0,True,Toro Rosso,0 days 00:35:15.255000,2019-11-03 19:15:15.971,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.0,1001.9,False,29.0,157,2.7
0 days 00:01:43.710000,14.0,KVY,26,0 days 00:37:24.313000,3.0,1.0,,,0 days 00:00:28.255000,0 days 00:00:40.916000,0 days 00:00:34.539000,0 days 00:37:28.243000,0 days 00:38:09.159000,0 days 00:38:43.698000,197.0,175.0,203.0,328.0,True,HARD,3.0,True,Toro Rosso,0 days 00:37:00.009000,2019-11-03 19:17:00.725,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.9,False,28.9,194,3.2
0 days 00:01:43.300000,13.0,KVY,26,0 days 00:39:24.325000,4.0,1.0,,,0 days 00:00:27.998000,0 days 00:00:41.121000,0 days 00:00:34.181000,0 days 00:39:11.696000,0 days 00:39:52.817000,0 days 00:40:26.998000,201.0,177.0,202.0,327.0,True,HARD,4.0,True,Toro Rosso,0 days 00:38:43.719000,2019-11-03 19:18:44.435,1,False,,False,True,United States Grand Prix,20,0.0,21.3,24.5,1001.9,False,29.2,180,3.0
0 days 00:01:43.204000,13.0,KVY,26,0 days 00:41:24.360000,5.0,1.0,,,0 days 00:00:28.093000,0 days 00:00:40.725000,0 days 00:00:34.386000,0 days 00:40:55.091000,0 days 00:41:35.816000,0 days 00:42:10.202000,202.0,179.0,201.0,299.0,True,HARD,5.0,True,Toro Rosso,0 days 00:40:27.019000,2019-11-03 19:20:27.735,1,False,,False,True,United States Grand Prix,20,0.0,21.2,25.0,1001.8,False,29.0,270,2.3
0 days 00:01:43.288000,13.0,KVY,26,0 days 00:42:24.362000,6.0,1.0,,,0 days 00:00:27.997000,0 days 00:00:41,0 days 00:00:34.291000,0 days 00:42:38.199000,0 days 00:43:19.199000,0 days 00:43:53.490000,195.0,178.0,201.0,300.0,False,HARD,6.0,True,Toro Rosso,0 days 00:42:10.223000,2019-11-03 19:22:10.939,1,False,,False,True,United States Grand Prix,20,0.0,21.2,25.0,1001.7,False,29.0,54,1.4
0 days 00:01:43.136000,13.0,KVY,26,0 days 00:44:24.402000,7.0,1.0,,,0 days 00:00:28.017000,0 days 00:00:40.640000,0 days 00:00:34.479000,0 days 00:44:21.507000,0 days 00:45:02.147000,0 days 00:45:36.626000,194.0,176.0,204.0,317.0,True,HARD,7.0,True,Toro Rosso,0 days 00:43:53.511000,2019-11-03 19:23:54.227,1,False,,False,True,United States Grand Prix,20,0.0,21.6,23.8,1001.7,False,29.5,132,1.4
0 days 00:01:43.754000,12.0,KVY,26,0 days 00:46:24.420000,8.0,1.0,,,0 days 00:00:27.787000,0 days 00:00:40.947000,0 days 00:00:35.020000,0 days 00:46:04.413000,0 days 00:46:45.360000,0 days 00:47:20.380000,199.0,178.0,202.0,319.0,False,HARD,8.0,True,Toro Rosso,0 days 00:45:36.647000,2019-11-03 19:25:37.363,2,False,,False,True,United States Grand Prix,20,0.0,21.9,23.3,1001.7,False,29.4,132,1.4
0 days 00:01:44.088000,12.0,KVY,26,0 days 00:47:24.449000,9.0,1.0,,,0 days 00:00:27.975000,0 days 00:00:41.313000,0 days 00:00:34.800000,0 days 00:47:48.355000,0 days 00:48:29.668000,0 days 00:49:04.468000,195.0,174.0,205.0,314.0,False,HARD,9.0,True,Toro Rosso,0 days 00:47:20.401000,2019-11-03 19:27:21.117,2,False,,False,True,United States Grand Prix,20,0.0,21.7,23.2,1001.7,False,29.3,125,2.9
0 days 00:01:43.266000,11.0,KVY,26,0 days 00:49:24.435000,10.0,1.0,,,0 days 00:00:28.140000,0 days 00:00:41.185000,0 days 00:00:33.941000,0 days 00:49:32.608000,0 days 00:50:13.793000,0 days 00:50:47.734000,200.0,179.0,202.0,291.0,False,HARD,10.0,True,Toro Rosso,0 days 00:49:04.489000,2019-11-03 19:29:05.205,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.8,False,29.3,269,3.2
