LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:46.886000,7.0,RIC,3,0 days 00:33:24.307000,1.0,1.0,,,,0 days 00:00:41.455000,0 days 00:00:35.364000,,0 days 00:34:35.502000,0 days 00:35:10.909000,184.0,170.0,208.0,305.0,False,SOFT,4.0,False,Renault,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,False,,False,False,United States Grand Prix,20,0.0,20.9,24.6,1001.9,False,28.7,149,3.0
0 days 00:01:42.902000,6.0,RIC,3,0 days 00:35:24.311000,2.0,1.0,,,0 days 00:00:28.030000,0 days 00:00:40.829000,0 days 00:00:34.043000,0 days 00:35:38.682000,0 days 00:36:19.511000,0 days 00:36:53.554000,202.0,181.0,205.0,299.0,True,SOFT,5.0,False,Renault,0 days 00:35:10.663000,2019-11-03 19:15:11.379,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.0,1001.9,False,29.0,157,2.7
0 days 00:01:43.193000,6.0,RIC,3,0 days 00:37:24.313000,3.0,1.0,,,0 days 00:00:27.898000,0 days 00:00:41.066000,0 days 00:00:34.229000,0 days 00:37:21.452000,0 days 00:38:02.518000,0 days 00:38:36.747000,201.0,179.0,204.0,319.0,False,SOFT,6.0,False,Renault,0 days 00:36:53.565000,2019-11-03 19:16:54.281,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.9,False,28.9,194,3.2
0 days 00:01:42.353000,6.0,RIC,3,0 days 00:39:24.325000,4.0,1.0,,,0 days 00:00:27.597000,0 days 00:00:40.761000,0 days 00:00:33.995000,0 days 00:39:04.344000,0 days 00:39:45.105000,0 days 00:40:19.100000,203.0,179.0,205.0,308.0,True,SOFT,7.0,False,Renault,0 days 00:38:36.758000,2019-11-03 19:18:37.474,1,False,,False,True,United States Grand Prix,20,0.0,21.3,24.5,1001.9,False,29.2,180,3.0
0 days 00:01:42.257000,6.0,RIC,3,0 days 00:40:24.346000,5.0,1.0,,,0 days 00:00:27.706000,0 days 00:00:40.481000,0 days 00:00:34.070000,0 days 00:40:46.806000,0 days 00:41:27.287000,0 days 00:42:01.357000,205.0,179.0,206.0,316.0,True,SOFT,8.0,False,Renault,0 days 00:40:19.111000,2019-11-03 19:20:19.827,1,False,,False,True,United States Grand Prix,20,0.0,21.1,24.8,1001.8,False,29.0,268,1.6
0 days 00:01:42.204000,6.0,RIC,3,0 days 00:42:24.362000,6.0,1.0,,,0 days 00:00:27.622000,0 days 00:00:40.429000,0 days 00:00:34.153000,0 days 00:42:28.979000,0 days 00:43:09.408000,0 days 00:43:43.561000,202.0,180.0,203.0,310.0,True,SOFT,9.0,False,Renault,0 days 00:42:01.368000,2019-11-03 19:22:02.084,1,False,,False,True,United States Grand Prix,20,0.0,21.2,25.0,1001.7,False,29.0,54,1.4
0 days 00:01:42.559000,6.0,RIC,3,0 days 00:44:24.402000,7.0,1.0,,,0 days 00:00:27.591000,0 days 00:00:40.751000,0 days 00:00:34.217000,0 days 00:44:11.152000,0 days 00:44:51.903000,0 days 00:45:26.120000,199.0,178.0,204.0,322.0,False,SOFT,10.0,False,Renault,0 days 00:43:43.572000,2019-11-03 19:23:44.288,1,False,,False,True,United States Grand Prix,20,0.0,21.6,23.8,1001.7,False,29.5,132,1.4
0 days 00:01:42.528000,5.0,RIC,3,0 days 00:46:24.420000,8.0,1.0,,,0 days 00:00:27.680000,0 days 00:00:40.625000,0 days 00:00:34.223000,0 days 00:45:53.800000,0 days 00:46:34.425000,0 days 00:47:08.648000,,179.0,204.0,326.0,False,SOFT,11.0,False,Renault,0 days 00:45:26.131000,2019-11-03 19:25:26.847,2,False,,False,True,United States Grand Prix,20,0.0,21.9,23.3,1001.7,False,29.4,132,1.4
0 days 00:01:42.900000,5.0,RIC,3,0 days 00:47:24.449000,9.0,1.0,,,0 days 00:00:27.825000,0 days 00:00:41.080000,0 days 00:00:33.995000,0 days 00:47:36.473000,0 days 00:48:17.553000,0 days 00:48:51.548000,202.0,180.0,204.0,294.0,False,SOFT,12.0,False,Renault,0 days 00:47:08.659000,2019-11-03 19:27:09.375,2,False,,False,True,United States Grand Prix,20,0.0,21.7,23.2,1001.7,False,29.3,125,2.9
0 days 00:01:42.579000,5.0,RIC,3,0 days 00:49:24.435000,10.0,1.0,,,0 days 00:00:27.732000,0 days 00:00:40.948000,0 days 00:00:33.899000,0 days 00:49:19.280000,0 days 00:50:00.228000,0 days 00:50:34.127000,199.0,181.0,201.0,294.0,False,SOFT,13.0,False,Renault,0 days 00:48:51.559000,2019-11-03 19:28:52.275,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.8,False,29.3,269,3.2
0 days 00:01:43.280000,5.0,RIC,3,0 days 00:51:24.436000,11.0,1.0,,,0 days 00:00:27.820000,0 days 00:00:41.341000,0 days 00:00:34.119000,0 days 00:51:01.947000,0 days 00:51:43.288000,0 days 00:52:17.407000,201.0,180.0,202.0,293.0,False,SOFT,14.0,False,Renault,0 days 00:50:34.138000,2019-11-03 19:30:34.854,1,False,,False,True,United States Grand Prix,20,0.0,21.4,24.3,1001.7,False,29.1,177,1.8
0 days 00:01:42.841000,5.0,RIC,3,0 days 00:52:24.436000,12.0,1.0,,,0 days 00:00:27.787000,0 days 00:00:40.959000,0 days 00:00:34.095000,0 days 00:52:45.194000,0 days 00:53:26.153000,0 days 00:54:00.248000,,182.0,204.0,296.0,False,SOFT,15.0,False,Renault,0 days 00:52:17.418000,2019-11-03 19:32:18.134,1,False,,False,True,United States Grand Prix,20,0.0,21.2,24.6,1001.6,False,29.1,111,2.0
0 days 00:01:42.790000,5.0,RIC,3,0 days 00:54:24.627000,13.0,1.0,,,0 days 00:00:27.803000,0 days 00:00:41.037000,0 days 00:00:33.950000,0 days 00:54:28.051000,0 days 00:55:09.088000,0 days 00:55:43.038000,204.0,180.0,204.0,293.0,False,SOFT,16.0,False,Renault,0 days 00:54:00.259000,2019-11-03 19:34:00.975,1,False,,False,True,United States Grand Prix,20,0.0,21.4,25.5,1001.5,False,29.3,359,2.5
0 days 00:01:42.900000,5.0,RIC,3,0 days 00:56:24.787000,14.0,1.0,,,0 days 00:00:28.075000,0 days 00:00:40.934000,0 days 00:00:33.891000,0 days 00:56:11.113000,0 days 00:56:52.047000,0 days 00:57:25.938000,199.0,182.0,203.0,295.0,False,SOFT,17.0,False,Renault,0 days 00:55:43.049000,2019-11-03 19:35:43.765,1,False,,False,True,United States Grand Prix,20,0.0,21.6,25.1,1001.4,False,29.2,116,1.1
0 days 00:01:42.648000,5.0,RIC,3,0 days 00:58:24.457000,15.0,1.0,,,0 days 00:00:27.734000,0 days 00:00:40.893000,0 days 00:00:34.021000,0 days 00:57:53.672000,0 days 00:58:34.565000,0 days 00:59:08.586000,202.0,182.0,203.0,292.0,False,SOFT,18.0,False,Renault,0 days 00:57:25.949000,2019-11-03 19:37:26.665,1,False,,False,True,United States Grand Prix,20,0.0,21.8,25.7,1001.4,False,29.6,230,3.3
0 days 00:01:42.732000,5.0,RIC,3,0 days 00:59:24.435000,16.0,1.0,,,0 days 00:00:27.862000,0 days 00:00:40.798000,0 days 00:00:34.072000,0 days 00:59:36.448000,0 days 01:00:17.246000,0 days 01:00:51.318000,200.0,181.0,203.0,296.0,False,SOFT,19.0,False,Renault,0 days 00:59:08.597000,2019-11-03 19:39:09.313,1,False,,False,True,United States Grand Prix,20,0.0,21.8,26.1,1001.5,False,29.4,337,2.8
0 days 00:01:42.660000,5.0,RIC,3,0 days 01:01:24.454000,17.0,1.0,,,0 days 00:00:27.811000,0 days 00:00:40.932000,0 days 00:00:33.917000,0 days 01:01:19.129000,0 days 01:02:00.061000,0 days 01:02:33.978000,,181.0,203.0,297.0,False,SOFT,20.0,False,Renault,0 days 01:00:51.329000,2019-11-03 19:40:52.045,1,False,,False,True,United States Grand Prix,20,0.0,21.6,27.7,1001.5,False,29.2,151,3.2
0 days 00:01:42.741000,5.0,RIC,3,0 days 01:03:24.448000,18.0,1.0,,,0 days 00:00:27.720000,0 days 00:00:41.010000,0 days 00:00:34.011000,0 days 01:03:01.698000,0 days 01:03:42.708000,0 days 01:04:16.719000,199.0,181.0,204.0,297.0,False,SOFT,21.0,False,Renault,0 days 01:02:33.989000,2019-11-03 19:42:34.705,1,False,,False,True,United States Grand Prix,20,0.0,21.5,28.1,1001.4,False,29.1,163,1.1
