Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:26.510000,LEC,16,0 days 00:01:54.522000,1.0,1.0,,,,0 days 00:00:47.134000,0 days 00:00:43.954000,,0 days 00:34:39.427000,0 days 00:35:23.461000,266.0,299.0,214.0,313.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:33:28.601000,2020-12-13 13:13:28.798,1,13.0,False,,False,False,23.4,50.5,1015.6,False,29.6,242,1.9
0 days 00:35:26.525000,LEC,16,0 days 00:01:45.693000,2.0,1.0,,,0 days 00:00:18.609000,0 days 00:00:44.413000,0 days 00:00:42.671000,0 days 00:35:41.922000,0 days 00:36:26.335000,0 days 00:37:09.006000,276.0,282.0,216.0,299.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:35:23.307000,2020-12-13 13:15:23.504,1,13.0,False,,False,True,23.4,50.7,1015.6,False,29.6,257,2.1
0 days 00:37:26.522000,LEC,16,0 days 00:01:45.231000,3.0,1.0,,,0 days 00:00:18.582000,0 days 00:00:43.753000,0 days 00:00:42.896000,0 days 00:37:27.588000,0 days 00:38:11.341000,0 days 00:38:54.237000,279.0,280.0,214.0,311.0,True,MEDIUM,6.0,False,Ferrari,0 days 00:37:09,2020-12-13 13:17:09.197,1,13.0,False,,False,True,23.4,51.0,1015.6,False,29.7,256,1.6
0 days 00:39:26.507000,LEC,16,0 days 00:01:45.079000,4.0,1.0,,,0 days 00:00:18.415000,0 days 00:00:44.107000,0 days 00:00:42.557000,0 days 00:39:12.652000,0 days 00:39:56.759000,0 days 00:40:39.316000,,286.0,213.0,310.0,True,MEDIUM,7.0,False,Ferrari,0 days 00:38:54.231000,2020-12-13 13:18:54.428,1,13.0,False,,False,True,23.5,51.9,1015.5,False,29.5,244,3.4
0 days 00:41:26.523000,LEC,16,0 days 00:01:45.070000,5.0,1.0,,,0 days 00:00:18.259000,0 days 00:00:43.983000,0 days 00:00:42.828000,0 days 00:40:57.575000,0 days 00:41:41.558000,0 days 00:42:24.386000,278.0,290.0,210.0,311.0,True,MEDIUM,8.0,False,Ferrari,0 days 00:40:39.310000,2020-12-13 13:20:39.507,1,13.0,False,,False,True,23.5,52.2,1015.6,False,28.9,234,3.2
0 days 00:42:26.527000,LEC,16,0 days 00:01:44.795000,6.0,1.0,,,0 days 00:00:18.232000,0 days 00:00:44.078000,0 days 00:00:42.485000,0 days 00:42:42.618000,0 days 00:43:26.696000,0 days 00:44:09.181000,280.0,275.0,211.0,316.0,True,MEDIUM,9.0,False,Ferrari,0 days 00:42:24.380000,2020-12-13 13:22:24.577,1,13.0,False,,False,True,23.5,52.5,1015.6,False,28.9,276,2.5
0 days 00:44:26.523000,LEC,16,0 days 00:01:45.143000,7.0,1.0,,,0 days 00:00:18.285000,0 days 00:00:44.084000,0 days 00:00:42.774000,0 days 00:44:27.466000,0 days 00:45:11.550000,0 days 00:45:54.324000,279.0,302.0,212.0,314.0,False,MEDIUM,10.0,False,Ferrari,0 days 00:44:09.175000,2020-12-13 13:24:09.372,1,13.0,False,,False,True,23.5,52.8,1015.6,False,28.9,278,2.2
0 days 00:46:26.540000,LEC,16,0 days 00:01:44.867000,8.0,1.0,,,0 days 00:00:18.140000,0 days 00:00:44.028000,0 days 00:00:42.699000,0 days 00:46:12.464000,0 days 00:46:56.492000,0 days 00:47:39.191000,282.0,299.0,213.0,315.0,False,MEDIUM,11.0,False,Ferrari,0 days 00:45:54.318000,2020-12-13 13:25:54.515,1,13.0,False,,False,True,23.6,52.2,1015.5,False,28.3,252,2.8
0 days 00:48:26.548000,LEC,16,0 days 00:01:45.498000,9.0,1.0,,,0 days 00:00:18.340000,0 days 00:00:44.185000,0 days 00:00:42.973000,0 days 00:47:57.531000,0 days 00:48:41.716000,0 days 00:49:24.689000,280.0,307.0,212.0,321.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:47:39.185000,2020-12-13 13:27:39.382,2,13.0,False,,False,True,23.7,51.6,1015.4,False,28.3,260,2.8
0 days 00:49:26.562000,LEC,16,0 days 00:02:17.453000,10.0,1.0,,,0 days 00:00:24.618000,0 days 00:00:57.186000,0 days 00:00:55.649000,0 days 00:49:49.307000,0 days 00:50:46.493000,0 days 00:51:42.142000,174.0,154.0,116.0,170.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:49:24.683000,2020-12-13 13:29:24.880,26,13.0,False,,False,False,23.7,51.4,1015.6,False,28.3,264,2.6
