Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:38.483000,LEC,16,0 days 00:02:40.113000,1.0,1.0,,0 days 00:36:15.172000,,0 days 00:01:17.550000,0 days 00:00:42.386000,,0 days 00:35:34.946000,0 days 00:36:17.389000,61.0,103.0,,278.0,False,HARD,1.0,True,Ferrari,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,11.0,False,,False,False,25.4,66.0,1015.3,False,28.6,244,1.0
0 days 01:55:38.868000,LEC,16,,2.0,2.0,0 days 01:55:29.444000,,,0 days 00:01:18.606000,0 days 00:01:06.935000,,0 days 01:57:38.535000,0 days 01:58:45.577000,82.0,129.0,87.0,164.0,False,MEDIUM,3.0,False,Ferrari,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,12.0,False,,False,False,25.0,68.7,1015.9,False,27.4,320,1.2
0 days 01:59:38.887000,LEC,16,,3.0,2.0,,,0 days 00:01:12.732000,0 days 00:01:02.102000,0 days 00:00:31.491000,0 days 01:59:58.273000,0 days 02:01:00.266000,0 days 02:01:31.932000,222.0,208.0,250.0,266.0,False,MEDIUM,4.0,False,Ferrari,0 days 01:58:45.470000,2020-11-29 15:38:45.522,24,8.0,False,,False,False,25.0,70.3,1015.9,False,27.3,336,1.2
0 days 02:01:38.942000,LEC,16,0 days 00:02:18.031000,4.0,2.0,,,0 days 00:00:38.453000,0 days 00:01:07.564000,0 days 00:00:32.014000,0 days 02:02:10.186000,0 days 02:03:17.750000,0 days 02:03:49.764000,208.0,174.0,201.0,214.0,True,MEDIUM,5.0,False,Ferrari,0 days 02:01:31.733000,2020-11-29 15:41:31.785,4,8.0,False,,False,False,25.0,71.7,1015.9,False,27.2,315,1.0
0 days 02:04:38.951000,LEC,16,,5.0,2.0,,,0 days 00:00:43.275000,0 days 00:01:06.683000,0 days 00:00:40.243000,0 days 02:04:33.031000,0 days 02:05:39.701000,0 days 02:06:20.185000,157.0,189.0,218.0,216.0,False,MEDIUM,6.0,False,Ferrari,0 days 02:03:49.764000,2020-11-29 15:43:49.816,4,7.0,False,,False,False,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 02:06:38.966000,LEC,16,0 days 00:02:18.696000,6.0,2.0,,,0 days 00:00:40.907000,0 days 00:01:01.283000,0 days 00:00:36.506000,0 days 02:07:00.851000,0 days 02:08:02.134000,0 days 02:08:38.640000,85.0,168.0,190.0,225.0,False,MEDIUM,7.0,False,Ferrari,0 days 02:06:19.944000,2020-11-29 15:46:19.996,4,7.0,False,,False,False,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 02:08:38.965000,LEC,16,0 days 00:02:17.543000,7.0,2.0,,,0 days 00:00:42.460000,0 days 00:00:59.623000,0 days 00:00:35.460000,0 days 02:09:21.100000,0 days 02:10:20.723000,0 days 02:10:56.183000,121.0,95.0,192.0,174.0,True,MEDIUM,8.0,False,Ferrari,0 days 02:08:38.640000,2020-11-29 15:48:38.692,4,7.0,False,,False,False,25.0,73.7,1016.0,False,27.2,296,1.0
0 days 02:11:38.940000,LEC,16,,8.0,2.0,,,0 days 00:00:48.011000,0 days 00:01:00.540000,0 days 00:00:42.898000,0 days 02:11:44.283000,0 days 02:12:44.817000,0 days 02:13:27.797000,96.0,116.0,287.0,219.0,False,MEDIUM,9.0,False,Ferrari,0 days 02:10:56.183000,2020-11-29 15:50:56.235,4,7.0,False,,False,False,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 02:13:38.946000,LEC,16,0 days 00:01:37.425000,9.0,2.0,,,0 days 00:00:30.957000,0 days 00:00:42.584000,0 days 00:00:23.884000,0 days 02:13:58.613000,0 days 02:14:41.197000,0 days 02:15:05.081000,233.0,251.0,285.0,317.0,True,MEDIUM,10.0,False,Ferrari,0 days 02:13:27.656000,2020-11-29 15:53:27.708,1,7.0,False,,False,False,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 02:15:38.968000,LEC,16,0 days 00:01:37.030000,10.0,2.0,,,0 days 00:00:30.820000,0 days 00:00:42.240000,0 days 00:00:23.970000,0 days 02:15:35.901000,0 days 02:16:18.141000,0 days 02:16:42.111000,234.0,255.0,282.0,303.0,True,MEDIUM,11.0,False,Ferrari,0 days 02:15:05.081000,2020-11-29 15:55:05.133,1,7.0,False,,False,True,25.0,72.7,1016.0,False,27.3,300,0.8
0 days 02:17:38.957000,LEC,16,0 days 00:01:37.009000,11.0,2.0,,,0 days 00:00:30.709000,0 days 00:00:41.974000,0 days 00:00:24.326000,0 days 02:17:12.820000,0 days 02:17:54.794000,0 days 02:18:19.120000,235.0,263.0,282.0,301.0,True,MEDIUM,12.0,False,Ferrari,0 days 02:16:42.111000,2020-11-29 15:56:42.163,1,7.0,False,,False,True,25.1,72.3,1016.0,False,27.3,352,0.0
0 days 02:18:38.954000,LEC,16,0 days 00:01:39.949000,12.0,2.0,,,0 days 00:00:31.626000,0 days 00:00:44.087000,0 days 00:00:24.236000,0 days 02:18:50.746000,0 days 02:19:34.833000,0 days 02:19:59.069000,229.0,255.0,283.0,303.0,False,MEDIUM,13.0,False,Ferrari,0 days 02:18:19.120000,2020-11-29 15:58:19.172,1,9.0,False,,False,True,25.0,72.3,1016.0,False,27.3,272,0.3
0 days 02:20:38.967000,LEC,16,0 days 00:01:38.543000,13.0,2.0,,,0 days 00:00:31.325000,0 days 00:00:42.986000,0 days 00:00:24.232000,0 days 02:20:30.394000,0 days 02:21:13.380000,0 days 02:21:37.612000,235.0,256.0,282.0,,False,MEDIUM,14.0,False,Ferrari,0 days 02:19:59.069000,2020-11-29 15:59:59.121,2,10.0,False,,False,True,25.0,72.0,1016.1,False,27.2,65,0.7
0 days 02:21:38.949000,LEC,16,0 days 00:01:37.471000,14.0,2.0,,,0 days 00:00:30.894000,0 days 00:00:42.472000,0 days 00:00:24.105000,0 days 02:22:08.506000,0 days 02:22:50.978000,0 days 02:23:15.083000,232.0,254.0,281.0,301.0,False,MEDIUM,15.0,False,Ferrari,0 days 02:21:37.612000,2020-11-29 16:01:37.664,1,10.0,False,,False,True,25.1,71.6,1016.0,False,27.2,331,1.2
0 days 02:23:38.952000,LEC,16,0 days 00:01:37.516000,15.0,2.0,,,0 days 00:00:30.858000,0 days 00:00:42.511000,0 days 00:00:24.147000,0 days 02:23:45.941000,0 days 02:24:28.452000,0 days 02:24:52.599000,234.0,261.0,280.0,303.0,False,MEDIUM,16.0,False,Ferrari,0 days 02:23:15.083000,2020-11-29 16:03:15.135,1,10.0,False,,False,True,25.0,71.3,1016.0,False,27.0,0,0.6
0 days 02:25:38.966000,LEC,16,0 days 00:01:37.123000,16.0,2.0,,,0 days 00:00:30.767000,0 days 00:00:42.250000,0 days 00:00:24.106000,0 days 02:25:23.366000,0 days 02:26:05.616000,0 days 02:26:29.722000,235.0,262.0,280.0,302.0,False,MEDIUM,17.0,False,Ferrari,0 days 02:24:52.599000,2020-11-29 16:04:52.651,1,10.0,False,,False,True,25.0,71.0,1016.0,False,26.9,94,0.8
