Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:02.424000,LEC,16,0 days 00:01:38.712000,1.0,1.0,,,,0 days 00:00:38.744000,0 days 00:00:29.998000,,0 days 00:34:18.735000,0 days 00:34:48.942000,262.0,153.0,303.0,238.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,6.0,False,,False,False,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:35:02.399000,LEC,16,0 days 00:01:30.265000,2.0,1.0,,,0 days 00:00:27.552000,0 days 00:00:34.921000,0 days 00:00:27.792000,0 days 00:35:16.204000,0 days 00:35:51.125000,0 days 00:36:18.917000,266.0,174.0,291.0,309.0,True,MEDIUM,7.0,False,Ferrari,0 days 00:34:48.637000,2020-10-25 13:14:49.714,1,8.0,False,,False,True,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:37:02.443000,LEC,16,0 days 00:01:24.677000,3.0,1.0,,,0 days 00:00:24.945000,0 days 00:00:32.615000,0 days 00:00:27.117000,0 days 00:36:43.862000,0 days 00:37:16.477000,0 days 00:37:43.594000,265.0,182.0,291.0,297.0,True,MEDIUM,8.0,False,Ferrari,0 days 00:36:18.902000,2020-10-25 13:16:19.979,1,8.0,False,,False,True,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:38:02.450000,LEC,16,0 days 00:01:23.600000,4.0,1.0,,,0 days 00:00:24.404000,0 days 00:00:32.312000,0 days 00:00:26.884000,0 days 00:38:07.998000,0 days 00:38:40.310000,0 days 00:39:07.194000,268.0,177.0,306.0,298.0,True,MEDIUM,9.0,False,Ferrari,0 days 00:37:43.579000,2020-10-25 13:17:44.656,1,8.0,False,,False,True,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:40:02.493000,LEC,16,0 days 00:01:23.500000,5.0,1.0,,,0 days 00:00:24.219000,0 days 00:00:32.546000,0 days 00:00:26.735000,0 days 00:39:31.413000,0 days 00:40:03.959000,0 days 00:40:30.694000,269.0,179.0,307.0,313.0,True,MEDIUM,10.0,False,Ferrari,0 days 00:39:07.179000,2020-10-25 13:19:08.256,1,8.0,False,,False,True,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:41:02.482000,LEC,16,0 days 00:01:23.036000,6.0,1.0,,,0 days 00:00:23.966000,0 days 00:00:32.299000,0 days 00:00:26.771000,0 days 00:40:54.660000,0 days 00:41:26.959000,0 days 00:41:53.730000,263.0,187.0,302.0,328.0,True,MEDIUM,11.0,False,Ferrari,0 days 00:40:30.679000,2020-10-25 13:20:31.756,1,7.0,False,,False,True,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:42:02.500000,LEC,16,0 days 00:01:23.474000,7.0,1.0,,,0 days 00:00:24.041000,0 days 00:00:32.214000,0 days 00:00:27.219000,0 days 00:42:17.771000,0 days 00:42:49.985000,0 days 00:43:17.204000,267.0,184.0,306.0,316.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:41:53.715000,2020-10-25 13:21:54.792,1,7.0,False,,False,True,20.5,67.4,1007.8,False,25.5,161,3.7
0 days 00:44:02.544000,LEC,16,0 days 00:01:22.929000,8.0,1.0,,,0 days 00:00:24.083000,0 days 00:00:32.222000,0 days 00:00:26.624000,0 days 00:43:41.287000,0 days 00:44:13.509000,0 days 00:44:40.133000,266.0,186.0,305.0,312.0,True,MEDIUM,13.0,False,Ferrari,0 days 00:43:17.189000,2020-10-25 13:23:18.266,1,6.0,False,,False,True,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:45:02.485000,LEC,16,0 days 00:01:22.532000,9.0,1.0,,,0 days 00:00:23.802000,0 days 00:00:31.867000,0 days 00:00:26.863000,0 days 00:45:03.935000,0 days 00:45:35.802000,0 days 00:46:02.665000,264.0,185.0,290.0,324.0,True,MEDIUM,14.0,False,Ferrari,0 days 00:44:40.118000,2020-10-25 13:24:41.195,1,5.0,False,,False,True,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:47:02.521000,LEC,16,0 days 00:01:22.671000,10.0,1.0,,,0 days 00:00:24.115000,0 days 00:00:31.803000,0 days 00:00:26.753000,0 days 00:46:26.780000,0 days 00:46:58.583000,0 days 00:47:25.336000,267.0,187.0,302.0,295.0,False,MEDIUM,15.0,False,Ferrari,0 days 00:46:02.650000,2020-10-25 13:26:03.727,1,5.0,False,,False,True,20.7,66.7,1007.6,False,26.5,115,2.5
