Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:25.649000,STR,18,0 days 00:01:20.518000,1.0,1.0,,,,0 days 00:00:27.962000,0 days 00:00:28.644000,,0 days 00:33:35.738000,0 days 00:34:04.482000,294.0,90.0,201.0,249.0,False,SOFT,4.0,False,Racing Point,0 days 00:32:43.624000,2020-12-06 17:12:43.657,24,8.0,False,,False,False,21.1,58.7,1015.7,False,23.8,8,2.3
0 days 00:34:25.651000,STR,18,0 days 00:01:34.619000,2.0,1.0,,,0 days 00:00:28.161000,0 days 00:00:39.587000,0 days 00:00:26.871000,0 days 00:34:32.499000,0 days 00:35:12.086000,0 days 00:35:38.957000,184.0,115.0,201.0,242.0,True,SOFT,5.0,False,Racing Point,0 days 00:34:04.302000,2020-12-06 17:14:04.335,4,6.0,False,,False,False,21.1,58.4,1015.7,False,23.8,18,2.0
0 days 00:36:25.637000,STR,18,0 days 00:01:30.389000,3.0,1.0,,,0 days 00:00:30.768000,0 days 00:00:33.585000,0 days 00:00:26.036000,0 days 00:36:09.725000,0 days 00:36:43.310000,0 days 00:37:09.346000,212.0,187.0,242.0,131.0,True,SOFT,6.0,False,Racing Point,0 days 00:35:38.921000,2020-12-06 17:15:38.954,4,6.0,False,,False,False,21.1,58.3,1015.8,False,23.8,9,2.4
0 days 00:37:25.642000,STR,18,0 days 00:01:30.509000,4.0,1.0,,,0 days 00:00:29.515000,0 days 00:00:34.576000,0 days 00:00:26.418000,0 days 00:37:38.861000,0 days 00:38:13.437000,0 days 00:38:39.855000,175.0,130.0,186.0,223.0,False,SOFT,7.0,False,Racing Point,0 days 00:37:09.310000,2020-12-06 17:17:09.343,4,6.0,False,,False,False,21.1,57.9,1015.7,False,23.9,347,1.7
0 days 00:39:25.671000,STR,18,0 days 00:01:31.719000,5.0,1.0,,,0 days 00:00:31.835000,0 days 00:00:34.580000,0 days 00:00:25.304000,0 days 00:39:11.690000,0 days 00:39:46.270000,0 days 00:40:11.574000,203.0,245.0,240.0,105.0,False,SOFT,8.0,False,Racing Point,0 days 00:38:39.819000,2020-12-06 17:18:39.852,4,6.0,False,,False,False,21.1,57.5,1015.7,False,23.8,337,2.0
0 days 00:40:25.654000,STR,18,0 days 00:01:22.843000,6.0,1.0,,,0 days 00:00:28.525000,0 days 00:00:33.203000,0 days 00:00:21.115000,0 days 00:40:40.099000,0 days 00:41:13.302000,0 days 00:41:34.417000,235.0,84.0,290.0,220.0,True,SOFT,9.0,False,Racing Point,0 days 00:40:11.538000,2020-12-06 17:20:11.571,4,6.0,False,,False,False,21.1,57.4,1015.8,False,23.8,7,2.8
0 days 00:42:25.698000,STR,18,0 days 00:00:59.626000,7.0,1.0,,,0 days 00:00:20.366000,0 days 00:00:21.855000,0 days 00:00:17.405000,0 days 00:41:54.783000,0 days 00:42:16.638000,0 days 00:42:34.043000,283.0,260.0,287.0,308.0,True,SOFT,10.0,False,Racing Point,0 days 00:41:34.381000,2020-12-06 17:21:34.414,1,6.0,False,,False,False,21.0,57.5,1015.8,False,23.8,340,2.3
0 days 00:43:25.695000,STR,18,0 days 00:00:59.239000,8.0,1.0,,,0 days 00:00:20.435000,0 days 00:00:21.433000,0 days 00:00:17.371000,0 days 00:42:54.478000,0 days 00:43:15.911000,0 days 00:43:33.282000,282.0,262.0,284.0,310.0,True,SOFT,11.0,False,Racing Point,0 days 00:42:34.007000,2020-12-06 17:22:34.040,1,6.0,False,,False,True,21.0,57.3,1015.9,False,23.8,12,2.0
0 days 00:44:25.689000,STR,18,0 days 00:00:58.710000,9.0,1.0,,,0 days 00:00:20.246000,0 days 00:00:21.210000,0 days 00:00:17.254000,0 days 00:43:53.528000,0 days 00:44:14.738000,0 days 00:44:31.992000,290.0,262.0,290.0,305.0,True,SOFT,12.0,False,Racing Point,0 days 00:43:33.246000,2020-12-06 17:23:33.279,1,6.0,False,,False,True,21.0,56.9,1015.8,False,23.7,3,1.9
0 days 00:45:25.711000,STR,18,0 days 00:00:58.894000,10.0,1.0,,,0 days 00:00:20.122000,0 days 00:00:21.434000,0 days 00:00:17.338000,0 days 00:44:52.114000,0 days 00:45:13.548000,0 days 00:45:30.886000,289.0,260.0,289.0,320.0,False,SOFT,13.0,False,Racing Point,0 days 00:44:31.956000,2020-12-06 17:24:31.989,1,6.0,False,,False,True,21.0,56.7,1015.9,False,23.7,42,2.4
