Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:38.694000,MAG,20,0 days 00:01:19.587000,1.0,1.0,,,,0 days 00:00:33.600000,0 days 00:00:23.220000,,0 days 00:33:43.679000,0 days 00:34:06.989000,318.0,211.0,273.0,306.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,13.0,False,,False,False,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:34:38.680000,MAG,20,0 days 00:01:12.762000,2.0,1.0,,,0 days 00:00:18.202000,0 days 00:00:32.246000,0 days 00:00:22.314000,0 days 00:34:25.053000,0 days 00:34:57.299000,0 days 00:35:19.613000,304.0,224.0,272.0,303.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:34:06.834000,2020-07-05 13:14:07.057,1,13.0,False,,False,True,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:35:38.698000,MAG,20,0 days 00:01:11.531000,3.0,1.0,,,0 days 00:00:17.494000,0 days 00:00:31.905000,0 days 00:00:22.132000,0 days 00:35:37.107000,0 days 00:36:09.012000,0 days 00:36:31.144000,322.0,225.0,271.0,313.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:35:19.596000,2020-07-05 13:15:19.819,1,13.0,False,,False,True,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:36:38.698000,MAG,20,0 days 00:01:11.582000,4.0,1.0,,,0 days 00:00:17.749000,0 days 00:00:31.800000,0 days 00:00:22.033000,0 days 00:36:48.893000,0 days 00:37:20.693000,0 days 00:37:42.726000,306.0,223.0,271.0,299.0,False,MEDIUM,4.0,True,Haas F1 Team,0 days 00:36:31.127000,2020-07-05 13:16:31.350,1,13.0,False,,False,True,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:38:38.690000,MAG,20,0 days 00:01:11.879000,5.0,1.0,,,0 days 00:00:17.908000,0 days 00:00:32.015000,0 days 00:00:21.956000,0 days 00:38:00.634000,0 days 00:38:32.649000,0 days 00:38:54.605000,302.0,226.0,270.0,298.0,False,MEDIUM,5.0,True,Haas F1 Team,0 days 00:37:42.709000,2020-07-05 13:17:42.932,1,13.0,False,,False,True,28.9,32.8,938.9,False,54.7,87,3.1
0 days 00:39:38.691000,MAG,20,0 days 00:01:11.463000,6.0,1.0,,,0 days 00:00:17.839000,0 days 00:00:31.619000,0 days 00:00:22.005000,0 days 00:39:12.444000,0 days 00:39:44.063000,0 days 00:40:06.068000,303.0,226.0,269.0,297.0,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:38:54.588000,2020-07-05 13:18:54.811,1,13.0,False,,False,True,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:40:38.693000,MAG,20,0 days 00:01:12.869000,7.0,1.0,,,0 days 00:00:17.875000,0 days 00:00:32.722000,0 days 00:00:22.272000,0 days 00:40:23.943000,0 days 00:40:56.665000,0 days 00:41:18.937000,301.0,220.0,273.0,301.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:40:06.051000,2020-07-05 13:20:06.274,1,14.0,False,,False,True,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:41:38.685000,MAG,20,0 days 00:01:11.489000,8.0,1.0,,,0 days 00:00:17.656000,0 days 00:00:31.731000,0 days 00:00:22.102000,0 days 00:41:36.593000,0 days 00:42:08.324000,0 days 00:42:30.426000,314.0,223.0,269.0,305.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:41:18.920000,2020-07-05 13:21:19.143,1,14.0,False,,False,True,28.6,35.1,938.9,False,53.2,131,2.5
0 days 00:42:38.677000,MAG,20,0 days 00:01:11.152000,9.0,1.0,,,0 days 00:00:17.906000,,,0 days 00:49:58.778000,,,295.0,,,298.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:42:30.409000,2020-07-05 13:22:30.632,1,16.0,False,,False,False,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:50:38.664000,MAG,20,0 days 00:01:11.386000,10.0,1.0,,,0 days 00:00:17.906000,0 days 00:00:31.615000,0 days 00:00:21.865000,,0 days 00:50:28.042000,0 days 00:50:49.907000,,222.0,268.0,295.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:49:38.504000,2020-07-05 13:29:38.727,1,16.0,False,,False,True,29.4,33.2,938.8,False,53.3,73,2.5
