Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:33.435000,ALB,23,0 days 00:01:34.938000,1.0,1.0,,,,0 days 00:00:32.205000,0 days 00:00:29.836000,,0 days 00:34:33.414000,0 days 00:35:03.348000,335.0,327.0,316.0,255.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:28.079000,2020-09-06 13:13:28.275,1,15.0,False,,False,False,27.7,40.2,991.2,False,44.5,253,0.9
0 days 00:35:33.425000,ALB,23,0 days 00:01:28.308000,2.0,1.0,,,0 days 00:00:28.516000,0 days 00:00:30.436000,0 days 00:00:29.356000,0 days 00:35:31.675000,0 days 00:36:02.111000,0 days 00:36:31.467000,321.0,326.0,315.0,275.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:35:03.179000,2020-09-06 13:15:03.375,1,15.0,False,,False,True,27.6,41.6,991.1,False,43.9,193,0.8
0 days 00:36:33.427000,ALB,23,0 days 00:01:26.964000,3.0,1.0,,,0 days 00:00:28.146000,0 days 00:00:29.837000,0 days 00:00:28.981000,0 days 00:36:59.613000,0 days 00:37:29.450000,0 days 00:37:58.431000,318.0,335.0,317.0,319.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:36:31.487000,2020-09-06 13:16:31.683,1,15.0,False,,False,True,27.8,39.7,991.2,False,44.0,170,0.6
0 days 00:38:33.428000,ALB,23,0 days 00:01:26.472000,4.0,1.0,,,0 days 00:00:28.039000,0 days 00:00:29.721000,0 days 00:00:28.712000,0 days 00:38:26.470000,0 days 00:38:56.191000,0 days 00:39:24.903000,324.0,324.0,313.0,357.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:37:58.451000,2020-09-06 13:17:58.647,1,14.0,False,,False,True,28.2,40.1,991.2,False,44.2,162,1.2
0 days 00:39:33.429000,ALB,23,0 days 00:01:26.159000,5.0,1.0,,,0 days 00:00:27.968000,0 days 00:00:29.321000,0 days 00:00:28.870000,0 days 00:39:52.871000,0 days 00:40:22.192000,0 days 00:40:51.062000,317.0,330.0,314.0,322.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:39:24.923000,2020-09-06 13:19:25.119,1,14.0,False,,False,True,28.3,39.7,991.1,False,45.0,161,1.8
0 days 00:41:33.431000,ALB,23,0 days 00:01:26.590000,6.0,1.0,,,0 days 00:00:27.915000,0 days 00:00:29.808000,0 days 00:00:28.867000,0 days 00:41:18.977000,0 days 00:41:48.785000,0 days 00:42:17.652000,320.0,329.0,314.0,331.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:40:51.082000,2020-09-06 13:20:51.278,1,14.0,False,,False,True,27.9,40.6,991.2,False,44.4,190,1.0
0 days 00:42:33.432000,ALB,23,0 days 00:01:26.732000,7.0,1.0,,,0 days 00:00:27.824000,0 days 00:00:29.847000,0 days 00:00:29.061000,0 days 00:42:45.476000,0 days 00:43:15.323000,0 days 00:43:44.384000,322.0,324.0,312.0,332.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:42:17.672000,2020-09-06 13:22:17.868,1,14.0,False,,False,True,28.1,40.5,991.0,False,44.3,166,2.1
0 days 00:44:33.435000,ALB,23,0 days 00:01:26.376000,8.0,1.0,,,0 days 00:00:27.783000,0 days 00:00:29.579000,0 days 00:00:29.014000,0 days 00:44:12.167000,0 days 00:44:41.746000,0 days 00:45:10.760000,321.0,327.0,315.0,323.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:43:44.404000,2020-09-06 13:23:44.600,2,14.0,False,,False,True,28.1,40.8,991.0,False,43.8,174,2.2
0 days 00:45:33.435000,ALB,23,0 days 00:01:26.798000,9.0,1.0,,,0 days 00:00:28.099000,0 days 00:00:29.731000,0 days 00:00:28.968000,0 days 00:45:38.859000,0 days 00:46:08.590000,0 days 00:46:37.558000,316.0,328.0,313.0,322.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:45:10.780000,2020-09-06 13:25:10.976,1,14.0,False,,False,True,28.3,40.3,991.0,False,43.6,176,1.4
0 days 00:47:33.435000,ALB,23,0 days 00:01:26.697000,10.0,1.0,,,0 days 00:00:27.847000,0 days 00:00:29.886000,0 days 00:00:28.964000,0 days 00:47:05.405000,0 days 00:47:35.291000,0 days 00:48:04.255000,319.0,323.0,313.0,325.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:46:37.578000,2020-09-06 13:26:37.774,1,14.0,False,,False,True,28.4,40.1,990.9,False,43.7,165,2.6
0 days 00:48:33.442000,ALB,23,0 days 00:01:26.745000,11.0,1.0,,,0 days 00:00:28.016000,0 days 00:00:29.652000,0 days 00:00:29.077000,0 days 00:48:32.271000,0 days 00:49:01.923000,0 days 00:49:31,315.0,320.0,313.0,319.0,False,SOFT,14.0,False,Red Bull Racing,0 days 00:48:04.275000,2020-09-06 13:28:04.471,1,14.0,False,,False,True,28.5,39.4,990.9,False,43.7,154,3.1
0 days 00:49:33.453000,ALB,23,0 days 00:01:26.273000,12.0,1.0,,,0 days 00:00:27.949000,0 days 00:00:29.472000,0 days 00:00:28.852000,0 days 00:49:58.949000,0 days 00:50:28.421000,0 days 00:50:57.273000,314.0,320.0,313.0,320.0,False,SOFT,15.0,False,Red Bull Racing,0 days 00:49:31.020000,2020-09-06 13:29:31.216,1,14.0,False,,False,True,27.9,40.8,990.9,False,43.7,161,1.6
0 days 00:51:33.472000,ALB,23,0 days 00:01:26.382000,13.0,1.0,,,0 days 00:00:27.908000,0 days 00:00:29.676000,0 days 00:00:28.798000,0 days 00:51:25.181000,0 days 00:51:54.857000,0 days 00:52:23.655000,315.0,321.0,312.0,,False,SOFT,16.0,False,Red Bull Racing,0 days 00:50:57.293000,2020-09-06 13:30:57.489,1,14.0,False,,False,True,27.9,40.7,990.9,False,43.8,163,1.2
0 days 00:52:33.489000,ALB,23,0 days 00:01:26.530000,14.0,1.0,,,0 days 00:00:28.082000,0 days 00:00:29.541000,0 days 00:00:28.907000,0 days 00:52:51.737000,0 days 00:53:21.278000,0 days 00:53:50.185000,316.0,322.0,315.0,325.0,False,SOFT,17.0,False,Red Bull Racing,0 days 00:52:23.675000,2020-09-06 13:32:23.871,1,14.0,False,,False,True,28.2,40.3,990.9,False,44.2,145,1.1
0 days 00:54:33.488000,ALB,23,0 days 00:01:26.510000,15.0,1.0,,,0 days 00:00:27.956000,0 days 00:00:29.789000,0 days 00:00:28.765000,0 days 00:54:18.141000,0 days 00:54:47.930000,0 days 00:55:16.695000,319.0,321.0,317.0,322.0,False,SOFT,18.0,False,Red Bull Racing,0 days 00:53:50.205000,2020-09-06 13:33:50.401,1,14.0,False,,False,True,28.3,40.4,990.8,False,43.8,165,2.6
0 days 00:55:33.489000,ALB,23,0 days 00:01:26.407000,16.0,1.0,,,0 days 00:00:27.964000,0 days 00:00:29.814000,0 days 00:00:28.629000,0 days 00:55:44.659000,0 days 00:56:14.473000,0 days 00:56:43.102000,320.0,325.0,319.0,325.0,False,SOFT,19.0,False,Red Bull Racing,0 days 00:55:16.715000,2020-09-06 13:35:16.911,1,14.0,False,,False,True,27.9,40.6,990.8,False,43.5,173,1.5
0 days 00:57:33.507000,ALB,23,0 days 00:01:26.535000,17.0,1.0,,,0 days 00:00:27.778000,0 days 00:00:29.844000,0 days 00:00:28.913000,0 days 00:57:10.880000,0 days 00:57:40.724000,0 days 00:58:09.637000,326.0,317.0,308.0,349.0,False,SOFT,20.0,False,Red Bull Racing,0 days 00:56:43.122000,2020-09-06 13:36:43.318,1,13.0,False,,False,True,27.8,41.3,990.7,False,43.6,145,2.1
0 days 00:58:33.523000,ALB,23,0 days 00:01:25.826000,18.0,1.0,,,0 days 00:00:28.017000,0 days 00:00:29.324000,0 days 00:00:28.485000,0 days 00:58:37.654000,0 days 00:59:06.978000,0 days 00:59:35.463000,312.0,316.0,311.0,323.0,True,SOFT,21.0,False,Red Bull Racing,0 days 00:58:09.657000,2020-09-06 13:38:09.853,1,12.0,False,,False,True,27.8,41.2,990.7,False,44.2,154,2.3
0 days 01:00:33.540000,ALB,23,0 days 00:01:26.167000,19.0,1.0,,,0 days 00:00:28.047000,0 days 00:00:29.372000,0 days 00:00:28.748000,0 days 01:00:03.510000,0 days 01:00:32.882000,0 days 01:01:01.630000,,317.0,309.0,,False,SOFT,22.0,False,Red Bull Racing,0 days 00:59:35.483000,2020-09-06 13:39:35.679,2,12.0,False,,False,True,27.5,40.6,990.7,False,43.8,159,2.3
0 days 01:01:33.543000,ALB,23,0 days 00:01:48.383000,20.0,1.0,,,0 days 00:00:28.107000,0 days 00:00:39.133000,0 days 00:00:41.143000,0 days 01:01:29.737000,0 days 01:02:08.870000,0 days 01:02:50.013000,310.0,231.0,245.0,320.0,False,SOFT,23.0,False,Red Bull Racing,0 days 01:01:01.650000,2020-09-06 13:41:01.846,24,11.0,False,,False,False,27.5,41.2,990.6,False,43.6,174,0.9
0 days 01:03:33.548000,ALB,23,0 days 00:01:58.471000,21.0,1.0,,,0 days 00:00:36.573000,0 days 00:00:39.269000,0 days 00:00:42.629000,0 days 01:03:26.586000,0 days 01:04:05.855000,0 days 01:04:48.484000,273.0,242.0,207.0,179.0,False,SOFT,24.0,False,Red Bull Racing,0 days 01:02:50.033000,2020-09-06 13:42:50.229,4,11.0,False,,False,False,27.9,40.7,990.6,False,43.6,152,2.2
0 days 01:05:33.549000,ALB,23,0 days 00:02:12.273000,22.0,1.0,,0 days 01:06:57.032000,0 days 00:00:39.281000,0 days 00:00:41.996000,0 days 00:00:50.996000,0 days 01:05:27.765000,0 days 01:06:09.761000,0 days 01:07:00.757000,158.0,233.0,,210.0,False,SOFT,25.0,False,Red Bull Racing,0 days 01:04:48.504000,2020-09-06 13:44:48.700,4,15.0,False,,False,False,27.8,40.6,990.6,False,43.9,167,2.0
0 days 01:07:33.579000,ALB,23,0 days 00:02:00.478000,23.0,2.0,0 days 01:07:26.704000,,0 days 00:00:56.856000,0 days 00:00:31.185000,0 days 00:00:32.437000,0 days 01:07:57.613000,0 days 01:08:28.798000,0 days 01:09:01.235000,305.0,325.0,319.0,250.0,False,MEDIUM,1.0,False,Red Bull Racing,0 days 01:07:00.777000,2020-09-06 13:47:00.973,4,18.0,False,,False,False,27.7,41.4,990.6,False,43.9,173,1.0
0 days 01:09:33.580000,ALB,23,0 days 00:01:28.148000,24.0,2.0,,,0 days 00:00:27.904000,0 days 00:00:30.620000,0 days 00:00:29.624000,0 days 01:09:29.139000,0 days 01:09:59.759000,0 days 01:10:29.383000,341.0,330.0,270.0,306.0,False,MEDIUM,2.0,False,Red Bull Racing,0 days 01:09:01.255000,2020-09-06 13:49:01.451,24,16.0,False,,False,False,28.4,39.9,990.6,False,43.7,216,1.4
0 days 01:10:33.581000,ALB,23,0 days 00:02:05.099000,25.0,2.0,,,0 days 00:00:46.809000,0 days 00:00:40.749000,0 days 00:00:37.541000,0 days 01:11:16.192000,0 days 01:11:56.941000,0 days 01:12:34.482000,186.0,168.0,165.0,108.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 01:10:29.403000,2020-09-06 13:50:29.599,4,16.0,False,,False,False,28.5,40.2,990.6,False,43.9,161,1.3
0 days 01:13:33.586000,ALB,23,,26.0,2.0,,0 days 01:15:18.887000,0 days 00:00:45.646000,0 days 00:00:51.327000,0 days 00:01:17.597000,0 days 01:13:20.216000,0 days 01:14:11.522000,0 days 01:15:29.301000,105.0,196.0,,180.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:12:34.502000,2020-09-06 13:52:34.698,45,16.0,False,,False,False,28.4,39.9,990.6,False,43.6,200,1.5
0 days 01:40:33.610000,ALB,23,,27.0,3.0,0 days 01:40:47.138000,,,0 days 00:00:48.983000,0 days 00:01:18.597000,,0 days 01:42:12.826000,0 days 01:43:31.689000,168.0,121.0,47.0,224.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:39:59.929000,2020-09-06 14:20:00.125,1,16.0,False,,False,False,28.0,40.7,990.5,False,37.4,154,1.9
0 days 01:43:33.612000,ALB,23,0 days 00:01:59.895000,28.0,3.0,,,0 days 00:00:57.624000,0 days 00:00:32.261000,0 days 00:00:30.010000,0 days 01:44:29.025000,0 days 01:45:01.286000,0 days 01:45:31.296000,340.0,317.0,316.0,216.0,False,HARD,2.0,True,Red Bull Racing,0 days 01:43:31.421000,2020-09-06 14:23:31.617,1,17.0,False,,False,True,28.1,39.4,990.6,False,37.3,152,1.2
0 days 01:45:33.612000,ALB,23,0 days 00:01:27.314000,29.0,3.0,,,0 days 00:00:28.291000,0 days 00:00:29.887000,0 days 00:00:29.136000,0 days 01:45:59.587000,0 days 01:46:29.474000,0 days 01:46:58.610000,321.0,328.0,317.0,309.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:45:31.316000,2020-09-06 14:25:31.512,1,16.0,False,,False,True,28.1,39.5,990.6,False,36.9,0,0.7
0 days 01:47:33.614000,ALB,23,0 days 00:01:26.687000,30.0,3.0,,,0 days 00:00:28.199000,0 days 00:00:29.655000,0 days 00:00:28.833000,0 days 01:47:26.809000,0 days 01:47:56.464000,0 days 01:48:25.297000,,335.0,317.0,324.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:46:58.630000,2020-09-06 14:26:58.826,1,15.0,False,,False,True,28.1,39.7,990.5,False,36.1,197,1.3
0 days 01:48:33.614000,ALB,23,0 days 00:01:25.012000,31.0,3.0,,,0 days 00:00:27.516000,0 days 00:00:29.170000,0 days 00:00:28.326000,0 days 01:48:52.813000,0 days 01:49:21.983000,0 days 01:49:50.309000,325.0,331.0,317.0,342.0,True,HARD,5.0,True,Red Bull Racing,0 days 01:48:25.317000,2020-09-06 14:28:25.513,1,14.0,False,,False,True,28.4,40.1,990.4,False,36.2,183,1.8
0 days 01:50:33.616000,ALB,23,0 days 00:01:25.181000,32.0,3.0,,,0 days 00:00:27.601000,0 days 00:00:29.259000,0 days 00:00:28.321000,0 days 01:50:17.910000,0 days 01:50:47.169000,0 days 01:51:15.490000,321.0,327.0,317.0,340.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:49:50.329000,2020-09-06 14:29:50.525,1,14.0,False,,False,True,28.3,39.7,990.4,False,35.7,189,0.9
0 days 01:51:33.624000,ALB,23,0 days 00:01:25.699000,33.0,3.0,,,0 days 00:00:27.985000,0 days 00:00:29.298000,0 days 00:00:28.416000,0 days 01:51:43.475000,0 days 01:52:12.773000,0 days 01:52:41.189000,322.0,334.0,318.0,338.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:51:15.510000,2020-09-06 14:31:15.706,1,14.0,False,,False,True,28.5,39.7,990.4,False,36.2,196,1.5
0 days 01:53:33.621000,ALB,23,0 days 00:01:26.008000,34.0,3.0,,,0 days 00:00:27.949000,0 days 00:00:29.448000,0 days 00:00:28.611000,0 days 01:53:09.138000,0 days 01:53:38.586000,0 days 01:54:07.197000,,335.0,319.0,339.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:52:41.209000,2020-09-06 14:32:41.405,1,14.0,False,,False,True,28.8,38.9,990.4,False,36.0,193,1.2
0 days 01:54:33.620000,ALB,23,0 days 00:01:25.607000,35.0,3.0,,,0 days 00:00:27.673000,0 days 00:00:29.342000,0 days 00:00:28.592000,0 days 01:54:34.870000,0 days 01:55:04.212000,0 days 01:55:32.804000,323.0,336.0,319.0,334.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:54:07.217000,2020-09-06 14:34:07.413,1,14.0,False,,False,True,28.9,38.8,990.4,False,36.0,184,2.5
0 days 01:55:33.620000,ALB,23,0 days 00:01:25.781000,36.0,3.0,,,0 days 00:00:27.966000,0 days 00:00:29.201000,0 days 00:00:28.614000,0 days 01:56:00.770000,0 days 01:56:29.971000,0 days 01:56:58.585000,322.0,331.0,317.0,335.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:55:32.824000,2020-09-06 14:35:33.020,1,14.0,False,,False,True,28.9,39.2,990.4,False,36.0,156,3.1
0 days 01:57:33.623000,ALB,23,0 days 00:01:25.142000,37.0,3.0,,,0 days 00:00:27.720000,0 days 00:00:29.065000,0 days 00:00:28.357000,0 days 01:57:26.305000,0 days 01:57:55.370000,0 days 01:58:23.727000,320.0,328.0,317.0,332.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:56:58.605000,2020-09-06 14:36:58.801,1,14.0,False,,False,True,28.5,38.9,990.4,False,36.2,152,2.0
0 days 01:58:33.631000,ALB,23,0 days 00:01:25.054000,38.0,3.0,,,0 days 00:00:27.755000,0 days 00:00:29.072000,0 days 00:00:28.227000,0 days 01:58:51.482000,0 days 01:59:20.554000,0 days 01:59:48.781000,321.0,326.0,318.0,338.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:58:23.747000,2020-09-06 14:38:23.943,1,14.0,False,,False,True,28.2,39.3,990.4,False,35.7,180,1.3
0 days 02:00:33.626000,ALB,23,0 days 00:01:24.888000,39.0,3.0,,,0 days 00:00:27.780000,0 days 00:00:28.989000,0 days 00:00:28.119000,0 days 02:00:16.561000,0 days 02:00:45.550000,0 days 02:01:13.669000,,326.0,314.0,346.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:59:48.801000,2020-09-06 14:39:48.997,1,14.0,True,TRACK LIMITS AT TURN 11,False,True,28.6,38.8,990.4,False,35.7,164,1.8
0 days 02:01:33.626000,ALB,23,0 days 00:01:26.464000,40.0,3.0,,,0 days 00:00:27.732000,0 days 00:00:30.019000,0 days 00:00:28.713000,0 days 02:01:41.401000,0 days 02:02:11.420000,0 days 02:02:40.133000,,333.0,316.0,344.0,False,HARD,14.0,True,Red Bull Racing,0 days 02:01:13.689000,2020-09-06 14:41:13.885,1,15.0,True,TRACK LIMITS AT TURN 11,False,True,28.3,39.4,990.4,False,35.8,184,2.0
0 days 02:03:33.629000,ALB,23,0 days 00:01:25.441000,41.0,3.0,,,0 days 00:00:27.874000,0 days 00:00:29.069000,0 days 00:00:28.498000,0 days 02:03:08.007000,0 days 02:03:37.076000,0 days 02:04:05.574000,323.0,332.0,317.0,333.0,False,HARD,15.0,True,Red Bull Racing,0 days 02:02:40.153000,2020-09-06 14:42:40.349,1,15.0,False,,False,True,28.4,39.1,990.4,False,36.0,194,2.1
0 days 02:04:33.628000,ALB,23,0 days 00:01:25.949000,42.0,3.0,,,0 days 00:00:27.766000,0 days 00:00:29.561000,0 days 00:00:28.622000,0 days 02:04:33.340000,0 days 02:05:02.901000,0 days 02:05:31.523000,326.0,334.0,316.0,336.0,False,HARD,16.0,True,Red Bull Racing,0 days 02:04:05.594000,2020-09-06 14:44:05.790,1,15.0,False,,False,True,28.6,38.8,990.5,False,36.0,192,2.6
0 days 02:05:33.630000,ALB,23,0 days 00:01:25.523000,43.0,3.0,,,0 days 00:00:27.982000,0 days 00:00:29.023000,0 days 00:00:28.518000,0 days 02:05:59.505000,0 days 02:06:28.528000,0 days 02:06:57.046000,321.0,332.0,316.0,335.0,False,HARD,17.0,True,Red Bull Racing,0 days 02:05:31.543000,2020-09-06 14:45:31.739,1,15.0,False,,False,True,28.7,38.0,990.4,False,35.9,211,1.3
0 days 02:07:33.630000,ALB,23,0 days 00:01:25.722000,44.0,3.0,,,0 days 00:00:27.938000,0 days 00:00:29.310000,0 days 00:00:28.474000,0 days 02:07:24.984000,0 days 02:07:54.294000,0 days 02:08:22.768000,,323.0,315.0,334.0,False,HARD,18.0,True,Red Bull Racing,0 days 02:06:57.066000,2020-09-06 14:46:57.262,1,15.0,False,,False,True,28.7,39.2,990.4,False,36.5,197,2.6
0 days 02:08:33.633000,ALB,23,0 days 00:01:25.433000,45.0,3.0,,,0 days 00:00:27.799000,0 days 00:00:29.079000,0 days 00:00:28.555000,0 days 02:08:50.567000,0 days 02:09:19.646000,0 days 02:09:48.201000,320.0,326.0,314.0,332.0,False,HARD,19.0,True,Red Bull Racing,0 days 02:08:22.788000,2020-09-06 14:48:22.984,1,15.0,False,,False,True,28.6,38.7,990.5,False,36.3,231,2.0
0 days 02:10:33.634000,ALB,23,0 days 00:01:25.188000,46.0,3.0,,,0 days 00:00:27.778000,0 days 00:00:28.988000,0 days 00:00:28.422000,0 days 02:10:15.979000,0 days 02:10:44.967000,0 days 02:11:13.389000,318.0,323.0,315.0,329.0,False,HARD,20.0,True,Red Bull Racing,0 days 02:09:48.221000,2020-09-06 14:49:48.417,1,15.0,False,,False,True,28.2,39.3,990.3,False,36.9,236,0.8
0 days 02:11:33.641000,ALB,23,0 days 00:01:25.049000,47.0,3.0,,,0 days 00:00:27.868000,0 days 00:00:28.860000,0 days 00:00:28.321000,0 days 02:11:41.257000,0 days 02:12:10.117000,0 days 02:12:38.438000,319.0,324.0,315.0,331.0,False,HARD,21.0,True,Red Bull Racing,0 days 02:11:13.409000,2020-09-06 14:51:13.605,1,15.0,False,,False,True,28.4,39.2,990.4,False,36.9,190,1.8
0 days 02:13:33.637000,ALB,23,0 days 00:01:24.926000,48.0,3.0,,,0 days 00:00:27.813000,0 days 00:00:28.846000,0 days 00:00:28.267000,0 days 02:13:06.251000,0 days 02:13:35.097000,0 days 02:14:03.364000,321.0,325.0,316.0,,True,HARD,22.0,True,Red Bull Racing,0 days 02:12:38.458000,2020-09-06 14:52:38.654,1,15.0,False,,False,True,28.6,39.1,990.4,False,37.7,174,1.7
0 days 02:14:33.637000,ALB,23,0 days 00:01:25.002000,49.0,3.0,,,0 days 00:00:27.763000,0 days 00:00:28.924000,0 days 00:00:28.315000,0 days 02:14:31.127000,0 days 02:15:00.051000,0 days 02:15:28.366000,,325.0,318.0,332.0,False,HARD,23.0,True,Red Bull Racing,0 days 02:14:03.384000,2020-09-06 14:54:03.580,1,15.0,False,,False,True,28.3,40.2,990.4,False,37.6,161,1.9
0 days 02:15:33.647000,ALB,23,0 days 00:01:25.030000,50.0,3.0,,,0 days 00:00:27.818000,0 days 00:00:28.757000,0 days 00:00:28.455000,0 days 02:15:56.184000,0 days 02:16:24.941000,0 days 02:16:53.396000,319.0,331.0,317.0,333.0,False,HARD,24.0,True,Red Bull Racing,0 days 02:15:28.386000,2020-09-06 14:55:28.582,1,15.0,False,,False,True,28.1,40.8,990.4,False,37.5,182,1.2
