Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:30.085000,OCO,31,0 days 00:01:41.495000,1.0,1.0,,,,0 days 00:00:40.117000,0 days 00:00:26.509000,,0 days 00:34:32.329000,0 days 00:34:58.900000,305.0,254.0,244.0,316.0,False,MEDIUM,1.0,True,Renault,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,12.0,False,,False,False,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:35:30.084000,OCO,31,0 days 00:01:35.198000,2.0,1.0,,,0 days 00:00:29.768000,0 days 00:00:39.125000,0 days 00:00:26.305000,0 days 00:35:28.534000,0 days 00:36:07.659000,0 days 00:36:33.964000,290.0,256.0,245.0,308.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:58.752000,2020-08-09 13:14:58.798,1,12.0,False,,False,True,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:37:30.077000,OCO,31,0 days 00:01:34.245000,3.0,1.0,,,0 days 00:00:29.453000,0 days 00:00:38.710000,0 days 00:00:26.082000,0 days 00:37:03.417000,0 days 00:37:42.127000,0 days 00:38:08.209000,293.0,256.0,243.0,307.0,True,MEDIUM,3.0,True,Renault,0 days 00:36:33.950000,2020-08-09 13:16:33.996,1,12.0,False,,False,True,24.9,59.9,1001.1,False,43.0,66,1.9
0 days 00:38:30.089000,OCO,31,0 days 00:01:34.268000,4.0,1.0,,,0 days 00:00:29.692000,0 days 00:00:38.479000,0 days 00:00:26.097000,0 days 00:38:37.901000,0 days 00:39:16.380000,0 days 00:39:42.477000,292.0,254.0,242.0,302.0,False,MEDIUM,4.0,True,Renault,0 days 00:38:08.195000,2020-08-09 13:18:08.241,1,12.0,False,,False,True,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:40:30.107000,OCO,31,0 days 00:01:34.234000,5.0,1.0,,,0 days 00:00:29.700000,0 days 00:00:38.434000,0 days 00:00:26.100000,0 days 00:40:12.177000,0 days 00:40:50.611000,0 days 00:41:16.711000,291.0,256.0,242.0,302.0,True,MEDIUM,5.0,True,Renault,0 days 00:39:42.463000,2020-08-09 13:19:42.509,1,12.0,False,,False,True,25.0,59.4,1001.0,False,43.0,8,3.3
0 days 00:41:30.110000,OCO,31,0 days 00:01:34.355000,6.0,1.0,,,0 days 00:00:29.773000,0 days 00:00:38.583000,0 days 00:00:25.999000,0 days 00:41:46.484000,0 days 00:42:25.067000,0 days 00:42:51.066000,289.0,254.0,242.0,301.0,False,MEDIUM,6.0,True,Renault,0 days 00:41:16.697000,2020-08-09 13:21:16.743,1,12.0,False,,False,True,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:43:30.119000,OCO,31,0 days 00:01:34.129000,7.0,1.0,,,0 days 00:00:29.668000,0 days 00:00:38.407000,0 days 00:00:26.054000,0 days 00:43:20.734000,0 days 00:43:59.141000,0 days 00:44:25.195000,287.0,253.0,242.0,299.0,True,MEDIUM,7.0,True,Renault,0 days 00:42:51.052000,2020-08-09 13:22:51.098,1,11.0,False,,False,True,25.1,58.3,1001.0,False,43.1,6,3.0
0 days 00:44:30.103000,OCO,31,0 days 00:01:34.225000,8.0,1.0,,,0 days 00:00:29.838000,0 days 00:00:38.448000,0 days 00:00:25.939000,0 days 00:44:55.033000,0 days 00:45:33.481000,0 days 00:45:59.420000,288.0,256.0,242.0,302.0,False,MEDIUM,8.0,True,Renault,0 days 00:44:25.181000,2020-08-09 13:24:25.227,1,10.0,False,,False,True,25.1,58.4,1001.0,False,43.1,285,3.0
0 days 00:46:30.154000,OCO,31,0 days 00:01:34,9.0,1.0,,,0 days 00:00:29.659000,0 days 00:00:38.460000,0 days 00:00:25.881000,0 days 00:46:29.079000,0 days 00:47:07.539000,0 days 00:47:33.420000,291.0,255.0,243.0,300.0,True,MEDIUM,9.0,True,Renault,0 days 00:45:59.406000,2020-08-09 13:25:59.452,1,10.0,False,,False,True,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:48:30.119000,OCO,31,0 days 00:01:33.892000,10.0,1.0,,,0 days 00:00:29.811000,0 days 00:00:38.212000,0 days 00:00:25.869000,0 days 00:48:03.231000,0 days 00:48:41.443000,0 days 00:49:07.312000,289.0,256.0,242.0,300.0,True,MEDIUM,10.0,True,Renault,0 days 00:47:33.406000,2020-08-09 13:27:33.452,1,10.0,False,,False,True,25.4,58.1,1000.9,False,43.8,354,1.9
