Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:27.318000,NOR,4,0 days 00:01:40.311000,1.0,1.0,,,,0 days 00:00:41.613000,0 days 00:00:24.252000,,0 days 00:01:16.399000,0 days 00:01:40.771000,263.0,226.0,249.0,295.0,False,SOFT,4.0,False,McLaren,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,7.0,False,,False,False,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:02:27.318000,NOR,4,0 days 00:01:34.983000,2.0,1.0,,,0 days 00:00:31.037000,0 days 00:00:39.785000,0 days 00:00:24.161000,0 days 00:02:11.649000,0 days 00:02:51.434000,0 days 00:03:15.595000,262.0,226.0,248.0,290.0,True,SOFT,5.0,False,McLaren,0 days 00:01:40.584000,2020-10-11 12:14:55.175,1,7.0,False,,False,True,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:03:27.321000,NOR,4,0 days 00:01:34.416000,3.0,1.0,,,0 days 00:00:31.062000,0 days 00:00:39.462000,0 days 00:00:23.892000,0 days 00:03:46.657000,0 days 00:04:26.119000,0 days 00:04:50.011000,261.0,226.0,249.0,295.0,True,SOFT,6.0,False,McLaren,0 days 00:03:15.567000,2020-10-11 12:16:30.158,1,7.0,False,,False,True,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:05:27.325000,NOR,4,0 days 00:01:34.419000,4.0,1.0,,,0 days 00:00:31.125000,0 days 00:00:39.226000,0 days 00:00:24.068000,0 days 00:05:21.136000,0 days 00:06:00.362000,0 days 00:06:24.430000,,227.0,246.0,293.0,False,SOFT,7.0,False,McLaren,0 days 00:04:49.983000,2020-10-11 12:18:04.574,1,7.0,False,,False,True,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:06:27.323000,NOR,4,0 days 00:01:33.941000,5.0,1.0,,,0 days 00:00:30.991000,0 days 00:00:39.050000,0 days 00:00:23.900000,0 days 00:06:55.421000,0 days 00:07:34.471000,0 days 00:07:58.371000,262.0,226.0,249.0,292.0,True,SOFT,8.0,False,McLaren,0 days 00:06:24.402000,2020-10-11 12:19:38.993,1,7.0,False,,False,True,9.4,58.0,947.3,False,18.2,187,2.7
0 days 00:08:27.355000,NOR,4,0 days 00:01:34.028000,6.0,1.0,,,0 days 00:00:31,0 days 00:00:39.117000,0 days 00:00:23.911000,0 days 00:08:29.371000,0 days 00:09:08.488000,0 days 00:09:32.399000,,226.0,249.0,294.0,False,SOFT,9.0,False,McLaren,0 days 00:07:58.343000,2020-10-11 12:21:12.934,1,7.0,False,,False,True,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:10:27.373000,NOR,4,0 days 00:01:34.072000,7.0,1.0,,,0 days 00:00:30.842000,0 days 00:00:39.385000,0 days 00:00:23.845000,0 days 00:10:03.241000,0 days 00:10:42.626000,0 days 00:11:06.471000,260.0,226.0,248.0,295.0,False,SOFT,10.0,False,McLaren,0 days 00:09:32.371000,2020-10-11 12:22:46.962,1,6.0,False,,False,True,9.3,58.4,947.4,False,17.2,16,1.9
0 days 00:11:27.397000,NOR,4,0 days 00:01:33.378000,8.0,1.0,,,0 days 00:00:30.509000,0 days 00:00:38.981000,0 days 00:00:23.888000,0 days 00:11:36.980000,0 days 00:12:15.961000,0 days 00:12:39.849000,261.0,225.0,249.0,293.0,True,SOFT,11.0,False,McLaren,0 days 00:11:06.443000,2020-10-11 12:24:21.034,1,6.0,False,,False,True,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:13:27.411000,NOR,4,0 days 00:01:34.349000,9.0,1.0,,,0 days 00:00:30.650000,0 days 00:00:39.556000,0 days 00:00:24.143000,0 days 00:13:10.499000,0 days 00:13:50.055000,0 days 00:14:14.198000,262.0,224.0,252.0,311.0,False,SOFT,12.0,False,McLaren,0 days 00:12:39.821000,2020-10-11 12:25:54.412,1,6.0,False,,False,True,9.7,58.0,947.4,False,16.8,29,1.7
0 days 00:14:27.422000,NOR,4,0 days 00:01:34.599000,10.0,1.0,,,0 days 00:00:31.135000,0 days 00:00:39.355000,0 days 00:00:24.109000,0 days 00:14:45.333000,0 days 00:15:24.688000,0 days 00:15:48.797000,261.0,223.0,253.0,311.0,False,SOFT,13.0,False,McLaren,0 days 00:14:14.170000,2020-10-11 12:27:28.761,1,5.0,False,,False,True,9.8,57.6,947.5,False,16.6,177,1.6
0 days 00:16:27.441000,NOR,4,0 days 00:01:32.959000,11.0,1.0,,,0 days 00:00:30.203000,0 days 00:00:38.730000,0 days 00:00:24.026000,0 days 00:16:19,0 days 00:16:57.730000,0 days 00:17:21.756000,260.0,226.0,248.0,286.0,True,SOFT,14.0,False,McLaren,0 days 00:15:48.769000,2020-10-11 12:29:03.360,1,5.0,False,,False,True,9.8,57.8,947.4,False,16.3,34,1.2
0 days 00:17:27.461000,NOR,4,0 days 00:01:32.965000,12.0,1.0,,,0 days 00:00:30.352000,0 days 00:00:38.695000,0 days 00:00:23.918000,0 days 00:17:52.108000,0 days 00:18:30.803000,0 days 00:18:54.721000,262.0,227.0,248.0,288.0,False,SOFT,15.0,False,McLaren,0 days 00:17:21.728000,2020-10-11 12:30:36.319,1,5.0,False,,False,True,9.6,58.6,947.4,False,16.0,148,2.0
0 days 00:19:27.461000,NOR,4,0 days 00:01:32.770000,13.0,1.0,,,0 days 00:00:30.260000,0 days 00:00:38.586000,0 days 00:00:23.924000,0 days 00:19:24.981000,0 days 00:20:03.567000,0 days 00:20:27.491000,263.0,228.0,248.0,289.0,True,SOFT,16.0,False,McLaren,0 days 00:18:54.693000,2020-10-11 12:32:09.284,2,5.0,False,,False,True,9.5,59.5,947.3,False,15.9,46,1.5
0 days 00:20:27.469000,NOR,4,0 days 00:01:33.481000,14.0,1.0,,,0 days 00:00:30.430000,0 days 00:00:39.084000,0 days 00:00:23.967000,0 days 00:20:57.921000,0 days 00:21:37.005000,0 days 00:22:00.972000,,227.0,249.0,289.0,False,SOFT,17.0,False,McLaren,0 days 00:20:27.463000,2020-10-11 12:33:42.054,1,5.0,False,,False,True,9.4,59.5,947.3,False,15.7,0,2.3
0 days 00:22:27.476000,NOR,4,0 days 00:01:33.171000,15.0,1.0,,,0 days 00:00:30.333000,0 days 00:00:38.848000,0 days 00:00:23.990000,0 days 00:22:31.305000,0 days 00:23:10.153000,0 days 00:23:34.143000,262.0,227.0,247.0,289.0,False,SOFT,18.0,False,McLaren,0 days 00:22:00.944000,2020-10-11 12:35:15.535,1,5.0,False,,False,True,9.6,59.9,947.4,False,15.6,36,1.4
0 days 00:24:27.464000,NOR,4,0 days 00:01:51.919000,16.0,1.0,,,0 days 00:00:30.360000,0 days 00:00:52.049000,0 days 00:00:29.510000,0 days 00:24:04.503000,0 days 00:24:56.552000,0 days 00:25:26.062000,263.0,120.0,232.0,213.0,False,SOFT,19.0,False,McLaren,0 days 00:23:34.115000,2020-10-11 12:36:48.706,67,5.0,False,,False,False,9.6,59.1,947.4,False,15.6,46,1.6
0 days 00:25:27.470000,NOR,4,0 days 00:01:35.193000,17.0,1.0,,,0 days 00:00:30.752000,0 days 00:00:40.066000,0 days 00:00:24.375000,0 days 00:25:56.814000,0 days 00:26:36.880000,0 days 00:27:01.255000,267.0,223.0,244.0,304.0,False,SOFT,20.0,False,McLaren,0 days 00:25:26.034000,2020-10-11 12:38:40.625,2,3.0,False,,False,True,9.4,60.3,947.4,False,15.4,94,1.3
