Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:45.192000,SAI,55,0 days 00:02:15.726000,1.0,1.0,,,,0 days 00:00:45.796000,0 days 00:00:32.999000,,0 days 00:35:09.351000,0 days 00:35:42.365000,199.0,265.0,188.0,222.0,False,WET,7.0,False,McLaren,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,9.0,False,,False,False,12.9,83.1,1008.7,False,15.8,237,1.2
0 days 00:35:45.184000,SAI,55,0 days 00:02:02.115000,2.0,1.0,,,0 days 00:00:46.738000,0 days 00:00:43.951000,0 days 00:00:31.426000,0 days 00:36:28.969000,0 days 00:37:12.920000,0 days 00:37:44.346000,213.0,255.0,208.0,224.0,True,WET,8.0,False,McLaren,0 days 00:35:42.246000,2020-11-15 10:15:42.748,2,9.0,False,,False,True,13.0,82.7,1008.6,False,15.7,207,1.2
0 days 00:37:45.197000,SAI,55,0 days 00:01:57.336000,3.0,1.0,,,0 days 00:00:43.973000,0 days 00:00:41.836000,0 days 00:00:31.527000,0 days 00:38:28.319000,0 days 00:39:10.155000,0 days 00:39:41.682000,222.0,265.0,205.0,229.0,True,WET,9.0,False,McLaren,0 days 00:37:44.361000,2020-11-15 10:17:44.863,1,9.0,False,,False,True,13.0,81.9,1008.7,False,15.7,283,1.5
0 days 00:39:45.224000,SAI,55,0 days 00:01:56.216000,4.0,1.0,,,0 days 00:00:43.639000,0 days 00:00:41.431000,0 days 00:00:31.146000,0 days 00:40:25.321000,0 days 00:41:06.752000,0 days 00:41:37.898000,229.0,267.0,205.0,220.0,True,WET,10.0,False,McLaren,0 days 00:39:41.697000,2020-11-15 10:19:42.199,1,9.0,False,,False,True,13.0,81.8,1008.6,False,15.6,0,1.1
0 days 00:41:45.201000,SAI,55,0 days 00:01:55.227000,5.0,1.0,,,0 days 00:00:43.402000,0 days 00:00:41.191000,0 days 00:00:30.634000,0 days 00:42:21.300000,0 days 00:43:02.491000,0 days 00:43:33.125000,222.0,267.0,208.0,227.0,True,WET,11.0,False,McLaren,0 days 00:41:37.913000,2020-11-15 10:21:38.415,1,8.0,False,,False,True,13.0,81.6,1008.6,False,15.6,233,1.1
0 days 00:43:45.201000,SAI,55,0 days 00:01:53.255000,6.0,1.0,,,0 days 00:00:42.938000,0 days 00:00:39.882000,0 days 00:00:30.435000,0 days 00:44:16.063000,0 days 00:44:55.945000,0 days 00:45:26.380000,234.0,267.0,215.0,231.0,True,WET,12.0,False,McLaren,0 days 00:43:33.140000,2020-11-15 10:23:33.642,1,8.0,False,,False,True,13.0,81.3,1008.6,False,15.6,213,0.8
0 days 00:45:45.192000,SAI,55,0 days 00:01:53.171000,7.0,1.0,,,0 days 00:00:42.619000,0 days 00:00:40.138000,0 days 00:00:30.414000,0 days 00:46:08.999000,0 days 00:46:49.137000,0 days 00:47:19.551000,,267.0,214.0,236.0,True,WET,13.0,False,McLaren,0 days 00:45:26.395000,2020-11-15 10:25:26.897,1,8.0,False,,False,True,13.1,81.6,1008.6,False,15.8,258,1.4
0 days 00:47:45.189000,SAI,55,0 days 00:01:52.726000,8.0,1.0,,,0 days 00:00:42.169000,0 days 00:00:40.220000,0 days 00:00:30.337000,0 days 00:48:01.720000,0 days 00:48:41.940000,0 days 00:49:12.277000,243.0,266.0,215.0,236.0,True,WET,14.0,False,McLaren,0 days 00:47:19.566000,2020-11-15 10:27:20.068,1,8.0,False,,False,True,13.2,81.8,1008.6,False,15.9,223,1.3
0 days 00:49:45.196000,SAI,55,0 days 00:01:51.671000,9.0,1.0,,,0 days 00:00:41.617000,0 days 00:00:39.791000,0 days 00:00:30.263000,0 days 00:49:53.894000,0 days 00:50:33.685000,0 days 00:51:03.948000,,269.0,216.0,240.0,True,WET,15.0,False,McLaren,0 days 00:49:12.292000,2020-11-15 10:29:12.794,1,6.0,False,,False,True,13.1,81.1,1008.6,False,15.7,238,1.6
0 days 00:51:45.191000,SAI,55,0 days 00:01:52.789000,10.0,1.0,,0 days 00:52:56.784000,0 days 00:00:41.992000,0 days 00:00:40.007000,0 days 00:00:30.790000,0 days 00:51:45.940000,0 days 00:52:25.947000,0 days 00:52:56.737000,244.0,268.0,,227.0,False,WET,16.0,False,McLaren,0 days 00:51:03.963000,2020-11-15 10:31:04.465,1,6.0,False,,False,False,13.2,81.9,1008.6,False,16.1,0,1.2
