Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:34:18.965000,VET,5,0 days 00:02:01.600000,1.0,1.0,,,,0 days 00:00:54.915000,0 days 00:00:30.033000,,0 days 00:35:13.568000,0 days 00:35:43.690000,302.0,191.0,215.0,278.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,14.0,False,,False,False,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:36:18.998000,VET,5,0 days 00:01:54.126000,2.0,1.0,,,0 days 00:00:31.851000,0 days 00:00:52.287000,0 days 00:00:29.988000,0 days 00:36:15.349000,0 days 00:37:07.636000,0 days 00:37:37.624000,322.0,184.0,214.0,305.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:35:43.520000,2020-08-30 13:15:43.584,1,13.0,False,,False,True,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:38:18.977000,VET,5,0 days 00:01:52.223000,3.0,1.0,,,0 days 00:00:31.708000,0 days 00:00:50.602000,0 days 00:00:29.913000,0 days 00:38:09.332000,0 days 00:38:59.934000,0 days 00:39:29.847000,328.0,194.0,215.0,309.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:37:37.646000,2020-08-30 13:17:37.710,1,13.0,False,,False,True,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:40:18.996000,VET,5,0 days 00:01:52.351000,4.0,1.0,,,0 days 00:00:31.927000,0 days 00:00:50.569000,0 days 00:00:29.855000,0 days 00:40:01.774000,0 days 00:40:52.343000,0 days 00:41:22.198000,321.0,195.0,215.0,306.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:39:29.869000,2020-08-30 13:19:29.933,1,13.0,False,,False,True,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:42:19.688000,VET,5,0 days 00:01:52.485000,5.0,1.0,,,0 days 00:00:31.863000,0 days 00:00:50.672000,0 days 00:00:29.950000,0 days 00:41:54.061000,0 days 00:42:44.733000,0 days 00:43:14.683000,318.0,184.0,214.0,310.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:41:22.220000,2020-08-30 13:21:22.284,1,13.0,False,,False,True,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:43:18.997000,VET,5,0 days 00:01:52.951000,6.0,1.0,,,0 days 00:00:31.894000,0 days 00:00:51.066000,0 days 00:00:29.991000,0 days 00:43:46.577000,0 days 00:44:37.643000,0 days 00:45:07.634000,323.0,193.0,214.0,307.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:43:14.705000,2020-08-30 13:23:14.769,1,13.0,False,,False,True,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:45:19.017000,VET,5,0 days 00:01:52.409000,7.0,1.0,,,0 days 00:00:31.955000,0 days 00:00:50.638000,0 days 00:00:29.816000,0 days 00:45:39.589000,0 days 00:46:30.227000,0 days 00:47:00.043000,318.0,198.0,214.0,308.0,False,MEDIUM,7.0,True,Ferrari,0 days 00:45:07.656000,2020-08-30 13:25:07.720,1,13.0,False,,False,True,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:47:18.998000,VET,5,0 days 00:01:52.040000,8.0,1.0,,,0 days 00:00:31.287000,0 days 00:00:50.933000,0 days 00:00:29.820000,0 days 00:47:31.330000,0 days 00:48:22.263000,0 days 00:48:52.083000,336.0,196.0,213.0,311.0,True,MEDIUM,8.0,True,Ferrari,0 days 00:47:00.065000,2020-08-30 13:27:00.129,1,13.0,False,,False,True,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:49:19.026000,VET,5,0 days 00:01:52.245000,9.0,1.0,,,0 days 00:00:31.573000,0 days 00:00:50.583000,0 days 00:00:30.089000,0 days 00:49:23.656000,0 days 00:50:14.239000,0 days 00:50:44.328000,330.0,197.0,214.0,310.0,False,MEDIUM,9.0,True,Ferrari,0 days 00:48:52.105000,2020-08-30 13:28:52.169,1,13.0,False,,False,True,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:51:19.020000,VET,5,0 days 00:01:59.218000,10.0,1.0,,,0 days 00:00:31.863000,0 days 00:00:50.113000,0 days 00:00:37.242000,0 days 00:51:16.191000,0 days 00:52:06.304000,0 days 00:52:43.546000,317.0,197.0,179.0,307.0,False,MEDIUM,10.0,True,Ferrari,0 days 00:50:44.350000,2020-08-30 13:30:44.414,24,12.0,False,,False,False,19.0,53.2,962.4,False,30.8,86,1.3
0 days 00:53:19.022000,VET,5,,11.0,1.0,,0 days 00:55:12.958000,0 days 00:00:43.850000,0 days 00:01:10.275000,0 days 00:00:38.995000,0 days 00:53:27.414000,0 days 00:54:37.706000,0 days 00:55:16.821000,266.0,149.0,,164.0,False,MEDIUM,11.0,True,Ferrari,0 days 00:52:43.568000,2020-08-30 13:32:43.632,4,12.0,False,,False,False,19.1,53.0,962.3,False,31.0,45,0.9
0 days 00:55:19.012000,VET,5,,12.0,2.0,0 days 00:55:35.952000,,0 days 00:00:52.510000,0 days 00:01:10.648000,0 days 00:00:43.841000,0 days 00:56:09.208000,0 days 00:57:19.833000,0 days 00:58:03.824000,222.0,166.0,151.0,243.0,False,HARD,1.0,True,Ferrari,0 days 00:55:16.706000,2020-08-30 13:35:16.770,4,12.0,False,,False,False,18.9,54.6,962.3,False,31.3,161,0.8
0 days 00:58:19.013000,VET,5,,13.0,2.0,,,0 days 00:00:48.096000,0 days 00:01:19.710000,0 days 00:00:51.295000,0 days 00:58:51.773000,0 days 01:00:11.523000,0 days 01:01:02.936000,175.0,104.0,140.0,246.0,False,HARD,2.0,True,Ferrari,0 days 00:58:03.696000,2020-08-30 13:38:03.760,4,12.0,False,,False,False,19.0,54.0,962.3,False,31.4,148,1.4
0 days 01:01:19.031000,VET,5,,14.0,2.0,,,0 days 00:00:47.491000,0 days 00:01:05.556000,0 days 00:00:41.168000,0 days 01:01:50.311000,0 days 01:02:55.863000,0 days 01:03:37.179000,272.0,167.0,221.0,217.0,False,HARD,3.0,True,Ferrari,0 days 01:01:02.800000,2020-08-30 13:41:02.864,4,12.0,False,,False,False,19.3,53.7,962.4,False,31.9,307,1.8
0 days 01:04:19.003000,VET,5,0 days 00:01:52.777000,15.0,2.0,,,0 days 00:00:31.645000,0 days 00:00:51.419000,0 days 00:00:29.713000,0 days 01:04:08.618000,0 days 01:05:00.037000,0 days 01:05:29.750000,328.0,194.0,219.0,315.0,False,HARD,4.0,True,Ferrari,0 days 01:03:36.995000,2020-08-30 13:43:37.059,1,12.0,False,,False,False,19.5,52.7,962.4,False,32.1,300,2.3
0 days 01:06:19.030000,VET,5,0 days 00:01:52.297000,16.0,2.0,,,0 days 00:00:31.587000,0 days 00:00:51.096000,0 days 00:00:29.614000,0 days 01:06:01.337000,0 days 01:06:52.433000,0 days 01:07:22.047000,326.0,197.0,221.0,,False,HARD,5.0,True,Ferrari,0 days 01:05:29.772000,2020-08-30 13:45:29.836,1,13.0,False,,False,True,19.3,52.0,962.3,False,31.9,349,2.0
0 days 01:08:19.042000,VET,5,0 days 00:01:51.903000,17.0,2.0,,,0 days 00:00:31.480000,0 days 00:00:50.686000,0 days 00:00:29.737000,0 days 01:07:53.527000,0 days 01:08:44.213000,0 days 01:09:13.950000,327.0,194.0,218.0,312.0,True,HARD,6.0,True,Ferrari,0 days 01:07:22.069000,2020-08-30 13:47:22.133,1,13.0,False,,False,True,19.1,51.5,962.4,False,32.0,194,1.7
0 days 01:09:19.025000,VET,5,0 days 00:01:51.560000,18.0,2.0,,,0 days 00:00:31.211000,0 days 00:00:50.506000,0 days 00:00:29.843000,0 days 01:09:45.161000,0 days 01:10:35.667000,0 days 01:11:05.510000,336.0,195.0,216.0,313.0,True,HARD,7.0,True,Ferrari,0 days 01:09:13.972000,2020-08-30 13:49:14.036,1,13.0,False,,False,True,19.1,52.7,962.3,False,31.9,210,0.5
0 days 01:11:19.015000,VET,5,0 days 00:01:51.010000,19.0,2.0,,,0 days 00:00:31.316000,0 days 00:00:50.059000,0 days 00:00:29.635000,0 days 01:11:36.826000,0 days 01:12:26.885000,0 days 01:12:56.520000,342.0,198.0,217.0,312.0,True,HARD,8.0,True,Ferrari,0 days 01:11:05.532000,2020-08-30 13:51:05.596,1,12.0,False,,False,True,19.3,51.7,962.3,False,32.0,176,1.2
0 days 01:13:19.030000,VET,5,0 days 00:01:50.551000,20.0,2.0,,,0 days 00:00:31.548000,0 days 00:00:49.412000,0 days 00:00:29.591000,0 days 01:13:28.068000,0 days 01:14:17.480000,0 days 01:14:47.071000,322.0,200.0,218.0,,True,HARD,9.0,True,Ferrari,0 days 01:12:56.542000,2020-08-30 13:52:56.606,1,12.0,False,,False,True,19.3,51.5,962.3,False,31.8,346,1.4
0 days 01:15:19.026000,VET,5,0 days 00:01:50.793000,21.0,2.0,,,0 days 00:00:31.549000,0 days 00:00:49.540000,0 days 00:00:29.704000,0 days 01:15:18.620000,0 days 01:16:08.160000,0 days 01:16:37.864000,,195.0,218.0,310.0,False,HARD,10.0,True,Ferrari,0 days 01:14:47.093000,2020-08-30 13:54:47.157,1,12.0,False,,False,True,18.9,54.3,962.4,False,30.3,281,1.8
0 days 01:17:19.033000,VET,5,0 days 00:01:50.524000,22.0,2.0,,,0 days 00:00:31.644000,0 days 00:00:49.256000,0 days 00:00:29.624000,0 days 01:17:09.508000,0 days 01:17:58.764000,0 days 01:18:28.388000,,199.0,216.0,,True,HARD,11.0,True,Ferrari,0 days 01:16:37.886000,2020-08-30 13:56:37.950,1,12.0,False,,False,True,18.8,54.6,962.5,False,29.8,320,1.7
0 days 01:19:19.055000,VET,5,0 days 00:01:50.200000,23.0,2.0,,,0 days 00:00:31.611000,0 days 00:00:49.049000,0 days 00:00:29.540000,0 days 01:18:59.999000,0 days 01:19:49.048000,0 days 01:20:18.588000,323.0,196.0,217.0,309.0,True,HARD,12.0,True,Ferrari,0 days 01:18:28.410000,2020-08-30 13:58:28.474,1,12.0,False,,False,True,18.7,54.6,962.4,False,29.5,331,1.8
0 days 01:20:19.026000,VET,5,0 days 00:01:50.463000,24.0,2.0,,,0 days 00:00:31.589000,0 days 00:00:49.257000,0 days 00:00:29.617000,0 days 01:20:50.177000,0 days 01:21:39.434000,0 days 01:22:09.051000,319.0,196.0,219.0,310.0,False,HARD,13.0,True,Ferrari,0 days 01:20:18.610000,2020-08-30 14:00:18.674,1,12.0,False,,False,True,18.4,55.2,962.5,False,29.2,357,2.8
0 days 01:22:19.051000,VET,5,0 days 00:01:50.232000,25.0,2.0,,,0 days 00:00:31.435000,0 days 00:00:49.171000,0 days 00:00:29.626000,0 days 01:22:40.486000,0 days 01:23:29.657000,0 days 01:23:59.283000,322.0,194.0,217.0,313.0,False,HARD,14.0,True,Ferrari,0 days 01:22:09.073000,2020-08-30 14:02:09.137,1,12.0,False,,False,True,18.6,55.2,962.5,False,28.6,356,1.5
0 days 01:24:19.103000,VET,5,0 days 00:01:50.351000,26.0,2.0,,,0 days 00:00:31.477000,0 days 00:00:49.226000,0 days 00:00:29.648000,0 days 01:24:30.760000,0 days 01:25:19.986000,0 days 01:25:49.634000,,196.0,214.0,311.0,False,HARD,15.0,True,Ferrari,0 days 01:23:59.305000,2020-08-30 14:03:59.369,1,12.0,False,,False,True,18.3,55.3,962.5,False,28.3,339,2.3
