Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:23.544000,VET,5,0 days 00:01:41.375000,1.0,1.0,,,,0 days 00:00:40.826000,0 days 00:00:26.369000,,0 days 00:34:37.978000,0 days 00:35:04.443000,288.0,251.0,248.0,305.0,False,SOFT,4.0,False,Ferrari,0 days 00:33:22.751000,2020-08-02 13:13:22.765,1,11.0,False,,False,False,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:35:23.561000,VET,5,0 days 00:02:11.969000,2.0,1.0,,,0 days 00:00:44.772000,0 days 00:00:50.524000,0 days 00:00:36.673000,0 days 00:35:49.059000,0 days 00:36:39.583000,0 days 00:37:16.256000,136.0,215.0,131.0,268.0,True,SOFT,5.0,False,Ferrari,0 days 00:35:04.287000,2020-08-02 13:15:04.301,24,10.0,False,,False,False,21.0,43.8,998.6,False,42.3,208,3.5
0 days 00:37:23.577000,VET,5,0 days 00:02:28.600000,3.0,1.0,,,0 days 00:00:46.029000,0 days 00:01:01.914000,0 days 00:00:40.657000,0 days 00:38:02.285000,0 days 00:39:04.199000,0 days 00:39:44.856000,161.0,119.0,78.0,225.0,False,SOFT,6.0,False,Ferrari,0 days 00:37:16.256000,2020-08-02 13:17:16.270,4,10.0,False,,False,False,20.9,43.8,998.6,False,42.3,179,4.7
0 days 00:40:23.576000,VET,5,,4.0,1.0,,,0 days 00:00:48.350000,0 days 00:01:04.275000,0 days 00:00:42.337000,0 days 00:40:33.240000,0 days 00:41:37.547000,0 days 00:42:19.985000,250.0,119.0,88.0,256.0,False,SOFT,7.0,False,Ferrari,0 days 00:39:44.856000,2020-08-02 13:19:44.870,4,10.0,False,,False,False,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:42:23.577000,VET,5,0 days 00:02:11.085000,5.0,1.0,,,0 days 00:00:43.205000,0 days 00:00:55.239000,0 days 00:00:32.641000,0 days 00:43:03.049000,0 days 00:43:58.288000,0 days 00:44:30.929000,209.0,175.0,248.0,195.0,True,SOFT,8.0,False,Ferrari,0 days 00:42:19.844000,2020-08-02 13:22:19.858,4,10.0,False,,False,False,21.1,43.3,998.4,False,41.3,246,3.7
0 days 00:45:23.582000,VET,5,0 days 00:01:35.095000,6.0,1.0,,,0 days 00:00:29.961000,0 days 00:00:39.069000,0 days 00:00:26.065000,0 days 00:45:00.890000,0 days 00:45:39.959000,0 days 00:46:06.024000,303.0,249.0,249.0,306.0,True,SOFT,9.0,False,Ferrari,0 days 00:44:30.929000,2020-08-02 13:24:30.943,1,10.0,False,,False,False,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:46:23.580000,VET,5,0 days 00:01:34.927000,7.0,1.0,,,0 days 00:00:30.063000,0 days 00:00:38.789000,0 days 00:00:26.075000,0 days 00:46:36.087000,0 days 00:47:14.876000,0 days 00:47:40.951000,291.0,252.0,248.0,306.0,True,SOFT,10.0,False,Ferrari,0 days 00:46:06.024000,2020-08-02 13:26:06.038,1,10.0,False,,False,True,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:48:23.581000,VET,5,0 days 00:01:33.528000,8.0,1.0,,,0 days 00:00:29.365000,0 days 00:00:38.352000,0 days 00:00:25.811000,0 days 00:48:10.316000,0 days 00:48:48.668000,0 days 00:49:14.479000,303.0,255.0,249.0,316.0,True,SOFT,11.0,False,Ferrari,0 days 00:47:40.951000,2020-08-02 13:27:40.965,1,10.0,False,,False,True,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:49:23.586000,VET,5,0 days 00:01:33.461000,9.0,1.0,,,0 days 00:00:29.393000,0 days 00:00:38.219000,0 days 00:00:25.849000,0 days 00:49:43.872000,0 days 00:50:22.091000,0 days 00:50:47.940000,306.0,254.0,247.0,316.0,True,SOFT,12.0,False,Ferrari,0 days 00:49:14.479000,2020-08-02 13:29:14.493,1,10.0,False,,False,True,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:51:23.587000,VET,5,0 days 00:01:33.378000,10.0,1.0,,,0 days 00:00:29.470000,0 days 00:00:38.109000,0 days 00:00:25.799000,0 days 00:51:17.410000,0 days 00:51:55.519000,0 days 00:52:21.318000,300.0,256.0,247.0,316.0,True,SOFT,13.0,False,Ferrari,0 days 00:50:47.940000,2020-08-02 13:30:47.954,1,10.0,False,,False,True,21.3,43.7,998.5,False,42.0,240,4.3
0 days 00:52:23.590000,VET,5,0 days 00:01:33.086000,11.0,1.0,,,0 days 00:00:29.396000,0 days 00:00:38.088000,0 days 00:00:25.602000,0 days 00:52:50.714000,0 days 00:53:28.802000,0 days 00:53:54.404000,305.0,256.0,249.0,318.0,True,SOFT,14.0,False,Ferrari,0 days 00:52:21.318000,2020-08-02 13:32:21.332,1,10.0,False,,False,True,21.1,44.6,998.6,False,42.2,192,3.4
0 days 00:54:23.611000,VET,5,0 days 00:01:39.509000,12.0,1.0,,0 days 00:55:28.047000,0 days 00:00:29.577000,0 days 00:00:38.181000,0 days 00:00:31.751000,0 days 00:54:23.981000,0 days 00:55:02.162000,0 days 00:55:33.913000,306.0,257.0,,239.0,False,SOFT,15.0,False,Ferrari,0 days 00:53:54.404000,2020-08-02 13:33:54.418,24,10.0,False,,False,False,21.0,44.6,998.4,False,41.7,222,2.4
0 days 00:56:23.607000,VET,5,0 days 00:02:24.723000,13.0,2.0,0 days 00:55:57.479000,,0 days 00:00:58.379000,0 days 00:00:53.339000,0 days 00:00:33.005000,0 days 00:56:32.292000,0 days 00:57:25.631000,0 days 00:57:58.636000,179.0,225.0,240.0,240.0,False,HARD,1.0,True,Ferrari,0 days 00:55:33.913000,2020-08-02 13:35:33.927,4,10.0,False,,False,False,21.5,43.6,998.4,False,41.8,203,3.8
0 days 00:58:23.610000,VET,5,0 days 00:02:09.879000,14.0,2.0,,,0 days 00:00:38.927000,0 days 00:00:48.160000,0 days 00:00:42.792000,0 days 00:58:37.563000,0 days 00:59:25.723000,0 days 01:00:08.515000,200.0,211.0,135.0,159.0,False,HARD,2.0,True,Ferrari,0 days 00:57:58.636000,2020-08-02 13:37:58.650,4,10.0,False,,False,False,21.4,43.3,998.4,False,41.7,239,4.0
0 days 01:00:23.611000,VET,5,,15.0,2.0,,,0 days 00:00:45.794000,0 days 00:01:07.680000,0 days 00:00:37.828000,0 days 01:00:54.331000,0 days 01:02:02.030000,0 days 01:02:39.923000,156.0,136.0,132.0,255.0,False,HARD,3.0,True,Ferrari,0 days 01:00:08.515000,2020-08-02 13:40:08.529,4,10.0,False,,False,False,21.4,43.0,998.3,False,42.0,203,3.4
0 days 01:03:23.611000,VET,5,,16.0,2.0,,,0 days 00:00:49.237000,0 days 00:01:12.652000,0 days 00:00:37.522000,0 days 01:03:29.049000,0 days 01:04:41.733000,0 days 01:05:19.365000,194.0,178.0,87.0,232.0,False,HARD,4.0,True,Ferrari,0 days 01:02:39.839000,2020-08-02 13:42:39.853,4,10.0,False,,False,False,21.4,42.7,998.4,False,42.4,214,4.4
0 days 01:05:23.628000,VET,5,,17.0,2.0,,,0 days 00:00:44.643000,0 days 00:01:11.085000,0 days 00:00:37.814000,0 days 01:06:03.844000,0 days 01:07:14.944000,0 days 01:07:52.933000,142.0,71.0,98.0,217.0,False,HARD,5.0,True,Ferrari,0 days 01:05:19.223000,2020-08-02 13:45:19.237,4,10.0,False,,False,False,21.1,44.3,998.3,False,39.8,239,3.6
0 days 01:08:23.650000,VET,5,0 days 00:02:14.104000,18.0,2.0,,,0 days 00:00:42.639000,0 days 00:00:55.823000,0 days 00:00:35.642000,0 days 01:08:35.382000,0 days 01:09:31.205000,0 days 01:10:06.847000,148.0,195.0,242.0,175.0,False,HARD,6.0,True,Ferrari,0 days 01:07:52.743000,2020-08-02 13:47:52.757,4,10.0,False,,False,False,21.0,45.3,998.3,False,38.5,230,2.5
0 days 01:10:23.652000,VET,5,0 days 00:01:35.950000,19.0,2.0,,,0 days 00:00:30.655000,0 days 00:00:39.068000,0 days 00:00:26.227000,0 days 01:10:37.502000,0 days 01:11:16.570000,0 days 01:11:42.797000,308.0,254.0,247.0,301.0,False,HARD,7.0,True,Ferrari,0 days 01:10:06.847000,2020-08-02 13:50:06.861,1,11.0,False,,False,False,21.3,45.0,998.3,False,41.0,198,3.1
0 days 01:12:23.677000,VET,5,0 days 00:01:33.666000,20.0,2.0,,,0 days 00:00:29.632000,0 days 00:00:38.305000,0 days 00:00:25.729000,0 days 01:12:12.429000,0 days 01:12:50.734000,0 days 01:13:16.463000,295.0,254.0,251.0,303.0,False,HARD,8.0,True,Ferrari,0 days 01:11:42.797000,2020-08-02 13:51:42.811,1,11.0,False,,False,True,21.3,45.9,998.3,False,40.0,286,1.3
0 days 01:13:23.689000,VET,5,0 days 00:01:32.635000,21.0,2.0,,,0 days 00:00:29.213000,0 days 00:00:38.009000,0 days 00:00:25.413000,0 days 01:13:45.676000,0 days 01:14:23.685000,0 days 01:14:49.098000,313.0,257.0,251.0,326.0,True,HARD,9.0,True,Ferrari,0 days 01:13:16.463000,2020-08-02 13:53:16.477,1,11.0,False,,False,True,21.3,45.8,998.2,False,40.0,244,1.1
0 days 01:15:23.702000,VET,5,0 days 00:01:32.489000,22.0,2.0,,,0 days 00:00:29.197000,0 days 00:00:37.695000,0 days 00:00:25.597000,0 days 01:15:18.295000,0 days 01:15:55.990000,0 days 01:16:21.587000,,257.0,251.0,318.0,True,HARD,10.0,True,Ferrari,0 days 01:14:49.098000,2020-08-02 13:54:49.112,1,11.0,False,,False,True,21.8,45.1,998.2,False,41.6,195,1.5
0 days 01:16:23.703000,VET,5,0 days 00:01:31.939000,23.0,2.0,,,0 days 00:00:29.128000,0 days 00:00:37.391000,0 days 00:00:25.420000,0 days 01:16:50.715000,0 days 01:17:28.106000,0 days 01:17:53.526000,314.0,261.0,252.0,325.0,True,HARD,11.0,True,Ferrari,0 days 01:16:21.587000,2020-08-02 13:56:21.601,1,11.0,False,,False,True,21.9,44.7,998.2,False,41.6,223,1.8
0 days 01:18:23.716000,VET,5,0 days 00:01:32.479000,24.0,2.0,,,0 days 00:00:29.273000,0 days 00:00:37.889000,0 days 00:00:25.317000,0 days 01:18:22.799000,0 days 01:19:00.688000,0 days 01:19:26.005000,309.0,258.0,250.0,321.0,False,HARD,12.0,True,Ferrari,0 days 01:17:53.526000,2020-08-02 13:57:53.540,1,11.0,False,,False,True,21.8,45.1,998.2,False,41.6,223,3.8
0 days 01:20:23.719000,VET,5,0 days 00:01:32.431000,25.0,2.0,,,0 days 00:00:29.352000,0 days 00:00:37.788000,0 days 00:00:25.291000,0 days 01:19:55.357000,0 days 01:20:33.145000,0 days 01:20:58.436000,308.0,257.0,251.0,321.0,False,HARD,13.0,True,Ferrari,0 days 01:19:26.005000,2020-08-02 13:59:26.019,1,11.0,False,,False,True,21.3,45.6,998.2,False,39.5,213,3.2
0 days 01:21:23.721000,VET,5,0 days 00:01:32.263000,26.0,2.0,,,0 days 00:00:29.190000,0 days 00:00:37.686000,0 days 00:00:25.387000,0 days 01:21:27.626000,0 days 01:22:05.312000,0 days 01:22:30.699000,313.0,255.0,252.0,326.0,False,HARD,14.0,True,Ferrari,0 days 01:20:58.436000,2020-08-02 14:00:58.450,1,11.0,False,,False,True,21.3,45.6,998.2,False,39.5,213,3.2
0 days 01:23:23.740000,VET,5,0 days 00:01:32.336000,27.0,2.0,,,0 days 00:00:29.163000,0 days 00:00:37.777000,0 days 00:00:25.396000,0 days 01:22:59.862000,0 days 01:23:37.639000,0 days 01:24:03.035000,316.0,259.0,248.0,326.0,False,HARD,15.0,True,Ferrari,0 days 01:22:30.699000,2020-08-02 14:02:30.713,1,11.0,False,,False,True,21.1,44.8,998.2,False,38.7,216,3.6
0 days 01:24:23.738000,VET,5,0 days 00:01:32.029000,28.0,2.0,,,0 days 00:00:29.246000,0 days 00:00:37.475000,0 days 00:00:25.308000,0 days 01:24:32.281000,0 days 01:25:09.756000,0 days 01:25:35.064000,312.0,258.0,252.0,310.0,False,HARD,16.0,True,Ferrari,0 days 01:24:03.035000,2020-08-02 14:04:03.049,1,11.0,False,,False,True,20.9,44.7,998.3,False,37.8,184,2.2
0 days 01:26:23.739000,VET,5,0 days 00:01:31.785000,29.0,2.0,,,0 days 00:00:29.297000,0 days 00:00:37.265000,0 days 00:00:25.223000,0 days 01:26:04.361000,0 days 01:26:41.626000,0 days 01:27:06.849000,299.0,260.0,252.0,316.0,True,HARD,17.0,True,Ferrari,0 days 01:25:35.064000,2020-08-02 14:05:35.078,1,11.0,False,,False,True,21.0,45.2,998.3,False,39.1,228,2.5
0 days 01:27:23.743000,VET,5,0 days 00:01:31.830000,30.0,2.0,,,0 days 00:00:29.185000,0 days 00:00:37.327000,0 days 00:00:25.318000,0 days 01:27:36.034000,0 days 01:28:13.361000,0 days 01:28:38.679000,301.0,257.0,252.0,306.0,False,HARD,18.0,True,Ferrari,0 days 01:27:06.849000,2020-08-02 14:07:06.863,1,11.0,False,,False,True,21.1,45.3,998.3,False,38.3,223,1.8
0 days 01:29:23.745000,VET,5,0 days 00:01:31.960000,31.0,2.0,,,0 days 00:00:29.465000,0 days 00:00:37.271000,0 days 00:00:25.224000,0 days 01:29:08.144000,0 days 01:29:45.415000,0 days 01:30:10.639000,300.0,257.0,252.0,307.0,False,HARD,19.0,True,Ferrari,0 days 01:28:38.679000,2020-08-02 14:08:38.693,1,11.0,False,,False,True,21.3,45.0,998.2,False,39.1,231,1.9
0 days 01:30:23.747000,VET,5,0 days 00:01:31.420000,32.0,2.0,,,0 days 00:00:29.095000,0 days 00:00:37.135000,0 days 00:00:25.190000,0 days 01:30:39.734000,0 days 01:31:16.869000,0 days 01:31:42.059000,299.0,256.0,251.0,309.0,True,HARD,20.0,True,Ferrari,0 days 01:30:10.639000,2020-08-02 14:10:10.653,1,11.0,False,,False,True,21.4,44.5,998.2,False,40.4,211,2.9
0 days 01:32:23.756000,VET,5,0 days 00:01:31.401000,33.0,2.0,,,0 days 00:00:29.179000,0 days 00:00:37.174000,0 days 00:00:25.048000,0 days 01:32:11.238000,0 days 01:32:48.412000,0 days 01:33:13.460000,300.0,257.0,252.0,311.0,True,HARD,21.0,True,Ferrari,0 days 01:31:42.059000,2020-08-02 14:11:42.073,1,11.0,False,,False,True,21.4,44.2,998.2,False,40.5,193,3.2
0 days 01:33:23.746000,VET,5,0 days 00:01:31.085000,34.0,2.0,,,0 days 00:00:29.074000,0 days 00:00:36.911000,0 days 00:00:25.100000,0 days 01:33:42.534000,0 days 01:34:19.445000,0 days 01:34:44.545000,296.0,257.0,252.0,307.0,True,HARD,22.0,True,Ferrari,0 days 01:33:13.460000,2020-08-02 14:13:13.474,1,11.0,False,,False,True,21.2,45.2,998.2,False,40.7,181,2.1
0 days 01:35:23.749000,VET,5,0 days 00:01:31.770000,35.0,2.0,,,0 days 00:00:29.331000,0 days 00:00:37.127000,0 days 00:00:25.312000,0 days 01:35:13.876000,0 days 01:35:51.003000,0 days 01:36:16.315000,298.0,255.0,252.0,301.0,False,HARD,23.0,True,Ferrari,0 days 01:34:44.545000,2020-08-02 14:14:44.559,1,11.0,False,,False,True,21.3,44.1,998.2,False,41.3,222,3.5
0 days 01:36:23.773000,VET,5,0 days 00:01:31.328000,36.0,2.0,,,0 days 00:00:29.246000,0 days 00:00:36.968000,0 days 00:00:25.114000,0 days 01:36:45.561000,0 days 01:37:22.529000,0 days 01:37:47.643000,293.0,257.0,253.0,302.0,False,HARD,24.0,True,Ferrari,0 days 01:36:16.315000,2020-08-02 14:16:16.329,1,11.0,False,,False,True,21.7,43.4,998.3,False,41.8,218,4.0
0 days 01:38:23.755000,VET,5,0 days 00:01:32.152000,37.0,2.0,,,0 days 00:00:29.292000,0 days 00:00:36.861000,0 days 00:00:25.999000,0 days 01:38:16.935000,0 days 01:38:53.796000,0 days 01:39:19.795000,299.0,259.0,252.0,304.0,False,HARD,25.0,True,Ferrari,0 days 01:37:47.643000,2020-08-02 14:17:47.657,1,11.0,False,,False,True,21.8,42.6,998.2,False,41.0,191,4.5
0 days 01:39:23.754000,VET,5,0 days 00:01:31.856000,38.0,2.0,,,0 days 00:00:29.164000,0 days 00:00:37.579000,0 days 00:00:25.113000,0 days 01:39:48.959000,0 days 01:40:26.538000,0 days 01:40:51.651000,321.0,259.0,250.0,319.0,False,HARD,26.0,True,Ferrari,0 days 01:39:19.795000,2020-08-02 14:19:19.809,1,11.0,False,,False,True,21.5,43.8,998.3,False,40.7,199,4.6
0 days 01:41:23.746000,VET,5,0 days 00:01:31.186000,39.0,2.0,,,0 days 00:00:29.042000,0 days 00:00:36.904000,0 days 00:00:25.240000,0 days 01:41:20.693000,0 days 01:41:57.597000,0 days 01:42:22.837000,305.0,257.0,249.0,305.0,False,HARD,27.0,True,Ferrari,0 days 01:40:51.651000,2020-08-02 14:20:51.665,1,11.0,False,,False,True,21.3,44.1,998.3,False,40.2,209,4.3
0 days 01:42:23.774000,VET,5,0 days 00:01:30.752000,40.0,2.0,,,0 days 00:00:28.953000,0 days 00:00:36.842000,0 days 00:00:24.957000,0 days 01:42:51.790000,0 days 01:43:28.632000,0 days 01:43:53.589000,294.0,259.0,252.0,306.0,True,HARD,28.0,True,Ferrari,0 days 01:42:22.837000,2020-08-02 14:22:22.851,1,11.0,False,,False,True,21.2,44.8,998.4,False,38.5,198,4.0
0 days 01:44:23.791000,VET,5,0 days 00:01:30.609000,41.0,2.0,,,0 days 00:00:28.809000,0 days 00:00:36.774000,0 days 00:00:25.026000,0 days 01:44:22.398000,0 days 01:44:59.172000,0 days 01:45:24.198000,297.0,258.0,252.0,309.0,True,HARD,29.0,True,Ferrari,0 days 01:43:53.589000,2020-08-02 14:23:53.603,1,11.0,False,,False,True,20.9,44.4,998.2,False,38.8,210,2.7
0 days 01:46:23.806000,VET,5,0 days 00:01:30.776000,42.0,2.0,,,0 days 00:00:28.992000,0 days 00:00:36.850000,0 days 00:00:24.934000,0 days 01:45:53.190000,0 days 01:46:30.040000,0 days 01:46:54.974000,296.0,261.0,252.0,307.0,False,HARD,30.0,True,Ferrari,0 days 01:45:24.198000,2020-08-02 14:25:24.212,1,11.0,False,,False,True,21.3,43.8,998.3,False,39.9,211,4.0
0 days 01:47:23.832000,VET,5,0 days 00:01:30.973000,43.0,2.0,,,0 days 00:00:29.238000,0 days 00:00:36.709000,0 days 00:00:25.026000,0 days 01:47:24.212000,0 days 01:48:00.921000,0 days 01:48:25.947000,294.0,259.0,252.0,301.0,False,HARD,31.0,True,Ferrari,0 days 01:46:54.974000,2020-08-02 14:26:54.988,1,11.0,False,,False,True,21.6,42.7,998.3,False,40.2,216,3.3
0 days 01:49:23.856000,VET,5,0 days 00:01:30.537000,44.0,2.0,,,0 days 00:00:29.053000,0 days 00:00:36.574000,0 days 00:00:24.910000,0 days 01:48:55,0 days 01:49:31.574000,0 days 01:49:56.484000,293.0,257.0,253.0,303.0,True,HARD,32.0,True,Ferrari,0 days 01:48:25.947000,2020-08-02 14:28:25.961,1,11.0,False,,False,True,21.7,42.6,998.1,False,39.2,198,2.4
0 days 01:50:23.856000,VET,5,0 days 00:01:30.761000,45.0,2.0,,,0 days 00:00:29.215000,0 days 00:00:36.721000,0 days 00:00:24.825000,0 days 01:50:25.699000,0 days 01:51:02.420000,0 days 01:51:27.245000,292.0,257.0,253.0,303.0,False,HARD,33.0,True,Ferrari,0 days 01:49:56.484000,2020-08-02 14:29:56.498,1,11.0,False,,False,True,21.8,43.3,998.2,False,39.1,221,2.9
0 days 01:52:23.873000,VET,5,0 days 00:01:30.666000,46.0,2.0,,,0 days 00:00:29.124000,0 days 00:00:36.671000,0 days 00:00:24.871000,0 days 01:51:56.369000,0 days 01:52:33.040000,0 days 01:52:57.911000,295.0,257.0,253.0,300.0,False,HARD,34.0,True,Ferrari,0 days 01:51:27.245000,2020-08-02 14:31:27.259,1,11.0,False,,False,True,22.1,42.1,998.2,False,39.0,236,2.8
0 days 01:53:23.879000,VET,5,0 days 00:01:30.601000,47.0,2.0,,,0 days 00:00:29.137000,0 days 00:00:36.588000,0 days 00:00:24.876000,0 days 01:53:27.048000,0 days 01:54:03.636000,0 days 01:54:28.512000,290.0,258.0,253.0,300.0,False,HARD,35.0,True,Ferrari,0 days 01:52:57.911000,2020-08-02 14:32:57.925,2,11.0,True,TRACK LIMITS AT TURN 9,False,True,22.1,43.3,998.1,False,38.7,228,2.7
0 days 01:55:23.897000,VET,5,0 days 00:01:30.757000,48.0,2.0,,,0 days 00:00:29.148000,0 days 00:00:36.717000,0 days 00:00:24.892000,0 days 01:54:57.660000,0 days 01:55:34.377000,0 days 01:55:59.269000,293.0,258.0,252.0,303.0,False,HARD,36.0,True,Ferrari,0 days 01:54:28.512000,2020-08-02 14:34:28.526,2,11.0,False,,False,True,21.6,45.1,998.1,False,37.6,219,3.2
0 days 01:56:23.892000,VET,5,0 days 00:01:32.228000,49.0,2.0,,,0 days 00:00:29.122000,0 days 00:00:36.989000,0 days 00:00:26.117000,0 days 01:56:28.391000,0 days 01:57:05.380000,0 days 01:57:31.497000,295.0,256.0,252.0,302.0,False,HARD,37.0,True,Ferrari,0 days 01:55:59.269000,2020-08-02 14:35:59.283,1,12.0,False,,False,True,21.6,44.9,998.2,False,37.6,221,1.9
0 days 01:58:23.894000,VET,5,0 days 00:01:31.547000,50.0,2.0,,,0 days 00:00:29.281000,0 days 00:00:37.143000,0 days 00:00:25.123000,0 days 01:58:00.778000,0 days 01:58:37.921000,0 days 01:59:03.044000,294.0,255.0,252.0,303.0,False,HARD,38.0,True,Ferrari,0 days 01:57:31.497000,2020-08-02 14:37:31.511,1,12.0,False,,False,True,21.4,45.3,998.2,False,37.3,227,3.6
0 days 01:59:23.907000,VET,5,0 days 00:01:31.225000,51.0,2.0,,,0 days 00:00:29.215000,0 days 00:00:36.933000,0 days 00:00:25.077000,0 days 01:59:32.259000,0 days 02:00:09.192000,0 days 02:00:34.269000,293.0,256.0,251.0,303.0,False,HARD,39.0,True,Ferrari,0 days 01:59:03.044000,2020-08-02 14:39:03.058,1,11.0,False,,False,True,21.4,45.3,998.1,False,37.3,230,2.8
0 days 02:01:23.910000,VET,5,0 days 00:01:31.782000,52.0,2.0,,,0 days 00:00:29.113000,0 days 00:00:36.920000,0 days 00:00:25.749000,0 days 02:01:03.382000,0 days 02:01:40.302000,0 days 02:02:06.051000,295.0,259.0,243.0,305.0,False,HARD,40.0,True,Ferrari,0 days 02:00:34.269000,2020-08-02 14:40:34.283,1,10.0,False,,False,True,21.7,44.0,998.2,False,39.1,185,3.4
