Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:52,VET,5,0 days 00:01:34.707000,1.0,1.0,,,,0 days 00:00:33.555000,0 days 00:00:30.578000,,0 days 00:34:21.639000,0 days 00:34:52.354000,233.0,237.0,275.0,290.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:33:17.322000,2020-08-16 13:13:19.298,1,11.0,False,,False,False,30.2,54.7,997.8,False,50.1,198,0.6
0 days 00:35:52.005000,VET,5,0 days 00:01:26.962000,2.0,1.0,,,0 days 00:00:24.365000,0 days 00:00:32.690000,0 days 00:00:29.907000,0 days 00:35:16.573000,0 days 00:35:49.263000,0 days 00:36:19.170000,256.0,244.0,275.0,310.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:52.195000,2020-08-16 13:14:54.171,1,11.0,False,,False,True,30.2,54.2,997.7,False,48.6,185,1.5
0 days 00:36:52.006000,VET,5,0 days 00:01:25.960000,3.0,1.0,,,0 days 00:00:24.008000,0 days 00:00:32.364000,0 days 00:00:29.588000,0 days 00:36:43.178000,0 days 00:37:15.542000,0 days 00:37:45.130000,263.0,243.0,282.0,307.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:36:19.157000,2020-08-16 13:16:21.133,1,11.0,False,,False,True,30.1,54.8,997.8,False,48.3,266,2.0
0 days 00:37:52.004000,VET,5,0 days 00:01:25.915000,4.0,1.0,,,0 days 00:00:23.714000,0 days 00:00:32.439000,0 days 00:00:29.762000,0 days 00:38:08.844000,0 days 00:38:41.283000,0 days 00:39:11.045000,262.0,249.0,274.0,327.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:37:45.117000,2020-08-16 13:17:47.093,1,11.0,False,,False,True,30.1,54.9,997.8,False,48.3,278,2.1
0 days 00:39:52.006000,VET,5,0 days 00:01:26.459000,5.0,1.0,,,0 days 00:00:24.446000,0 days 00:00:32.405000,0 days 00:00:29.608000,0 days 00:39:35.491000,0 days 00:40:07.896000,0 days 00:40:37.504000,267.0,260.0,273.0,307.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:39:11.032000,2020-08-16 13:19:13.008,1,11.0,False,,False,True,29.6,56.6,997.7,False,47.8,45,2.6
0 days 00:40:52.009000,VET,5,0 days 00:01:25.719000,6.0,1.0,,,0 days 00:00:23.905000,0 days 00:00:32.205000,0 days 00:00:29.609000,0 days 00:41:01.409000,0 days 00:41:33.614000,0 days 00:42:03.223000,261.0,257.0,276.0,302.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:40:37.491000,2020-08-16 13:20:39.467,1,11.0,False,,False,True,29.7,56.4,997.8,False,48.3,325,2.0
0 days 00:42:52.014000,VET,5,0 days 00:01:25.326000,7.0,1.0,,,0 days 00:00:23.819000,0 days 00:00:32.126000,0 days 00:00:29.381000,0 days 00:42:27.042000,0 days 00:42:59.168000,0 days 00:43:28.549000,264.0,264.0,275.0,305.0,True,MEDIUM,7.0,True,Ferrari,0 days 00:42:03.210000,2020-08-16 13:22:05.186,1,11.0,False,,False,True,30.0,55.2,997.8,False,48.6,120,1.5
0 days 00:43:52.010000,VET,5,0 days 00:01:25.600000,8.0,1.0,,,0 days 00:00:23.867000,0 days 00:00:32.200000,0 days 00:00:29.533000,0 days 00:43:52.416000,0 days 00:44:24.616000,0 days 00:44:54.149000,269.0,258.0,276.0,304.0,False,MEDIUM,8.0,True,Ferrari,0 days 00:43:28.536000,2020-08-16 13:23:30.512,1,11.0,False,,False,True,30.0,55.0,997.7,False,48.6,201,1.6
0 days 00:45:52.011000,VET,5,0 days 00:01:25.227000,9.0,1.0,,,0 days 00:00:23.822000,0 days 00:00:31.983000,0 days 00:00:29.422000,0 days 00:45:17.971000,0 days 00:45:49.954000,0 days 00:46:19.376000,268.0,260.0,276.0,306.0,True,MEDIUM,9.0,True,Ferrari,0 days 00:44:54.136000,2020-08-16 13:24:56.112,1,11.0,False,,False,True,30.1,55.4,997.7,False,49.1,49,2.6
0 days 00:46:52.012000,VET,5,0 days 00:01:25.530000,10.0,1.0,,,0 days 00:00:23.845000,0 days 00:00:32.143000,0 days 00:00:29.542000,0 days 00:46:43.221000,0 days 00:47:15.364000,0 days 00:47:44.906000,269.0,260.0,275.0,,False,MEDIUM,10.0,True,Ferrari,0 days 00:46:19.363000,2020-08-16 13:26:21.339,1,11.0,False,,False,True,29.9,56.2,997.8,False,49.1,233,2.2
0 days 00:47:52.014000,VET,5,0 days 00:01:25.462000,11.0,1.0,,,0 days 00:00:23.854000,0 days 00:00:32.029000,0 days 00:00:29.579000,0 days 00:48:08.760000,0 days 00:48:40.789000,0 days 00:49:10.368000,271.0,268.0,274.0,305.0,False,MEDIUM,11.0,True,Ferrari,0 days 00:47:44.893000,2020-08-16 13:27:46.869,1,11.0,False,,False,True,30.2,55.4,997.8,False,49.1,228,1.7
0 days 00:49:52.014000,VET,5,0 days 00:01:25.393000,12.0,1.0,,,0 days 00:00:23.771000,0 days 00:00:32.029000,0 days 00:00:29.593000,0 days 00:49:34.139000,0 days 00:50:06.168000,0 days 00:50:35.761000,270.0,261.0,274.0,304.0,False,MEDIUM,12.0,True,Ferrari,0 days 00:49:10.355000,2020-08-16 13:29:12.331,1,11.0,False,,False,True,30.6,54.3,997.6,False,49.2,73,1.6
0 days 00:50:52.018000,VET,5,0 days 00:01:25.479000,13.0,1.0,,,0 days 00:00:23.912000,0 days 00:00:32.054000,0 days 00:00:29.513000,0 days 00:50:59.673000,0 days 00:51:31.727000,0 days 00:52:01.240000,275.0,264.0,275.0,,False,MEDIUM,13.0,True,Ferrari,0 days 00:50:35.748000,2020-08-16 13:30:37.724,1,11.0,False,,False,True,30.7,53.6,997.7,False,49.2,194,2.6
0 days 00:52:52.036000,VET,5,0 days 00:01:25.395000,14.0,1.0,,,0 days 00:00:24.156000,0 days 00:00:31.758000,0 days 00:00:29.481000,0 days 00:52:25.396000,0 days 00:52:57.154000,0 days 00:53:26.635000,271.0,271.0,274.0,,False,MEDIUM,14.0,True,Ferrari,0 days 00:52:01.227000,2020-08-16 13:32:03.203,1,11.0,False,,False,True,30.3,55.2,997.8,False,47.6,339,1.1
0 days 00:53:52.027000,VET,5,0 days 00:01:25.185000,15.0,1.0,,,0 days 00:00:23.807000,0 days 00:00:31.875000,0 days 00:00:29.503000,0 days 00:53:50.442000,0 days 00:54:22.317000,0 days 00:54:51.820000,276.0,270.0,274.0,300.0,True,MEDIUM,15.0,True,Ferrari,0 days 00:53:26.622000,2020-08-16 13:33:28.598,1,11.0,False,,False,True,30.2,55.3,997.8,False,48.1,119,1.7
0 days 00:54:52.021000,VET,5,0 days 00:01:25.084000,16.0,1.0,,,0 days 00:00:23.814000,0 days 00:00:31.753000,0 days 00:00:29.517000,0 days 00:55:15.634000,0 days 00:55:47.387000,0 days 00:56:16.904000,272.0,266.0,275.0,301.0,True,MEDIUM,16.0,True,Ferrari,0 days 00:54:51.807000,2020-08-16 13:34:53.783,1,11.0,False,,False,True,30.3,54.7,997.8,False,48.5,201,1.6
0 days 00:56:52.024000,VET,5,0 days 00:01:25.107000,17.0,1.0,,,0 days 00:00:23.736000,0 days 00:00:31.874000,0 days 00:00:29.497000,0 days 00:56:40.640000,0 days 00:57:12.514000,0 days 00:57:42.011000,,263.0,274.0,300.0,False,MEDIUM,17.0,True,Ferrari,0 days 00:56:16.891000,2020-08-16 13:36:18.867,1,11.0,False,,False,True,29.8,56.2,997.7,False,48.1,75,1.3
0 days 00:57:52.024000,VET,5,0 days 00:01:25.529000,18.0,1.0,,,0 days 00:00:23.907000,0 days 00:00:31.932000,0 days 00:00:29.690000,0 days 00:58:05.918000,0 days 00:58:37.850000,0 days 00:59:07.540000,270.0,266.0,274.0,,False,MEDIUM,18.0,True,Ferrari,0 days 00:57:41.998000,2020-08-16 13:37:43.974,1,10.0,False,,False,True,30.1,55.1,997.8,False,48.1,145,1.6
0 days 00:59:52.025000,VET,5,0 days 00:01:25.373000,19.0,1.0,,,0 days 00:00:23.898000,0 days 00:00:31.854000,0 days 00:00:29.621000,0 days 00:59:31.438000,0 days 01:00:03.292000,0 days 01:00:32.913000,272.0,270.0,275.0,,False,MEDIUM,19.0,True,Ferrari,0 days 00:59:07.527000,2020-08-16 13:39:09.503,1,10.0,False,,False,True,29.8,55.1,997.8,False,48.4,168,1.4
0 days 01:00:52.029000,VET,5,0 days 00:01:25.512000,20.0,1.0,,,0 days 00:00:23.847000,0 days 00:00:32.060000,0 days 00:00:29.605000,0 days 01:00:56.760000,0 days 01:01:28.820000,0 days 01:01:58.425000,268.0,259.0,273.0,301.0,False,MEDIUM,20.0,True,Ferrari,0 days 01:00:32.900000,2020-08-16 13:40:34.876,1,10.0,False,,False,True,29.8,55.9,997.7,False,47.4,244,1.3
0 days 01:02:52.034000,VET,5,0 days 00:01:25.849000,21.0,1.0,,,0 days 00:00:24.003000,0 days 00:00:32.114000,0 days 00:00:29.732000,0 days 01:02:22.428000,0 days 01:02:54.542000,0 days 01:03:24.274000,267.0,262.0,272.0,300.0,False,MEDIUM,21.0,True,Ferrari,0 days 01:01:58.412000,2020-08-16 13:42:00.388,1,10.0,False,,False,True,29.9,55.8,997.7,False,48.5,59,1.9
0 days 01:03:52.029000,VET,5,0 days 00:01:25.985000,22.0,1.0,,,0 days 00:00:24.167000,0 days 00:00:32.072000,0 days 00:00:29.746000,0 days 01:03:48.441000,0 days 01:04:20.513000,0 days 01:04:50.259000,,260.0,272.0,297.0,False,MEDIUM,22.0,True,Ferrari,0 days 01:03:24.261000,2020-08-16 13:43:26.237,1,8.0,False,,False,True,30.1,54.6,997.7,False,48.4,230,1.3
0 days 01:04:52.031000,VET,5,0 days 00:01:25.614000,23.0,1.0,,,0 days 00:00:24.022000,0 days 00:00:32.112000,0 days 00:00:29.480000,0 days 01:05:14.281000,0 days 01:05:46.393000,0 days 01:06:15.873000,268.0,259.0,273.0,296.0,False,MEDIUM,23.0,True,Ferrari,0 days 01:04:50.246000,2020-08-16 13:44:52.222,1,7.0,False,,False,True,30.0,55.5,997.8,False,48.5,210,1.7
0 days 01:06:52.037000,VET,5,0 days 00:01:25.479000,24.0,1.0,,,0 days 00:00:24.016000,0 days 00:00:31.938000,0 days 00:00:29.525000,0 days 01:06:39.889000,0 days 01:07:11.827000,0 days 01:07:41.352000,271.0,261.0,272.0,297.0,False,MEDIUM,24.0,True,Ferrari,0 days 01:06:15.860000,2020-08-16 13:46:17.836,1,7.0,False,,False,True,29.8,56.4,997.7,False,48.5,214,1.5
0 days 01:07:52.050000,VET,5,0 days 00:01:25.627000,25.0,1.0,,,0 days 00:00:23.981000,0 days 00:00:31.954000,0 days 00:00:29.692000,0 days 01:08:05.333000,0 days 01:08:37.287000,0 days 01:09:06.979000,269.0,262.0,273.0,295.0,False,MEDIUM,25.0,True,Ferrari,0 days 01:07:41.339000,2020-08-16 13:47:43.315,1,7.0,False,,False,True,29.9,56.4,997.7,False,47.6,242,1.9
0 days 01:09:52.080000,VET,5,0 days 00:01:25.612000,26.0,1.0,,,0 days 00:00:23.933000,0 days 00:00:32.010000,0 days 00:00:29.669000,0 days 01:09:30.912000,0 days 01:10:02.922000,0 days 01:10:32.591000,272.0,272.0,274.0,298.0,False,MEDIUM,26.0,True,Ferrari,0 days 01:09:06.966000,2020-08-16 13:49:08.942,1,7.0,False,,False,True,29.4,57.5,997.6,False,48.2,50,1.4
0 days 01:10:52.091000,VET,5,0 days 00:01:25.811000,27.0,1.0,,,0 days 00:00:24.070000,0 days 00:00:31.984000,0 days 00:00:29.757000,0 days 01:10:56.661000,0 days 01:11:28.645000,0 days 01:11:58.402000,273.0,266.0,274.0,296.0,False,MEDIUM,27.0,True,Ferrari,0 days 01:10:32.578000,2020-08-16 13:50:34.554,1,7.0,False,,False,True,29.4,57.4,997.7,False,47.8,98,1.9
0 days 01:12:52.111000,VET,5,0 days 00:01:26.157000,28.0,1.0,,,0 days 00:00:24.100000,0 days 00:00:32.144000,0 days 00:00:29.913000,0 days 01:12:22.502000,0 days 01:12:54.646000,0 days 01:13:24.559000,,271.0,274.0,297.0,False,MEDIUM,28.0,True,Ferrari,0 days 01:11:58.389000,2020-08-16 13:52:00.365,1,6.0,False,,False,True,29.7,56.7,997.8,False,48.1,122,0.7
0 days 01:13:52.121000,VET,5,0 days 00:01:30.602000,29.0,1.0,,0 days 01:14:52.477000,0 days 00:00:24.887000,0 days 00:00:32.303000,0 days 00:00:33.412000,0 days 01:13:49.446000,0 days 01:14:21.749000,0 days 01:14:55.161000,268.0,269.0,,299.0,False,MEDIUM,29.0,True,Ferrari,0 days 01:13:24.546000,2020-08-16 13:53:26.522,1,7.0,False,,False,False,29.7,56.2,997.7,False,47.8,215,1.0
0 days 01:15:52.127000,VET,5,0 days 00:01:42.640000,30.0,2.0,0 days 01:15:14.319000,,0 days 00:00:42.661000,0 days 00:00:31.381000,0 days 00:00:28.598000,0 days 01:15:37.822000,0 days 01:16:09.203000,0 days 01:16:37.801000,270.0,273.0,273.0,250.0,False,SOFT,4.0,False,Ferrari,0 days 01:14:55.148000,2020-08-16 13:54:57.124,1,14.0,False,,False,False,30.0,56.5,997.6,False,47.4,44,1.1
0 days 01:16:52.128000,VET,5,0 days 00:01:24.034000,31.0,2.0,,,0 days 00:00:23.713000,0 days 00:00:31.429000,0 days 00:00:28.892000,0 days 01:17:01.514000,0 days 01:17:32.943000,0 days 01:18:01.835000,271.0,270.0,274.0,299.0,True,SOFT,5.0,False,Ferrari,0 days 01:16:37.788000,2020-08-16 13:56:39.764,1,14.0,False,,False,True,30.1,56.4,997.6,False,48.6,134,1.8
