LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:32.846000,1.0,BOT,77,0 days 00:33:30.085000,1.0,1.0,,,,0 days 00:00:36.878000,0 days 00:00:24.824000,,0 days 00:34:25.342000,0 days 00:34:50.274000,299.0,262.0,245.0,307.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:01:31.384000,1.0,BOT,77,0 days 00:35:30.084000,2.0,1.0,,,0 days 00:00:29.088000,0 days 00:00:37.126000,0 days 00:00:25.170000,0 days 00:35:19.191000,0 days 00:35:56.317000,0 days 00:36:21.487000,288.0,261.0,247.0,299.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:34:50.103000,2020-08-09 13:14:50.149,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:01:31.656000,1.0,BOT,77,0 days 00:36:31.190000,3.0,1.0,,,0 days 00:00:29.020000,0 days 00:00:37.409000,0 days 00:00:25.227000,0 days 00:36:50.507000,0 days 00:37:27.916000,0 days 00:37:53.143000,287.0,259.0,247.0,303.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:36:21.487000,2020-08-09 13:16:21.533,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.9,1001.2,False,42.8,19,1.9
0 days 00:01:31.562000,1.0,BOT,77,0 days 00:38:30.089000,4.0,1.0,,,0 days 00:00:29.049000,0 days 00:00:37.241000,0 days 00:00:25.272000,0 days 00:38:22.192000,0 days 00:38:59.433000,0 days 00:39:24.705000,,259.0,247.0,300.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:37:53.143000,2020-08-09 13:17:53.189,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:01:32.275000,1.0,BOT,77,0 days 00:39:30.085000,5.0,1.0,,,0 days 00:00:29.151000,0 days 00:00:37.765000,0 days 00:00:25.359000,0 days 00:39:53.856000,0 days 00:40:31.621000,0 days 00:40:56.980000,289.0,258.0,246.0,300.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:39:24.705000,2020-08-09 13:19:24.751,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.8,1001.0,False,43.0,11,1.9
0 days 00:01:32.752000,1.0,BOT,77,0 days 00:41:30.110000,6.0,1.0,,,0 days 00:00:29.362000,0 days 00:00:37.831000,0 days 00:00:25.559000,0 days 00:41:26.342000,0 days 00:42:04.173000,0 days 00:42:29.732000,287.0,258.0,246.0,298.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:40:56.980000,2020-08-09 13:20:57.026,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:01:32.153000,1.0,BOT,77,0 days 00:42:30.117000,7.0,1.0,,,0 days 00:00:29.371000,0 days 00:00:37.469000,0 days 00:00:25.313000,0 days 00:42:59.103000,0 days 00:43:36.572000,0 days 00:44:01.885000,,257.0,246.0,302.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:42:29.732000,2020-08-09 13:22:29.778,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.2,58.7,1001.0,False,43.1,17,3.5
0 days 00:01:32.574000,1.0,BOT,77,0 days 00:44:30.103000,8.0,1.0,,,0 days 00:00:29.506000,0 days 00:00:37.633000,0 days 00:00:25.435000,0 days 00:44:31.391000,0 days 00:45:09.024000,0 days 00:45:34.459000,,259.0,246.0,301.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:44:01.885000,2020-08-09 13:24:01.931,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.4,1001.0,False,43.1,285,3.0
0 days 00:01:32.636000,1.0,BOT,77,0 days 00:46:30.154000,9.0,1.0,,,0 days 00:00:29.339000,0 days 00:00:37.856000,0 days 00:00:25.441000,0 days 00:46:03.798000,0 days 00:46:41.654000,0 days 00:47:07.095000,289.0,258.0,247.0,304.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:45:34.459000,2020-08-09 13:25:34.505,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:01:32.583000,1.0,BOT,77,0 days 00:47:30.101000,10.0,1.0,,,0 days 00:00:29.489000,0 days 00:00:37.643000,0 days 00:00:25.451000,0 days 00:47:36.584000,0 days 00:48:14.227000,0 days 00:48:39.678000,287.0,259.0,247.0,300.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:47:07.095000,2020-08-09 13:27:07.141,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.5,58.3,1001.0,False,43.8,7,2.1
0 days 00:01:32.673000,1.0,BOT,77,0 days 00:49:30.130000,11.0,1.0,,,0 days 00:00:29.595000,0 days 00:00:37.657000,0 days 00:00:25.421000,0 days 00:49:09.273000,0 days 00:49:46.930000,0 days 00:50:12.351000,,260.0,244.0,300.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:48:39.678000,2020-08-09 13:28:39.724,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.5,58.5,1000.9,False,44.0,22,2.1
0 days 00:01:32.503000,1.0,BOT,77,0 days 00:50:30.127000,12.0,1.0,,,0 days 00:00:29.403000,0 days 00:00:37.692000,0 days 00:00:25.408000,0 days 00:50:41.754000,0 days 00:51:19.446000,0 days 00:51:44.854000,,260.0,246.0,299.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:50:12.351000,2020-08-09 13:30:12.397,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.7,57.3,1000.9,False,44.0,10,3.0
0 days 00:01:31.947000,1.0,BOT,77,0 days 00:52:30.113000,13.0,1.0,,0 days 00:53:10.876000,0 days 00:00:29.264000,0 days 00:00:37.724000,0 days 00:00:24.959000,0 days 00:52:14.118000,0 days 00:52:51.842000,0 days 00:53:16.801000,288.0,257.0,,303.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:51:44.854000,2020-08-09 13:31:44.900,1,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,25.7,56.8,1000.9,False,43.5,330,1.3
0 days 00:01:51.030000,6.0,BOT,77,0 days 00:53:30.123000,14.0,2.0,0 days 00:53:39.314000,,0 days 00:00:48.625000,0 days 00:00:37.391000,0 days 00:00:25.014000,0 days 00:54:05.426000,0 days 00:54:42.817000,0 days 00:55:07.831000,288.0,262.0,250.0,301.0,False,HARD,1.0,True,Mercedes,0 days 00:53:16.801000,2020-08-09 13:33:16.847,1,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,25.5,57.4,1000.9,False,42.9,343,1.8
0 days 00:01:30.971000,4.0,BOT,77,0 days 00:55:30.180000,15.0,2.0,,,0 days 00:00:29.027000,0 days 00:00:36.923000,0 days 00:00:25.021000,0 days 00:55:36.858000,0 days 00:56:13.781000,0 days 00:56:38.802000,287.0,262.0,249.0,302.0,True,HARD,2.0,True,Mercedes,0 days 00:55:07.831000,2020-08-09 13:35:07.877,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.5,58.3,1000.7,False,43.3,28,2.2
0 days 00:01:30.850000,3.0,BOT,77,0 days 00:57:30.147000,16.0,2.0,,,0 days 00:00:28.850000,0 days 00:00:37.026000,0 days 00:00:24.974000,0 days 00:57:07.652000,0 days 00:57:44.678000,0 days 00:58:09.652000,289.0,262.0,250.0,305.0,True,HARD,3.0,True,Mercedes,0 days 00:56:38.802000,2020-08-09 13:36:38.848,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,57.8,1000.9,False,43.6,296,3.1
0 days 00:01:31.761000,3.0,BOT,77,0 days 00:58:30.140000,17.0,2.0,,,0 days 00:00:29.115000,0 days 00:00:37.402000,0 days 00:00:25.244000,0 days 00:58:38.767000,0 days 00:59:16.169000,0 days 00:59:41.413000,288.0,262.0,248.0,306.0,False,HARD,4.0,True,Mercedes,0 days 00:58:09.652000,2020-08-09 13:38:09.698,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,58.5,1000.8,False,43.6,29,2.1
