LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:39.451000,8.0,NOR,4,0 days 00:33:30.085000,1.0,1.0,,,,0 days 00:00:39.420000,0 days 00:00:26.117000,,0 days 00:34:30.672000,0 days 00:34:56.825000,306.0,256.0,244.0,309.0,False,MEDIUM,4.0,False,McLaren,0 days 00:33:17.072000,2020-08-09 13:13:17.118,2,False,,False,False,0,70th Anniversary Grand Prix,18,92.0,24.2,61.2,1001.1,False,42.9,13,3.2
0 days 00:01:33.816000,8.0,NOR,4,0 days 00:35:30.084000,2.0,1.0,,,0 days 00:00:29.442000,0 days 00:00:38.468000,0 days 00:00:25.906000,0 days 00:35:26.166000,0 days 00:36:04.634000,0 days 00:36:30.540000,288.0,259.0,247.0,302.0,True,MEDIUM,5.0,False,McLaren,0 days 00:34:56.708000,2020-08-09 13:14:56.754,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.5,61.2,1001.1,False,42.6,5,3.7
0 days 00:01:33.862000,8.0,NOR,4,0 days 00:36:31.190000,3.0,1.0,,,0 days 00:00:29.312000,0 days 00:00:38.710000,0 days 00:00:25.840000,0 days 00:36:59.852000,0 days 00:37:38.562000,0 days 00:38:04.402000,300.0,258.0,245.0,303.0,False,MEDIUM,6.0,False,McLaren,0 days 00:36:30.524000,2020-08-09 13:16:30.570,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.9,1001.2,False,42.8,19,1.9
0 days 00:01:33.357000,8.0,NOR,4,0 days 00:38:30.089000,4.0,1.0,,,0 days 00:00:29.245000,0 days 00:00:38.055000,0 days 00:00:26.057000,0 days 00:38:33.647000,0 days 00:39:11.702000,0 days 00:39:37.759000,290.0,256.0,244.0,300.0,True,MEDIUM,7.0,False,McLaren,0 days 00:38:04.386000,2020-08-09 13:18:04.432,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,24.9,59.4,1001.0,False,43.1,295,2.0
0 days 00:01:33.901000,8.0,NOR,4,0 days 00:40:30.107000,5.0,1.0,,,0 days 00:00:29.417000,0 days 00:00:38.262000,0 days 00:00:26.222000,0 days 00:40:07.176000,0 days 00:40:45.438000,0 days 00:41:11.660000,,256.0,245.0,299.0,False,MEDIUM,8.0,False,McLaren,0 days 00:39:37.743000,2020-08-09 13:19:37.789,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.0,59.4,1001.0,False,43.0,8,3.3
0 days 00:01:33.435000,8.0,NOR,4,0 days 00:41:30.110000,6.0,1.0,,,0 days 00:00:29.360000,0 days 00:00:38.073000,0 days 00:00:26.002000,0 days 00:41:41.020000,0 days 00:42:19.093000,0 days 00:42:45.095000,285.0,258.0,245.0,299.0,False,MEDIUM,9.0,False,McLaren,0 days 00:41:11.644000,2020-08-09 13:21:11.690,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.7,1001.0,False,43.3,18,2.4
0 days 00:01:33.758000,8.0,NOR,4,0 days 00:43:30.119000,7.0,1.0,,,0 days 00:00:29.647000,0 days 00:00:38.208000,0 days 00:00:25.903000,0 days 00:43:14.742000,0 days 00:43:52.950000,0 days 00:44:18.853000,282.0,255.0,244.0,297.0,False,MEDIUM,10.0,False,McLaren,0 days 00:42:45.079000,2020-08-09 13:22:45.125,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.3,1001.0,False,43.1,6,3.0
0 days 00:01:33.181000,7.0,NOR,4,0 days 00:44:30.103000,8.0,1.0,,,0 days 00:00:29.563000,0 days 00:00:37.759000,0 days 00:00:25.859000,0 days 00:44:48.416000,0 days 00:45:26.175000,0 days 00:45:52.034000,283.0,258.0,244.0,296.0,True,MEDIUM,11.0,False,McLaren,0 days 00:44:18.837000,2020-08-09 13:24:18.883,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.1,58.4,1001.0,False,43.1,285,3.0
0 days 00:01:32.752000,7.0,NOR,4,0 days 00:46:30.154000,9.0,1.0,,,0 days 00:00:29.423000,0 days 00:00:37.559000,0 days 00:00:25.770000,0 days 00:46:21.457000,0 days 00:46:59.016000,0 days 00:47:24.786000,284.0,258.0,246.0,293.0,True,MEDIUM,12.0,False,McLaren,0 days 00:45:52.018000,2020-08-09 13:25:52.064,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.4,57.8,1000.9,False,43.4,3,2.3
0 days 00:01:33.128000,7.0,NOR,4,0 days 00:47:30.101000,10.0,1.0,,,0 days 00:00:29.525000,0 days 00:00:37.604000,0 days 00:00:25.999000,0 days 00:47:54.311000,0 days 00:48:31.915000,0 days 00:48:57.914000,282.0,259.0,244.0,293.0,False,MEDIUM,13.0,False,McLaren,0 days 00:47:24.770000,2020-08-09 13:27:24.816,1,False,,False,True,0,70th Anniversary Grand Prix,18,92.0,25.5,58.3,1001.0,False,43.8,7,2.1
