Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:41.120000,GRO,8,0 days 00:02:21.405000,1.0,1.0,,,,0 days 00:01:01.273000,0 days 00:00:38.315000,,0 days 00:35:16.762000,0 days 00:35:55.183000,202.0,176.0,128.0,232.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:33.451000,2020-09-27 11:13:33.505,24,12.0,False,,False,False,30.4,46.0,1012.5,False,41.1,34,0.5
0 days 00:36:41.152000,GRO,8,,2.0,1.0,,,0 days 00:01:27.250000,0 days 00:00:54.142000,0 days 00:00:45.599000,0 days 00:37:22.345000,0 days 00:38:16.465000,0 days 00:39:02.140000,173.0,249.0,106.0,91.0,False,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:55.059000,2020-09-27 11:15:55.113,4,10.0,False,,False,False,30.4,45.7,1012.6,False,40.7,46,0.0
0 days 00:39:41.173000,GRO,8,,3.0,1.0,,,0 days 00:01:09.690000,0 days 00:00:57.597000,0 days 00:00:43.661000,0 days 00:40:11.766000,0 days 00:41:09.340000,0 days 00:41:53.094000,134.0,196.0,75.0,140.0,False,MEDIUM,3.0,True,Haas F1 Team,0 days 00:39:02.046000,2020-09-27 11:19:02.100,4,10.0,False,,False,False,30.5,45.0,1012.7,False,40.5,11,0.7
0 days 00:42:41.173000,GRO,8,,4.0,1.0,,,0 days 00:01:09.646000,0 days 00:00:56.927000,0 days 00:00:45.451000,0 days 00:43:02.664000,0 days 00:43:59.566000,0 days 00:44:45.119000,133.0,151.0,120.0,159.0,False,MEDIUM,4.0,True,Haas F1 Team,0 days 00:41:52.983000,2020-09-27 11:21:53.037,4,10.0,False,,False,False,30.5,45.8,1012.8,False,40.3,0,0.5
0 days 00:45:41.194000,GRO,8,,5.0,1.0,,,0 days 00:01:03.945000,0 days 00:00:54.164000,0 days 00:00:48.289000,0 days 00:45:48.999000,0 days 00:46:43.104000,0 days 00:47:31.547000,141.0,98.0,161.0,149.0,False,MEDIUM,5.0,True,Haas F1 Team,0 days 00:44:44.999000,2020-09-27 11:24:45.053,4,10.0,False,,False,False,30.3,46.3,1012.8,False,39.9,135,0.8
0 days 00:47:41.196000,GRO,8,0 days 00:01:43.483000,6.0,1.0,,,0 days 00:00:36.670000,0 days 00:00:36.197000,0 days 00:00:30.616000,0 days 00:48:08.063000,0 days 00:48:44.260000,0 days 00:49:14.876000,241.0,301.0,157.0,299.0,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:47:31.375000,2020-09-27 11:27:31.429,1,10.0,False,,False,False,30.1,46.5,1012.8,False,39.9,260,0.7
0 days 00:49:41.213000,GRO,8,0 days 00:01:43.729000,7.0,1.0,,,0 days 00:00:36.581000,0 days 00:00:36.359000,0 days 00:00:30.789000,0 days 00:49:51.457000,0 days 00:50:27.816000,0 days 00:50:58.605000,251.0,301.0,161.0,302.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 00:49:14.858000,2020-09-27 11:29:14.912,1,10.0,False,,False,True,29.3,49.5,1012.8,False,40.0,256,3.0
0 days 00:51:41.230000,GRO,8,0 days 00:01:44.180000,8.0,1.0,,,0 days 00:00:36.289000,0 days 00:00:36.107000,0 days 00:00:31.784000,0 days 00:51:34.894000,0 days 00:52:11.001000,0 days 00:52:42.785000,252.0,300.0,157.0,306.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:50:58.587000,2020-09-27 11:30:58.641,1,11.0,False,,False,True,29.0,49.8,1012.9,False,40.2,278,1.6
0 days 00:53:41.231000,GRO,8,0 days 00:01:43.450000,9.0,1.0,,,0 days 00:00:36.566000,0 days 00:00:36.037000,0 days 00:00:30.847000,0 days 00:53:19.351000,0 days 00:53:55.388000,0 days 00:54:26.235000,244.0,300.0,158.0,295.0,True,MEDIUM,9.0,True,Haas F1 Team,0 days 00:52:42.767000,2020-09-27 11:32:42.821,1,11.0,False,,False,True,29.0,49.4,1012.8,False,40.7,299,1.6
0 days 00:54:41.242000,GRO,8,0 days 00:01:43.297000,10.0,1.0,,,0 days 00:00:36.528000,0 days 00:00:35.991000,0 days 00:00:30.778000,0 days 00:55:02.763000,0 days 00:55:38.754000,0 days 00:56:09.532000,249.0,300.0,158.0,,True,MEDIUM,10.0,True,Haas F1 Team,0 days 00:54:26.217000,2020-09-27 11:34:26.271,1,11.0,False,,False,True,28.9,49.5,1012.9,False,40.9,233,2.1
