Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:22.216000,GRO,8,0 days 00:01:43.860000,1.0,1.0,0 days 00:32:59.071000,0 days 00:31:51.627000,,0 days 00:00:32.662000,0 days 00:00:43.243000,,0 days 00:33:49.685000,0 days 00:34:33.016000,294.0,221.0,120.0,291.0,False,SOFT,1.0,True,Haas F1 Team,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,19.0,False,,False,False,20.6,35.2,945.8,False,39.7,290,1.2
0 days 00:35:22.220000,GRO,8,0 days 00:01:59.726000,2.0,1.0,,,0 days 00:00:25.693000,0 days 00:00:56.537000,0 days 00:00:37.496000,0 days 00:34:58.611000,0 days 00:35:55.148000,0 days 00:36:32.644000,149.0,174.0,180.0,157.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:34:32.918000,2020-07-12 13:14:34.940,4,17.0,False,,False,False,20.6,34.7,945.8,False,41.0,90,2.3
0 days 00:37:22.219000,GRO,8,0 days 00:01:34.898000,3.0,1.0,,,0 days 00:00:26.068000,0 days 00:00:42.833000,0 days 00:00:25.997000,0 days 00:36:58.712000,0 days 00:37:41.545000,0 days 00:38:07.542000,177.0,219.0,271.0,216.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:36:32.644000,2020-07-12 13:16:34.666,4,17.0,False,,False,False,21.0,33.4,945.8,False,41.6,85,2.1
0 days 00:38:22.217000,GRO,8,0 days 00:01:12.967000,4.0,1.0,,,0 days 00:00:18.007000,0 days 00:00:32.552000,0 days 00:00:22.408000,0 days 00:38:25.549000,0 days 00:38:58.101000,0 days 00:39:20.509000,306.0,217.0,272.0,301.0,True,SOFT,4.0,True,Haas F1 Team,0 days 00:38:07.542000,2020-07-12 13:18:09.564,2,16.0,False,,False,False,21.0,33.8,945.8,False,41.7,80,2.9
0 days 00:39:22.218000,GRO,8,0 days 00:01:11.939000,5.0,1.0,,,0 days 00:00:17.782000,0 days 00:00:32.133000,0 days 00:00:22.024000,0 days 00:39:38.291000,0 days 00:40:10.424000,0 days 00:40:32.448000,296.0,222.0,272.0,293.0,True,SOFT,5.0,True,Haas F1 Team,0 days 00:39:20.509000,2020-07-12 13:19:22.531,1,16.0,False,,False,True,21.0,33.0,945.9,False,41.7,91,2.8
0 days 00:41:22.220000,GRO,8,0 days 00:01:11.073000,6.0,1.0,,,0 days 00:00:17.539000,0 days 00:00:31.776000,0 days 00:00:21.758000,0 days 00:40:49.987000,0 days 00:41:21.763000,0 days 00:41:43.521000,300.0,222.0,277.0,300.0,True,SOFT,6.0,True,Haas F1 Team,0 days 00:40:32.448000,2020-07-12 13:20:34.470,1,16.0,False,,False,True,21.0,35.9,945.9,False,42.0,60,2.5
0 days 00:42:22.218000,GRO,8,0 days 00:01:10.554000,7.0,1.0,,,0 days 00:00:17.452000,0 days 00:00:31.292000,0 days 00:00:21.810000,0 days 00:42:00.973000,0 days 00:42:32.265000,0 days 00:42:54.075000,302.0,222.0,277.0,316.0,True,SOFT,7.0,True,Haas F1 Team,0 days 00:41:43.521000,2020-07-12 13:21:45.543,1,15.0,False,,False,True,21.0,35.1,945.8,False,41.8,81,2.6
0 days 00:43:22.220000,GRO,8,0 days 00:01:10.946000,8.0,1.0,,,0 days 00:00:17.609000,0 days 00:00:31.588000,0 days 00:00:21.749000,0 days 00:43:11.684000,0 days 00:43:43.272000,0 days 00:44:05.021000,294.0,224.0,277.0,292.0,False,SOFT,8.0,True,Haas F1 Team,0 days 00:42:54.075000,2020-07-12 13:22:56.097,1,15.0,False,,False,True,21.2,34.7,945.9,False,42.3,73,3.1
0 days 00:44:22.219000,GRO,8,0 days 00:01:10.751000,9.0,1.0,,,0 days 00:00:17.564000,0 days 00:00:31.480000,0 days 00:00:21.707000,0 days 00:44:22.585000,0 days 00:44:54.065000,0 days 00:45:15.772000,305.0,225.0,275.0,301.0,False,SOFT,9.0,True,Haas F1 Team,0 days 00:44:05.021000,2020-07-12 13:24:07.043,1,15.0,False,,False,True,21.1,34.0,945.9,False,42.5,67,3.0
0 days 00:45:22.222000,GRO,8,0 days 00:01:10.570000,10.0,1.0,,,0 days 00:00:17.488000,0 days 00:00:31.601000,0 days 00:00:21.481000,0 days 00:45:33.260000,0 days 00:46:04.861000,0 days 00:46:26.342000,308.0,229.0,276.0,302.0,False,SOFT,10.0,True,Haas F1 Team,0 days 00:45:15.772000,2020-07-12 13:25:17.794,1,15.0,False,,False,True,20.8,35.0,946.0,False,42.5,82,2.3
