LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:20.360000,15.0,KVY,26,0 days 00:33:38.694000,1.0,1.0,,,,0 days 00:00:34.261000,0 days 00:00:23.512000,,0 days 00:33:44.103000,0 days 00:34:07.741000,303.0,225.0,273.0,293.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,False,,False,False,0,Austrian Grand Prix,10,1.0,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:01:13.127000,15.0,KVY,26,0 days 00:34:38.680000,2.0,1.0,,,0 days 00:00:18.019000,0 days 00:00:32.474000,0 days 00:00:22.634000,0 days 00:34:25.587000,0 days 00:34:58.061000,0 days 00:35:20.695000,305.0,222.0,271.0,297.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:34:07.607000,2020-07-05 13:14:07.830,1,False,,False,True,0,Austrian Grand Prix,10,1.0,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:01:11.726000,15.0,KVY,26,0 days 00:35:38.698000,3.0,1.0,,,0 days 00:00:17.506000,0 days 00:00:31.781000,0 days 00:00:22.439000,0 days 00:35:38.201000,0 days 00:36:09.982000,0 days 00:36:32.421000,316.0,230.0,278.0,303.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:35:20.734000,2020-07-05 13:15:20.957,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:01:11.327000,15.0,KVY,26,0 days 00:36:38.698000,4.0,1.0,,,0 days 00:00:17.297000,0 days 00:00:31.733000,0 days 00:00:22.297000,0 days 00:36:49.718000,0 days 00:37:21.451000,0 days 00:37:43.748000,313.0,229.0,281.0,304.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:36:32.460000,2020-07-05 13:16:32.683,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:01:12.095000,15.0,KVY,26,0 days 00:38:38.690000,5.0,1.0,,,0 days 00:00:17.147000,0 days 00:00:32.620000,0 days 00:00:22.328000,0 days 00:38:00.895000,0 days 00:38:33.515000,0 days 00:38:55.843000,326.0,226.0,278.0,314.0,False,MEDIUM,5.0,True,AlphaTauri,0 days 00:37:43.787000,2020-07-05 13:17:44.010,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,32.8,938.9,False,54.7,87,3.1
0 days 00:01:10.997000,14.0,KVY,26,0 days 00:39:38.691000,6.0,1.0,,,0 days 00:00:17.300000,0 days 00:00:31.610000,0 days 00:00:22.087000,0 days 00:39:13.143000,0 days 00:39:44.753000,0 days 00:40:06.840000,310.0,225.0,279.0,327.0,True,MEDIUM,6.0,True,AlphaTauri,0 days 00:38:55.882000,2020-07-05 13:18:56.105,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:01:10.962000,13.0,KVY,26,0 days 00:40:38.693000,7.0,1.0,,,0 days 00:00:17.253000,0 days 00:00:31.694000,0 days 00:00:22.015000,0 days 00:40:24.093000,0 days 00:40:55.787000,0 days 00:41:17.802000,322.0,226.0,270.0,310.0,True,MEDIUM,7.0,True,AlphaTauri,0 days 00:40:06.879000,2020-07-05 13:20:07.102,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:01:11.132000,13.0,KVY,26,0 days 00:41:38.685000,8.0,1.0,,,0 days 00:00:17.826000,0 days 00:00:31.504000,0 days 00:00:21.802000,0 days 00:41:35.628000,0 days 00:42:07.132000,0 days 00:42:28.934000,293.0,231.0,271.0,296.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 00:41:17.841000,2020-07-05 13:21:18.064,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,35.1,938.9,False,53.2,131,2.5
0 days 00:01:10.753000,15.0,KVY,26,0 days 00:42:38.677000,9.0,1.0,,,0 days 00:00:17.766000,0 days 00:00:31.315000,,0 days 00:49:58.778000,0 days 00:43:18.015000,,284.0,225.0,,290.0,True,MEDIUM,9.0,True,AlphaTauri,0 days 00:42:28.973000,2020-07-05 13:22:29.196,1,False,,False,False,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:11.003000,15.0,KVY,26,0 days 00:50:38.664000,10.0,1.0,,,0 days 00:00:17.766000,0 days 00:00:31.473000,0 days 00:00:21.764000,,0 days 00:50:24.177000,0 days 00:50:45.941000,,229.0,268.0,285.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:49:34.977000,2020-07-05 13:29:35.200,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.4,33.2,938.8,False,53.3,73,2.5
0 days 00:01:10.831000,14.0,KVY,26,0 days 00:51:38.664000,11.0,1.0,,,0 days 00:00:17.753000,0 days 00:00:31.375000,0 days 00:00:21.703000,0 days 00:51:03.694000,0 days 00:51:35.069000,0 days 00:51:56.772000,286.0,229.0,270.0,285.0,False,MEDIUM,11.0,True,AlphaTauri,0 days 00:50:45.980000,2020-07-05 13:30:46.203,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,33.2,938.8,False,53.3,88,2.7
0 days 00:01:11.190000,13.0,KVY,26,0 days 00:52:38.665000,12.0,1.0,,,0 days 00:00:17.776000,0 days 00:00:31.609000,0 days 00:00:21.805000,0 days 00:52:14.548000,0 days 00:52:46.157000,0 days 00:53:07.962000,285.0,232.0,271.0,286.0,False,MEDIUM,12.0,True,AlphaTauri,0 days 00:51:56.811000,2020-07-05 13:31:57.034,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,32.5,938.9,False,53.1,90,2.7
0 days 00:01:10.637000,13.0,KVY,26,0 days 00:53:38.665000,13.0,1.0,,,0 days 00:00:17.731000,0 days 00:00:31.357000,0 days 00:00:21.549000,0 days 00:53:25.693000,0 days 00:53:57.050000,0 days 00:54:18.599000,289.0,231.0,270.0,288.0,True,MEDIUM,13.0,True,AlphaTauri,0 days 00:53:08.001000,2020-07-05 13:33:08.224,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.5,938.8,False,53.0,64,2.8
0 days 00:01:10.839000,13.0,KVY,26,0 days 00:54:38.667000,14.0,1.0,,,0 days 00:00:17.749000,0 days 00:00:31.432000,0 days 00:00:21.658000,0 days 00:54:36.348000,0 days 00:55:07.780000,0 days 00:55:29.438000,286.0,230.0,279.0,288.0,False,MEDIUM,14.0,True,AlphaTauri,0 days 00:54:18.638000,2020-07-05 13:34:18.861,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,34.2,938.7,False,52.9,92,2.4
0 days 00:01:10.928000,12.0,KVY,26,0 days 00:55:38.667000,15.0,1.0,,,0 days 00:00:17.700000,0 days 00:00:31.564000,0 days 00:00:21.664000,0 days 00:55:47.138000,0 days 00:56:18.702000,0 days 00:56:40.366000,283.0,231.0,270.0,285.0,False,MEDIUM,15.0,True,AlphaTauri,0 days 00:55:29.477000,2020-07-05 13:35:29.700,2,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,33.6,938.7,False,52.8,91,3.2
0 days 00:01:10.784000,12.0,KVY,26,0 days 00:57:38.675000,16.0,1.0,,,0 days 00:00:17.673000,0 days 00:00:31.446000,0 days 00:00:21.665000,0 days 00:56:58.039000,0 days 00:57:29.485000,0 days 00:57:51.150000,287.0,232.0,269.0,284.0,False,MEDIUM,16.0,True,AlphaTauri,0 days 00:56:40.405000,2020-07-05 13:36:40.628,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,33.0,938.7,False,52.9,83,1.6
0 days 00:01:10.523000,12.0,KVY,26,0 days 00:58:38.669000,17.0,1.0,,,0 days 00:00:17.651000,0 days 00:00:31.277000,0 days 00:00:21.595000,0 days 00:58:08.801000,0 days 00:58:40.078000,0 days 00:59:01.673000,288.0,231.0,269.0,288.0,True,MEDIUM,17.0,True,AlphaTauri,0 days 00:57:51.189000,2020-07-05 13:37:51.412,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.2,32.4,938.7,False,53.0,73,2.6
0 days 00:01:10.590000,12.0,KVY,26,0 days 00:59:38.669000,18.0,1.0,,,0 days 00:00:17.728000,0 days 00:00:31.277000,0 days 00:00:21.585000,0 days 00:59:19.401000,0 days 00:59:50.678000,0 days 01:00:12.263000,,231.0,270.0,286.0,False,MEDIUM,18.0,True,AlphaTauri,0 days 00:59:01.712000,2020-07-05 13:39:01.935,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.2,32.9,938.8,False,52.9,84,2.3
0 days 00:01:10.420000,12.0,KVY,26,0 days 01:00:38.669000,19.0,1.0,,,0 days 00:00:17.621000,0 days 00:00:31.327000,0 days 00:00:21.472000,0 days 01:00:29.884000,0 days 01:01:01.211000,0 days 01:01:22.683000,289.0,233.0,270.0,289.0,True,MEDIUM,19.0,True,AlphaTauri,0 days 01:00:12.302000,2020-07-05 13:40:12.525,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,32.3,938.8,False,53.0,84,3.3
0 days 00:01:10.655000,12.0,KVY,26,0 days 01:01:38.671000,20.0,1.0,,,0 days 00:00:17.696000,0 days 00:00:31.386000,0 days 00:00:21.573000,0 days 01:01:40.379000,0 days 01:02:11.765000,0 days 01:02:33.338000,286.0,232.0,270.0,284.0,False,MEDIUM,20.0,True,AlphaTauri,0 days 01:01:22.722000,2020-07-05 13:41:22.945,24,False,,False,False,0,Austrian Grand Prix,10,1.0,28.6,33.5,938.8,False,52.9,111,2.7
0 days 00:01:42.320000,12.0,KVY,26,0 days 01:02:38.670000,21.0,1.0,,0 days 01:04:12.406000,0 days 00:00:28.514000,0 days 00:00:38.045000,0 days 00:00:35.761000,0 days 01:03:01.852000,0 days 01:03:39.897000,0 days 01:04:15.658000,185.0,177.0,,256.0,False,MEDIUM,21.0,True,AlphaTauri,0 days 01:02:33.377000,2020-07-05 13:42:33.600,4,False,,False,False,0,Austrian Grand Prix,10,1.0,28.7,33.7,938.8,False,52.0,86,2.1
0 days 00:01:44.170000,12.0,KVY,26,0 days 01:04:38.670000,22.0,2.0,0 days 01:04:35.200000,,0 days 00:00:38.178000,0 days 00:00:38.137000,0 days 00:00:27.855000,0 days 01:04:53.836000,0 days 01:05:31.973000,0 days 01:05:59.828000,227.0,107.0,257.0,262.0,False,HARD,1.0,True,AlphaTauri,0 days 01:04:15.697000,2020-07-05 13:44:15.920,4,False,,False,False,0,Austrian Grand Prix,10,1.0,28.9,32.7,938.8,False,52.2,87,3.0
0 days 00:01:20.170000,12.0,KVY,26,0 days 01:06:38.673000,23.0,2.0,,,0 days 00:00:19.185000,0 days 00:00:34.472000,0 days 00:00:26.513000,0 days 01:06:19.013000,0 days 01:06:53.485000,0 days 01:07:19.998000,261.0,212.0,140.0,263.0,False,HARD,2.0,True,AlphaTauri,0 days 01:05:59.867000,2020-07-05 13:46:00.090,4,False,,False,False,0,Austrian Grand Prix,10,1.0,27.8,34.4,938.7,False,51.7,86,2.3
0 days 00:01:54.238000,12.0,KVY,26,0 days 01:07:38.680000,24.0,2.0,,,0 days 00:00:26.208000,0 days 00:00:49.150000,0 days 00:00:38.880000,0 days 01:07:46.206000,0 days 01:08:35.356000,0 days 01:09:14.236000,142.0,117.0,124.0,94.0,False,HARD,3.0,True,AlphaTauri,0 days 01:07:20.037000,2020-07-05 13:47:20.260,4,False,,False,False,0,Austrian Grand Prix,10,1.0,27.8,35.0,938.7,False,51.1,100,1.4
0 days 00:01:44.410000,12.0,KVY,26,0 days 01:09:38.674000,25.0,2.0,,,0 days 00:00:26.422000,0 days 00:00:53.516000,0 days 00:00:24.472000,0 days 01:09:40.658000,0 days 01:10:34.174000,0 days 01:10:58.646000,151.0,108.0,274.0,137.0,False,HARD,4.0,True,AlphaTauri,0 days 01:09:14.275000,2020-07-05 13:49:14.498,4,False,,False,False,0,Austrian Grand Prix,10,1.0,28.6,33.8,938.7,False,52.5,97,2.0
0 days 00:01:10.997000,11.0,KVY,26,0 days 01:11:38.677000,26.0,2.0,,,0 days 00:00:17.436000,0 days 00:00:31.946000,0 days 00:00:21.615000,0 days 01:11:16.082000,0 days 01:11:48.028000,0 days 01:12:09.643000,303.0,233.0,273.0,294.0,False,HARD,5.0,True,AlphaTauri,0 days 01:10:58.685000,2020-07-05 13:50:58.908,2,False,,False,False,0,Austrian Grand Prix,10,1.0,29.2,33.2,938.7,False,52.5,101,1.8
0 days 00:01:10.473000,11.0,KVY,26,0 days 01:12:38.679000,27.0,2.0,,,0 days 00:00:17.592000,0 days 00:00:31.283000,0 days 00:00:21.598000,0 days 01:12:27.235000,0 days 01:12:58.518000,0 days 01:13:20.116000,298.0,234.0,272.0,301.0,False,HARD,6.0,True,AlphaTauri,0 days 01:12:09.682000,2020-07-05 13:52:09.905,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,33.3,938.7,False,52.4,93,2.8
0 days 00:01:10.128000,11.0,KVY,26,0 days 01:13:38.676000,28.0,2.0,,,0 days 00:00:17.354000,0 days 00:00:31.194000,0 days 00:00:21.580000,0 days 01:13:37.470000,0 days 01:14:08.664000,0 days 01:14:30.244000,316.0,231.0,274.0,317.0,True,HARD,7.0,True,AlphaTauri,0 days 01:13:20.155000,2020-07-05 13:53:20.378,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.3,32.7,938.7,False,52.1,86,1.9
0 days 00:01:09.898000,11.0,KVY,26,0 days 01:14:38.678000,29.0,2.0,,,0 days 00:00:17.470000,0 days 00:00:31.081000,0 days 00:00:21.347000,0 days 01:14:47.714000,0 days 01:15:18.795000,0 days 01:15:40.142000,295.0,228.0,272.0,298.0,True,HARD,8.0,True,AlphaTauri,0 days 01:14:30.283000,2020-07-05 13:54:30.506,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,32.6,938.7,False,51.8,77,3.0
0 days 00:01:10.224000,11.0,KVY,26,0 days 01:16:38.686000,30.0,2.0,,,0 days 00:00:17.504000,0 days 00:00:31.389000,0 days 00:00:21.331000,0 days 01:15:57.646000,0 days 01:16:29.035000,0 days 01:16:50.366000,302.0,234.0,273.0,297.0,False,HARD,9.0,True,AlphaTauri,0 days 01:15:40.181000,2020-07-05 13:55:40.404,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.5,34.9,938.7,False,51.6,87,2.8
0 days 00:01:10.657000,11.0,KVY,26,0 days 01:17:38.697000,31.0,2.0,,,0 days 00:00:17.726000,0 days 00:00:31.499000,0 days 00:00:21.432000,0 days 01:17:08.092000,0 days 01:17:39.591000,0 days 01:18:01.023000,289.0,233.0,275.0,294.0,False,HARD,10.0,True,AlphaTauri,0 days 01:16:50.405000,2020-07-05 13:56:50.628,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.7,33.1,938.6,False,51.6,93,3.3
0 days 00:01:10.035000,11.0,KVY,26,0 days 01:18:38.679000,32.0,2.0,,,0 days 00:00:17.624000,0 days 00:00:31.095000,0 days 00:00:21.316000,0 days 01:18:18.647000,0 days 01:18:49.742000,0 days 01:19:11.058000,290.0,233.0,272.0,295.0,False,HARD,11.0,True,AlphaTauri,0 days 01:18:01.062000,2020-07-05 13:58:01.285,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.4,34.6,938.7,False,51.5,88,1.6
0 days 00:01:10.461000,11.0,KVY,26,0 days 01:19:38.678000,33.0,2.0,,,0 days 00:00:17.549000,0 days 00:00:31.619000,0 days 00:00:21.293000,0 days 01:19:28.607000,0 days 01:20:00.226000,0 days 01:20:21.519000,292.0,233.0,273.0,294.0,False,HARD,12.0,True,AlphaTauri,0 days 01:19:11.097000,2020-07-05 13:59:11.320,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.7,35.1,938.6,False,51.2,101,2.8
0 days 00:01:09.827000,11.0,KVY,26,0 days 01:20:38.680000,34.0,2.0,,,0 days 00:00:17.632000,0 days 00:00:31.052000,0 days 00:00:21.143000,0 days 01:20:39.151000,0 days 01:21:10.203000,0 days 01:21:31.346000,287.0,232.0,274.0,293.0,True,HARD,13.0,True,AlphaTauri,0 days 01:20:21.558000,2020-07-05 14:00:21.781,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,33.0,938.6,False,51.9,68,3.6
0 days 00:01:09.769000,11.0,KVY,26,0 days 01:21:38.678000,35.0,2.0,,,0 days 00:00:17.662000,0 days 00:00:30.979000,0 days 00:00:21.128000,0 days 01:21:49.008000,0 days 01:22:19.987000,0 days 01:22:41.115000,284.0,236.0,274.0,294.0,True,HARD,14.0,True,AlphaTauri,0 days 01:21:31.385000,2020-07-05 14:01:31.608,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,33.6,938.6,False,51.9,93,2.8
0 days 00:01:10.086000,11.0,KVY,26,0 days 01:23:38.681000,36.0,2.0,,,0 days 00:00:17.603000,0 days 00:00:31.345000,0 days 00:00:21.138000,0 days 01:22:58.718000,0 days 01:23:30.063000,0 days 01:23:51.201000,291.0,234.0,274.0,293.0,False,HARD,15.0,True,AlphaTauri,0 days 01:22:41.154000,2020-07-05 14:02:41.377,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.1,32.8,938.7,False,51.6,64,2.0
0 days 00:01:09.734000,11.0,KVY,26,0 days 01:24:38.681000,37.0,2.0,,,0 days 00:00:17.608000,0 days 00:00:31.001000,0 days 00:00:21.125000,0 days 01:24:08.809000,0 days 01:24:39.810000,0 days 01:25:00.935000,290.0,234.0,271.0,293.0,True,HARD,16.0,True,AlphaTauri,0 days 01:23:51.240000,2020-07-05 14:03:51.463,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,33.5,938.7,False,51.6,90,2.3
0 days 00:01:09.473000,11.0,KVY,26,0 days 01:25:38.682000,38.0,2.0,,,0 days 00:00:17.557000,0 days 00:00:30.996000,0 days 00:00:20.920000,0 days 01:25:18.492000,0 days 01:25:49.488000,0 days 01:26:10.408000,289.0,232.0,275.0,288.0,True,HARD,17.0,True,AlphaTauri,0 days 01:25:00.974000,2020-07-05 14:05:01.197,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,33.2,938.6,False,51.2,90,2.6
0 days 00:01:09.375000,11.0,KVY,26,0 days 01:26:38.682000,39.0,2.0,,,0 days 00:00:17.416000,0 days 00:00:30.851000,0 days 00:00:21.108000,0 days 01:26:27.824000,0 days 01:26:58.675000,0 days 01:27:19.783000,290.0,234.0,270.0,292.0,False,HARD,18.0,True,AlphaTauri,0 days 01:26:10.447000,2020-07-05 14:06:10.670,1,True,TRACK LIMITS AT TURN 10,False,True,0,Austrian Grand Prix,10,1.0,28.7,33.8,938.6,False,51.2,75,2.8
0 days 00:01:09.829000,11.0,KVY,26,0 days 01:27:38.686000,40.0,2.0,,,0 days 00:00:17.659000,0 days 00:00:31.055000,0 days 00:00:21.115000,0 days 01:27:37.442000,0 days 01:28:08.497000,0 days 01:28:29.612000,288.0,233.0,272.0,292.0,False,HARD,19.0,True,AlphaTauri,0 days 01:27:19.822000,2020-07-05 14:07:20.045,1,True,TRACK LIMITS AT TURN 10,False,True,0,Austrian Grand Prix,10,1.0,29.0,33.5,938.6,False,50.6,81,2.5
0 days 00:01:09.327000,11.0,KVY,26,0 days 01:28:38.684000,41.0,2.0,,,0 days 00:00:17.587000,0 days 00:00:30.802000,0 days 00:00:20.938000,0 days 01:28:47.199000,0 days 01:29:18.001000,0 days 01:29:38.939000,289.0,234.0,273.0,292.0,True,HARD,20.0,True,AlphaTauri,0 days 01:28:29.651000,2020-07-05 14:08:29.874,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.0,33.6,938.7,False,50.6,74,2.9
0 days 00:01:09.286000,11.0,KVY,26,0 days 01:30:38.686000,42.0,2.0,,,0 days 00:00:17.525000,0 days 00:00:30.861000,0 days 00:00:20.900000,0 days 01:29:56.464000,0 days 01:30:27.325000,0 days 01:30:48.225000,288.0,230.0,273.0,295.0,True,HARD,21.0,True,AlphaTauri,0 days 01:29:38.978000,2020-07-05 14:09:39.201,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.7,33.7,938.6,False,50.8,93,2.4
0 days 00:01:09.703000,11.0,KVY,26,0 days 01:31:38.685000,43.0,2.0,,,0 days 00:00:17.651000,0 days 00:00:31.069000,0 days 00:00:20.983000,0 days 01:31:05.876000,0 days 01:31:36.945000,0 days 01:31:57.928000,294.0,232.0,272.0,295.0,False,HARD,22.0,True,AlphaTauri,0 days 01:30:48.264000,2020-07-05 14:10:48.487,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,34.5,938.5,False,50.4,89,3.2
0 days 00:01:09.663000,11.0,KVY,26,0 days 01:32:38.685000,44.0,2.0,,,0 days 00:00:17.666000,0 days 00:00:31.057000,0 days 00:00:20.940000,0 days 01:32:15.594000,0 days 01:32:46.651000,0 days 01:33:07.591000,295.0,232.0,273.0,293.0,False,HARD,23.0,True,AlphaTauri,0 days 01:31:57.967000,2020-07-05 14:11:58.190,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.7,34.4,938.5,False,50.4,85,3.2
0 days 00:01:09.135000,10.0,KVY,26,0 days 01:33:38.685000,45.0,2.0,,,0 days 00:00:17.566000,0 days 00:00:30.660000,0 days 00:00:20.909000,0 days 01:33:25.157000,0 days 01:33:55.817000,0 days 01:34:16.726000,,237.0,281.0,294.0,True,HARD,24.0,True,AlphaTauri,0 days 01:33:07.630000,2020-07-05 14:13:07.853,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,34.2,938.6,False,50.4,32,3.2
0 days 00:01:27.749000,10.0,KVY,26,0 days 01:34:38.686000,46.0,2.0,,0 days 01:35:41.169000,0 days 00:00:17.348000,0 days 00:00:41.859000,0 days 00:00:28.542000,0 days 01:34:34.074000,0 days 01:35:15.933000,0 days 01:35:44.475000,286.0,207.0,,122.0,False,HARD,25.0,True,AlphaTauri,0 days 01:34:16.765000,2020-07-05 14:14:16.988,24,False,,False,False,0,Austrian Grand Prix,10,1.0,28.7,33.9,938.6,False,50.4,7,1.2
0 days 00:01:48.009000,12.0,KVY,26,0 days 01:36:38.689000,47.0,3.0,0 days 01:36:02.798000,,0 days 00:00:38.143000,0 days 00:00:41.081000,0 days 00:00:28.785000,0 days 01:36:22.618000,0 days 01:37:03.699000,0 days 01:37:32.484000,234.0,188.0,256.0,193.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:35:44.514000,2020-07-05 14:15:44.737,4,False,,False,False,0,Austrian Grand Prix,10,1.0,29.0,33.7,938.5,False,50.4,143,1.2
0 days 00:01:33.944000,12.0,KVY,26,0 days 01:37:38.695000,48.0,3.0,,,0 days 00:00:18.668000,0 days 00:00:34.862000,0 days 00:00:40.414000,0 days 01:37:51.152000,0 days 01:38:26.014000,0 days 01:39:06.428000,264.0,162.0,185.0,262.0,False,SOFT,2.0,True,AlphaTauri,0 days 01:37:32.523000,2020-07-05 14:17:32.746,4,False,,False,False,0,Austrian Grand Prix,10,1.0,29.0,33.2,938.4,False,50.3,251,0.5
0 days 00:01:30.350000,12.0,KVY,26,0 days 01:39:38.691000,49.0,3.0,,,0 days 00:00:24.152000,0 days 00:00:43.975000,0 days 00:00:22.223000,0 days 01:39:30.580000,0 days 01:40:14.555000,0 days 01:40:36.778000,107.0,92.0,283.0,200.0,False,SOFT,3.0,True,AlphaTauri,0 days 01:39:06.467000,2020-07-05 14:19:06.690,42,False,,False,False,0,Austrian Grand Prix,10,1.0,29.3,33.3,938.4,False,49.1,91,0.8
0 days 00:01:42.464000,12.0,KVY,26,0 days 01:40:38.689000,50.0,3.0,,,0 days 00:00:17.848000,0 days 00:00:52.768000,0 days 00:00:31.848000,0 days 01:40:54.626000,0 days 01:41:47.394000,0 days 01:42:19.242000,307.0,213.0,83.0,133.0,False,SOFT,4.0,True,AlphaTauri,0 days 01:40:36.817000,2020-07-05 14:20:37.040,24,False,,False,False,0,Austrian Grand Prix,10,1.0,29.3,33.6,938.5,False,48.6,0,1.1
