LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:20.678000,16.0,OCO,31,0 days 00:33:38.694000,1.0,1.0,,,,0 days 00:00:34.139000,0 days 00:00:23.657000,,0 days 00:33:44.328000,0 days 00:34:08.069000,317.0,213.0,273.0,294.0,False,MEDIUM,1.0,True,Renault,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,False,,False,False,0,Austrian Grand Prix,10,1.0,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:01:13.291000,16.0,OCO,31,0 days 00:34:38.680000,2.0,1.0,,,0 days 00:00:18.077000,0 days 00:00:32.447000,0 days 00:00:22.767000,0 days 00:34:26.014000,0 days 00:34:58.461000,0 days 00:35:21.228000,306.0,223.0,271.0,300.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:07.925000,2020-07-05 13:14:08.148,1,False,,False,True,0,Austrian Grand Prix,10,1.0,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:01:11.786000,16.0,OCO,31,0 days 00:35:38.698000,3.0,1.0,,,0 days 00:00:17.813000,0 days 00:00:31.613000,0 days 00:00:22.360000,0 days 00:35:39.041000,0 days 00:36:10.654000,0 days 00:36:33.014000,316.0,227.0,276.0,312.0,True,MEDIUM,3.0,True,Renault,0 days 00:35:21.216000,2020-07-05 13:15:21.439,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:01:11.415000,16.0,OCO,31,0 days 00:36:38.698000,4.0,1.0,,,0 days 00:00:17.547000,0 days 00:00:31.659000,0 days 00:00:22.209000,0 days 00:36:50.561000,0 days 00:37:22.220000,0 days 00:37:44.429000,317.0,229.0,280.0,310.0,True,MEDIUM,4.0,True,Renault,0 days 00:36:33.002000,2020-07-05 13:16:33.225,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:01:12.056000,16.0,OCO,31,0 days 00:38:38.690000,5.0,1.0,,,0 days 00:00:17.427000,0 days 00:00:32.125000,0 days 00:00:22.504000,0 days 00:38:01.856000,0 days 00:38:33.981000,0 days 00:38:56.485000,316.0,225.0,276.0,309.0,False,MEDIUM,5.0,True,Renault,0 days 00:37:44.417000,2020-07-05 13:17:44.640,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,32.8,938.9,False,54.7,87,3.1
0 days 00:01:11.727000,16.0,OCO,31,0 days 00:39:38.691000,6.0,1.0,,,0 days 00:00:17.455000,0 days 00:00:31.750000,0 days 00:00:22.522000,0 days 00:39:13.940000,0 days 00:39:45.690000,0 days 00:40:08.212000,,229.0,282.0,309.0,False,MEDIUM,6.0,True,Renault,0 days 00:38:56.473000,2020-07-05 13:18:56.696,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:01:11.816000,16.0,OCO,31,0 days 00:40:38.693000,7.0,1.0,,,0 days 00:00:17.298000,0 days 00:00:31.955000,0 days 00:00:22.563000,0 days 00:40:25.510000,0 days 00:40:57.465000,0 days 00:41:20.028000,320.0,230.0,281.0,307.0,False,MEDIUM,7.0,True,Renault,0 days 00:40:08.200000,2020-07-05 13:20:08.423,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:01:11.640000,16.0,OCO,31,0 days 00:41:38.685000,8.0,1.0,,,0 days 00:00:17.343000,0 days 00:00:32.021000,0 days 00:00:22.276000,0 days 00:41:37.371000,0 days 00:42:09.392000,0 days 00:42:31.668000,327.0,227.0,281.0,311.0,False,MEDIUM,8.0,True,Renault,0 days 00:41:20.016000,2020-07-05 13:21:20.239,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,35.1,938.9,False,53.2,131,2.5
0 days 00:01:10.935000,18.0,OCO,31,0 days 00:42:38.677000,9.0,1.0,,,0 days 00:00:17.447000,,,0 days 00:49:58.217000,,,313.0,,,306.0,True,MEDIUM,9.0,True,Renault,0 days 00:42:31.656000,2020-07-05 13:22:31.879,1,False,,False,False,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:10.703000,17.0,OCO,31,0 days 00:50:38.664000,10.0,1.0,,,0 days 00:00:17.447000,0 days 00:00:31.614000,0 days 00:00:21.642000,,0 days 00:50:29.783000,0 days 00:50:51.425000,,227.0,273.0,315.0,True,MEDIUM,10.0,True,Renault,0 days 00:49:40.710000,2020-07-05 13:29:40.933,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.4,33.2,938.8,False,53.3,73,2.5
