LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:18.766000,11.0,RIC,3,0 days 00:33:38.694000,1.0,1.0,,,,0 days 00:00:33.548000,0 days 00:00:23.173000,,0 days 00:33:42.930000,0 days 00:34:06.153000,290.0,206.0,269.0,306.0,False,SOFT,4.0,False,Renault,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,False,,False,False,0,Austrian Grand Prix,10,1.0,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:01:12.125000,11.0,RIC,3,0 days 00:34:38.680000,2.0,1.0,,,0 days 00:00:17.808000,0 days 00:00:32.216000,0 days 00:00:22.101000,0 days 00:34:23.842000,0 days 00:34:56.058000,0 days 00:35:18.159000,306.0,227.0,272.0,301.0,True,SOFT,5.0,False,Renault,0 days 00:34:06.013000,2020-07-05 13:14:06.236,1,False,,False,True,0,Austrian Grand Prix,10,1.0,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:01:11.236000,11.0,RIC,3,0 days 00:35:38.698000,3.0,1.0,,,0 days 00:00:17.507000,0 days 00:00:31.791000,0 days 00:00:21.938000,0 days 00:35:35.666000,0 days 00:36:07.457000,0 days 00:36:29.395000,320.0,227.0,274.0,314.0,True,SOFT,6.0,False,Renault,0 days 00:35:18.138000,2020-07-05 13:15:18.361,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:01:10.628000,11.0,RIC,3,0 days 00:36:38.698000,4.0,1.0,,,0 days 00:00:17.470000,0 days 00:00:31.382000,0 days 00:00:21.776000,0 days 00:36:46.865000,0 days 00:37:18.247000,0 days 00:37:40.023000,305.0,228.0,274.0,299.0,True,SOFT,7.0,False,Renault,0 days 00:36:29.374000,2020-07-05 13:16:29.597,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:01:10.636000,11.0,RIC,3,0 days 00:38:38.690000,5.0,1.0,,,0 days 00:00:17.503000,0 days 00:00:31.381000,0 days 00:00:21.752000,0 days 00:37:57.526000,0 days 00:38:28.907000,0 days 00:38:50.659000,302.0,228.0,273.0,300.0,False,SOFT,8.0,False,Renault,0 days 00:37:40.002000,2020-07-05 13:17:40.225,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,32.8,938.9,False,54.7,87,3.1
0 days 00:01:10.954000,11.0,RIC,3,0 days 00:39:38.691000,6.0,1.0,,,0 days 00:00:17.558000,0 days 00:00:31.484000,0 days 00:00:21.912000,0 days 00:39:08.217000,0 days 00:39:39.701000,0 days 00:40:01.613000,300.0,226.0,272.0,298.0,False,SOFT,9.0,False,Renault,0 days 00:38:50.638000,2020-07-05 13:18:50.861,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:01:10.813000,11.0,RIC,3,0 days 00:40:38.693000,7.0,1.0,,,0 days 00:00:17.576000,0 days 00:00:31.494000,0 days 00:00:21.743000,0 days 00:40:19.189000,0 days 00:40:50.683000,0 days 00:41:12.426000,298.0,227.0,273.0,297.0,False,SOFT,10.0,False,Renault,0 days 00:40:01.592000,2020-07-05 13:20:01.815,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:01:10.610000,11.0,RIC,3,0 days 00:41:38.685000,8.0,1.0,,,0 days 00:00:17.519000,0 days 00:00:31.354000,0 days 00:00:21.737000,0 days 00:41:29.945000,0 days 00:42:01.299000,0 days 00:42:23.036000,,227.0,272.0,298.0,True,SOFT,11.0,False,Renault,0 days 00:41:12.405000,2020-07-05 13:21:12.628,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,35.1,938.9,False,53.2,131,2.5
0 days 00:01:10.814000,13.0,RIC,3,0 days 00:42:38.677000,9.0,1.0,,,0 days 00:00:17.192000,0 days 00:00:31.494000,,0 days 00:49:58.778000,0 days 00:43:12.072000,,316.0,227.0,,297.0,False,SOFT,12.0,False,Renault,0 days 00:42:23.015000,2020-07-05 13:22:23.238,1,False,,False,False,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:10.828000,13.0,RIC,3,0 days 00:50:38.664000,10.0,1.0,,,0 days 00:00:17.192000,0 days 00:00:32.036000,0 days 00:00:21.600000,,0 days 00:50:17.806000,0 days 00:50:39.406000,,227.0,278.0,315.0,False,SOFT,13.0,False,Renault,0 days 00:49:28.557000,2020-07-05 13:29:28.780,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.4,33.2,938.8,False,53.3,73,2.5
