LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:21.596000,19.0,RUS,63,0 days 00:33:38.694000,1.0,1.0,,,,0 days 00:00:34.122000,0 days 00:00:23.774000,,0 days 00:33:45.101000,0 days 00:34:08.978000,286.0,223.0,276.0,304.0,False,MEDIUM,1.0,True,Williams,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,False,,False,False,0,Austrian Grand Prix,10,1.0,27.7,35.2,939.0,False,54.1,272,0.6
0 days 00:01:13.736000,19.0,RUS,63,0 days 00:34:38.680000,2.0,1.0,,,0 days 00:00:18.017000,0 days 00:00:32.870000,0 days 00:00:22.849000,0 days 00:34:26.823000,0 days 00:34:59.693000,0 days 00:35:22.542000,317.0,224.0,274.0,309.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:08.843000,2020-07-05 13:14:09.066,1,False,,False,True,0,Austrian Grand Prix,10,1.0,27.7,35.5,939.0,False,54.1,276,0.7
0 days 00:01:12.334000,19.0,RUS,63,0 days 00:35:38.698000,3.0,1.0,,,0 days 00:00:17.396000,0 days 00:00:32.603000,0 days 00:00:22.335000,0 days 00:35:39.938000,0 days 00:36:12.541000,0 days 00:36:34.876000,330.0,217.0,273.0,314.0,True,MEDIUM,3.0,True,Williams,0 days 00:35:22.579000,2020-07-05 13:15:22.802,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.1,35.6,939.0,False,54.0,156,1.7
0 days 00:01:11.594000,19.0,RUS,63,0 days 00:36:38.698000,4.0,1.0,,,0 days 00:00:17.501000,0 days 00:00:31.839000,0 days 00:00:22.254000,0 days 00:36:52.377000,0 days 00:37:24.216000,0 days 00:37:46.470000,311.0,219.0,281.0,301.0,True,MEDIUM,4.0,True,Williams,0 days 00:36:34.913000,2020-07-05 13:16:35.136,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,33.7,939.0,False,54.1,90,2.0
0 days 00:01:11.724000,19.0,RUS,63,0 days 00:38:38.690000,5.0,1.0,,,0 days 00:00:17.394000,0 days 00:00:32.153000,0 days 00:00:22.177000,0 days 00:38:03.864000,0 days 00:38:36.017000,0 days 00:38:58.194000,306.0,221.0,283.0,302.0,False,MEDIUM,5.0,True,Williams,0 days 00:37:46.507000,2020-07-05 13:17:46.730,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.9,32.8,938.9,False,54.7,87,3.1
0 days 00:01:12.130000,19.0,RUS,63,0 days 00:39:38.691000,6.0,1.0,,,0 days 00:00:17.478000,0 days 00:00:32.200000,0 days 00:00:22.452000,0 days 00:39:15.672000,0 days 00:39:47.872000,0 days 00:40:10.324000,311.0,222.0,280.0,305.0,False,MEDIUM,6.0,True,Williams,0 days 00:38:58.231000,2020-07-05 13:18:58.454,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.0,938.9,False,53.6,72,2.9
0 days 00:01:12.152000,19.0,RUS,63,0 days 00:40:38.693000,7.0,1.0,,,0 days 00:00:17.424000,0 days 00:00:32.424000,0 days 00:00:22.304000,0 days 00:40:27.748000,0 days 00:41:00.172000,0 days 00:41:22.476000,309.0,222.0,275.0,306.0,False,MEDIUM,7.0,True,Williams,0 days 00:40:10.361000,2020-07-05 13:20:10.584,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.3,34.5,938.9,False,53.4,109,1.2
0 days 00:01:11.784000,19.0,RUS,63,0 days 00:41:38.685000,8.0,1.0,,,0 days 00:00:17.504000,0 days 00:00:32.117000,0 days 00:00:22.163000,0 days 00:41:39.980000,0 days 00:42:12.097000,0 days 00:42:34.260000,311.0,221.0,279.0,307.0,False,MEDIUM,8.0,True,Williams,0 days 00:41:22.513000,2020-07-05 13:21:22.736,1,False,,False,True,0,Austrian Grand Prix,10,1.0,28.6,35.1,938.9,False,53.2,131,2.5
,20.0,RUS,63,0 days 00:42:38.677000,9.0,1.0,,,0 days 00:00:17.924000,0 days 00:00:31.836000,0 days 00:00:21.905000,0 days 00:50:03.607000,0 days 00:49:58.778000,0 days 00:49:58.778000,288.0,224.0,267.0,293.0,False,MEDIUM,9.0,True,Williams,0 days 00:42:34.297000,2020-07-05 13:22:34.520,1,False,,False,False,0,Austrian Grand Prix,10,1.0,29.1,34.1,938.9,False,53.5,85,3.2
0 days 00:01:11.563000,20.0,RUS,63,0 days 00:50:38.664000,10.0,1.0,,,0 days 00:00:17.924000,0 days 00:00:31.790000,0 days 00:00:21.849000,,0 days 00:50:35.314000,0 days 00:50:57.163000,,225.0,268.0,292.0,False,MEDIUM,10.0,True,Williams,0 days 00:49:45.637000,2020-07-05 13:29:45.860,1,False,,False,True,0,Austrian Grand Prix,10,1.0,29.4,33.2,938.8,False,53.3,73,2.5
