LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:07.777000,1.0,HAM,44,0 days 00:33:38.483000,1.0,1.0,,0 days 00:35:43.140000,,0 days 00:01:00.916000,0 days 00:00:35.474000,,0 days 00:35:09.463000,0 days 00:35:45.017000,237.0,238.0,,252.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.4,66.0,1015.3,False,28.6,244,1.0
,1.0,HAM,44,0 days 01:55:38.868000,2.0,2.0,0 days 01:55:07.168000,,,0 days 00:01:22.965000,0 days 00:00:49.281000,,0 days 01:57:25.976000,0 days 01:58:15.674000,93.0,84.0,65.0,119.0,False,MEDIUM,5.0,False,Mercedes,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,68.7,1015.9,False,27.4,320,1.2
,1.0,HAM,44,0 days 01:58:38.897000,3.0,2.0,,,0 days 00:01:39.076000,0 days 00:00:52.841000,0 days 00:00:30.773000,0 days 01:59:54.328000,0 days 02:00:47.188000,0 days 02:01:18.096000,238.0,239.0,256.0,248.0,False,MEDIUM,6.0,False,Mercedes,0 days 01:58:15.257000,2020-11-29 15:38:15.309,24,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,69.8,1015.9,False,27.3,316,1.3
0 days 00:02:24.304000,1.0,HAM,44,0 days 02:01:38.942000,4.0,2.0,,,0 days 00:00:43.140000,0 days 00:01:08.098000,0 days 00:00:33.066000,0 days 02:02:01.032000,0 days 02:03:09.130000,0 days 02:03:42.196000,95.0,217.0,195.0,121.0,True,MEDIUM,7.0,False,Mercedes,0 days 02:01:17.892000,2020-11-29 15:41:17.944,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,71.7,1015.9,False,27.2,315,1.0
0 days 00:02:27.673000,1.0,HAM,44,0 days 02:04:38.951000,5.0,2.0,,,0 days 00:00:42.716000,0 days 00:01:08.541000,0 days 00:00:36.416000,0 days 02:04:24.912000,0 days 02:05:33.453000,0 days 02:06:09.869000,126.0,138.0,264.0,235.0,False,MEDIUM,8.0,False,Mercedes,0 days 02:03:42.196000,2020-11-29 15:43:42.248,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 00:02:20.062000,1.0,HAM,44,0 days 02:06:38.966000,6.0,2.0,,,0 days 00:00:42.857000,0 days 00:01:02.633000,0 days 00:00:34.572000,0 days 02:06:52.726000,0 days 02:07:55.359000,0 days 02:08:29.931000,142.0,108.0,237.0,176.0,True,MEDIUM,9.0,False,Mercedes,0 days 02:06:09.869000,2020-11-29 15:46:09.921,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 00:02:18.867000,1.0,HAM,44,0 days 02:08:38.965000,7.0,2.0,,,0 days 00:00:43.464000,0 days 00:01:01.644000,0 days 00:00:33.759000,0 days 02:09:13.395000,0 days 02:10:15.039000,0 days 02:10:48.798000,149.0,116.0,216.0,209.0,True,MEDIUM,10.0,False,Mercedes,0 days 02:08:29.931000,2020-11-29 15:48:29.983,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.7,1016.0,False,27.2,296,1.0
,1.0,HAM,44,0 days 02:11:38.940000,8.0,2.0,,,0 days 00:00:47.068000,0 days 00:01:03.483000,0 days 00:00:45.556000,0 days 02:11:35.887000,0 days 02:12:39.486000,0 days 02:13:25.115000,94.0,113.0,277.0,222.0,False,MEDIUM,11.0,False,Mercedes,0 days 02:10:48.798000,2020-11-29 15:50:48.850,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 00:01:33.733000,1.0,HAM,44,0 days 02:13:38.946000,9.0,2.0,,,0 days 00:00:29.940000,0 days 00:00:40.645000,0 days 00:00:23.148000,0 days 02:13:54.866000,0 days 02:14:35.511000,0 days 02:14:58.659000,239.0,259.0,277.0,294.0,True,MEDIUM,12.0,False,Mercedes,0 days 02:13:24.926000,2020-11-29 15:53:24.978,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 00:01:34.357000,1.0,HAM,44,0 days 02:15:38.968000,10.0,2.0,,,0 days 00:00:30.196000,0 days 00:00:40.861000,0 days 00:00:23.300000,0 days 02:15:28.855000,0 days 02:16:09.716000,0 days 02:16:33.016000,237.0,254.0,277.0,289.0,False,MEDIUM,13.0,False,Mercedes,0 days 02:14:58.659000,2020-11-29 15:54:58.711,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,300,0.8
0 days 00:01:34.490000,1.0,HAM,44,0 days 02:16:38.966000,11.0,2.0,,,0 days 00:00:30.159000,0 days 00:00:41.099000,0 days 00:00:23.232000,0 days 02:17:03.175000,0 days 02:17:44.274000,0 days 02:18:07.506000,239.0,255.0,277.0,286.0,False,MEDIUM,14.0,False,Mercedes,0 days 02:16:33.016000,2020-11-29 15:56:33.068,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,0,0.0
0 days 00:01:34.464000,1.0,HAM,44,0 days 02:18:38.954000,12.0,2.0,,,0 days 00:00:30.203000,0 days 00:00:40.907000,0 days 00:00:23.354000,0 days 02:18:37.709000,0 days 02:19:18.616000,0 days 02:19:41.970000,238.0,254.0,277.0,291.0,False,MEDIUM,15.0,False,Mercedes,0 days 02:18:07.506000,2020-11-29 15:58:07.558,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.3,1016.0,False,27.3,272,0.3
0 days 00:01:34.883000,1.0,HAM,44,0 days 02:20:38.967000,13.0,2.0,,,0 days 00:00:30.302000,0 days 00:00:41.256000,0 days 00:00:23.325000,0 days 02:20:12.272000,0 days 02:20:53.528000,0 days 02:21:16.853000,,253.0,277.0,290.0,False,MEDIUM,16.0,False,Mercedes,0 days 02:19:41.970000,2020-11-29 15:59:42.022,2,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.0,1016.1,False,27.2,65,0.7
0 days 00:01:34.785000,1.0,HAM,44,0 days 02:21:38.949000,14.0,2.0,,,0 days 00:00:30.242000,0 days 00:00:41.157000,0 days 00:00:23.386000,0 days 02:21:47.095000,0 days 02:22:28.252000,0 days 02:22:51.638000,239.0,254.0,278.0,289.0,False,MEDIUM,17.0,False,Mercedes,0 days 02:21:16.853000,2020-11-29 16:01:16.905,2,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.1,71.6,1016.0,False,27.2,331,1.2
0 days 00:01:34.824000,1.0,HAM,44,0 days 02:23:38.952000,15.0,2.0,,,0 days 00:00:30.131000,0 days 00:00:41.303000,0 days 00:00:23.390000,0 days 02:23:21.769000,0 days 02:24:03.072000,0 days 02:24:26.462000,238.0,251.0,277.0,291.0,False,MEDIUM,18.0,False,Mercedes,0 days 02:22:51.638000,2020-11-29 16:02:51.690,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,71.3,1016.0,False,27.0,0,0.6
