LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:03:05.092000,20.0,KVY,26,0 days 00:33:38.483000,1.0,1.0,,0 days 00:36:37.548000,,0 days 00:01:25.360000,0 days 00:00:53.656000,,0 days 00:35:48.572000,0 days 00:36:42.386000,54.0,153.0,,200.0,False,MEDIUM,4.0,False,AlphaTauri,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.4,66.0,1015.3,False,28.6,244,1.0
,15.0,KVY,26,0 days 01:55:38.868000,2.0,2.0,0 days 01:56:00.548000,,,0 days 00:01:11.406000,0 days 00:01:10.478000,,0 days 01:57:44.038000,0 days 01:58:54.699000,214.0,188.0,45.0,200.0,False,SOFT,4.0,False,AlphaTauri,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,68.7,1015.9,False,27.4,320,1.2
,12.0,KVY,26,0 days 01:59:38.887000,3.0,2.0,,,0 days 00:01:04.716000,0 days 00:01:06.318000,0 days 00:00:32.709000,0 days 01:59:59.338000,0 days 02:01:05.572000,0 days 02:01:38.453000,222.0,161.0,241.0,243.0,False,SOFT,5.0,False,AlphaTauri,0 days 01:58:54.516000,2020-11-29 15:38:54.568,24,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,70.3,1015.9,False,27.3,336,1.2
0 days 00:02:17.510000,12.0,KVY,26,0 days 02:01:38.942000,4.0,2.0,,,0 days 00:00:39.517000,0 days 00:01:05.086000,0 days 00:00:32.907000,0 days 02:02:17.798000,0 days 02:03:22.884000,0 days 02:03:55.791000,205.0,125.0,226.0,224.0,True,SOFT,6.0,False,AlphaTauri,0 days 02:01:38.281000,2020-11-29 15:41:38.333,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,71.7,1015.9,False,27.2,315,1.0
,11.0,KVY,26,0 days 02:04:38.951000,5.0,2.0,,,0 days 00:00:42.659000,0 days 00:01:07.489000,0 days 00:00:41.228000,0 days 02:04:38.412000,0 days 02:05:45.918000,0 days 02:06:27.267000,190.0,139.0,155.0,255.0,False,SOFT,7.0,False,AlphaTauri,0 days 02:03:55.791000,2020-11-29 15:43:55.843,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 00:02:18.712000,11.0,KVY,26,0 days 02:06:38.966000,6.0,2.0,,,0 days 00:00:41.800000,0 days 00:00:59.332000,0 days 00:00:37.580000,0 days 02:07:08.910000,0 days 02:08:08.242000,0 days 02:08:45.822000,130.0,101.0,137.0,258.0,False,SOFT,8.0,False,AlphaTauri,0 days 02:06:27.110000,2020-11-29 15:46:27.162,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 00:02:17.759000,11.0,KVY,26,0 days 02:09:38.964000,7.0,2.0,,,0 days 00:00:41.183000,0 days 00:00:57.845000,0 days 00:00:38.731000,0 days 02:09:27.005000,0 days 02:10:24.850000,0 days 02:11:03.581000,100.0,91.0,158.0,245.0,False,SOFT,9.0,False,AlphaTauri,0 days 02:08:45.822000,2020-11-29 15:48:45.874,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.7,1016.0,False,27.2,318,0.8
0 days 00:02:25.449000,11.0,KVY,26,0 days 02:11:38.940000,8.0,2.0,,,0 days 00:00:47.302000,0 days 00:00:58.822000,0 days 00:00:39.325000,0 days 02:11:50.883000,0 days 02:12:49.705000,0 days 02:13:29.030000,,100.0,287.0,261.0,False,SOFT,10.0,False,AlphaTauri,0 days 02:11:03.581000,2020-11-29 15:51:03.633,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 00:01:38.300000,11.0,KVY,26,0 days 02:13:38.946000,9.0,2.0,,,0 days 00:00:31.096000,0 days 00:00:43.023000,0 days 00:00:24.181000,0 days 02:14:00.126000,0 days 02:14:43.149000,0 days 02:15:07.330000,241.0,243.0,287.0,310.0,True,SOFT,11.0,False,AlphaTauri,0 days 02:13:29.030000,2020-11-29 15:53:29.082,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 00:01:37.701000,11.0,KVY,26,0 days 02:15:38.968000,10.0,2.0,,,0 days 00:00:31.014000,0 days 00:00:42.426000,0 days 00:00:24.261000,0 days 02:15:38.344000,0 days 02:16:20.770000,0 days 02:16:45.031000,234.0,248.0,284.0,301.0,True,SOFT,12.0,False,AlphaTauri,0 days 02:15:07.330000,2020-11-29 15:55:07.382,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,300,0.8
0 days 00:01:36.976000,11.0,KVY,26,0 days 02:17:38.957000,11.0,2.0,,,0 days 00:00:30.733000,0 days 00:00:42.255000,0 days 00:00:23.988000,0 days 02:17:15.764000,0 days 02:17:58.019000,0 days 02:18:22.007000,232.0,248.0,293.0,299.0,True,SOFT,13.0,False,AlphaTauri,0 days 02:16:45.031000,2020-11-29 15:56:45.083,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.1,72.3,1016.0,False,27.3,352,0.0
0 days 00:01:38.214000,11.0,KVY,26,0 days 02:18:38.954000,12.0,2.0,,,0 days 00:00:30.462000,0 days 00:00:43.479000,0 days 00:00:24.273000,0 days 02:18:52.469000,0 days 02:19:35.948000,0 days 02:20:00.221000,233.0,242.0,294.0,317.0,False,SOFT,14.0,False,AlphaTauri,0 days 02:18:22.007000,2020-11-29 15:58:22.059,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.3,1016.0,False,27.3,272,0.3
0 days 00:01:38.077000,11.0,KVY,26,0 days 02:20:38.967000,13.0,2.0,,,0 days 00:00:30.645000,0 days 00:00:43.498000,0 days 00:00:23.934000,0 days 02:20:30.866000,0 days 02:21:14.364000,0 days 02:21:38.298000,236.0,243.0,292.0,311.0,False,SOFT,15.0,False,AlphaTauri,0 days 02:20:00.221000,2020-11-29 16:00:00.273,2,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.0,1016.1,False,27.2,65,0.7
0 days 00:01:37.803000,11.0,KVY,26,0 days 02:21:38.949000,14.0,2.0,,,0 days 00:00:30.982000,0 days 00:00:42.758000,0 days 00:00:24.063000,0 days 02:22:09.280000,0 days 02:22:52.038000,0 days 02:23:16.101000,233.0,243.0,284.0,324.0,False,SOFT,16.0,False,AlphaTauri,0 days 02:21:38.298000,2020-11-29 16:01:38.350,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.1,71.6,1016.0,False,27.2,331,1.2
0 days 00:01:37.729000,11.0,KVY,26,0 days 02:23:38.952000,15.0,2.0,,,0 days 00:00:30.952000,0 days 00:00:42.669000,0 days 00:00:24.108000,0 days 02:23:47.053000,0 days 02:24:29.722000,0 days 02:24:53.830000,230.0,244.0,284.0,295.0,False,SOFT,17.0,False,AlphaTauri,0 days 02:23:16.101000,2020-11-29 16:03:16.153,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,71.3,1016.0,False,27.0,0,0.6
0 days 00:01:37.682000,11.0,KVY,26,0 days 02:25:38.966000,16.0,2.0,,,0 days 00:00:30.974000,0 days 00:00:42.509000,0 days 00:00:24.199000,0 days 02:25:24.804000,0 days 02:26:07.313000,0 days 02:26:31.512000,232.0,247.0,282.0,291.0,False,SOFT,18.0,False,AlphaTauri,0 days 02:24:53.830000,2020-11-29 16:04:53.882,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,71.0,1016.0,False,26.9,94,0.8
0 days 00:01:39.757000,10.0,KVY,26,0 days 02:26:38.974000,17.0,2.0,,0 days 02:28:10.466000,0 days 00:00:30.794000,0 days 00:00:42.416000,0 days 00:00:26.547000,0 days 02:27:02.306000,0 days 02:27:44.722000,0 days 02:28:11.269000,233.0,248.0,,292.0,False,SOFT,19.0,False,AlphaTauri,0 days 02:26:31.512000,2020-11-29 16:06:31.564,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,70.8,1016.0,False,27.0,301,0.5
0 days 00:02:08.754000,17.0,KVY,26,0 days 02:28:38.967000,18.0,3.0,0 days 02:28:46.947000,,0 days 00:01:03.973000,0 days 00:00:41.327000,0 days 00:00:23.454000,0 days 02:29:15.242000,0 days 02:29:56.569000,0 days 02:30:20.023000,231.0,246.0,280.0,222.0,False,HARD,1.0,True,AlphaTauri,0 days 02:28:11.269000,2020-11-29 16:08:11.321,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,70.3,1016.0,False,27.1,201,0.5
0 days 00:01:34.979000,17.0,KVY,26,0 days 02:30:38.975000,19.0,3.0,,,0 days 00:00:30.134000,0 days 00:00:41.153000,0 days 00:00:23.692000,0 days 02:30:50.157000,0 days 02:31:31.310000,0 days 02:31:55.002000,,250.0,279.0,296.0,True,HARD,2.0,True,AlphaTauri,0 days 02:30:20.023000,2020-11-29 16:10:20.075,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,70.2,1016.1,False,27.1,164,0.0
0 days 00:01:35.302000,17.0,KVY,26,0 days 02:32:38.961000,20.0,3.0,,,0 days 00:00:30.382000,0 days 00:00:41.425000,0 days 00:00:23.495000,0 days 02:32:25.384000,0 days 02:33:06.809000,0 days 02:33:30.304000,230.0,252.0,282.0,295.0,False,HARD,3.0,True,AlphaTauri,0 days 02:31:55.002000,2020-11-29 16:11:55.054,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,69.9,1016.1,False,27.2,183,0.8
0 days 00:01:35.949000,15.0,KVY,26,0 days 02:33:38.980000,21.0,3.0,,,0 days 00:00:30.462000,0 days 00:00:41.918000,0 days 00:00:23.569000,0 days 02:34:00.766000,0 days 02:34:42.684000,0 days 02:35:06.253000,,251.0,285.0,294.0,False,HARD,4.0,True,AlphaTauri,0 days 02:33:30.304000,2020-11-29 16:13:30.356,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.1,69.7,1016.1,False,27.1,182,0.6
0 days 00:01:36.283000,14.0,KVY,26,0 days 02:35:38.972000,22.0,3.0,,,0 days 00:00:30.322000,0 days 00:00:42.247000,0 days 00:00:23.714000,0 days 02:35:36.575000,0 days 02:36:18.822000,0 days 02:36:42.536000,,250.0,284.0,302.0,False,HARD,5.0,True,AlphaTauri,0 days 02:35:06.253000,2020-11-29 16:15:06.305,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,70.2,1016.2,False,26.7,0,0.7
0 days 00:01:36.125000,14.0,KVY,26,0 days 02:37:38.983000,23.0,3.0,,,0 days 00:00:30.412000,0 days 00:00:41.923000,0 days 00:00:23.790000,0 days 02:37:12.948000,0 days 02:37:54.871000,0 days 02:38:18.661000,,251.0,285.0,304.0,False,HARD,6.0,True,AlphaTauri,0 days 02:36:42.536000,2020-11-29 16:16:42.588,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,24.9,70.1,1016.2,False,26.7,246,1.2
0 days 00:01:36.974000,14.0,KVY,26,0 days 02:38:38.971000,24.0,3.0,,,0 days 00:00:30.698000,0 days 00:00:42.408000,0 days 00:00:23.868000,0 days 02:38:49.359000,0 days 02:39:31.767000,0 days 02:39:55.635000,,250.0,283.0,305.0,False,HARD,7.0,True,AlphaTauri,0 days 02:38:18.661000,2020-11-29 16:18:18.713,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,24.9,70.3,1016.2,False,26.7,202,1.0
0 days 00:01:36.630000,14.0,KVY,26,0 days 02:40:38.981000,25.0,3.0,,,0 days 00:00:30.601000,0 days 00:00:42.106000,0 days 00:00:23.923000,0 days 02:40:26.236000,0 days 02:41:08.342000,0 days 02:41:32.265000,231.0,248.0,285.0,306.0,False,HARD,8.0,True,AlphaTauri,0 days 02:39:55.635000,2020-11-29 16:19:55.687,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,24.9,71.0,1016.3,False,26.6,0,0.9
0 days 00:01:37.643000,14.0,KVY,26,0 days 02:41:38.970000,26.0,3.0,,,0 days 00:00:31.232000,0 days 00:00:42.473000,0 days 00:00:23.938000,0 days 02:42:03.497000,0 days 02:42:45.970000,0 days 02:43:09.908000,230.0,243.0,285.0,305.0,False,HARD,9.0,True,AlphaTauri,0 days 02:41:32.265000,2020-11-29 16:21:32.317,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,24.9,71.4,1016.2,False,26.5,219,0.0
