LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:47.457000,14.0,SAI,55,0 days 00:33:38.483000,1.0,1.0,,0 days 00:36:21.831000,,0 days 00:01:20.785000,0 days 00:00:45.471000,,0 days 00:35:39.166000,0 days 00:36:24.761000,59.0,135.0,,216.0,False,SOFT,1.0,True,McLaren,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.4,66.0,1015.3,False,28.6,244,1.0
,13.0,SAI,55,0 days 01:55:38.868000,2.0,2.0,0 days 01:55:39.163000,,,0 days 00:01:18.941000,0 days 00:01:08.634000,,0 days 01:57:40.025000,0 days 01:58:48.810000,71.0,98.0,53.0,203.0,False,SOFT,1.0,False,McLaren,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,68.7,1015.9,False,27.4,320,1.2
,11.0,SAI,55,0 days 01:59:38.887000,3.0,2.0,,,0 days 00:01:10.103000,0 days 00:01:05.592000,0 days 00:00:32.012000,0 days 01:59:58.782000,0 days 02:01:04.339000,0 days 02:01:36.467000,219.0,178.0,248.0,248.0,False,SOFT,2.0,False,McLaren,0 days 01:58:48.659000,2020-11-29 15:38:48.711,24,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,70.3,1015.9,False,27.3,336,1.2
0 days 00:02:18.441000,11.0,SAI,55,0 days 02:01:38.942000,4.0,2.0,,,0 days 00:00:39.802000,0 days 00:01:05.579000,0 days 00:00:33.060000,0 days 02:02:16.143000,0 days 02:03:21.722000,0 days 02:03:54.782000,189.0,127.0,180.0,216.0,True,SOFT,3.0,False,McLaren,0 days 02:01:36.341000,2020-11-29 15:41:36.393,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,71.7,1015.9,False,27.2,315,1.0
,10.0,SAI,55,0 days 02:04:38.951000,5.0,2.0,,,0 days 00:00:42.149000,0 days 00:01:07.609000,0 days 00:00:41.203000,0 days 02:04:36.921000,0 days 02:05:44.618000,0 days 02:06:25.824000,198.0,182.0,151.0,230.0,False,SOFT,4.0,False,McLaren,0 days 02:03:54.782000,2020-11-29 15:43:54.834,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 00:02:18.223000,10.0,SAI,55,0 days 02:06:38.966000,6.0,2.0,,,0 days 00:00:41.270000,0 days 00:00:59.398000,0 days 00:00:37.555000,0 days 02:07:06.976000,0 days 02:08:06.374000,0 days 02:08:43.929000,147.0,146.0,129.0,265.0,True,SOFT,5.0,False,McLaren,0 days 02:06:25.706000,2020-11-29 15:46:25.758,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 00:02:18.097000,10.0,SAI,55,0 days 02:09:38.964000,7.0,2.0,,,0 days 00:00:41.809000,0 days 00:00:57.697000,0 days 00:00:38.591000,0 days 02:09:25.738000,0 days 02:10:23.435000,0 days 02:11:02.026000,97.0,97.0,170.0,205.0,True,SOFT,6.0,False,McLaren,0 days 02:08:43.929000,2020-11-29 15:48:43.981,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.7,1016.0,False,27.2,318,0.8
0 days 00:02:26.467000,10.0,SAI,55,0 days 02:11:38.940000,8.0,2.0,,,0 days 00:00:46.675000,0 days 00:00:59.670000,0 days 00:00:40.122000,0 days 02:11:48.701000,0 days 02:12:48.371000,0 days 02:13:28.493000,142.0,92.0,294.0,259.0,False,SOFT,7.0,False,McLaren,0 days 02:11:02.026000,2020-11-29 15:51:02.078,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 00:01:37.163000,8.0,SAI,55,0 days 02:13:38.946000,9.0,2.0,,,0 days 00:00:30.954000,0 days 00:00:42.113000,0 days 00:00:24.096000,0 days 02:13:59.447000,0 days 02:14:41.560000,0 days 02:15:05.656000,221.0,254.0,286.0,309.0,True,SOFT,8.0,False,McLaren,0 days 02:13:28.493000,2020-11-29 15:53:28.545,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 00:01:37.117000,8.0,SAI,55,0 days 02:15:38.968000,10.0,2.0,,,0 days 00:00:30.727000,0 days 00:00:42.269000,0 days 00:00:24.121000,0 days 02:15:36.383000,0 days 02:16:18.652000,0 days 02:16:42.773000,235.0,252.0,285.0,303.0,True,SOFT,9.0,False,McLaren,0 days 02:15:05.656000,2020-11-29 15:55:05.708,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,300,0.8
