LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:54.756000,16.0,VET,5,0 days 00:33:38.483000,1.0,1.0,,0 days 00:36:27.269000,,0 days 00:01:22.943000,0 days 00:00:49.479000,,0 days 00:35:42.480000,0 days 00:36:31.935000,56.0,130.0,,247.0,False,MEDIUM,3.0,False,Ferrari,0 days 00:33:36.921000,2020-11-29 14:13:36.973,5,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.4,66.0,1015.3,False,28.6,244,1.0
,10.0,VET,5,0 days 01:55:38.868000,2.0,2.0,0 days 01:55:44.267000,,,0 days 00:01:17.073000,0 days 00:01:02.797000,,0 days 01:57:37.078000,0 days 01:58:40.015000,140.0,106.0,67.0,192.0,False,HARD,1.0,True,Ferrari,0 days 01:55:00.402000,2020-11-29 15:35:00.454,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,68.7,1015.9,False,27.4,320,1.2
,16.0,VET,5,0 days 01:59:38.887000,3.0,2.0,,,0 days 00:01:19.355000,0 days 00:01:10.893000,0 days 00:00:34.310000,0 days 01:59:59.225000,0 days 02:01:10.068000,0 days 02:01:44.502000,227.0,185.0,231.0,255.0,False,HARD,2.0,True,Ferrari,0 days 01:58:39.875000,2020-11-29 15:38:39.927,24,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,70.3,1015.9,False,27.3,336,1.2
0 days 00:02:17.077000,16.0,VET,5,0 days 02:02:38.936000,4.0,2.0,,,0 days 00:00:39.664000,0 days 00:01:05.051000,0 days 00:00:32.362000,0 days 02:02:24.042000,0 days 02:03:29.093000,0 days 02:04:01.455000,190.0,105.0,213.0,160.0,True,HARD,3.0,True,Ferrari,0 days 02:01:44.378000,2020-11-29 15:41:44.430,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.1,72.3,1015.9,False,27.2,357,0.8
,15.0,VET,5,0 days 02:04:38.951000,5.0,2.0,,,0 days 00:00:43.759000,0 days 00:01:08.879000,0 days 00:00:38.966000,0 days 02:04:45.225000,0 days 02:05:54.062000,0 days 02:06:33.186000,161.0,134.0,142.0,145.0,False,HARD,4.0,True,Ferrari,0 days 02:04:01.455000,2020-11-29 15:44:01.507,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.5,1015.9,False,27.3,299,1.0
0 days 00:02:18.466000,15.0,VET,5,0 days 02:06:38.966000,6.0,2.0,,,0 days 00:00:41.051000,0 days 00:00:59.939000,0 days 00:00:37.476000,0 days 02:07:14.079000,0 days 02:08:14.018000,0 days 02:08:51.494000,162.0,214.0,138.0,224.0,False,HARD,5.0,True,Ferrari,0 days 02:06:33.028000,2020-11-29 15:46:33.080,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,74.1,1015.9,False,27.3,260,1.0
0 days 00:02:20.070000,15.0,VET,5,0 days 02:09:38.964000,7.0,2.0,,,0 days 00:00:43.797000,0 days 00:00:55.555000,0 days 00:00:40.718000,0 days 02:09:35.291000,0 days 02:10:30.846000,0 days 02:11:11.564000,89.0,157.0,232.0,247.0,False,HARD,6.0,True,Ferrari,0 days 02:08:51.494000,2020-11-29 15:48:51.546,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,25.0,73.7,1016.0,False,27.2,318,0.8
0 days 00:02:19.571000,15.0,VET,5,0 days 02:11:38.940000,8.0,2.0,,,0 days 00:00:45.948000,0 days 00:00:57.288000,0 days 00:00:36.335000,0 days 02:11:57.512000,0 days 02:12:54.800000,0 days 02:13:31.135000,105.0,145.0,285.0,145.0,False,HARD,7.0,True,Ferrari,0 days 02:11:11.564000,2020-11-29 15:51:11.616,4,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.4,1015.9,False,27.3,303,1.1
0 days 00:01:39.435000,15.0,VET,5,0 days 02:13:38.946000,9.0,2.0,,,0 days 00:00:31.602000,0 days 00:00:43.165000,0 days 00:00:24.668000,0 days 02:14:02.737000,0 days 02:14:45.902000,0 days 02:15:10.570000,235.0,252.0,282.0,312.0,True,HARD,8.0,True,Ferrari,0 days 02:13:31.135000,2020-11-29 15:53:31.187,1,False,,False,False,0,Bahrain Grand Prix,15,92.0,24.9,73.3,1016.0,False,27.3,219,1.4
0 days 00:01:38.559000,15.0,VET,5,0 days 02:15:38.968000,10.0,2.0,,,0 days 00:00:31.322000,0 days 00:00:42.818000,0 days 00:00:24.419000,0 days 02:15:41.892000,0 days 02:16:24.710000,0 days 02:16:49.129000,,254.0,283.0,306.0,True,HARD,9.0,True,Ferrari,0 days 02:15:10.570000,2020-11-29 15:55:10.622,1,False,,False,True,0,Bahrain Grand Prix,15,92.0,25.0,72.7,1016.0,False,27.3,300,0.8
