LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:53.738000,3.0,BOT,77,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:49.379000,0 days 00:00:29.837000,,0 days 00:35:05.874000,0 days 00:35:36.360000,327.0,202.0,202.0,296.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:50.116000,2.0,BOT,77,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.868000,0 days 00:00:48.626000,0 days 00:00:29.622000,0 days 00:36:07.543000,0 days 00:36:56.169000,0 days 00:37:25.791000,307.0,198.0,219.0,306.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:35:35.658000,2020-08-30 13:15:35.722,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:50.243000,2.0,BOT,77,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.745000,0 days 00:00:48.730000,0 days 00:00:29.768000,0 days 00:37:57.536000,0 days 00:38:46.266000,0 days 00:39:16.034000,,197.0,217.0,307.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:37:25.774000,2020-08-30 13:17:25.838,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:49.937000,2.0,BOT,77,0 days 00:39:18.999000,4.0,1.0,,,0 days 00:00:31.691000,0 days 00:00:48.665000,0 days 00:00:29.581000,0 days 00:39:47.725000,0 days 00:40:36.390000,0 days 00:41:05.971000,310.0,198.0,218.0,,True,MEDIUM,7.0,False,Mercedes,0 days 00:39:16.017000,2020-08-30 13:19:16.081,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.8,962.4,False,31.4,336,1.8
0 days 00:01:50.001000,2.0,BOT,77,0 days 00:41:18.989000,5.0,1.0,,,0 days 00:00:31.650000,0 days 00:00:48.753000,0 days 00:00:29.598000,0 days 00:41:37.621000,0 days 00:42:26.374000,0 days 00:42:55.972000,313.0,196.0,217.0,308.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:41:05.954000,2020-08-30 13:21:06.018,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.5,962.5,False,30.4,279,2.2
0 days 00:01:50.225000,2.0,BOT,77,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.774000,0 days 00:00:48.839000,0 days 00:00:29.612000,0 days 00:43:27.746000,0 days 00:44:16.585000,0 days 00:44:46.197000,310.0,199.0,216.0,306.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:42:55.955000,2020-08-30 13:22:56.019,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:49.920000,2.0,BOT,77,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.717000,0 days 00:00:48.640000,0 days 00:00:29.563000,0 days 00:45:17.914000,0 days 00:46:06.554000,0 days 00:46:36.117000,311.0,197.0,217.0,307.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:44:46.180000,2020-08-30 13:24:46.244,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:49.897000,2.0,BOT,77,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.771000,0 days 00:00:48.498000,0 days 00:00:29.628000,0 days 00:47:07.888000,0 days 00:47:56.386000,0 days 00:48:26.014000,310.0,196.0,218.0,306.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:46:36.100000,2020-08-30 13:26:36.164,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:49.820000,2.0,BOT,77,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.725000,0 days 00:00:48.645000,0 days 00:00:29.450000,0 days 00:48:57.739000,0 days 00:49:46.384000,0 days 00:50:15.834000,311.0,198.0,218.0,,True,MEDIUM,12.0,False,Mercedes,0 days 00:48:25.997000,2020-08-30 13:28:26.061,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:01:50.305000,2.0,BOT,77,0 days 00:50:19.038000,10.0,1.0,,,0 days 00:00:31.747000,0 days 00:00:48.632000,0 days 00:00:29.926000,0 days 00:50:47.581000,0 days 00:51:36.213000,0 days 00:52:06.139000,310.0,196.0,217.0,,False,MEDIUM,13.0,False,Mercedes,0 days 00:50:15.817000,2020-08-30 13:30:15.881,1,False,,False,True,0,Belgian Grand Prix,19,91.0,19.1,52.2,962.3,False,30.5,10,0.8
