LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:02.147000,15.0,GIO,99,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:54.652000,0 days 00:00:30.209000,,0 days 00:35:13.902000,0 days 00:35:44.255000,323.0,194.0,215.0,273.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:54.022000,14.0,GIO,99,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.908000,0 days 00:00:51.916000,0 days 00:00:30.198000,0 days 00:36:15.969000,0 days 00:37:07.885000,0 days 00:37:38.083000,314.0,192.0,216.0,306.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:35:44.067000,2020-08-30 13:15:44.131,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:52.768000,14.0,GIO,99,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.567000,0 days 00:00:51.167000,0 days 00:00:30.034000,0 days 00:38:09.650000,0 days 00:39:00.817000,0 days 00:39:30.851000,,194.0,216.0,311.0,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:37:38.089000,2020-08-30 13:17:38.153,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:52.378000,14.0,GIO,99,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.563000,0 days 00:00:50.873000,0 days 00:00:29.942000,0 days 00:40:02.414000,0 days 00:40:53.287000,0 days 00:41:23.229000,327.0,195.0,214.0,309.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:39:30.857000,2020-08-30 13:19:30.921,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:52.614000,14.0,GIO,99,0 days 00:42:19.688000,5.0,1.0,,,0 days 00:00:31.605000,0 days 00:00:50.887000,0 days 00:00:30.122000,0 days 00:41:54.834000,0 days 00:42:45.721000,0 days 00:43:15.843000,333.0,188.0,214.0,311.0,False,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:41:23.235000,2020-08-30 13:21:23.299,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:01:52.791000,14.0,GIO,99,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.465000,0 days 00:00:51.155000,0 days 00:00:30.171000,0 days 00:43:47.308000,0 days 00:44:38.463000,0 days 00:45:08.634000,336.0,190.0,213.0,,False,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:43:15.849000,2020-08-30 13:23:15.913,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:52.711000,14.0,GIO,99,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.499000,0 days 00:00:51.137000,0 days 00:00:30.075000,0 days 00:45:40.133000,0 days 00:46:31.270000,0 days 00:47:01.345000,331.0,194.0,213.0,,False,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:45:08.640000,2020-08-30 13:25:08.704,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:52.328000,14.0,GIO,99,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.819000,0 days 00:00:50.457000,0 days 00:00:30.052000,0 days 00:47:33.164000,0 days 00:48:23.621000,0 days 00:48:53.673000,320.0,196.0,212.0,309.0,True,MEDIUM,8.0,True,Alfa Romeo Racing,0 days 00:47:01.351000,2020-08-30 13:27:01.415,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:51.793000,14.0,GIO,99,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.801000,0 days 00:00:50.089000,0 days 00:00:29.903000,0 days 00:49:25.474000,0 days 00:50:15.563000,0 days 00:50:45.466000,323.0,197.0,215.0,308.0,True,MEDIUM,9.0,True,Alfa Romeo Racing,0 days 00:48:53.679000,2020-08-30 13:28:53.743,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
,,GIO,99,0 days 00:51:19.020000,10.0,1.0,,,,,,,,,,,,,,MEDIUM,10.0,True,Alfa Romeo Racing,0 days 00:50:45.472000,,,False,,True,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
