LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:00.948000,13.0,KVY,26,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:54.580000,0 days 00:00:29.900000,,0 days 00:35:13.078000,0 days 00:35:42.977000,270.0,196.0,217.0,280.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:53.663000,12.0,KVY,26,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.619000,0 days 00:00:52.293000,0 days 00:00:29.751000,0 days 00:36:14.451000,0 days 00:37:06.744000,0 days 00:37:36.495000,331.0,194.0,214.0,314.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:35:42.868000,2020-08-30 13:15:42.932,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:52.273000,12.0,KVY,26,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.148000,0 days 00:00:51.379000,0 days 00:00:29.746000,0 days 00:38:07.643000,0 days 00:38:59.022000,0 days 00:39:28.768000,343.0,196.0,217.0,316.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:37:36.531000,2020-08-30 13:17:36.595,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:52.397000,12.0,KVY,26,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.145000,0 days 00:00:51.450000,0 days 00:00:29.802000,0 days 00:39:59.913000,0 days 00:40:51.363000,0 days 00:41:21.165000,,195.0,217.0,,False,MEDIUM,4.0,True,AlphaTauri,0 days 00:39:28.804000,2020-08-30 13:19:28.868,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:52.621000,12.0,KVY,26,0 days 00:42:19.688000,5.0,1.0,,,0 days 00:00:30.871000,0 days 00:00:51.922000,0 days 00:00:29.828000,0 days 00:41:52.036000,0 days 00:42:43.958000,0 days 00:43:13.786000,327.0,189.0,218.0,320.0,False,MEDIUM,5.0,True,AlphaTauri,0 days 00:41:21.201000,2020-08-30 13:21:21.265,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:01:52.828000,12.0,KVY,26,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.132000,0 days 00:00:51.839000,0 days 00:00:29.857000,0 days 00:43:44.918000,0 days 00:44:36.757000,0 days 00:45:06.614000,339.0,193.0,215.0,316.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:43:13.822000,2020-08-30 13:23:13.886,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:51.580000,11.0,KVY,26,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:30.977000,0 days 00:00:50.587000,0 days 00:00:30.016000,0 days 00:45:37.591000,0 days 00:46:28.178000,0 days 00:46:58.194000,341.0,195.0,214.0,323.0,True,MEDIUM,7.0,True,AlphaTauri,0 days 00:45:06.650000,2020-08-30 13:25:06.714,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:51.554000,11.0,KVY,26,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.652000,0 days 00:00:50.037000,0 days 00:00:29.865000,0 days 00:47:29.846000,0 days 00:48:19.883000,0 days 00:48:49.748000,324.0,195.0,216.0,312.0,True,MEDIUM,8.0,True,AlphaTauri,0 days 00:46:58.230000,2020-08-30 13:26:58.294,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:51.109000,11.0,KVY,26,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.578000,0 days 00:00:49.798000,0 days 00:00:29.733000,0 days 00:49:21.326000,0 days 00:50:11.124000,0 days 00:50:40.857000,325.0,197.0,216.0,313.0,True,MEDIUM,9.0,True,AlphaTauri,0 days 00:48:49.784000,2020-08-30 13:28:49.848,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:01:58.144000,11.0,KVY,26,0 days 00:51:19.020000,10.0,1.0,,,0 days 00:00:31.820000,0 days 00:00:50.139000,0 days 00:00:36.185000,0 days 00:51:12.677000,0 days 00:52:02.816000,0 days 00:52:39.001000,316.0,198.0,84.0,312.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:50:40.893000,2020-08-30 13:30:40.957,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
,11.0,KVY,26,0 days 00:53:19.022000,11.0,1.0,,0 days 00:55:10.379000,0 days 00:00:45.863000,0 days 00:01:10.757000,0 days 00:00:38.462000,0 days 00:53:24.919000,0 days 00:54:35.697000,0 days 00:55:14.213000,297.0,149.0,,166.0,False,MEDIUM,11.0,True,AlphaTauri,0 days 00:52:39.037000,2020-08-30 13:32:39.101,4,False,,False,False,0,Belgian Grand Prix,19,91.0,19.1,53.0,962.3,False,31.0,45,0.9
