LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:04.659000,20.0,LAT,6,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:56.457000,0 days 00:00:30.663000,,0 days 00:35:15.946000,0 days 00:35:46.734000,312.0,182.0,210.0,263.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:54.848000,19.0,LAT,6,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:32.217000,0 days 00:00:52.124000,0 days 00:00:30.507000,0 days 00:36:18.787000,0 days 00:37:10.911000,0 days 00:37:41.418000,314.0,190.0,214.0,295.0,True,MEDIUM,2.0,True,Williams,0 days 00:35:46.579000,2020-08-30 13:15:46.643,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:53.465000,19.0,LAT,6,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:32.405000,0 days 00:00:50.908000,0 days 00:00:30.152000,0 days 00:38:13.823000,0 days 00:39:04.731000,0 days 00:39:34.883000,308.0,195.0,215.0,298.0,True,MEDIUM,3.0,True,Williams,0 days 00:37:41.427000,2020-08-30 13:17:41.491,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:52.932000,19.0,LAT,6,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.973000,0 days 00:00:50.748000,0 days 00:00:30.211000,0 days 00:40:06.856000,0 days 00:40:57.604000,0 days 00:41:27.815000,313.0,193.0,215.0,305.0,True,MEDIUM,4.0,True,Williams,0 days 00:39:34.892000,2020-08-30 13:19:34.956,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:53.291000,19.0,LAT,6,0 days 00:42:19.688000,5.0,1.0,,,0 days 00:00:32.495000,0 days 00:00:50.494000,0 days 00:00:30.302000,0 days 00:42:00.310000,0 days 00:42:50.804000,0 days 00:43:21.106000,,188.0,213.0,303.0,False,MEDIUM,5.0,True,Williams,0 days 00:41:27.824000,2020-08-30 13:21:27.888,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:01:53.159000,19.0,LAT,6,0 days 00:44:18.987000,6.0,1.0,,,0 days 00:00:31.821000,0 days 00:00:51.105000,0 days 00:00:30.233000,0 days 00:43:52.927000,0 days 00:44:44.032000,0 days 00:45:14.265000,317.0,190.0,215.0,305.0,False,MEDIUM,6.0,True,Williams,0 days 00:43:21.115000,2020-08-30 13:23:21.179,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.6,962.4,False,30.6,5,1.2
0 days 00:01:53.159000,19.0,LAT,6,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.618000,0 days 00:00:51.416000,0 days 00:00:30.125000,0 days 00:45:45.883000,0 days 00:46:37.299000,0 days 00:47:07.424000,329.0,190.0,215.0,299.0,False,MEDIUM,7.0,True,Williams,0 days 00:45:14.274000,2020-08-30 13:25:14.338,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:53.978000,19.0,LAT,6,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.164000,0 days 00:00:52.402000,0 days 00:00:30.412000,0 days 00:47:38.588000,0 days 00:48:30.990000,0 days 00:49:01.402000,342.0,192.0,202.0,309.0,False,MEDIUM,8.0,True,Williams,0 days 00:47:07.433000,2020-08-30 13:27:07.497,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:53.206000,19.0,LAT,6,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:32.293000,0 days 00:00:50.748000,0 days 00:00:30.165000,0 days 00:49:33.695000,0 days 00:50:24.443000,0 days 00:50:54.608000,307.0,196.0,212.0,301.0,False,MEDIUM,9.0,True,Williams,0 days 00:49:01.411000,2020-08-30 13:29:01.475,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:02:09.652000,17.0,LAT,6,0 days 00:51:19.020000,10.0,1.0,,0 days 00:53:00.681000,0 days 00:00:32.256000,0 days 00:00:52.083000,0 days 00:00:45.313000,0 days 00:51:26.864000,0 days 00:52:18.947000,0 days 00:53:04.260000,305.0,188.0,,,False,MEDIUM,10.0,True,Williams,0 days 00:50:54.617000,2020-08-30 13:30:54.681,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
,17.0,LAT,6,0 days 00:53:19.022000,11.0,2.0,0 days 00:53:24.422000,,0 days 00:00:55.100000,0 days 00:01:15.433000,0 days 00:00:35.707000,0 days 00:53:59.375000,0 days 00:55:14.819000,0 days 00:55:50.651000,238.0,176.0,205.0,222.0,False,HARD,1.0,True,Williams,0 days 00:53:04.269000,2020-08-30 13:33:04.333,4,False,,False,False,0,Belgian Grand Prix,19,91.0,19.1,53.0,962.3,False,31.0,45,0.9
