LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:02:02.660000,16.0,MAG,20,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:54.939000,0 days 00:00:30.237000,,0 days 00:35:14.355000,0 days 00:35:44.724000,333.0,188.0,215.0,269.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:54.097000,15.0,MAG,20,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.981000,0 days 00:00:51.881000,0 days 00:00:30.235000,0 days 00:36:16.544000,0 days 00:37:08.425000,0 days 00:37:38.660000,323.0,190.0,215.0,308.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:44.580000,2020-08-30 13:15:44.644,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:53.189000,15.0,MAG,20,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.629000,0 days 00:00:51.306000,0 days 00:00:30.254000,0 days 00:38:10.289000,0 days 00:39:01.595000,0 days 00:39:31.849000,342.0,192.0,214.0,309.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:37:38.677000,2020-08-30 13:17:38.741,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:53.545000,16.0,MAG,20,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.995000,0 days 00:00:51.394000,0 days 00:00:30.156000,0 days 00:40:03.844000,0 days 00:40:55.238000,0 days 00:41:25.394000,307.0,194.0,212.0,306.0,False,MEDIUM,4.0,True,Haas F1 Team,0 days 00:39:31.866000,2020-08-30 13:19:31.930,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:53.949000,17.0,MAG,20,0 days 00:42:19.688000,5.0,1.0,,,0 days 00:00:31.916000,0 days 00:00:51.797000,0 days 00:00:30.236000,0 days 00:41:57.310000,0 days 00:42:49.107000,0 days 00:43:19.343000,322.0,186.0,211.0,309.0,False,MEDIUM,5.0,True,Haas F1 Team,0 days 00:41:25.411000,2020-08-30 13:21:25.475,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.3,962.5,False,29.8,324,1.7
0 days 00:01:54.256000,18.0,MAG,20,0 days 00:44:18.987000,6.0,1.0,,,0 days 00:00:32.152000,0 days 00:00:51.794000,0 days 00:00:30.310000,0 days 00:43:51.495000,0 days 00:44:43.289000,0 days 00:45:13.599000,320.0,192.0,211.0,306.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:43:19.360000,2020-08-30 13:23:19.424,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.6,962.4,False,30.6,5,1.2
0 days 00:01:52.909000,18.0,MAG,20,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:32.090000,0 days 00:00:50.592000,0 days 00:00:30.227000,0 days 00:45:45.689000,0 days 00:46:36.281000,0 days 00:47:06.508000,,192.0,211.0,304.0,True,MEDIUM,7.0,True,Haas F1 Team,0 days 00:45:13.616000,2020-08-30 13:25:13.680,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:52.811000,18.0,MAG,20,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:32.144000,0 days 00:00:50.458000,0 days 00:00:30.209000,0 days 00:47:38.652000,0 days 00:48:29.110000,0 days 00:48:59.319000,321.0,193.0,211.0,,True,MEDIUM,8.0,True,Haas F1 Team,0 days 00:47:06.525000,2020-08-30 13:27:06.589,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:52.271000,18.0,MAG,20,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:32.253000,0 days 00:00:49.953000,0 days 00:00:30.065000,0 days 00:49:31.572000,0 days 00:50:21.525000,0 days 00:50:51.590000,316.0,195.0,211.0,,True,MEDIUM,9.0,True,Haas F1 Team,0 days 00:48:59.336000,2020-08-30 13:28:59.400,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:02:09.681000,16.0,MAG,20,0 days 00:51:19.020000,10.0,1.0,,0 days 00:53:00.537000,0 days 00:00:32.184000,0 days 00:00:51.965000,0 days 00:00:45.532000,0 days 00:51:23.774000,0 days 00:52:15.739000,0 days 00:53:01.271000,,185.0,,303.0,False,MEDIUM,10.0,True,Haas F1 Team,0 days 00:50:51.607000,2020-08-30 13:30:51.671,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
,16.0,MAG,20,0 days 00:53:19.022000,11.0,2.0,0 days 00:53:23.734000,,0 days 00:00:56.727000,0 days 00:01:14.090000,0 days 00:00:36.044000,0 days 00:53:58.044000,0 days 00:55:12.123000,0 days 00:55:48.289000,229.0,167.0,198.0,194.0,False,HARD,1.0,True,Haas F1 Team,0 days 00:53:01.288000,2020-08-30 13:33:01.352,4,False,,False,False,0,Belgian Grand Prix,19,91.0,19.1,53.0,962.3,False,31.0,45,0.9
0 days 00:02:25.100000,16.0,MAG,20,0 days 00:56:19.003000,12.0,2.0,,,0 days 00:00:34.528000,0 days 00:01:06.326000,0 days 00:00:44.246000,0 days 00:56:22.695000,0 days 00:57:29.021000,0 days 00:58:13.267000,285.0,132.0,196.0,279.0,False,HARD,2.0,True,Haas F1 Team,0 days 00:55:48.184000,2020-08-30 13:35:48.248,4,False,,False,False,0,Belgian Grand Prix,19,91.0,19.4,53.7,962.3,False,31.6,180,0.5
