LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:56.527000,6.0,OCO,31,0 days 00:34:18.965000,1.0,1.0,,,,0 days 00:00:51.875000,0 days 00:00:29.739000,,0 days 00:35:08.796000,0 days 00:35:38.592000,310.0,194.0,217.0,291.0,False,SOFT,4.0,False,Renault,0 days 00:33:41.719000,2020-08-30 13:13:41.783,1,False,,False,False,0,Belgian Grand Prix,19,91.0,18.2,57.6,962.5,False,30.9,249,0.7
0 days 00:01:52.021000,5.0,OCO,31,0 days 00:36:18.998000,2.0,1.0,,,0 days 00:00:31.363000,0 days 00:00:50.645000,0 days 00:00:30.013000,0 days 00:36:09.797000,0 days 00:37:00.442000,0 days 00:37:30.455000,318.0,195.0,215.0,313.0,True,SOFT,5.0,False,Renault,0 days 00:35:38.447000,2020-08-30 13:15:38.511,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.0,962.4,False,31.3,341,3.3
0 days 00:01:51.569000,5.0,OCO,31,0 days 00:38:18.977000,3.0,1.0,,,0 days 00:00:31.556000,0 days 00:00:49.978000,0 days 00:00:30.035000,0 days 00:38:02.011000,0 days 00:38:51.989000,0 days 00:39:22.024000,317.0,198.0,214.0,311.0,True,SOFT,6.0,False,Renault,0 days 00:37:30.468000,2020-08-30 13:17:30.532,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.2,54.9,962.4,False,31.4,328,2.5
0 days 00:01:51.588000,5.0,OCO,31,0 days 00:40:18.996000,4.0,1.0,,,0 days 00:00:31.649000,0 days 00:00:49.899000,0 days 00:00:30.040000,0 days 00:39:53.673000,0 days 00:40:43.572000,0 days 00:41:13.612000,316.0,195.0,214.0,,False,SOFT,7.0,False,Renault,0 days 00:39:22.037000,2020-08-30 13:19:22.101,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.2,962.4,False,31.1,308,2.0
0 days 00:01:51.378000,5.0,OCO,31,0 days 00:41:18.989000,5.0,1.0,,,0 days 00:00:31.608000,0 days 00:00:49.699000,0 days 00:00:30.071000,0 days 00:41:45.220000,0 days 00:42:34.919000,0 days 00:43:04.990000,317.0,193.0,214.0,313.0,True,SOFT,8.0,False,Renault,0 days 00:41:13.625000,2020-08-30 13:21:13.689,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.1,55.5,962.5,False,30.4,279,2.2
0 days 00:01:51.398000,5.0,OCO,31,0 days 00:43:18.997000,6.0,1.0,,,0 days 00:00:31.675000,0 days 00:00:49.624000,0 days 00:00:30.099000,0 days 00:43:36.665000,0 days 00:44:26.289000,0 days 00:44:56.388000,318.0,199.0,214.0,310.0,False,SOFT,9.0,False,Renault,0 days 00:43:05.003000,2020-08-30 13:23:05.067,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,55.1,962.5,False,29.8,11,1.1
0 days 00:01:51.322000,5.0,OCO,31,0 days 00:45:19.017000,7.0,1.0,,,0 days 00:00:31.650000,0 days 00:00:49.643000,0 days 00:00:30.029000,0 days 00:45:28.038000,0 days 00:46:17.681000,0 days 00:46:47.710000,317.0,197.0,215.0,311.0,True,SOFT,10.0,False,Renault,0 days 00:44:56.401000,2020-08-30 13:24:56.465,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.4,54.2,962.3,False,30.2,54,1.4
0 days 00:01:51.143000,5.0,OCO,31,0 days 00:47:18.998000,8.0,1.0,,,0 days 00:00:31.712000,0 days 00:00:49.355000,0 days 00:00:30.076000,0 days 00:47:19.422000,0 days 00:48:08.777000,0 days 00:48:38.853000,,196.0,215.0,310.0,True,SOFT,11.0,False,Renault,0 days 00:46:47.723000,2020-08-30 13:26:47.787,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.3,54.1,962.4,False,29.7,50,0.3
0 days 00:01:50.827000,5.0,OCO,31,0 days 00:49:19.026000,9.0,1.0,,,0 days 00:00:31.593000,0 days 00:00:49.291000,0 days 00:00:29.943000,0 days 00:49:10.446000,0 days 00:49:59.737000,0 days 00:50:29.680000,318.0,197.0,215.0,309.0,True,SOFT,12.0,False,Renault,0 days 00:48:38.866000,2020-08-30 13:28:38.930,1,False,,False,True,0,Belgian Grand Prix,19,91.0,18.7,54.4,962.3,False,29.4,294,1.1
0 days 00:01:51.017000,5.0,OCO,31,0 days 00:51:19.020000,10.0,1.0,,,0 days 00:00:31.816000,0 days 00:00:49.264000,0 days 00:00:29.937000,0 days 00:51:01.496000,0 days 00:51:50.760000,0 days 00:52:20.697000,317.0,198.0,214.0,,False,SOFT,13.0,False,Renault,0 days 00:50:29.693000,2020-08-30 13:30:29.757,24,False,,False,False,0,Belgian Grand Prix,19,91.0,19.0,53.2,962.4,False,30.8,86,1.3
,5.0,OCO,31,0 days 00:53:19.022000,11.0,1.0,,0 days 00:54:55.185000,0 days 00:00:55.608000,0 days 00:01:02.407000,0 days 00:00:40.177000,0 days 00:53:16.763000,0 days 00:54:18.766000,0 days 00:54:59.046000,279.0,183.0,,157.0,False,SOFT,14.0,False,Renault,0 days 00:52:20.710000,2020-08-30 13:32:20.774,4,False,,False,False,0,Belgian Grand Prix,19,91.0,19.1,53.0,962.3,False,31.0,45,0.9
,8.0,OCO,31,0 days 00:55:19.012000,12.0,2.0,0 days 00:55:19.481000,,0 days 00:00:56.253000,0 days 00:01:16.692000,0 days 00:00:44.029000,0 days 00:55:55.192000,0 days 00:57:11.899000,0 days 00:57:56.034000,267.0,179.0,167.0,197.0,False,HARD,1.0,True,Renault,0 days 00:54:58.956000,2020-08-30 13:34:59.020,4,False,,False,False,0,Belgian Grand Prix,19,91.0,18.9,54.6,962.3,False,31.3,161,0.8
