LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:44.267000,16.0,GRO,8,0 days 00:33:23.544000,1.0,1.0,,,,0 days 00:00:40.405000,0 days 00:00:26.837000,,0 days 00:34:40.431000,0 days 00:35:07.348000,306.0,250.0,240.0,312.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:22.751000,2020-08-02 13:13:22.765,2,False,,False,False,0,British Grand Prix,18,92.0,20.9,43.1,998.7,False,41.9,241,4.1
0 days 00:02:16.618000,15.0,GRO,8,0 days 00:35:23.561000,2.0,1.0,,,0 days 00:00:48.159000,0 days 00:00:51.674000,0 days 00:00:36.785000,0 days 00:35:55.396000,0 days 00:36:47.070000,0 days 00:37:23.855000,128.0,232.0,109.0,177.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:07.237000,2020-08-02 13:15:07.251,24,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.8,998.6,False,42.3,208,3.5
,15.0,GRO,8,0 days 00:38:23.577000,3.0,1.0,,,0 days 00:00:45.054000,0 days 00:01:01.278000,0 days 00:00:44.088000,0 days 00:38:08.916000,0 days 00:39:10.207000,0 days 00:39:54.340000,203.0,90.0,93.0,186.0,False,MEDIUM,3.0,True,Haas F1 Team,0 days 00:37:23.855000,2020-08-02 13:17:23.869,4,False,,False,False,0,British Grand Prix,18,92.0,20.8,43.0,998.6,False,42.4,223,2.8
,15.0,GRO,8,0 days 00:40:23.576000,4.0,1.0,,,0 days 00:00:46.134000,0 days 00:01:06.854000,0 days 00:00:41.317000,0 days 00:40:40.409000,0 days 00:41:47.261000,0 days 00:42:28.723000,213.0,221.0,59.0,201.0,False,MEDIUM,4.0,True,Haas F1 Team,0 days 00:39:54.282000,2020-08-02 13:19:54.296,4,False,,False,False,0,British Grand Prix,18,92.0,21.0,43.6,998.6,False,42.8,247,3.0
0 days 00:02:05.987000,15.0,GRO,8,0 days 00:43:23.583000,5.0,1.0,,,0 days 00:00:43.510000,0 days 00:00:50.906000,0 days 00:00:31.571000,0 days 00:43:12.081000,0 days 00:44:02.987000,0 days 00:44:34.558000,235.0,163.0,245.0,268.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:42:28.571000,2020-08-02 13:22:28.585,4,False,,False,False,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,41.3,236,2.7
0 days 00:01:34.525000,15.0,GRO,8,0 days 00:45:23.582000,6.0,1.0,,,0 days 00:00:29.722000,0 days 00:00:38.500000,0 days 00:00:26.303000,0 days 00:45:04.280000,0 days 00:45:42.780000,0 days 00:46:09.083000,295.0,251.0,246.0,306.0,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:44:34.558000,2020-08-02 13:24:34.572,1,False,,False,False,0,British Grand Prix,18,92.0,21.3,43.1,998.6,False,40.9,217,3.7
0 days 00:01:34.240000,14.0,GRO,8,0 days 00:46:23.580000,7.0,1.0,,,0 days 00:00:29.780000,0 days 00:00:38.189000,0 days 00:00:26.271000,0 days 00:46:38.863000,0 days 00:47:17.052000,0 days 00:47:43.323000,294.0,252.0,246.0,308.0,True,MEDIUM,7.0,True,Haas F1 Team,0 days 00:46:09.083000,2020-08-02 13:26:09.097,1,False,,False,True,0,British Grand Prix,18,92.0,21.1,44.5,998.5,False,40.9,239,2.7
0 days 00:01:33.672000,14.0,GRO,8,0 days 00:48:23.581000,8.0,1.0,,,0 days 00:00:29.747000,0 days 00:00:38.303000,0 days 00:00:25.622000,0 days 00:48:13.070000,0 days 00:48:51.373000,0 days 00:49:16.995000,304.0,256.0,243.0,322.0,True,MEDIUM,8.0,True,Haas F1 Team,0 days 00:47:43.323000,2020-08-02 13:27:43.337,1,False,,False,True,0,British Grand Prix,18,92.0,21.2,44.3,998.5,False,41.7,255,4.3
0 days 00:01:33.467000,14.0,GRO,8,0 days 00:49:23.586000,9.0,1.0,,,0 days 00:00:29.771000,0 days 00:00:38.009000,0 days 00:00:25.687000,0 days 00:49:46.766000,0 days 00:50:24.775000,0 days 00:50:50.462000,310.0,254.0,243.0,322.0,False,MEDIUM,9.0,True,Haas F1 Team,0 days 00:49:16.995000,2020-08-02 13:29:17.009,1,True,TRACK LIMITS AT TURN 9,False,True,0,British Grand Prix,18,92.0,21.4,44.7,998.6,False,42.3,204,3.8
0 days 00:01:33.607000,14.0,GRO,8,0 days 00:51:23.587000,10.0,1.0,,,0 days 00:00:29.837000,0 days 00:00:38.128000,0 days 00:00:25.642000,0 days 00:51:20.299000,0 days 00:51:58.427000,0 days 00:52:24.069000,309.0,253.0,242.0,311.0,True,MEDIUM,10.0,True,Haas F1 Team,0 days 00:50:50.462000,2020-08-02 13:30:50.476,1,False,,False,True,0,British Grand Prix,18,92.0,21.3,43.7,998.5,False,42.0,240,4.3
