LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:33.510000,1.0,BOT,77,0 days 00:00:27.318000,1.0,1.0,,,,0 days 00:00:38.173000,0 days 00:00:23.805000,,0 days 00:01:09.995000,0 days 00:01:33.930000,266.0,226.0,247.0,292.0,False,SOFT,4.0,False,Mercedes,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:01:32.480000,1.0,BOT,77,0 days 00:02:27.318000,2.0,1.0,,,0 days 00:00:30.293000,0 days 00:00:38.432000,0 days 00:00:23.755000,0 days 00:02:04.076000,0 days 00:02:42.508000,0 days 00:03:06.263000,262.0,226.0,246.0,292.0,True,SOFT,5.0,False,Mercedes,0 days 00:01:33.783000,2020-10-11 12:14:48.374,1,False,,False,True,0,Eifel Grand Prix,15,327.0,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:01:32.211000,1.0,BOT,77,0 days 00:03:27.321000,3.0,1.0,,,0 days 00:00:30.431000,0 days 00:00:38.117000,0 days 00:00:23.663000,0 days 00:03:36.694000,0 days 00:04:14.811000,0 days 00:04:38.474000,263.0,225.0,246.0,294.0,True,SOFT,6.0,False,Mercedes,0 days 00:03:06.263000,2020-10-11 12:16:20.854,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:01:32.242000,1.0,BOT,77,0 days 00:05:27.325000,4.0,1.0,,,0 days 00:00:30.452000,0 days 00:00:38.228000,0 days 00:00:23.562000,0 days 00:05:08.926000,0 days 00:05:47.154000,0 days 00:06:10.716000,264.0,227.0,245.0,292.0,False,SOFT,7.0,False,Mercedes,0 days 00:04:38.474000,2020-10-11 12:17:53.065,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:01:32.063000,1.0,BOT,77,0 days 00:06:27.323000,5.0,1.0,,,0 days 00:00:30.279000,0 days 00:00:38.134000,0 days 00:00:23.650000,0 days 00:06:40.995000,0 days 00:07:19.129000,0 days 00:07:42.779000,,225.0,247.0,292.0,True,SOFT,8.0,False,Mercedes,0 days 00:06:10.716000,2020-10-11 12:19:25.307,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.3,False,18.2,187,2.7
0 days 00:01:31.980000,1.0,BOT,77,0 days 00:08:27.355000,6.0,1.0,,,0 days 00:00:30.039000,0 days 00:00:38.297000,0 days 00:00:23.644000,0 days 00:08:12.818000,0 days 00:08:51.115000,0 days 00:09:14.759000,263.0,224.0,246.0,292.0,True,SOFT,9.0,False,Mercedes,0 days 00:07:42.779000,2020-10-11 12:20:57.370,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:01:32.019000,1.0,BOT,77,0 days 00:09:27.383000,7.0,1.0,,,0 days 00:00:30.269000,0 days 00:00:38.186000,0 days 00:00:23.564000,0 days 00:09:45.028000,0 days 00:10:23.214000,0 days 00:10:46.778000,262.0,227.0,247.0,292.0,False,SOFT,10.0,False,Mercedes,0 days 00:09:14.759000,2020-10-11 12:22:29.350,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.9,947.4,False,17.4,103,1.9
0 days 00:01:31.884000,1.0,BOT,77,0 days 00:11:27.397000,8.0,1.0,,,0 days 00:00:30.157000,0 days 00:00:38.171000,0 days 00:00:23.556000,0 days 00:11:16.935000,0 days 00:11:55.106000,0 days 00:12:18.662000,,225.0,247.0,293.0,True,SOFT,11.0,False,Mercedes,0 days 00:10:46.778000,2020-10-11 12:24:01.369,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:01:32.125000,1.0,BOT,77,0 days 00:12:27.408000,9.0,1.0,,,0 days 00:00:30.233000,0 days 00:00:38.345000,0 days 00:00:23.547000,0 days 00:12:48.895000,0 days 00:13:27.240000,0 days 00:13:50.787000,260.0,228.0,248.0,293.0,False,SOFT,12.0,False,Mercedes,0 days 00:12:18.662000,2020-10-11 12:25:33.253,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,58.3,947.4,False,17.0,347,1.7
0 days 00:01:31.886000,1.0,BOT,77,0 days 00:14:27.422000,10.0,1.0,,,0 days 00:00:30.145000,0 days 00:00:38.272000,0 days 00:00:23.469000,0 days 00:14:20.932000,0 days 00:14:59.204000,0 days 00:15:22.673000,263.0,226.0,248.0,293.0,False,SOFT,13.0,False,Mercedes,0 days 00:13:50.787000,2020-10-11 12:27:05.378,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.8,57.6,947.5,False,16.6,177,1.6
