LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:46.054000,17.0,HUL,27,0 days 00:00:27.318000,1.0,1.0,,,,0 days 00:00:43.390000,0 days 00:00:25.213000,,0 days 00:01:21.193000,0 days 00:01:46.497000,241.0,221.0,249.0,312.0,False,SOFT,1.0,True,Racing Point,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:01:37.734000,17.0,HUL,27,0 days 00:02:27.318000,2.0,1.0,,,0 days 00:00:31.870000,0 days 00:00:40.974000,0 days 00:00:24.890000,0 days 00:02:18.232000,0 days 00:02:59.206000,0 days 00:03:24.096000,257.0,220.0,248.0,304.0,True,SOFT,2.0,True,Racing Point,0 days 00:01:46.327000,2020-10-11 12:15:00.918,1,False,,False,True,0,Eifel Grand Prix,15,327.0,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:01:35.456000,17.0,HUL,27,0 days 00:03:27.321000,3.0,1.0,,,0 days 00:00:31.066000,0 days 00:00:40.149000,0 days 00:00:24.241000,0 days 00:03:55.162000,0 days 00:04:35.311000,0 days 00:04:59.552000,265.0,223.0,254.0,320.0,True,SOFT,3.0,True,Racing Point,0 days 00:03:24.061000,2020-10-11 12:16:38.652,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:01:35.372000,17.0,HUL,27,0 days 00:05:27.325000,4.0,1.0,,,0 days 00:00:31.051000,0 days 00:00:40.208000,0 days 00:00:24.113000,0 days 00:05:30.603000,0 days 00:06:10.811000,0 days 00:06:34.924000,266.0,223.0,252.0,319.0,True,SOFT,4.0,True,Racing Point,0 days 00:04:59.517000,2020-10-11 12:18:14.108,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:01:34.850000,17.0,HUL,27,0 days 00:07:27.341000,5.0,1.0,,,0 days 00:00:31.020000,0 days 00:00:39.778000,0 days 00:00:24.052000,0 days 00:07:05.944000,0 days 00:07:45.722000,0 days 00:08:09.774000,,225.0,252.0,317.0,True,SOFT,5.0,True,Racing Point,0 days 00:06:34.889000,2020-10-11 12:19:49.480,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.4,947.5,False,17.7,80,2.4
0 days 00:01:34.436000,17.0,HUL,27,0 days 00:08:27.355000,6.0,1.0,,,0 days 00:00:30.817000,0 days 00:00:39.468000,0 days 00:00:24.151000,0 days 00:08:40.591000,0 days 00:09:20.059000,0 days 00:09:44.210000,262.0,224.0,252.0,317.0,True,SOFT,6.0,True,Racing Point,0 days 00:08:09.739000,2020-10-11 12:21:24.330,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:01:34.818000,17.0,HUL,27,0 days 00:10:27.373000,7.0,1.0,,,0 days 00:00:31.172000,0 days 00:00:39.700000,0 days 00:00:23.946000,0 days 00:10:15.382000,0 days 00:10:55.082000,0 days 00:11:19.028000,264.0,224.0,254.0,318.0,False,SOFT,7.0,True,Racing Point,0 days 00:09:44.175000,2020-10-11 12:22:58.766,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.4,947.4,False,17.2,16,1.9
0 days 00:01:34.704000,16.0,HUL,27,0 days 00:11:27.397000,8.0,1.0,,,0 days 00:00:30.918000,0 days 00:00:39.610000,0 days 00:00:24.176000,0 days 00:11:49.946000,0 days 00:12:29.556000,0 days 00:12:53.732000,262.0,223.0,253.0,321.0,False,SOFT,8.0,True,Racing Point,0 days 00:11:18.993000,2020-10-11 12:24:33.584,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:01:35.305000,16.0,HUL,27,0 days 00:13:27.411000,9.0,1.0,,,0 days 00:00:31.465000,0 days 00:00:39.677000,0 days 00:00:24.163000,0 days 00:13:25.197000,0 days 00:14:04.874000,0 days 00:14:29.037000,263.0,222.0,253.0,317.0,False,SOFT,9.0,True,Racing Point,0 days 00:12:53.697000,2020-10-11 12:26:08.288,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.7,58.0,947.4,False,16.8,29,1.7
0 days 00:01:35.475000,16.0,HUL,27,0 days 00:15:27.443000,10.0,1.0,,,0 days 00:00:31.264000,0 days 00:00:40,0 days 00:00:24.211000,0 days 00:15:00.301000,0 days 00:15:40.301000,0 days 00:16:04.512000,262.0,222.0,250.0,301.0,False,SOFT,10.0,True,Racing Point,0 days 00:14:29.002000,2020-10-11 12:27:43.593,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.9,57.3,947.4,False,16.4,81,2.1
0 days 00:01:35.253000,13.0,HUL,27,0 days 00:16:27.441000,11.0,1.0,,,0 days 00:00:31.204000,0 days 00:00:39.845000,0 days 00:00:24.204000,0 days 00:16:35.716000,0 days 00:17:15.561000,0 days 00:17:39.765000,263.0,224.0,254.0,323.0,False,SOFT,11.0,True,Racing Point,0 days 00:16:04.477000,2020-10-11 12:29:19.068,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.8,57.8,947.4,False,16.3,34,1.2
0 days 00:01:33.662000,13.0,HUL,27,0 days 00:18:27.449000,12.0,1.0,,,0 days 00:00:30.530000,0 days 00:00:39.156000,0 days 00:00:23.976000,0 days 00:18:10.295000,0 days 00:18:49.451000,0 days 00:19:13.427000,258.0,225.0,250.0,296.0,True,SOFT,12.0,True,Racing Point,0 days 00:17:39.730000,2020-10-11 12:30:54.321,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.9,947.5,False,15.9,48,2.2
0 days 00:01:35.496000,14.0,HUL,27,0 days 00:19:27.461000,13.0,1.0,,,0 days 00:00:31.807000,0 days 00:00:39.418000,0 days 00:00:24.271000,0 days 00:19:45.234000,0 days 00:20:24.652000,0 days 00:20:48.923000,264.0,224.0,249.0,300.0,False,SOFT,13.0,True,Racing Point,0 days 00:19:13.392000,2020-10-11 12:32:27.983,2,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,59.5,947.3,False,15.9,46,1.5
0 days 00:01:34.515000,13.0,HUL,27,0 days 00:21:27.462000,14.0,1.0,,,0 days 00:00:31.004000,0 days 00:00:39.219000,0 days 00:00:24.292000,0 days 00:21:19.927000,0 days 00:21:59.146000,0 days 00:22:23.438000,260.0,225.0,254.0,299.0,False,SOFT,14.0,True,Racing Point,0 days 00:20:48.888000,2020-10-11 12:34:03.479,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,59.7,947.4,False,15.6,79,1.3
0 days 00:01:33.939000,12.0,HUL,27,0 days 00:22:27.476000,15.0,1.0,,,0 days 00:00:30.407000,0 days 00:00:39.115000,0 days 00:00:24.417000,0 days 00:22:53.845000,0 days 00:23:32.960000,0 days 00:23:57.377000,,223.0,251.0,300.0,False,SOFT,15.0,True,Racing Point,0 days 00:22:23.403000,2020-10-11 12:35:37.994,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,59.9,947.4,False,15.6,36,1.4
0 days 00:01:51.978000,11.0,HUL,27,0 days 00:24:27.464000,16.0,1.0,,,0 days 00:00:36.879000,0 days 00:00:49.806000,0 days 00:00:25.293000,0 days 00:24:34.256000,0 days 00:25:24.062000,0 days 00:25:49.355000,157.0,203.0,248.0,289.0,False,SOFT,16.0,True,Racing Point,0 days 00:23:57.342000,2020-10-11 12:37:11.933,67,False,,False,False,0,Eifel Grand Prix,15,327.0,9.6,59.1,947.4,False,15.6,46,1.6
0 days 00:01:34.053000,11.0,HUL,27,0 days 00:26:27.466000,17.0,1.0,,,0 days 00:00:30.862000,0 days 00:00:38.882000,0 days 00:00:24.309000,0 days 00:26:20.217000,0 days 00:26:59.099000,0 days 00:27:23.408000,264.0,224.0,248.0,294.0,False,SOFT,17.0,True,Racing Point,0 days 00:25:49.320000,2020-10-11 12:39:03.911,2,False,,False,True,0,Eifel Grand Prix,15,327.0,9.1,60.9,947.3,False,15.2,83,1.6
0 days 00:01:34.326000,10.0,HUL,27,0 days 00:27:27.469000,18.0,1.0,,,0 days 00:00:30.738000,0 days 00:00:39.326000,0 days 00:00:24.262000,0 days 00:27:54.146000,0 days 00:28:33.472000,0 days 00:28:57.734000,260.0,223.0,249.0,294.0,False,SOFT,18.0,True,Racing Point,0 days 00:27:23.373000,2020-10-11 12:40:37.964,2,False,,False,True,1,Eifel Grand Prix,15,327.0,9.1,61.5,947.4,True,15.3,177,1.2
0 days 00:01:33.788000,10.0,HUL,27,0 days 00:29:27.470000,19.0,1.0,,,0 days 00:00:30.593000,0 days 00:00:39.040000,0 days 00:00:24.155000,0 days 00:29:28.327000,0 days 00:30:07.367000,0 days 00:30:31.522000,262.0,226.0,248.0,295.0,False,SOFT,19.0,True,Racing Point,0 days 00:28:57.699000,2020-10-11 12:42:12.290,2,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,62.9,947.4,False,15.1,44,1.9
0 days 00:01:34.594000,11.0,HUL,27,0 days 00:31:27.473000,20.0,1.0,,,0 days 00:00:31.372000,0 days 00:00:39.269000,0 days 00:00:23.953000,0 days 00:31:02.894000,0 days 00:31:42.163000,0 days 00:32:06.116000,266.0,224.0,250.0,315.0,False,SOFT,20.0,True,Racing Point,0 days 00:30:31.487000,2020-10-11 12:43:46.078,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,62.2,947.4,False,15.2,329,1.6
0 days 00:01:33.708000,11.0,HUL,27,0 days 00:32:27.471000,21.0,1.0,,,0 days 00:00:30.488000,0 days 00:00:38.929000,0 days 00:00:24.291000,0 days 00:32:36.604000,0 days 00:33:15.533000,0 days 00:33:39.824000,262.0,225.0,251.0,295.0,False,SOFT,21.0,True,Racing Point,0 days 00:32:06.081000,2020-10-11 12:45:20.672,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,61.7,947.5,False,15.4,33,1.4
0 days 00:01:33.853000,11.0,HUL,27,0 days 00:34:27.471000,22.0,1.0,,,0 days 00:00:30.739000,0 days 00:00:39.127000,0 days 00:00:23.987000,0 days 00:34:10.563000,0 days 00:34:49.690000,0 days 00:35:13.677000,,225.0,250.0,295.0,False,SOFT,22.0,True,Racing Point,0 days 00:33:39.789000,2020-10-11 12:46:54.380,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,61.0,947.4,False,15.6,34,2.3
0 days 00:01:33.604000,10.0,HUL,27,0 days 00:35:27.500000,23.0,1.0,,,0 days 00:00:30.518000,0 days 00:00:39.062000,0 days 00:00:24.024000,0 days 00:35:44.195000,0 days 00:36:23.257000,0 days 00:36:47.281000,263.0,225.0,249.0,295.0,True,SOFT,23.0,True,Racing Point,0 days 00:35:13.642000,2020-10-11 12:48:28.233,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,60.9,947.4,False,15.7,33,1.4
0 days 00:01:33.146000,9.0,HUL,27,0 days 00:37:27.479000,24.0,1.0,,,0 days 00:00:30.268000,0 days 00:00:38.843000,0 days 00:00:24.035000,0 days 00:37:17.549000,0 days 00:37:56.392000,0 days 00:38:20.427000,,225.0,250.0,293.0,True,SOFT,24.0,True,Racing Point,0 days 00:36:47.246000,2020-10-11 12:50:01.837,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.7,60.5,947.5,False,16.0,59,1.3
0 days 00:01:33.523000,9.0,HUL,27,0 days 00:38:27.476000,25.0,1.0,,,0 days 00:00:30.426000,0 days 00:00:39.008000,0 days 00:00:24.089000,0 days 00:38:50.853000,0 days 00:39:29.861000,0 days 00:39:53.950000,265.0,224.0,249.0,294.0,False,SOFT,25.0,True,Racing Point,0 days 00:38:20.392000,2020-10-11 12:51:34.983,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,60.2,947.3,False,16.0,51,2.4
0 days 00:01:33.735000,9.0,HUL,27,0 days 00:40:27.479000,26.0,1.0,,,0 days 00:00:30.488000,0 days 00:00:38.940000,0 days 00:00:24.307000,0 days 00:40:24.438000,0 days 00:41:03.378000,0 days 00:41:27.685000,263.0,224.0,251.0,295.0,False,SOFT,26.0,True,Racing Point,0 days 00:39:53.915000,2020-10-11 12:53:08.506,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,60.0,947.4,False,16.0,301,2.1
0 days 00:01:33.711000,9.0,HUL,27,0 days 00:42:27.480000,27.0,1.0,,,0 days 00:00:30.496000,0 days 00:00:38.979000,0 days 00:00:24.236000,0 days 00:41:58.181000,0 days 00:42:37.160000,0 days 00:43:01.396000,264.0,224.0,250.0,293.0,False,SOFT,27.0,True,Racing Point,0 days 00:41:27.650000,2020-10-11 12:54:42.241,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.8,59.3,947.4,False,16.0,54,2.2
0 days 00:01:33.618000,9.0,HUL,27,0 days 00:43:27.481000,28.0,1.0,,,0 days 00:00:30.459000,0 days 00:00:39.006000,0 days 00:00:24.153000,0 days 00:43:31.855000,0 days 00:44:10.861000,0 days 00:44:35.014000,265.0,225.0,249.0,294.0,False,SOFT,28.0,True,Racing Point,0 days 00:43:01.361000,2020-10-11 12:56:15.952,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.7,59.1,947.4,False,16.1,16,1.1
0 days 00:01:36.925000,9.0,HUL,27,0 days 00:45:27.484000,29.0,1.0,,0 days 00:46:10.017000,0 days 00:00:30.609000,0 days 00:00:39.202000,0 days 00:00:27.114000,0 days 00:45:05.623000,0 days 00:45:44.825000,0 days 00:46:11.939000,263.0,224.0,,296.0,False,SOFT,29.0,True,Racing Point,0 days 00:44:34.979000,2020-10-11 12:57:49.570,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.6,58.9,947.3,False,16.7,25,1.7
0 days 00:01:52.649000,14.0,HUL,27,0 days 00:46:27.485000,30.0,2.0,0 days 00:46:32.724000,,0 days 00:00:49.811000,0 days 00:00:39.185000,0 days 00:00:23.653000,0 days 00:47:01.750000,0 days 00:47:40.935000,0 days 00:48:04.588000,269.0,228.0,253.0,299.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:46:11.904000,2020-10-11 12:59:26.495,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.7,59.3,947.3,False,17.2,60,2.2
0 days 00:01:34.062000,14.0,HUL,27,0 days 00:48:27.487000,31.0,2.0,,,0 days 00:00:30.349000,0 days 00:00:39.784000,0 days 00:00:23.929000,0 days 00:48:34.937000,0 days 00:49:14.721000,0 days 00:49:38.650000,,223.0,260.0,324.0,False,MEDIUM,2.0,True,Racing Point,0 days 00:48:04.553000,2020-10-11 13:01:19.144,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,59.3,947.3,False,17.0,61,1.7
0 days 00:01:31.193000,13.0,HUL,27,0 days 00:50:27.486000,32.0,2.0,,,0 days 00:00:29.702000,0 days 00:00:38.087000,0 days 00:00:23.404000,0 days 00:50:08.352000,0 days 00:50:46.439000,0 days 00:51:09.843000,261.0,229.0,257.0,312.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:49:38.615000,2020-10-11 13:02:53.206,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,59.7,947.4,False,16.6,16,1.1
0 days 00:01:32.277000,13.0,HUL,27,0 days 00:51:27.488000,33.0,2.0,,,0 days 00:00:29.864000,0 days 00:00:38.689000,0 days 00:00:23.724000,0 days 00:51:39.707000,0 days 00:52:18.396000,0 days 00:52:42.120000,267.0,227.0,252.0,299.0,False,MEDIUM,4.0,True,Racing Point,0 days 00:51:09.808000,2020-10-11 13:04:24.399,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,59.5,947.3,False,16.4,73,1.5
0 days 00:01:31.829000,12.0,HUL,27,0 days 00:53:27.492000,34.0,2.0,,,0 days 00:00:30.391000,0 days 00:00:38.337000,0 days 00:00:23.101000,0 days 00:53:12.511000,0 days 00:53:50.848000,0 days 00:54:13.949000,262.0,228.0,252.0,320.0,False,MEDIUM,5.0,True,Racing Point,0 days 00:52:42.085000,2020-10-11 13:05:56.676,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.6,58.1,947.4,False,16.6,17,1.5
0 days 00:01:32.130000,12.0,HUL,27,0 days 00:54:27.489000,35.0,2.0,,,0 days 00:00:30.032000,0 days 00:00:38.358000,0 days 00:00:23.740000,0 days 00:54:43.981000,0 days 00:55:22.339000,0 days 00:55:46.079000,263.0,229.0,251.0,295.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:54:13.914000,2020-10-11 13:07:28.505,1,True,TRACK LIMITS AT TURN 4,False,True,0,Eifel Grand Prix,15,327.0,9.7,57.9,947.3,False,16.4,45,1.4
0 days 00:01:32.566000,12.0,HUL,27,0 days 00:56:27.498000,36.0,2.0,,,0 days 00:00:30.073000,0 days 00:00:38.808000,0 days 00:00:23.685000,0 days 00:56:16.152000,0 days 00:56:54.960000,0 days 00:57:18.645000,271.0,227.0,258.0,323.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:55:46.044000,2020-10-11 13:09:00.635,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,57.8,947.3,False,16.3,50,1.9
0 days 00:01:32.396000,11.0,HUL,27,0 days 00:57:27.495000,37.0,2.0,,,0 days 00:00:30.118000,0 days 00:00:38.524000,0 days 00:00:23.754000,0 days 00:57:48.763000,0 days 00:58:27.287000,0 days 00:58:51.041000,266.0,228.0,252.0,298.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:57:18.610000,2020-10-11 13:10:33.201,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,57.9,947.5,False,16.3,52,1.4
0 days 00:01:32.586000,11.0,HUL,27,0 days 00:59:27.495000,38.0,2.0,,,0 days 00:00:30.182000,0 days 00:00:38.481000,0 days 00:00:23.923000,0 days 00:59:21.223000,0 days 00:59:59.704000,0 days 01:00:23.627000,268.0,230.0,259.0,304.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:58:51.006000,2020-10-11 13:12:05.597,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.3,947.4,False,16.1,53,2.1
