LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:37.473000,4.0,LEC,16,0 days 00:00:27.318000,1.0,1.0,,,,0 days 00:00:39.923000,0 days 00:00:24.157000,,0 days 00:01:13.628000,0 days 00:01:37.936000,264.0,222.0,244.0,291.0,False,SOFT,4.0,False,Ferrari,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.0,59.2,947.4,False,18.0,190,2.7
0 days 00:01:35.048000,4.0,LEC,16,0 days 00:02:27.318000,2.0,1.0,,,0 days 00:00:30.836000,0 days 00:00:39.966000,0 days 00:00:24.246000,0 days 00:02:08.574000,0 days 00:02:48.540000,0 days 00:03:12.786000,,224.0,244.0,288.0,True,SOFT,5.0,False,Ferrari,0 days 00:01:37.746000,2020-10-11 12:14:52.337,1,False,,False,True,0,Eifel Grand Prix,15,327.0,8.9,58.9,947.4,False,18.2,182,2.7
0 days 00:01:34.182000,4.0,LEC,16,0 days 00:03:27.321000,3.0,1.0,,,0 days 00:00:30.883000,0 days 00:00:39.230000,0 days 00:00:24.069000,0 days 00:03:43.669000,0 days 00:04:22.899000,0 days 00:04:46.968000,261.0,225.0,245.0,290.0,True,SOFT,6.0,False,Ferrari,0 days 00:03:12.794000,2020-10-11 12:16:27.385,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.2,58.2,947.4,False,19.1,180,2.5
0 days 00:01:34.062000,4.0,LEC,16,0 days 00:05:27.325000,4.0,1.0,,,0 days 00:00:30.986000,0 days 00:00:39.137000,0 days 00:00:23.939000,0 days 00:05:17.954000,0 days 00:05:57.091000,0 days 00:06:21.030000,,225.0,244.0,288.0,True,SOFT,7.0,False,Ferrari,0 days 00:04:46.976000,2020-10-11 12:18:01.567,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.4,False,18.6,0,0.8
0 days 00:01:34.072000,4.0,LEC,16,0 days 00:06:27.323000,5.0,1.0,,,0 days 00:00:30.854000,0 days 00:00:39.193000,0 days 00:00:24.025000,0 days 00:06:51.884000,0 days 00:07:31.077000,0 days 00:07:55.102000,262.0,226.0,245.0,287.0,False,SOFT,8.0,False,Ferrari,0 days 00:06:21.038000,2020-10-11 12:19:35.629,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.0,947.3,False,18.2,187,2.7
0 days 00:01:34.520000,4.0,LEC,16,0 days 00:08:27.355000,6.0,1.0,,,0 days 00:00:31.217000,0 days 00:00:39.210000,0 days 00:00:24.093000,0 days 00:08:26.319000,0 days 00:09:05.529000,0 days 00:09:29.622000,,223.0,244.0,287.0,False,SOFT,9.0,False,Ferrari,0 days 00:07:55.110000,2020-10-11 12:21:09.701,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.4,58.5,947.4,False,17.6,49,1.3
0 days 00:01:33.989000,4.0,LEC,16,0 days 00:10:27.373000,7.0,1.0,,,0 days 00:00:30.769000,0 days 00:00:39.063000,0 days 00:00:24.157000,0 days 00:10:00.391000,0 days 00:10:39.454000,0 days 00:11:03.611000,260.0,226.0,244.0,286.0,True,SOFT,10.0,False,Ferrari,0 days 00:09:29.630000,2020-10-11 12:22:44.221,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.3,58.4,947.4,False,17.2,16,1.9
0 days 00:01:34.256000,4.0,LEC,16,0 days 00:11:27.397000,8.0,1.0,,,0 days 00:00:30.954000,0 days 00:00:38.991000,0 days 00:00:24.311000,0 days 00:11:34.565000,0 days 00:12:13.556000,0 days 00:12:37.867000,,225.0,245.0,287.0,False,SOFT,11.0,False,Ferrari,0 days 00:11:03.619000,2020-10-11 12:24:18.210,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.7,947.4,False,17.1,162,1.8
0 days 00:01:35.537000,5.0,LEC,16,0 days 00:13:27.411000,9.0,1.0,,,0 days 00:00:31.448000,0 days 00:00:39.925000,0 days 00:00:24.164000,0 days 00:13:09.315000,0 days 00:13:49.240000,0 days 00:14:13.404000,264.0,223.0,245.0,293.0,False,SOFT,12.0,False,Ferrari,0 days 00:12:37.875000,2020-10-11 12:25:52.466,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.7,58.0,947.4,False,16.8,29,1.7
0 days 00:01:37.859000,8.0,LEC,16,0 days 00:14:27.422000,10.0,1.0,,0 days 00:15:49.411000,0 days 00:00:31.170000,0 days 00:00:39.402000,0 days 00:00:27.287000,0 days 00:14:44.574000,0 days 00:15:23.976000,0 days 00:15:51.263000,261.0,224.0,,291.0,False,SOFT,13.0,False,Ferrari,0 days 00:14:13.412000,2020-10-11 12:27:28.003,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.8,57.6,947.5,False,16.6,177,1.6
0 days 00:01:53.564000,19.0,LEC,16,0 days 00:16:27.441000,11.0,2.0,0 days 00:16:11.994000,,0 days 00:00:50.719000,0 days 00:00:38.890000,0 days 00:00:23.955000,0 days 00:16:41.982000,0 days 00:17:20.872000,0 days 00:17:44.827000,260.0,226.0,247.0,296.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:15:51.271000,2020-10-11 12:29:05.862,1,False,,False,False,0,Eifel Grand Prix,15,327.0,9.8,57.8,947.4,False,16.3,34,1.2
0 days 00:01:33.245000,17.0,LEC,16,0 days 00:18:27.449000,12.0,2.0,,,0 days 00:00:30.474000,0 days 00:00:38.774000,0 days 00:00:23.997000,0 days 00:18:15.301000,0 days 00:18:54.075000,0 days 00:19:18.072000,263.0,225.0,248.0,296.0,False,MEDIUM,2.0,True,Ferrari,0 days 00:17:44.835000,2020-10-11 12:30:59.426,1,True,TRACK LIMITS AT TURN 4,False,True,0,Eifel Grand Prix,15,327.0,9.5,58.9,947.5,False,15.9,48,2.2
0 days 00:01:34.114000,16.0,LEC,16,0 days 00:19:27.461000,13.0,2.0,,,0 days 00:00:30.749000,0 days 00:00:39.371000,0 days 00:00:23.994000,0 days 00:19:48.821000,0 days 00:20:28.192000,0 days 00:20:52.186000,267.0,228.0,250.0,317.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:19:18.080000,2020-10-11 12:32:32.671,2,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,59.5,947.3,False,15.9,46,1.5
0 days 00:01:34.070000,15.0,LEC,16,0 days 00:21:27.462000,14.0,2.0,,,0 days 00:00:30.636000,0 days 00:00:39.384000,0 days 00:00:24.050000,0 days 00:21:22.822000,0 days 00:22:02.206000,0 days 00:22:26.256000,263.0,224.0,251.0,311.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:20:52.194000,2020-10-11 12:34:06.785,1,False,,False,True,0,Eifel Grand Prix,15,327.0,9.5,59.7,947.4,False,15.6,79,1.3
