LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:21.722000,1.0,BOT,77,0 days 00:33:32.750000,1.0,1.0,,,,0 days 00:00:27.514000,0 days 00:00:26.565000,,0 days 00:34:05.851000,0 days 00:34:32.520000,219.0,257.0,276.0,288.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:10.426000,2020-11-01 12:13:12.701,2,False,,False,False,0,Emilia Romagna Grand Prix,19,178.0,17.8,71.5,1018.1,False,24.0,96,0.4
0 days 00:01:20.550000,1.0,BOT,77,0 days 00:34:32.759000,2.0,1.0,,,0 days 00:00:25.788000,0 days 00:00:27.910000,0 days 00:00:26.852000,0 days 00:34:58.148000,0 days 00:35:26.058000,0 days 00:35:52.910000,217.0,251.0,275.0,281.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:34:32.360000,2020-11-01 12:14:34.635,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.0,1018.2,False,24.3,84,1.2
0 days 00:01:19.911000,1.0,BOT,77,0 days 00:36:32.751000,3.0,1.0,,,0 days 00:00:25.622000,0 days 00:00:27.694000,0 days 00:00:26.595000,0 days 00:36:18.532000,0 days 00:36:46.226000,0 days 00:37:12.821000,221.0,253.0,276.0,283.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:35:52.910000,2020-11-01 12:15:55.185,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.2,1018.1,False,24.2,76,0.9
0 days 00:01:19.762000,1.0,BOT,77,0 days 00:37:32.775000,4.0,1.0,,,0 days 00:00:25.675000,0 days 00:00:27.631000,0 days 00:00:26.456000,0 days 00:37:38.496000,0 days 00:38:06.127000,0 days 00:38:32.583000,218.0,252.0,276.0,282.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:37:12.821000,2020-11-01 12:17:15.096,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.3,69.8,1018.1,False,24.2,87,1.6
0 days 00:01:19.518000,1.0,BOT,77,0 days 00:38:32.770000,5.0,1.0,,,0 days 00:00:25.455000,0 days 00:00:27.468000,0 days 00:00:26.595000,0 days 00:38:58.038000,0 days 00:39:25.506000,0 days 00:39:52.101000,222.0,255.0,275.0,286.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:38:32.583000,2020-11-01 12:18:34.858,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.0,70.4,1018.2,False,24.2,78,1.6
0 days 00:01:19.618000,1.0,BOT,77,0 days 00:40:32.955000,6.0,1.0,,,0 days 00:00:25.346000,0 days 00:00:27.665000,0 days 00:00:26.607000,0 days 00:40:17.447000,0 days 00:40:45.112000,0 days 00:41:11.719000,,254.0,275.0,284.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:39:52.101000,2020-11-01 12:19:54.376,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.4,1018.1,False,23.6,58,1.1
0 days 00:01:19.417000,1.0,BOT,77,0 days 00:41:32.774000,7.0,1.0,,,0 days 00:00:25.439000,0 days 00:00:27.518000,0 days 00:00:26.460000,0 days 00:41:37.158000,0 days 00:42:04.676000,0 days 00:42:31.136000,221.0,255.0,275.0,287.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:41:11.719000,2020-11-01 12:21:13.994,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,71.2,1018.1,False,24.0,82,1.3
0 days 00:01:19.563000,1.0,BOT,77,0 days 00:42:32.778000,8.0,1.0,,,0 days 00:00:25.504000,0 days 00:00:27.523000,0 days 00:00:26.536000,0 days 00:42:56.640000,0 days 00:43:24.163000,0 days 00:43:50.699000,,253.0,276.0,283.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:42:31.136000,2020-11-01 12:22:33.411,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.6,1018.1,False,24.1,115,0.9
0 days 00:01:19.553000,1.0,BOT,77,0 days 00:44:32.783000,9.0,1.0,,,0 days 00:00:25.527000,0 days 00:00:27.555000,0 days 00:00:26.471000,0 days 00:44:16.226000,0 days 00:44:43.781000,0 days 00:45:10.252000,,254.0,276.0,286.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:43:50.699000,2020-11-01 12:23:52.974,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.1,1018.2,False,23.8,102,1.6
0 days 00:01:19.481000,1.0,BOT,77,0 days 00:45:32.920000,10.0,1.0,,,0 days 00:00:25.498000,0 days 00:00:27.563000,0 days 00:00:26.420000,0 days 00:45:35.750000,0 days 00:46:03.313000,0 days 00:46:29.733000,220.0,252.0,276.0,285.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:45:10.252000,2020-11-01 12:25:12.527,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.0,70.2,1018.0,False,23.7,87,2.3
