LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:52.258000,20.0,MAG,20,0 days 00:33:32.750000,1.0,1.0,,,,0 days 00:00:51.418000,0 days 00:00:27.540000,,0 days 00:34:35.392000,0 days 00:35:03.035000,203.0,248.0,271.0,283.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 00:33:10.426000,2020-11-01 12:13:12.701,2,False,,False,False,0,Emilia Romagna Grand Prix,19,178.0,17.8,71.5,1018.1,False,24.0,96,0.4
0 days 00:01:21.583000,19.0,MAG,20,0 days 00:35:32.771000,2.0,1.0,,,0 days 00:00:26.661000,0 days 00:00:28.021000,0 days 00:00:26.901000,0 days 00:35:29.572000,0 days 00:35:57.593000,0 days 00:36:24.494000,207.0,250.0,272.0,286.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:35:02.896000,2020-11-01 12:15:05.171,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.9,1018.1,False,24.2,92,1.2
0 days 00:01:23.031000,19.0,MAG,20,0 days 00:36:32.751000,3.0,1.0,,,0 days 00:00:27.496000,0 days 00:00:28.340000,0 days 00:00:27.195000,0 days 00:36:51.990000,0 days 00:37:20.330000,0 days 00:37:47.525000,209.0,251.0,271.0,286.0,False,MEDIUM,3.0,True,Haas F1 Team,0 days 00:36:24.479000,2020-11-01 12:16:26.754,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.2,1018.1,False,24.2,76,0.9
0 days 00:01:20.710000,19.0,MAG,20,0 days 00:38:32.770000,4.0,1.0,,,0 days 00:00:26.080000,0 days 00:00:27.811000,0 days 00:00:26.819000,0 days 00:38:13.605000,0 days 00:38:41.416000,0 days 00:39:08.235000,213.0,250.0,272.0,285.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:37:47.510000,2020-11-01 12:17:49.785,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.0,70.4,1018.2,False,24.2,78,1.6
0 days 00:01:20.617000,19.0,MAG,20,0 days 00:39:32.748000,5.0,1.0,,,0 days 00:00:25.750000,0 days 00:00:27.854000,0 days 00:00:27.013000,0 days 00:39:33.985000,0 days 00:40:01.839000,0 days 00:40:28.852000,215.0,249.0,270.0,285.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:39:08.220000,2020-11-01 12:19:10.495,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.2,1018.2,False,23.9,52,0.9
0 days 00:01:20.687000,19.0,MAG,20,0 days 00:40:32.955000,6.0,1.0,,,0 days 00:00:25.960000,0 days 00:00:27.925000,0 days 00:00:26.802000,0 days 00:40:54.812000,0 days 00:41:22.737000,0 days 00:41:49.539000,213.0,250.0,272.0,287.0,False,MEDIUM,6.0,True,Haas F1 Team,0 days 00:40:28.837000,2020-11-01 12:20:31.112,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.4,1018.1,False,23.6,58,1.1
0 days 00:01:20.533000,19.0,MAG,20,0 days 00:42:32.778000,7.0,1.0,,,0 days 00:00:25.930000,0 days 00:00:27.805000,0 days 00:00:26.798000,0 days 00:42:15.469000,0 days 00:42:43.274000,0 days 00:43:10.072000,,251.0,272.0,286.0,True,MEDIUM,7.0,True,Haas F1 Team,0 days 00:41:49.524000,2020-11-01 12:21:51.799,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.6,1018.1,False,24.1,115,0.9
0 days 00:01:21.044000,19.0,MAG,20,0 days 00:43:32.822000,8.0,1.0,,,0 days 00:00:25.826000,0 days 00:00:28.204000,0 days 00:00:27.014000,0 days 00:43:35.898000,0 days 00:44:04.102000,0 days 00:44:31.116000,214.0,246.0,272.0,287.0,False,MEDIUM,8.0,True,Haas F1 Team,0 days 00:43:10.057000,2020-11-01 12:23:12.332,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.1,1018.1,False,24.0,89,1.4
0 days 00:01:20.338000,18.0,MAG,20,0 days 00:44:32.783000,9.0,1.0,,,0 days 00:00:25.872000,0 days 00:00:27.840000,0 days 00:00:26.626000,0 days 00:44:56.988000,0 days 00:45:24.828000,0 days 00:45:51.454000,216.0,252.0,274.0,288.0,True,MEDIUM,9.0,True,Haas F1 Team,0 days 00:44:31.101000,2020-11-01 12:24:33.376,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.1,1018.2,False,23.8,102,1.6
0 days 00:01:20.201000,17.0,MAG,20,0 days 00:46:32.840000,10.0,1.0,,,0 days 00:00:25.736000,0 days 00:00:27.792000,0 days 00:00:26.673000,0 days 00:46:17.190000,0 days 00:46:44.982000,0 days 00:47:11.655000,,251.0,272.0,285.0,True,MEDIUM,10.0,True,Haas F1 Team,0 days 00:45:51.439000,2020-11-01 12:25:53.714,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.6,1018.0,False,23.7,105,2.2
0 days 00:01:20.554000,16.0,MAG,20,0 days 00:47:32.812000,11.0,1.0,,,0 days 00:00:25.853000,0 days 00:00:28.001000,0 days 00:00:26.700000,0 days 00:47:37.508000,0 days 00:48:05.509000,0 days 00:48:32.209000,215.0,251.0,273.0,285.0,False,MEDIUM,11.0,True,Haas F1 Team,0 days 00:47:11.640000,2020-11-01 12:27:13.915,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.3,1018.0,False,23.8,72,1.1
0 days 00:01:20.267000,15.0,MAG,20,0 days 00:48:32.820000,12.0,1.0,,,0 days 00:00:25.754000,0 days 00:00:27.654000,0 days 00:00:26.859000,0 days 00:48:57.963000,0 days 00:49:25.617000,0 days 00:49:52.476000,214.0,253.0,273.0,287.0,False,MEDIUM,12.0,True,Haas F1 Team,0 days 00:48:32.194000,2020-11-01 12:28:34.469,1,True,TRACK LIMITS AT TURN 9,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.3,69.9,1018.1,False,23.8,96,1.4
