LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:29.178000,9.0,NOR,4,0 days 00:33:32.750000,1.0,1.0,,,,0 days 00:00:29.764000,0 days 00:00:27.799000,,0 days 00:34:12.059000,0 days 00:34:39.946000,212.0,254.0,277.0,289.0,False,SOFT,4.0,False,McLaren,0 days 00:33:10.426000,2020-11-01 12:13:12.701,2,False,,False,False,0,Emilia Romagna Grand Prix,19,178.0,17.8,71.5,1018.1,False,24.0,96,0.4
0 days 00:01:22.509000,9.0,NOR,4,0 days 00:35:32.771000,2.0,1.0,,,0 days 00:00:26.501000,0 days 00:00:28.563000,0 days 00:00:27.445000,0 days 00:35:06.299000,0 days 00:35:34.862000,0 days 00:36:02.307000,215.0,251.0,277.0,284.0,True,SOFT,5.0,False,McLaren,0 days 00:34:39.816000,2020-11-01 12:14:42.091,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.9,1018.1,False,24.2,92,1.2
0 days 00:01:21.694000,9.0,NOR,4,0 days 00:36:32.751000,3.0,1.0,,,0 days 00:00:26.231000,0 days 00:00:28.241000,0 days 00:00:27.222000,0 days 00:36:28.538000,0 days 00:36:56.779000,0 days 00:37:24.001000,216.0,251.0,279.0,287.0,True,SOFT,6.0,False,McLaren,0 days 00:36:02.325000,2020-11-01 12:16:04.600,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.2,1018.1,False,24.2,76,0.9
0 days 00:01:21.372000,9.0,NOR,4,0 days 00:37:32.775000,4.0,1.0,,,0 days 00:00:25.788000,0 days 00:00:28.335000,0 days 00:00:27.249000,0 days 00:37:49.789000,0 days 00:38:18.124000,0 days 00:38:45.373000,218.0,249.0,276.0,283.0,False,SOFT,7.0,False,McLaren,0 days 00:37:24.019000,2020-11-01 12:17:26.294,1,True,TRACK LIMITS AT TURN 9,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.3,69.8,1018.1,False,24.2,87,1.6
0 days 00:01:21.115000,9.0,NOR,4,0 days 00:39:32.748000,5.0,1.0,,,0 days 00:00:25.803000,0 days 00:00:28.208000,0 days 00:00:27.104000,0 days 00:39:11.176000,0 days 00:39:39.384000,0 days 00:40:06.488000,217.0,250.0,277.0,282.0,True,SOFT,8.0,False,McLaren,0 days 00:38:45.391000,2020-11-01 12:18:47.666,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.2,1018.2,False,23.9,52,0.9
0 days 00:01:21.994000,10.0,NOR,4,0 days 00:40:32.955000,6.0,1.0,,,0 days 00:00:26.596000,0 days 00:00:28.319000,0 days 00:00:27.079000,0 days 00:40:33.084000,0 days 00:41:01.403000,0 days 00:41:28.482000,215.0,251.0,276.0,284.0,False,SOFT,9.0,False,McLaren,0 days 00:40:06.506000,2020-11-01 12:20:08.781,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.4,1018.1,False,23.6,58,1.1
0 days 00:01:20.874000,10.0,NOR,4,0 days 00:41:32.774000,7.0,1.0,,,0 days 00:00:25.959000,0 days 00:00:28.020000,0 days 00:00:26.895000,0 days 00:41:54.441000,0 days 00:42:22.461000,0 days 00:42:49.356000,218.0,251.0,278.0,283.0,True,SOFT,10.0,False,McLaren,0 days 00:41:28.500000,2020-11-01 12:21:30.775,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,71.2,1018.1,False,24.0,82,1.3
0 days 00:01:20.961000,10.0,NOR,4,0 days 00:43:32.822000,8.0,1.0,,,0 days 00:00:25.895000,0 days 00:00:28.050000,0 days 00:00:27.016000,0 days 00:43:15.251000,0 days 00:43:43.301000,0 days 00:44:10.317000,,249.0,278.0,281.0,False,SOFT,11.0,False,McLaren,0 days 00:42:49.374000,2020-11-01 12:22:51.649,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.1,1018.1,False,24.0,89,1.4
0 days 00:01:20.764000,9.0,NOR,4,0 days 00:44:32.783000,9.0,1.0,,,0 days 00:00:25.764000,0 days 00:00:28.039000,0 days 00:00:26.961000,0 days 00:44:36.081000,0 days 00:45:04.120000,0 days 00:45:31.081000,216.0,248.0,276.0,286.0,True,SOFT,12.0,False,McLaren,0 days 00:44:10.335000,2020-11-01 12:24:12.610,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.1,1018.2,False,23.8,102,1.6
0 days 00:01:20.984000,9.0,NOR,4,0 days 00:45:32.920000,10.0,1.0,,,0 days 00:00:25.900000,0 days 00:00:28.043000,0 days 00:00:27.041000,0 days 00:45:56.981000,0 days 00:46:25.024000,0 days 00:46:52.065000,218.0,248.0,276.0,286.0,False,SOFT,13.0,False,McLaren,0 days 00:45:31.099000,2020-11-01 12:25:33.374,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.0,70.2,1018.0,False,23.7,87,2.3
