LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:30.849000,12.0,OCO,31,0 days 00:33:32.750000,1.0,1.0,,,,0 days 00:00:30.350000,0 days 00:00:28.219000,,0 days 00:34:13.311000,0 days 00:34:41.639000,211.0,256.0,279.0,290.0,False,MEDIUM,1.0,True,Renault,0 days 00:33:10.426000,2020-11-01 12:13:12.701,2,False,,False,False,0,Emilia Romagna Grand Prix,19,178.0,17.8,71.5,1018.1,False,24.0,96,0.4
0 days 00:01:23.031000,12.0,OCO,31,0 days 00:35:32.771000,2.0,1.0,,,0 days 00:00:26.705000,0 days 00:00:28.742000,0 days 00:00:27.584000,0 days 00:35:08.166000,0 days 00:35:36.908000,0 days 00:36:04.492000,214.0,254.0,280.0,288.0,True,MEDIUM,2.0,True,Renault,0 days 00:34:41.487000,2020-11-01 12:14:43.762,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.9,1018.1,False,24.2,92,1.2
0 days 00:01:21.885000,12.0,OCO,31,0 days 00:36:32.751000,3.0,1.0,,,0 days 00:00:26.140000,0 days 00:00:28.499000,0 days 00:00:27.246000,0 days 00:36:30.632000,0 days 00:36:59.131000,0 days 00:37:26.377000,216.0,252.0,280.0,290.0,True,MEDIUM,3.0,True,Renault,0 days 00:36:04.518000,2020-11-01 12:16:06.793,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.2,1018.1,False,24.2,76,0.9
0 days 00:01:21.570000,12.0,OCO,31,0 days 00:37:32.775000,4.0,1.0,,,0 days 00:00:25.610000,0 days 00:00:28.551000,0 days 00:00:27.409000,0 days 00:37:51.987000,0 days 00:38:20.538000,0 days 00:38:47.947000,,252.0,278.0,290.0,True,MEDIUM,4.0,True,Renault,0 days 00:37:26.403000,2020-11-01 12:17:28.678,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.3,69.8,1018.1,False,24.2,87,1.6
0 days 00:01:21.232000,12.0,OCO,31,0 days 00:39:32.748000,5.0,1.0,,,0 days 00:00:25.779000,0 days 00:00:28.142000,0 days 00:00:27.311000,0 days 00:39:13.726000,0 days 00:39:41.868000,0 days 00:40:09.179000,217.0,255.0,279.0,289.0,True,MEDIUM,5.0,True,Renault,0 days 00:38:47.973000,2020-11-01 12:18:50.248,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.2,1018.2,False,23.9,52,0.9
0 days 00:01:21.090000,12.0,OCO,31,0 days 00:40:32.955000,6.0,1.0,,,0 days 00:00:25.705000,0 days 00:00:28.217000,0 days 00:00:27.168000,0 days 00:40:34.884000,0 days 00:41:03.101000,0 days 00:41:30.269000,218.0,254.0,280.0,289.0,True,MEDIUM,6.0,True,Renault,0 days 00:40:09.205000,2020-11-01 12:20:11.480,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,17.9,71.4,1018.1,False,23.6,58,1.1
0 days 00:01:21.383000,12.0,OCO,31,0 days 00:41:32.774000,7.0,1.0,,,0 days 00:00:25.887000,0 days 00:00:28.204000,0 days 00:00:27.292000,0 days 00:41:56.156000,0 days 00:42:24.360000,0 days 00:42:51.652000,219.0,257.0,279.0,291.0,False,MEDIUM,7.0,True,Renault,0 days 00:41:30.295000,2020-11-01 12:21:32.570,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,71.2,1018.1,False,24.0,82,1.3
0 days 00:01:21.013000,12.0,OCO,31,0 days 00:43:32.822000,8.0,1.0,,,0 days 00:00:25.800000,0 days 00:00:28.037000,0 days 00:00:27.176000,0 days 00:43:17.452000,0 days 00:43:45.489000,0 days 00:44:12.665000,,255.0,279.0,288.0,True,MEDIUM,8.0,True,Renault,0 days 00:42:51.678000,2020-11-01 12:22:53.953,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.2,70.1,1018.1,False,24.0,89,1.4
0 days 00:01:20.885000,11.0,OCO,31,0 days 00:44:32.783000,9.0,1.0,,,0 days 00:00:25.760000,0 days 00:00:28.085000,0 days 00:00:27.040000,0 days 00:44:38.425000,0 days 00:45:06.510000,0 days 00:45:33.550000,,253.0,279.0,289.0,True,MEDIUM,9.0,True,Renault,0 days 00:44:12.691000,2020-11-01 12:24:14.966,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.1,1018.2,False,23.8,102,1.6
0 days 00:01:20.574000,11.0,OCO,31,0 days 00:46:32.840000,10.0,1.0,,,0 days 00:00:25.699000,0 days 00:00:27.905000,0 days 00:00:26.970000,0 days 00:45:59.249000,0 days 00:46:27.154000,0 days 00:46:54.124000,216.0,255.0,277.0,284.0,True,MEDIUM,10.0,True,Renault,0 days 00:45:33.576000,2020-11-01 12:25:35.851,1,False,,False,True,0,Emilia Romagna Grand Prix,19,178.0,18.1,70.6,1018.0,False,23.7,105,2.2
