LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:51.470000,18.0,GIO,99,0 days 00:33:05.648000,1.0,1.0,,,,0 days 00:00:39.186000,0 days 00:00:28.395000,,0 days 00:34:20.776000,0 days 00:34:49.309000,197.0,216.0,237.0,257.0,False,INTERMEDIATE,1.0,True,Alfa Romeo Racing,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.8,75.1,986.3,False,29.9,250,1.1
0 days 00:01:39.055000,17.0,GIO,99,0 days 00:35:05.648000,2.0,1.0,,,0 days 00:00:34.209000,0 days 00:00:36.574000,0 days 00:00:28.272000,0 days 00:35:23.364000,0 days 00:35:59.938000,0 days 00:36:28.210000,238.0,216.0,235.0,289.0,True,INTERMEDIATE,2.0,True,Alfa Romeo Racing,0 days 00:34:49.185000,2020-07-19 13:14:49.385,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.6,76.2,986.3,False,28.8,152,0.9
0 days 00:01:39.165000,15.0,GIO,99,0 days 00:37:05.650000,3.0,1.0,,,0 days 00:00:34.145000,0 days 00:00:36.233000,0 days 00:00:28.787000,0 days 00:37:02.355000,0 days 00:37:38.588000,0 days 00:38:07.375000,266.0,212.0,235.0,284.0,False,INTERMEDIATE,3.0,True,Alfa Romeo Racing,0 days 00:36:28.240000,2020-07-19 13:16:28.440,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.4,74.3,986.2,False,27.9,116,1.4
0 days 00:01:45.277000,15.0,GIO,99,0 days 00:39:05.649000,4.0,1.0,,0 days 00:39:51.003000,0 days 00:00:34.884000,0 days 00:00:36.896000,0 days 00:00:33.497000,0 days 00:38:42.259000,0 days 00:39:19.155000,0 days 00:39:52.652000,254.0,207.0,,285.0,False,INTERMEDIATE,4.0,True,Alfa Romeo Racing,0 days 00:38:07.405000,2020-07-19 13:18:07.605,2,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.2,75.3,986.2,False,26.8,93,1.7
0 days 00:01:48.244000,19.0,GIO,99,0 days 00:40:05.652000,5.0,2.0,0 days 00:40:13.263000,,0 days 00:00:51.828000,0 days 00:00:32.047000,0 days 00:00:24.369000,0 days 00:40:44.480000,0 days 00:41:16.527000,0 days 00:41:40.896000,260.0,228.0,245.0,,False,SOFT,1.0,True,Alfa Romeo Racing,0 days 00:39:52.682000,2020-07-19 13:19:52.882,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.2,74.8,986.3,False,26.2,119,1.6
0 days 00:01:26.059000,19.0,GIO,99,0 days 00:42:05.649000,6.0,2.0,,,0 days 00:00:31.250000,0 days 00:00:30.948000,0 days 00:00:23.861000,0 days 00:42:12.146000,0 days 00:42:43.094000,0 days 00:43:06.955000,271.0,231.0,248.0,286.0,True,SOFT,2.0,True,Alfa Romeo Racing,0 days 00:41:40.926000,2020-07-19 13:21:41.126,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.7,986.3,False,25.6,113,2.1
0 days 00:01:25.172000,19.0,GIO,99,0 days 00:44:05.665000,7.0,2.0,,,0 days 00:00:30.662000,0 days 00:00:30.903000,0 days 00:00:23.607000,0 days 00:43:37.617000,0 days 00:44:08.520000,0 days 00:44:32.127000,273.0,234.0,250.0,288.0,True,SOFT,3.0,True,Alfa Romeo Racing,0 days 00:43:06.985000,2020-07-19 13:23:07.185,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.1,76.1,986.2,False,25.6,99,1.2
0 days 00:01:25.113000,19.0,GIO,99,0 days 00:45:05.665000,8.0,2.0,,,0 days 00:00:30.493000,0 days 00:00:30.660000,0 days 00:00:23.960000,0 days 00:45:02.620000,0 days 00:45:33.280000,0 days 00:45:57.240000,274.0,233.0,247.0,,True,SOFT,4.0,True,Alfa Romeo Racing,0 days 00:44:32.157000,2020-07-19 13:24:32.357,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.5,986.3,False,25.9,130,1.1
0 days 00:01:24.313000,19.0,GIO,99,0 days 00:46:05.680000,9.0,2.0,,,0 days 00:00:30.301000,0 days 00:00:30.304000,0 days 00:00:23.708000,0 days 00:46:27.541000,0 days 00:46:57.845000,0 days 00:47:21.553000,275.0,234.0,247.0,287.0,True,SOFT,5.0,True,Alfa Romeo Racing,0 days 00:45:57.270000,2020-07-19 13:25:57.470,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,76.9,986.2,False,25.9,93,1.1
0 days 00:01:24.270000,19.0,GIO,99,0 days 00:48:05.704000,10.0,2.0,,,0 days 00:00:30.161000,0 days 00:00:30.130000,0 days 00:00:23.979000,0 days 00:47:51.714000,0 days 00:48:21.844000,0 days 00:48:45.823000,,234.0,246.0,,True,SOFT,6.0,True,Alfa Romeo Racing,0 days 00:47:21.583000,2020-07-19 13:27:21.783,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.4,75.4,986.2,False,27.0,116,1.5
