LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:47.053000,10.0,LAT,6,0 days 00:33:05.648000,1.0,1.0,,,,0 days 00:00:37.702000,0 days 00:00:27.891000,,0 days 00:34:16.921000,0 days 00:34:44.904000,216.0,218.0,238.0,267.0,False,INTERMEDIATE,1.0,True,Williams,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.8,75.1,986.3,False,29.9,250,1.1
0 days 00:01:36.089000,10.0,LAT,6,0 days 00:35:05.648000,2.0,1.0,,,0 days 00:00:33.612000,0 days 00:00:35.407000,0 days 00:00:27.070000,0 days 00:35:18.367000,0 days 00:35:53.774000,0 days 00:36:20.844000,262.0,221.0,239.0,284.0,True,INTERMEDIATE,2.0,True,Williams,0 days 00:34:44.755000,2020-07-19 13:14:44.955,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.6,76.2,986.3,False,28.8,152,0.9
0 days 00:01:41.883000,11.0,LAT,6,0 days 00:37:05.650000,3.0,1.0,,0 days 00:38:01.048000,0 days 00:00:33.864000,0 days 00:00:37.185000,0 days 00:00:30.834000,0 days 00:36:54.708000,0 days 00:37:31.893000,0 days 00:38:02.727000,261.0,216.0,,280.0,False,INTERMEDIATE,3.0,True,Williams,0 days 00:36:20.844000,2020-07-19 13:16:21.044,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.4,74.3,986.2,False,27.9,116,1.4
,20.0,LAT,6,0 days 00:38:05.650000,4.0,2.0,0 days 00:38:22.635000,0 days 00:41:25.084000,0 days 00:01:17.511000,0 days 00:01:08.306000,0 days 00:00:58.477000,0 days 00:39:20.247000,0 days 00:40:28.619000,0 days 00:41:27.146000,167.0,74.0,,,False,SOFT,1.0,True,Williams,0 days 00:38:02.727000,2020-07-19 13:18:02.927,2,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.3,74.7,986.3,False,27.0,91,1.5
0 days 00:02:04.508000,20.0,LAT,6,0 days 00:42:05.649000,5.0,3.0,0 days 00:42:01.422000,,0 days 00:01:06.861000,0 days 00:00:33.241000,0 days 00:00:24.406000,0 days 00:42:33.846000,0 days 00:43:07.087000,0 days 00:43:31.493000,255.0,231.0,238.0,,False,MEDIUM,1.0,True,Williams,0 days 00:41:26.985000,2020-07-19 13:21:27.185,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.0,75.7,986.3,False,25.6,113,2.1
0 days 00:01:27.230000,20.0,LAT,6,0 days 00:44:05.665000,6.0,3.0,,,0 days 00:00:31.913000,0 days 00:00:31.453000,0 days 00:00:23.864000,0 days 00:44:03.406000,0 days 00:44:34.859000,0 days 00:44:58.723000,264.0,234.0,245.0,280.0,True,MEDIUM,2.0,True,Williams,0 days 00:43:31.493000,2020-07-19 13:23:31.693,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.1,76.1,986.2,False,25.6,99,1.2
0 days 00:01:25.128000,20.0,LAT,6,0 days 00:45:05.665000,7.0,3.0,,,0 days 00:00:31.074000,0 days 00:00:30.417000,0 days 00:00:23.637000,0 days 00:45:29.797000,0 days 00:46:00.214000,0 days 00:46:23.851000,265.0,235.0,247.0,282.0,True,MEDIUM,3.0,True,Williams,0 days 00:44:58.723000,2020-07-19 13:24:58.923,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.5,986.3,False,25.9,130,1.1
0 days 00:01:24.597000,20.0,LAT,6,0 days 00:47:05.695000,8.0,3.0,,,0 days 00:00:30.816000,0 days 00:00:30.161000,0 days 00:00:23.620000,0 days 00:46:54.667000,0 days 00:47:24.828000,0 days 00:47:48.448000,272.0,235.0,246.0,283.0,True,MEDIUM,4.0,True,Williams,0 days 00:46:23.851000,2020-07-19 13:26:24.051,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.3,75.7,986.2,False,26.4,94,1.2
0 days 00:01:24.434000,20.0,LAT,6,0 days 00:48:05.704000,9.0,3.0,,,0 days 00:00:30.312000,0 days 00:00:30.323000,0 days 00:00:23.799000,0 days 00:48:18.760000,0 days 00:48:49.083000,0 days 00:49:12.882000,271.0,233.0,244.0,284.0,True,MEDIUM,5.0,True,Williams,0 days 00:47:48.448000,2020-07-19 13:27:48.648,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.4,75.4,986.2,False,27.0,116,1.5
0 days 00:01:27.168000,20.0,LAT,6,0 days 00:50:05.710000,10.0,3.0,,,0 days 00:00:31.714000,0 days 00:00:31.121000,0 days 00:00:24.333000,0 days 00:49:44.596000,0 days 00:50:15.717000,0 days 00:50:40.050000,177.0,235.0,243.0,282.0,False,MEDIUM,6.0,True,Williams,0 days 00:49:12.882000,2020-07-19 13:29:13.082,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.2,73.8,986.2,False,26.9,78,2.2
0 days 00:01:24.402000,20.0,LAT,6,0 days 00:51:05.726000,11.0,3.0,,,0 days 00:00:30.347000,0 days 00:00:30.210000,0 days 00:00:23.845000,0 days 00:51:10.397000,0 days 00:51:40.607000,0 days 00:52:04.452000,272.0,233.0,244.0,283.0,True,MEDIUM,7.0,True,Williams,0 days 00:50:40.050000,2020-07-19 13:30:40.250,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.2,73.3,986.2,False,27.0,81,2.4
0 days 00:01:24.800000,20.0,LAT,6,0 days 00:52:05.727000,12.0,3.0,,,0 days 00:00:30.431000,0 days 00:00:30.403000,0 days 00:00:23.966000,0 days 00:52:34.883000,0 days 00:53:05.286000,0 days 00:53:29.252000,269.0,232.0,243.0,,False,MEDIUM,8.0,True,Williams,0 days 00:52:04.452000,2020-07-19 13:32:04.652,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.2,72.5,986.2,False,27.0,83,2.8
0 days 00:01:27.128000,20.0,LAT,6,0 days 00:54:05.728000,13.0,3.0,,,0 days 00:00:31.286000,0 days 00:00:31.701000,0 days 00:00:24.141000,0 days 00:54:00.538000,0 days 00:54:32.239000,0 days 00:54:56.380000,184.0,228.0,244.0,282.0,False,MEDIUM,9.0,True,Williams,0 days 00:53:29.252000,2020-07-19 13:33:29.452,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.1,73.1,986.2,False,26.4,104,1.9
0 days 00:01:25.592000,20.0,LAT,6,0 days 00:55:05.729000,14.0,3.0,,,0 days 00:00:30.614000,0 days 00:00:30.547000,0 days 00:00:24.431000,0 days 00:55:26.994000,0 days 00:55:57.541000,0 days 00:56:21.972000,271.0,231.0,243.0,283.0,False,MEDIUM,10.0,True,Williams,0 days 00:54:56.380000,2020-07-19 13:34:56.580,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,73.6,986.2,False,26.4,109,2.6
