LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:48.972000,13.0,NOR,4,0 days 00:33:05.648000,1.0,1.0,,,,0 days 00:00:38.230000,0 days 00:00:27.783000,,0 days 00:34:18.952000,0 days 00:34:46.833000,199.0,218.0,236.0,251.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.8,75.1,986.3,False,29.9,250,1.1
0 days 00:01:37.469000,13.0,NOR,4,0 days 00:35:05.648000,2.0,1.0,,,0 days 00:00:34.088000,0 days 00:00:35.444000,0 days 00:00:27.937000,0 days 00:35:20.753000,0 days 00:35:56.197000,0 days 00:36:24.134000,241.0,215.0,237.0,288.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:34:46.687000,2020-07-19 13:14:46.887,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.6,76.2,986.3,False,28.8,152,0.9
0 days 00:01:38.237000,10.0,NOR,4,0 days 00:37:05.650000,3.0,1.0,,,0 days 00:00:33.739000,0 days 00:00:35.937000,0 days 00:00:28.561000,0 days 00:36:57.873000,0 days 00:37:33.810000,0 days 00:38:02.371000,260.0,218.0,234.0,,False,INTERMEDIATE,3.0,True,McLaren,0 days 00:36:24.156000,2020-07-19 13:16:24.356,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.4,74.3,986.2,False,27.9,116,1.4
0 days 00:01:40.339000,6.0,NOR,4,0 days 00:38:05.650000,4.0,1.0,,0 days 00:39:41.023000,0 days 00:00:33.788000,0 days 00:00:35.229000,0 days 00:00:31.322000,0 days 00:38:36.159000,0 days 00:39:11.388000,0 days 00:39:42.710000,268.0,219.0,,282.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 00:38:02.393000,2020-07-19 13:18:02.593,2,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.3,74.7,986.3,False,27.0,91,1.5
0 days 00:01:49.478000,18.0,NOR,4,0 days 00:40:05.652000,5.0,2.0,0 days 00:40:04.043000,,0 days 00:00:53.042000,0 days 00:00:32.204000,0 days 00:00:24.232000,0 days 00:40:35.752000,0 days 00:41:07.956000,0 days 00:41:32.188000,268.0,229.0,247.0,,False,MEDIUM,1.0,True,McLaren,0 days 00:39:42.732000,2020-07-19 13:19:42.932,2,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.2,74.8,986.3,False,26.2,119,1.6
0 days 00:01:25.863000,18.0,NOR,4,0 days 00:42:05.649000,6.0,2.0,,,0 days 00:00:31.319000,0 days 00:00:30.901000,0 days 00:00:23.643000,0 days 00:42:03.507000,0 days 00:42:34.408000,0 days 00:42:58.051000,273.0,237.0,249.0,288.0,True,MEDIUM,2.0,True,McLaren,0 days 00:41:32.210000,2020-07-19 13:21:32.410,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.7,986.3,False,25.6,113,2.1
0 days 00:01:25.483000,18.0,NOR,4,0 days 00:43:05.667000,7.0,2.0,,,0 days 00:00:30.766000,0 days 00:00:30.890000,0 days 00:00:23.827000,0 days 00:43:28.817000,0 days 00:43:59.707000,0 days 00:44:23.534000,271.0,235.0,249.0,292.0,True,MEDIUM,3.0,True,McLaren,0 days 00:42:58.073000,2020-07-19 13:22:58.273,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,76.3,986.3,False,25.6,118,1.6
0 days 00:01:24.909000,18.0,NOR,4,0 days 00:45:05.665000,8.0,2.0,,,0 days 00:00:30.589000,0 days 00:00:30.572000,0 days 00:00:23.748000,0 days 00:44:54.123000,0 days 00:45:24.695000,0 days 00:45:48.443000,278.0,233.0,256.0,,True,MEDIUM,4.0,True,McLaren,0 days 00:44:23.556000,2020-07-19 13:24:23.756,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.5,986.3,False,25.9,130,1.1
0 days 00:01:25.271000,18.0,NOR,4,0 days 00:46:05.680000,9.0,2.0,,,0 days 00:00:30.161000,0 days 00:00:30.964000,0 days 00:00:24.146000,0 days 00:46:18.604000,0 days 00:46:49.568000,0 days 00:47:13.714000,,235.0,248.0,311.0,False,MEDIUM,5.0,True,McLaren,0 days 00:45:48.465000,2020-07-19 13:25:48.665,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,76.9,986.2,False,25.9,93,1.1
0 days 00:01:24.891000,18.0,NOR,4,0 days 00:48:05.704000,10.0,2.0,,,0 days 00:00:30.287000,0 days 00:00:30.668000,0 days 00:00:23.936000,0 days 00:47:44.001000,0 days 00:48:14.669000,0 days 00:48:38.605000,272.0,235.0,248.0,296.0,True,MEDIUM,6.0,True,McLaren,0 days 00:47:13.736000,2020-07-19 13:27:13.936,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.4,75.4,986.2,False,27.0,116,1.5
0 days 00:01:24.615000,18.0,NOR,4,0 days 00:49:05.711000,11.0,2.0,,,0 days 00:00:30.250000,0 days 00:00:30.295000,0 days 00:00:24.070000,0 days 00:49:08.855000,0 days 00:49:39.150000,0 days 00:50:03.220000,276.0,236.0,253.0,293.0,True,MEDIUM,7.0,True,McLaren,0 days 00:48:38.627000,2020-07-19 13:28:38.827,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.4,75.6,986.3,False,26.9,96,1.6
0 days 00:01:24.668000,18.0,NOR,4,0 days 00:50:05.710000,12.0,2.0,,,0 days 00:00:30.387000,0 days 00:00:30.286000,0 days 00:00:23.995000,0 days 00:50:33.607000,0 days 00:51:03.893000,0 days 00:51:27.888000,275.0,234.0,252.0,306.0,False,MEDIUM,8.0,True,McLaren,0 days 00:50:03.242000,2020-07-19 13:30:03.442,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.2,73.8,986.2,False,26.9,78,2.2
