LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:49.757000,14.0,RAI,7,0 days 00:33:05.648000,1.0,1.0,,,,0 days 00:00:38.444000,0 days 00:00:28.031000,,0 days 00:34:19.500000,0 days 00:34:47.604000,217.0,218.0,234.0,276.0,False,INTERMEDIATE,1.0,True,Alfa Romeo Racing,0 days 00:32:57.486000,2020-07-19 13:12:57.686,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.8,75.1,986.3,False,29.9,250,1.1
0 days 00:01:38.389000,15.0,RAI,7,0 days 00:35:05.648000,2.0,1.0,,,0 days 00:00:34.169000,0 days 00:00:35.598000,0 days 00:00:28.622000,0 days 00:35:21.621000,0 days 00:35:57.219000,0 days 00:36:25.841000,214.0,213.0,236.0,287.0,True,INTERMEDIATE,2.0,True,Alfa Romeo Racing,0 days 00:34:47.472000,2020-07-19 13:14:47.672,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.6,76.2,986.3,False,28.8,152,0.9
0 days 00:01:40.357000,14.0,RAI,7,0 days 00:37:05.650000,3.0,1.0,,0 days 00:38:04.512000,0 days 00:00:33.933000,0 days 00:00:35.756000,0 days 00:00:30.668000,0 days 00:36:59.774000,0 days 00:37:35.530000,0 days 00:38:06.198000,258.0,211.0,,288.0,False,INTERMEDIATE,3.0,True,Alfa Romeo Racing,0 days 00:36:25.861000,2020-07-19 13:16:26.061,1,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.4,74.3,986.2,False,27.9,116,1.4
0 days 00:01:51.984000,19.0,RAI,7,0 days 00:39:05.649000,4.0,2.0,0 days 00:38:26.780000,,0 days 00:00:54.939000,0 days 00:00:33.031000,0 days 00:00:24.014000,0 days 00:39:01.137000,0 days 00:39:34.168000,0 days 00:39:58.182000,225.0,228.0,249.0,,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:38:06.218000,2020-07-19 13:18:06.418,2,False,,False,False,0,Hungarian Grand Prix,16,40.0,21.2,75.3,986.2,False,26.8,93,1.7
0 days 00:01:28.463000,15.0,RAI,7,0 days 00:40:05.652000,5.0,2.0,,,0 days 00:00:31.974000,0 days 00:00:31.978000,0 days 00:00:24.511000,0 days 00:40:30.156000,0 days 00:41:02.134000,0 days 00:41:26.645000,265.0,231.0,243.0,291.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:39:58.202000,2020-07-19 13:19:58.402,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.2,74.8,986.3,False,26.2,119,1.6
0 days 00:01:28.243000,15.0,RAI,7,0 days 00:42:05.649000,6.0,2.0,,,0 days 00:00:32.249000,0 days 00:00:31.874000,0 days 00:00:24.120000,0 days 00:41:58.894000,0 days 00:42:30.768000,0 days 00:42:54.888000,249.0,235.0,252.0,,True,MEDIUM,3.0,True,Alfa Romeo Racing,0 days 00:41:26.665000,2020-07-19 13:21:26.865,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.7,986.3,False,25.6,113,2.1
0 days 00:01:25.864000,15.0,RAI,7,0 days 00:43:05.667000,7.0,2.0,,,0 days 00:00:30.968000,0 days 00:00:31.145000,0 days 00:00:23.751000,0 days 00:43:25.856000,0 days 00:43:57.001000,0 days 00:44:20.752000,267.0,235.0,253.0,307.0,True,MEDIUM,4.0,True,Alfa Romeo Racing,0 days 00:42:54.908000,2020-07-19 13:22:55.108,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,76.3,986.3,False,25.6,118,1.6
0 days 00:01:25.351000,15.0,RAI,7,0 days 00:45:05.665000,8.0,2.0,,,0 days 00:00:30.669000,0 days 00:00:30.900000,0 days 00:00:23.782000,0 days 00:44:51.421000,0 days 00:45:22.321000,0 days 00:45:46.103000,265.0,233.0,250.0,306.0,True,MEDIUM,5.0,True,Alfa Romeo Racing,0 days 00:44:20.772000,2020-07-19 13:24:20.972,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,75.5,986.3,False,25.9,130,1.1
0 days 00:01:24.731000,15.0,RAI,7,0 days 00:46:05.680000,9.0,2.0,,,0 days 00:00:30.586000,0 days 00:00:30.591000,0 days 00:00:23.554000,0 days 00:46:16.689000,0 days 00:46:47.280000,0 days 00:47:10.834000,268.0,232.0,249.0,294.0,True,MEDIUM,6.0,True,Alfa Romeo Racing,0 days 00:45:46.123000,2020-07-19 13:25:46.323,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.0,76.9,986.2,False,25.9,93,1.1
0 days 00:01:24.430000,15.0,RAI,7,0 days 00:48:05.704000,10.0,2.0,,,0 days 00:00:30.327000,0 days 00:00:30.528000,0 days 00:00:23.575000,0 days 00:47:41.161000,0 days 00:48:11.689000,0 days 00:48:35.264000,276.0,232.0,249.0,292.0,True,MEDIUM,7.0,True,Alfa Romeo Racing,0 days 00:47:10.854000,2020-07-19 13:27:11.054,1,False,,False,True,0,Hungarian Grand Prix,16,40.0,21.4,75.4,986.2,False,27.0,116,1.5
