LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:41.385000,12.0,OCO,31,0 days 00:34:02.424000,1.0,1.0,,,,0 days 00:00:39.041000,0 days 00:00:30.389000,,0 days 00:34:21.055000,0 days 00:34:51.572000,264.0,151.0,299.0,234.0,False,MEDIUM,1.0,True,Renault,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:01:29.961000,11.0,OCO,31,0 days 00:35:02.399000,2.0,1.0,,,0 days 00:00:27.322000,0 days 00:00:34.566000,0 days 00:00:28.073000,0 days 00:35:18.631000,0 days 00:35:53.197000,0 days 00:36:21.270000,266.0,177.0,297.0,317.0,False,MEDIUM,2.0,True,Renault,0 days 00:34:51.310000,2020-10-25 13:14:52.387,1,True,TRACK LIMITS AT TURN 1,False,True,0,Portuguese Grand Prix,15,74.0,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:01:26.981000,12.0,OCO,31,0 days 00:37:02.443000,3.0,1.0,,,0 days 00:00:26.304000,0 days 00:00:33.127000,0 days 00:00:27.550000,0 days 00:36:47.574000,0 days 00:37:20.701000,0 days 00:37:48.251000,268.0,183.0,306.0,305.0,True,MEDIUM,3.0,True,Renault,0 days 00:36:21.271000,2020-10-25 13:16:22.348,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:01:24.696000,12.0,OCO,31,0 days 00:38:02.450000,4.0,1.0,,,0 days 00:00:25.101000,0 days 00:00:32.618000,0 days 00:00:26.977000,0 days 00:38:13.352000,0 days 00:38:45.970000,0 days 00:39:12.947000,265.0,185.0,305.0,328.0,True,MEDIUM,4.0,True,Renault,0 days 00:37:48.252000,2020-10-25 13:17:49.329,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:01:23.828000,12.0,OCO,31,0 days 00:40:02.493000,5.0,1.0,,,0 days 00:00:24.303000,0 days 00:00:32.502000,0 days 00:00:27.023000,0 days 00:39:37.250000,0 days 00:40:09.752000,0 days 00:40:36.775000,269.0,187.0,305.0,323.0,True,MEDIUM,5.0,True,Renault,0 days 00:39:12.948000,2020-10-25 13:19:14.025,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:01:23.329000,12.0,OCO,31,0 days 00:41:02.482000,6.0,1.0,,,0 days 00:00:24.200000,0 days 00:00:32.166000,0 days 00:00:26.963000,0 days 00:41:00.975000,0 days 00:41:33.141000,0 days 00:42:00.104000,266.0,189.0,306.0,320.0,True,MEDIUM,6.0,True,Renault,0 days 00:40:36.776000,2020-10-25 13:20:37.853,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:01:23.175000,12.0,OCO,31,0 days 00:42:02.500000,7.0,1.0,,,0 days 00:00:24.106000,0 days 00:00:32.146000,0 days 00:00:26.923000,0 days 00:42:24.210000,0 days 00:42:56.356000,0 days 00:43:23.279000,265.0,188.0,307.0,,True,MEDIUM,7.0,True,Renault,0 days 00:42:00.105000,2020-10-25 13:22:01.182,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.4,1007.8,False,25.5,161,3.7
0 days 00:01:23.611000,12.0,OCO,31,0 days 00:44:02.544000,8.0,1.0,,,0 days 00:00:24.264000,0 days 00:00:32.520000,0 days 00:00:26.827000,0 days 00:43:47.543000,0 days 00:44:20.063000,0 days 00:44:46.890000,264.0,185.0,296.0,332.0,False,MEDIUM,8.0,True,Renault,0 days 00:43:23.280000,2020-10-25 13:23:24.357,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:01:23.659000,12.0,OCO,31,0 days 00:45:02.485000,9.0,1.0,,,0 days 00:00:24.271000,0 days 00:00:32.437000,0 days 00:00:26.951000,0 days 00:45:11.161000,0 days 00:45:43.598000,0 days 00:46:10.549000,,187.0,300.0,300.0,False,MEDIUM,9.0,True,Renault,0 days 00:44:46.891000,2020-10-25 13:24:47.968,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:01:23.896000,12.0,OCO,31,0 days 00:47:02.521000,10.0,1.0,,,0 days 00:00:24.286000,0 days 00:00:32.485000,0 days 00:00:27.125000,0 days 00:46:34.835000,0 days 00:47:07.320000,0 days 00:47:34.445000,262.0,187.0,310.0,302.0,False,MEDIUM,10.0,True,Renault,0 days 00:46:10.550000,2020-10-25 13:26:11.627,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.7,66.7,1007.6,False,26.5,115,2.5
0 days 00:01:24.166000,11.0,OCO,31,0 days 00:48:02.523000,11.0,1.0,,,0 days 00:00:24.336000,0 days 00:00:32.913000,0 days 00:00:26.917000,0 days 00:47:58.781000,0 days 00:48:31.694000,0 days 00:48:58.611000,270.0,187.0,316.0,329.0,False,MEDIUM,11.0,True,Renault,0 days 00:47:34.446000,2020-10-25 13:27:35.523,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.8,66.6,1007.6,False,26.6,175,3.0
0 days 00:01:22.496000,10.0,OCO,31,0 days 00:49:02.477000,12.0,1.0,,,0 days 00:00:23.498000,0 days 00:00:32.058000,0 days 00:00:26.940000,0 days 00:49:22.109000,0 days 00:49:54.167000,0 days 00:50:21.107000,265.0,187.0,293.0,334.0,True,MEDIUM,12.0,True,Renault,0 days 00:48:58.612000,2020-10-25 13:28:59.689,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.9,66.4,1007.6,False,26.6,101,2.3
0 days 00:01:23.502000,10.0,OCO,31,0 days 00:51:02.495000,13.0,1.0,,,0 days 00:00:24.285000,0 days 00:00:32.364000,0 days 00:00:26.853000,0 days 00:50:45.392000,0 days 00:51:17.756000,0 days 00:51:44.609000,,191.0,305.0,296.0,False,MEDIUM,13.0,True,Renault,0 days 00:50:21.108000,2020-10-25 13:30:22.185,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,66.2,1007.5,False,27.0,168,3.7
0 days 00:01:23.299000,9.0,OCO,31,0 days 00:52:02.491000,14.0,1.0,,,0 days 00:00:24.163000,0 days 00:00:32.211000,0 days 00:00:26.925000,0 days 00:52:08.772000,0 days 00:52:40.983000,0 days 00:53:07.908000,266.0,188.0,305.0,320.0,False,MEDIUM,14.0,True,Renault,0 days 00:51:44.610000,2020-10-25 13:31:45.687,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,66.2,1007.4,False,27.1,53,4.3
0 days 00:01:23.124000,9.0,OCO,31,0 days 00:54:02.484000,15.0,1.0,,,0 days 00:00:23.928000,0 days 00:00:32.205000,0 days 00:00:26.991000,0 days 00:53:31.836000,0 days 00:54:04.041000,0 days 00:54:31.032000,264.0,188.0,293.0,316.0,False,MEDIUM,15.0,True,Renault,0 days 00:53:07.909000,2020-10-25 13:33:08.986,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,65.9,1007.4,False,27.4,27,2.9
0 days 00:01:23.806000,9.0,OCO,31,0 days 00:55:02.484000,16.0,1.0,,,0 days 00:00:24.397000,0 days 00:00:32.248000,0 days 00:00:27.161000,0 days 00:54:55.429000,0 days 00:55:27.677000,0 days 00:55:54.838000,265.0,188.0,293.0,296.0,False,MEDIUM,16.0,True,Renault,0 days 00:54:31.033000,2020-10-25 13:34:32.110,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.9,66.5,1007.5,False,27.5,149,3.8
