LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:47.446000,20.0,PER,11,0 days 00:34:02.424000,1.0,1.0,,0 days 00:34:54.617000,,0 days 00:00:35.040000,0 days 00:00:32.853000,,0 days 00:34:24.654000,0 days 00:34:57.519000,220.0,176.0,,244.0,False,SOFT,5.0,False,Racing Point,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:01:45.889000,20.0,PER,11,0 days 00:35:02.399000,2.0,2.0,0 days 00:35:20.742000,,0 days 00:00:45.856000,0 days 00:00:32.790000,0 days 00:00:27.243000,0 days 00:35:43.223000,0 days 00:36:16.013000,0 days 00:36:43.256000,267.0,186.0,291.0,,False,MEDIUM,1.0,True,Racing Point,0 days 00:34:57.371000,2020-10-25 13:14:58.448,1,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:01:23.995000,20.0,PER,11,0 days 00:37:02.443000,3.0,2.0,,,0 days 00:00:24.745000,0 days 00:00:32.343000,0 days 00:00:26.907000,0 days 00:37:08.001000,0 days 00:37:40.344000,0 days 00:38:07.251000,264.0,187.0,291.0,300.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:36:43.260000,2020-10-25 13:16:44.337,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:01:23.058000,20.0,PER,11,0 days 00:39:02.476000,4.0,2.0,,,0 days 00:00:24.420000,0 days 00:00:31.843000,0 days 00:00:26.795000,0 days 00:38:31.671000,0 days 00:39:03.514000,0 days 00:39:30.309000,272.0,189.0,291.0,298.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:38:07.255000,2020-10-25 13:18:08.332,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.1,32,3.0
0 days 00:01:22.952000,20.0,PER,11,0 days 00:40:02.493000,5.0,2.0,,,0 days 00:00:24.156000,0 days 00:00:31.909000,0 days 00:00:26.887000,0 days 00:39:54.465000,0 days 00:40:26.374000,0 days 00:40:53.261000,266.0,189.0,290.0,297.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:39:30.313000,2020-10-25 13:19:31.390,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:01:22.692000,20.0,PER,11,0 days 00:41:02.482000,6.0,2.0,,,0 days 00:00:24.113000,0 days 00:00:31.669000,0 days 00:00:26.910000,0 days 00:41:17.374000,0 days 00:41:49.043000,0 days 00:42:15.953000,271.0,191.0,292.0,290.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:40:53.265000,2020-10-25 13:20:54.342,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:01:22.819000,20.0,PER,11,0 days 00:43:02.498000,7.0,2.0,,,0 days 00:00:24.258000,0 days 00:00:31.679000,0 days 00:00:26.882000,0 days 00:42:40.211000,0 days 00:43:11.890000,0 days 00:43:38.772000,,186.0,291.0,294.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:42:15.957000,2020-10-25 13:22:17.034,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,66.8,1007.8,False,25.5,155,4.0
0 days 00:01:22.709000,20.0,PER,11,0 days 00:44:02.544000,8.0,2.0,,,0 days 00:00:24.296000,0 days 00:00:31.826000,0 days 00:00:26.587000,0 days 00:44:03.068000,0 days 00:44:34.894000,0 days 00:45:01.481000,270.0,189.0,293.0,291.0,False,MEDIUM,7.0,True,Racing Point,0 days 00:43:38.776000,2020-10-25 13:23:39.853,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:01:23.083000,20.0,PER,11,0 days 00:45:02.485000,9.0,2.0,,,0 days 00:00:24.329000,0 days 00:00:31.828000,0 days 00:00:26.926000,0 days 00:45:25.810000,0 days 00:45:57.638000,0 days 00:46:24.564000,,186.0,294.0,293.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:45:01.485000,2020-10-25 13:25:02.562,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:01:22.619000,20.0,PER,11,0 days 00:47:02.521000,10.0,2.0,,,0 days 00:00:24.231000,0 days 00:00:31.486000,0 days 00:00:26.902000,0 days 00:46:48.795000,0 days 00:47:20.281000,0 days 00:47:47.183000,269.0,189.0,295.0,295.0,True,MEDIUM,9.0,True,Racing Point,0 days 00:46:24.568000,2020-10-25 13:26:25.645,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.7,66.7,1007.6,False,26.5,115,2.5
