LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:41.407000,13.0,RUS,63,0 days 00:34:02.424000,1.0,1.0,,,,0 days 00:00:38.172000,0 days 00:00:29.929000,,0 days 00:34:21.864000,0 days 00:34:51.572000,264.0,156.0,310.0,243.0,False,MEDIUM,1.0,True,Williams,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:01:30.752000,13.0,RUS,63,0 days 00:35:02.399000,2.0,1.0,,,0 days 00:00:27.379000,0 days 00:00:35.396000,0 days 00:00:27.977000,0 days 00:35:18.712000,0 days 00:35:54.108000,0 days 00:36:22.085000,270.0,179.0,303.0,315.0,True,MEDIUM,2.0,True,Williams,0 days 00:34:51.332000,2020-10-25 13:14:52.409,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:01:26.337000,13.0,RUS,63,0 days 00:37:02.443000,3.0,1.0,,,0 days 00:00:25.689000,0 days 00:00:33.560000,0 days 00:00:27.088000,0 days 00:36:47.774000,0 days 00:37:21.334000,0 days 00:37:48.422000,278.0,183.0,318.0,,True,MEDIUM,3.0,True,Williams,0 days 00:36:22.084000,2020-10-25 13:16:23.161,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:01:25.251000,13.0,RUS,63,0 days 00:38:02.450000,4.0,1.0,,,0 days 00:00:25.430000,0 days 00:00:32.941000,0 days 00:00:26.880000,0 days 00:38:13.852000,0 days 00:38:46.793000,0 days 00:39:13.673000,274.0,182.0,312.0,317.0,True,MEDIUM,4.0,True,Williams,0 days 00:37:48.421000,2020-10-25 13:17:49.498,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:01:23.914000,13.0,RUS,63,0 days 00:40:02.493000,5.0,1.0,,,0 days 00:00:24.514000,0 days 00:00:32.537000,0 days 00:00:26.863000,0 days 00:39:38.187000,0 days 00:40:10.724000,0 days 00:40:37.587000,273.0,184.0,309.0,336.0,True,MEDIUM,5.0,True,Williams,0 days 00:39:13.672000,2020-10-25 13:19:14.749,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:01:23.729000,13.0,RUS,63,0 days 00:41:02.482000,6.0,1.0,,,0 days 00:00:24.221000,0 days 00:00:32.480000,0 days 00:00:27.028000,0 days 00:41:01.808000,0 days 00:41:34.288000,0 days 00:42:01.316000,274.0,186.0,299.0,337.0,True,MEDIUM,6.0,True,Williams,0 days 00:40:37.586000,2020-10-25 13:20:38.663,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:01:23.650000,13.0,RUS,63,0 days 00:42:02.500000,7.0,1.0,,,0 days 00:00:24.215000,0 days 00:00:32.375000,0 days 00:00:27.060000,0 days 00:42:25.531000,0 days 00:42:57.906000,0 days 00:43:24.966000,273.0,187.0,298.0,315.0,True,MEDIUM,7.0,True,Williams,0 days 00:42:01.315000,2020-10-25 13:22:02.392,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.4,1007.8,False,25.5,161,3.7
0 days 00:01:24.076000,13.0,RUS,63,0 days 00:44:02.544000,8.0,1.0,,,0 days 00:00:24.452000,0 days 00:00:32.693000,0 days 00:00:26.931000,0 days 00:43:49.418000,0 days 00:44:22.111000,0 days 00:44:49.042000,271.0,186.0,296.0,310.0,False,MEDIUM,8.0,True,Williams,0 days 00:43:24.965000,2020-10-25 13:23:26.042,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:01:24.013000,13.0,RUS,63,0 days 00:45:02.485000,9.0,1.0,,,0 days 00:00:24.218000,0 days 00:00:32.722000,0 days 00:00:27.073000,0 days 00:45:13.260000,0 days 00:45:45.982000,0 days 00:46:13.055000,272.0,183.0,298.0,,False,MEDIUM,9.0,True,Williams,0 days 00:44:49.041000,2020-10-25 13:24:50.118,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:01:24.184000,13.0,RUS,63,0 days 00:47:02.521000,10.0,1.0,,,0 days 00:00:24.288000,0 days 00:00:32.755000,0 days 00:00:27.141000,0 days 00:46:37.343000,0 days 00:47:10.098000,0 days 00:47:37.239000,271.0,181.0,297.0,309.0,False,MEDIUM,10.0,True,Williams,0 days 00:46:13.054000,2020-10-25 13:26:14.131,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.7,66.7,1007.6,False,26.5,115,2.5
0 days 00:01:24.198000,13.0,RUS,63,0 days 00:48:02.523000,11.0,1.0,,,0 days 00:00:24.629000,0 days 00:00:32.647000,0 days 00:00:26.922000,0 days 00:48:01.868000,0 days 00:48:34.515000,0 days 00:49:01.437000,,181.0,298.0,,False,MEDIUM,11.0,True,Williams,0 days 00:47:37.238000,2020-10-25 13:27:38.315,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.8,66.6,1007.6,False,26.6,175,3.0
0 days 00:01:24.228000,12.0,RUS,63,0 days 00:49:02.477000,12.0,1.0,,,0 days 00:00:24.196000,0 days 00:00:32.769000,0 days 00:00:27.263000,0 days 00:49:25.633000,0 days 00:49:58.402000,0 days 00:50:25.665000,273.0,185.0,296.0,311.0,False,MEDIUM,12.0,True,Williams,0 days 00:49:01.436000,2020-10-25 13:29:02.513,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.9,66.4,1007.6,False,26.6,101,2.3
0 days 00:01:24.893000,12.0,RUS,63,0 days 00:51:02.495000,13.0,1.0,,,0 days 00:00:24.754000,0 days 00:00:33.075000,0 days 00:00:27.064000,0 days 00:50:50.419000,0 days 00:51:23.494000,0 days 00:51:50.558000,270.0,185.0,293.0,306.0,False,MEDIUM,13.0,True,Williams,0 days 00:50:25.664000,2020-10-25 13:30:26.741,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,66.2,1007.5,False,27.0,168,3.7
0 days 00:01:24.704000,13.0,RUS,63,0 days 00:52:02.491000,14.0,1.0,,,0 days 00:00:24.976000,0 days 00:00:32.744000,0 days 00:00:26.984000,0 days 00:52:15.534000,0 days 00:52:48.278000,0 days 00:53:15.262000,273.0,184.0,296.0,305.0,False,MEDIUM,14.0,True,Williams,0 days 00:51:50.557000,2020-10-25 13:31:51.634,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,66.2,1007.4,False,27.1,53,4.3
0 days 00:01:23.851000,12.0,RUS,63,0 days 00:54:02.484000,15.0,1.0,,,0 days 00:00:24.229000,0 days 00:00:32.566000,0 days 00:00:27.056000,0 days 00:53:39.491000,0 days 00:54:12.057000,0 days 00:54:39.113000,,184.0,295.0,308.0,False,MEDIUM,15.0,True,Williams,0 days 00:53:15.261000,2020-10-25 13:33:16.338,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,21.0,65.9,1007.4,False,27.4,27,2.9
0 days 00:01:23.904000,12.0,RUS,63,0 days 00:55:02.484000,16.0,1.0,,,0 days 00:00:24.161000,0 days 00:00:32.528000,0 days 00:00:27.215000,0 days 00:55:03.274000,0 days 00:55:35.802000,0 days 00:56:03.017000,275.0,185.0,297.0,,False,MEDIUM,16.0,True,Williams,0 days 00:54:39.112000,2020-10-25 13:34:40.189,1,True,TRACK LIMITS AT TURN 1,False,True,0,Portuguese Grand Prix,15,74.0,20.9,66.5,1007.5,False,27.5,149,3.8
