LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:37.026000,2.0,SAI,55,0 days 00:34:02.424000,1.0,1.0,,,,0 days 00:00:37.729000,0 days 00:00:29.550000,,0 days 00:34:17.525000,0 days 00:34:47.178000,259.0,160.0,292.0,247.0,False,SOFT,6.0,False,McLaren,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:01:25.117000,1.0,SAI,55,0 days 00:35:02.399000,2.0,1.0,,,0 days 00:00:25.398000,0 days 00:00:32.534000,0 days 00:00:27.185000,0 days 00:35:12.349000,0 days 00:35:44.883000,0 days 00:36:12.068000,272.0,188.0,290.0,296.0,True,SOFT,7.0,False,McLaren,0 days 00:34:46.951000,2020-10-25 13:14:48.028,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:01:23.466000,1.0,SAI,55,0 days 00:37:02.443000,3.0,1.0,,,0 days 00:00:24.551000,0 days 00:00:31.985000,0 days 00:00:26.930000,0 days 00:36:36.619000,0 days 00:37:08.604000,0 days 00:37:35.534000,266.0,190.0,286.0,282.0,True,SOFT,8.0,False,McLaren,0 days 00:36:12.068000,2020-10-25 13:16:13.145,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:01:23.676000,1.0,SAI,55,0 days 00:38:02.450000,4.0,1.0,,,0 days 00:00:24.794000,0 days 00:00:31.922000,0 days 00:00:26.960000,0 days 00:38:00.328000,0 days 00:38:32.250000,0 days 00:38:59.210000,260.0,187.0,291.0,280.0,False,SOFT,9.0,False,McLaren,0 days 00:37:35.534000,2020-10-25 13:17:36.611,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:01:23.757000,1.0,SAI,55,0 days 00:39:02.476000,5.0,1.0,,,0 days 00:00:24.710000,0 days 00:00:31.994000,0 days 00:00:27.053000,0 days 00:39:23.920000,0 days 00:39:55.914000,0 days 00:40:22.967000,262.0,185.0,291.0,,False,SOFT,10.0,False,McLaren,0 days 00:38:59.210000,2020-10-25 13:19:00.287,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.1,32,3.0
0 days 00:01:24.819000,2.0,SAI,55,0 days 00:41:02.482000,6.0,1.0,,,0 days 00:00:25.317000,0 days 00:00:32.139000,0 days 00:00:27.363000,0 days 00:40:48.284000,0 days 00:41:20.423000,0 days 00:41:47.786000,263.0,189.0,294.0,295.0,False,SOFT,11.0,False,McLaren,0 days 00:40:22.967000,2020-10-25 13:20:24.044,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:01:24.532000,3.0,SAI,55,0 days 00:42:02.500000,7.0,1.0,,,0 days 00:00:24.889000,0 days 00:00:32.344000,0 days 00:00:27.299000,0 days 00:42:12.675000,0 days 00:42:45.019000,0 days 00:43:12.318000,265.0,183.0,291.0,303.0,False,SOFT,12.0,False,McLaren,0 days 00:41:47.786000,2020-10-25 13:21:48.863,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.4,1007.8,False,25.5,161,3.7
0 days 00:01:24.554000,4.0,SAI,55,0 days 00:44:02.544000,8.0,1.0,,,0 days 00:00:25.137000,0 days 00:00:32.262000,0 days 00:00:27.155000,0 days 00:43:37.455000,0 days 00:44:09.717000,0 days 00:44:36.872000,263.0,183.0,293.0,290.0,False,SOFT,13.0,False,McLaren,0 days 00:43:12.318000,2020-10-25 13:23:13.395,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:01:23.816000,4.0,SAI,55,0 days 00:45:02.485000,9.0,1.0,,,0 days 00:00:24.620000,0 days 00:00:32.003000,0 days 00:00:27.193000,0 days 00:45:01.492000,0 days 00:45:33.495000,0 days 00:46:00.688000,262.0,185.0,293.0,289.0,False,SOFT,14.0,False,McLaren,0 days 00:44:36.872000,2020-10-25 13:24:37.949,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:01:23.987000,4.0,SAI,55,0 days 00:46:02.488000,10.0,1.0,,,0 days 00:00:24.572000,0 days 00:00:31.974000,0 days 00:00:27.441000,0 days 00:46:25.260000,0 days 00:46:57.234000,0 days 00:47:24.675000,263.0,185.0,291.0,288.0,False,SOFT,15.0,False,McLaren,0 days 00:46:00.688000,2020-10-25 13:26:01.765,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.4,1007.6,False,26.0,45,2.0
