LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Encoded_Rainfall,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:41.139000,11.0,STR,18,0 days 00:34:02.424000,1.0,1.0,,,,0 days 00:00:38.686000,0 days 00:00:30.114000,,0 days 00:34:21.462000,0 days 00:34:51.265000,256.0,162.0,292.0,241.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,False,,False,False,0,Portuguese Grand Prix,15,74.0,20.5,66.9,1007.8,False,25.3,171,4.4
0 days 00:01:29.459000,10.0,STR,18,0 days 00:35:02.399000,2.0,1.0,,,0 days 00:00:27.096000,0 days 00:00:34.574000,0 days 00:00:27.789000,0 days 00:35:18.195000,0 days 00:35:52.769000,0 days 00:36:20.558000,268.0,174.0,297.0,313.0,False,MEDIUM,2.0,True,Racing Point,0 days 00:34:51.064000,2020-10-25 13:14:52.141,1,True,TRACK LIMITS AT TURN 1,False,True,0,Portuguese Grand Prix,15,74.0,20.4,67.3,1007.8,False,25.4,183,3.8
0 days 00:01:25.267000,10.0,STR,18,0 days 00:37:02.443000,3.0,1.0,,,0 days 00:00:25.339000,0 days 00:00:32.699000,0 days 00:00:27.229000,0 days 00:36:45.897000,0 days 00:37:18.596000,0 days 00:37:45.825000,269.0,184.0,306.0,309.0,True,MEDIUM,3.0,True,Racing Point,0 days 00:36:20.523000,2020-10-25 13:16:21.600,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.9,1007.8,False,25.4,153,3.8
0 days 00:01:24.440000,10.0,STR,18,0 days 00:38:02.450000,4.0,1.0,,,0 days 00:00:24.636000,0 days 00:00:32.744000,0 days 00:00:27.060000,0 days 00:38:10.461000,0 days 00:38:43.205000,0 days 00:39:10.265000,,183.0,296.0,328.0,True,MEDIUM,4.0,True,Racing Point,0 days 00:37:45.790000,2020-10-25 13:17:46.867,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.7,1007.7,False,25.0,19,5.0
0 days 00:01:23.430000,10.0,STR,18,0 days 00:40:02.493000,5.0,1.0,,,0 days 00:00:24.396000,0 days 00:00:32.140000,0 days 00:00:26.894000,0 days 00:39:34.661000,0 days 00:40:06.801000,0 days 00:40:33.695000,,183.0,308.0,309.0,True,MEDIUM,5.0,True,Racing Point,0 days 00:39:10.230000,2020-10-25 13:19:11.307,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,29,2.6
0 days 00:01:23.860000,10.0,STR,18,0 days 00:41:02.482000,6.0,1.0,,,0 days 00:00:24.454000,0 days 00:00:32.309000,0 days 00:00:27.097000,0 days 00:40:58.149000,0 days 00:41:30.458000,0 days 00:41:57.555000,272.0,177.0,308.0,336.0,False,MEDIUM,6.0,True,Racing Point,0 days 00:40:33.660000,2020-10-25 13:20:34.737,1,True,TRACK LIMITS AT TURN 4,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.6,1007.8,False,25.4,13,2.5
0 days 00:01:23.346000,10.0,STR,18,0 days 00:42:02.500000,7.0,1.0,,,0 days 00:00:24.111000,0 days 00:00:32.139000,0 days 00:00:27.096000,0 days 00:42:21.666000,0 days 00:42:53.805000,0 days 00:43:20.901000,271.0,177.0,296.0,322.0,True,MEDIUM,7.0,True,Racing Point,0 days 00:41:57.520000,2020-10-25 13:21:58.597,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.5,67.4,1007.8,False,25.5,161,3.7
0 days 00:01:23.352000,10.0,STR,18,0 days 00:44:02.544000,8.0,1.0,,,0 days 00:00:24.302000,0 days 00:00:32.185000,0 days 00:00:26.865000,0 days 00:43:45.203000,0 days 00:44:17.388000,0 days 00:44:44.253000,268.0,184.0,311.0,305.0,False,MEDIUM,8.0,True,Racing Point,0 days 00:43:20.866000,2020-10-25 13:23:21.943,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.6,1007.8,False,25.6,145,2.6
0 days 00:01:24.314000,10.0,STR,18,0 days 00:45:02.485000,9.0,1.0,,,0 days 00:00:24.260000,0 days 00:00:32.933000,0 days 00:00:27.121000,0 days 00:45:08.513000,0 days 00:45:41.446000,0 days 00:46:08.567000,274.0,176.0,312.0,331.0,False,MEDIUM,9.0,True,Racing Point,0 days 00:44:44.218000,2020-10-25 13:24:45.295,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.6,66.9,1007.7,False,25.7,103,2.7
0 days 00:01:24.633000,10.0,STR,18,0 days 00:47:02.521000,10.0,1.0,,,0 days 00:00:24.772000,0 days 00:00:32.688000,0 days 00:00:27.173000,0 days 00:46:33.339000,0 days 00:47:06.027000,0 days 00:47:33.200000,268.0,174.0,309.0,336.0,False,MEDIUM,10.0,True,Racing Point,0 days 00:46:08.532000,2020-10-25 13:26:09.609,1,False,,False,True,0,Portuguese Grand Prix,15,74.0,20.7,66.7,1007.6,False,26.5,115,2.5
